Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0,0,0,0,0,0,0.0440341,0.0251738,0,0,0,0.0203864,0.0141099,0.011119,0.0382603,0,0,0.0268012,0,0.0218363,0.0149307,0.0433188,0.0133594,0.0194084,0.0160797,0.0287692,0.0360889,0.0106674,0.0121923,0.010447,0.0136753,0.0141304,0.0135473,0.00926637,0.0270024,0.0241929,0.0215381,0.0122383,0.0058587,0.0115549,0.0110223,0.00959696,0.042476,0.0349067,0,0,0.0152397,0,0.00979419,0.0107741,0.0569064,0.011113,0.0236811,0.0151998,0.0286058,0.0300684,0.00936568,0.0387844,0.0173669,0.0144134,0.00875247,0.021003,0.00533708,0.00734453,0.0133247,0.0145414,0.010166,0.00817858,0.0288907,0.0323455,0,0,0
0,0,0,0,0,0,0,0.0722574,0.0182153,0,0,0,0.023871,0.0119146,0.0126569,0.0181982,0,0,0.0141677,0,0.0233989,0.00330018,0.0315192,0.0101779,0.0158742,0.0204532,0.0352813,0.0397272,0.0252476,0.0300065,0.023899,0.026284,0.018341,0.0176975,0.0112373,0.0144485,0.0287799,0.0138571,0.013304,0.00365267,0.0223336,0.00608016,0.0174364,0.0294003,0.0330501,0,0,0.00862435,0,0.0147154,0.00447021,0.0694507,0.0279499,0.036986,0.0166461,0.0389125,0.0192896,0.0108326,0.0378284,0.0216284,0.013758,0.0143855,0.0256063,0.0162083,0.0192407,0.0315493,0.00592595,0.00669892,0.00261392,0.031908,0.0312763,0,0,0
1,0,0,0,0,0,0,0.0723253,0.018264,0,0,0,0.0236,0.0118139,0.0124716,0.0181628,0,0,0.0144259,0,0.0233011,0.00343988,0.0315386,0.0108169,0.0157026,0.0204754,0.0350865,0.0395718,0.0253325,0.0300905,0.0239366,0.0262284,0.0182479,0.0175311,0.0108674,0.014777,0.0284314,0.0139106,0.013179,0.00373434,0.0223048,0.00618993,0.0175122,0.0294551,0.0330887,0,0,0.00847414,0,0.0147048,0.00439381,0.0695006,0.0280629,0.0370399,0.0165089,0.0388223,0.0193238,0.0107522,0.0377464,0.0213758,0.0139074,0.0143437,0.025538,0.016225,0.0192509,0.0315094,0.0059226,0.00664074,0.00265923,0.0320569,0.0313045,0,0,0
2,0,0,0,0,0,0,0.0725277,0.0184378,0,0,0,0.0233605,0.0118006,0.0123366,0.0181342,0,0,0.0147168,0,0.0232735,0.00362803,0.0315802,0.0115174,0.015497,0.0206733,0.0349004,0.0393547,0.0253933,0.0301642,0.0239506,0.0261307,0.0180754,0.0173405,0.0104865,0.0151091,0.0282179,0.013995,0.0131427,0.00369054,0.0222636,0.00628416,0.0176383,0.0294168,0.0332575,0,0,0.00830668,0,0.0146046,0.00426762,0.0696005,0.028384,0.0370464,0.0163837,0.0386985,0.019373,0.0107175,0.037692,0.0212407,0.0138007,0.0143126,0.0254264,0.0162574,0.0193265,0.0315251,0.00596249,0.0065859,0.00266625,0.0322455,0.0314142,0,0,0
3,0,0,0,0,0,0,0.0726841,0.0185983,0,0,0,0.0230975,0.0118342,0.0122711,0.0181342,0,0,0.0150087,0,0.0232067,0.00384176,0.0316072,0.0120885,0.0152969,0.0208823,0.0346868,0.0391666,0.0254747,0.030239,0.0239887,0.0261298,0.0179562,0.0172357,0.0102187,0.0154105,0.0279606,0.0141331,0.013118,0.00366635,0.0222419,0.00636193,0.0177484,0.0294273,0.0334053,0,0,0.00811741,0,0.014482,0.00411174,0.0697149,0.0286454,0.0370993,0.0163077,0.0385481,0.0193938,0.0106596,0.0376424,0.021173,0.0135818,0.0142881,0.0253291,0.0162976,0.0193973,0.031574,0.00598254,0.0065509,0.00265256,0.032388,0.0314876,0,0,0
4,0,0,0,0,0,0,0.0728154,0.0187313,0,0,0,0.0228799,0.0118842,0.0122575,0.0181433,0,0,0.0152224,0,0.0231627,0.00402092,0.0316381,0.0126292,0.0151139,0.0211865,0.0345268,0.0390256,0.0255147,0.0303304,0.0240398,0.0261513,0.0178433,0.0171324,0.00997387,0.015655,0.0277149,0.0143253,0.013088,0.00364926,0.022215,0.00646791,0.0178415,0.0294596,0.033571,0,0,0.00789011,0,0.0143667,0.00392976,0.0698409,0.0287211,0.03717,0.0162631,0.0384126,0.0194122,0.0106016,0.0376073,0.0211035,0.0134796,0.0143045,0.0252429,0.0163383,0.0194739,0.0316137,0.00601114,0.00648871,0.0026747,0.0324544,0.0315554,0,0,0
5,0,0,0,0,0,0,0.0727942,0.018802,0,0,0,0.0224985,0.0119359,0.0122947,0.01815,0,0,0.0153422,0,0.0231083,0.00409759,0.0317492,0.0133368,0.0150018,0.0213691,0.0344237,0.0389899,0.0255333,0.0303823,0.0240838,0.0261606,0.0176723,0.0169387,0.00964782,0.0159437,0.0274097,0.0144937,0.0130611,0.00364009,0.021984,0.00654429,0.0178505,0.0294844,0.0335962,0,0,0.00775933,0,0.0143098,0.00386373,0.0699437,0.0286939,0.0372686,0.0162048,0.0382578,0.0194293,0.0104923,0.0375246,0.020868,0.0134504,0.0142275,0.0250979,0.0162874,0.0194112,0.0313231,0.00601402,0.00639174,0.00267643,0.0324594,0.0315303,0,0,0
6,0,0,0,0,0,0,0.0729344,0.0188607,0,0,0,0.0224014,0.0120316,0.0123807,0.0179921,0,0,0.0154357,0,0.0230525,0.00417419,0.0317872,0.0138512,0.0149125,0.0214679,0.0344886,0.039003,0.0255632,0.0304727,0.0240925,0.0261124,0.0176307,0.0168923,0.00946806,0.0161203,0.0273113,0.0146289,0.0130282,0.003604,0.021996,0.00666638,0.0179441,0.0293127,0.0337875,0,0,0.00760593,0,0.0141981,0.00373184,0.0701857,0.0289747,0.037258,0.0161164,0.0382686,0.0195116,0.0103477,0.0373786,0.0207265,0.0134005,0.0141236,0.0249991,0.0162449,0.0194583,0.0313696,0.00611095,0.00624345,0.00265075,0.0324737,0.0316175,0,0,0
7,0,0,0,0,0,0,0.0731183,0.0189184,0,0,0,0.0224322,0.0121046,0.01246,0.017834,0,0,0.0154888,0,0.0230009,0.00426772,0.0318173,0.0142644,0.0148446,0.0215769,0.0345666,0.0390776,0.0256226,0.0305412,0.0241172,0.0260997,0.0176005,0.0168637,0.00931242,0.0162557,0.0272681,0.0147484,0.0130015,0.00359895,0.0220228,0.00677382,0.0180163,0.0291451,0.034014,0,0,0.00750775,0,0.014073,0.00359914,0.070403,0.0291978,0.0372715,0.0160369,0.0382856,0.0195798,0.0101969,0.0372259,0.0205965,0.0133516,0.014041,0.0249062,0.0162377,0.0195014,0.031453,0.00625308,0.00612259,0.00263682,0.0324898,0.0317246,0,0,0
8,0,0,0,0,0,0,0.0733317,0.018948,0,0,0,0.0224755,0.0121553,0.0125479,0.0176803,0,0,0.0153706,0,0.0229113,0.00425669,0.0318352,0.0146265,0.0147498,0.0216795,0.0346564,0.0393092,0.0256684,0.0306232,0.0241632,0.0261223,0.017552,0.0168362,0.00918688,0.0164009,0.0272622,0.0146219,0.0129585,0.00367523,0.0220035,0.00689237,0.0180835,0.0290135,0.0342471,0,0,0.00743799,0,0.0139467,0.00348668,0.0706137,0.0293694,0.0373056,0.0159558,0.0382854,0.0197353,0.0100919,0.0370828,0.020457,0.0133099,0.01397,0.0248115,0.0162373,0.0195375,0.0314729,0.0064415,0.00605312,0.00266007,0.0324609,0.0318404,0,0,0
