Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,Box:BFBR,,,Box:BFBL,,,Box:BFTL,,,Box:BFTR,,,Box:BBR,,,Box:BBL,,,Box:IMU_M,,,Box:IMU_R,,,Box:IMU_L,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
11560,0,697.420166,-861.160522,1756.374756,787.504822,-869.758972,1748.660156,700.015198,-983.132507,1604.170776,775.101685,-967.977112,1604.747192,662.832275,-830.569336,1591.039185,798.079651,-843.172791,1590.833008,726.440125,-956.186157,1523.486572,722.886414,-1014.700073,1409.721436,717.802551,-781.559265,1385.328125,713.117065,-768.328308,1315.393677,799.187439,-1013.396240,1426.646240,533.863647,-883.848633,1507.519775,421.987427,-864.503418,1332.776489,352.060425,-843.517517,1232.314453,,,,356.347809,-695.306763,1165.619751,409.212524,-561.930176,1178.437988,,,,397.897308,-473.132385,1078.253540,403.908142,-549.734131,1078.400879,994.336243,-869.473083,1266.786743,1030.611450,-722.005615,1115.079224,997.182739,-586.452637,1143.194336,,,,990.440002,-489.294220,1049.858521,,,,,,,,,,,,,,,,,,,643.592957,-1004.752869,1037.169434,793.518311,-993.407654,1035.235596,540.415283,-878.273010,1016.393677,892.600891,-878.183838,1033.771606,518.324768,-859.080994,841.790771,563.436768,-901.186707,669.297852,542.963806,-780.100098,649.809937,560.019348,-848.834106,602.664795,,,,566.669556,-797.497314,492.237274,,,,573.313416,-969.785217,406.715057,570.022095,-968.208557,341.719086,606.477722,-1050.829224,343.858154,618.777039,-1045.783813,401.702362,634.775085,-1154.009766,203.500839,,,,705.110474,-1208.827881,211.667648,667.824524,-1049.255615,48.484085,904.912292,-820.136047,823.281128,602.682922,-1098.765625,68.022095,881.784973,-757.502686,767.668701,848.010742,-678.512817,742.103271,850.915588,-705.546509,660.523193,872.095703,-788.716553,687.784180,830.840454,-688.348450,527.014893,,,,834.399170,-717.987793,347.416931,805.032776,-684.469299,268.776794,818.150391,-738.178711,247.439651,838.342346,-773.935852,325.850800,793.427979,-760.540405,80.540672,,,,,,,776.123535,-572.929871,35.528820,839.700684,-632.236572,28.744734,960.435242,-380.000824,1038.185059,431.067444,-366.810028,1070.944702,455.105011,-357.067871,1349.480835,973.552490,-368.387268,1314.973511,965.152954,-647.350952,1323.279785,452.128265,-632.526062,1360.748291,897.390137,-262.297089,1020.328735,931.802368,-259.818390,1028.658569,868.365662,-257.093719,1036.851807
11561,0,697.671326,-850.251953,1757.131348,787.521240,-858.734924,1749.646973,700.423584,-972.357422,1604.947021,775.473145,-957.126587,1605.711914,663.248169,-819.664917,1591.821777,798.360291,-832.268677,1591.735596,726.966919,-945.565063,1524.429321,723.519836,-1004.328613,1410.824951,718.050293,-771.221191,1385.702759,713.364929,-758.212463,1315.668335,799.904236,-1002.854614,1427.767456,534.453857,-873.328064,1508.148926,422.282471,-855.041199,1333.651245,352.623932,-833.622009,1233.087402,,,,356.957916,-685.488464,1166.574097,409.788971,-552.048889,1179.508057,,,,398.295715,-463.250946,1079.225342,405.271393,-539.540588,1079.384888,995.327332,-858.498108,1267.942627,1031.473389,-711.098511,1116.134888,997.895142,-575.645874,1144.038330,,,,990.952820,-478.631531,1050.540649,,,,,,,,,,,,,,,,,,,643.299316,-995.116699,1037.839233,793.224609,-984.237793,1035.953491,540.932556,-867.974426,1017.620789,893.082886,-869.482849,1033.635864,519.101013,-846.802917,843.248962,565.001648,-885.025024,670.157227,542.590698,-763.964722,652.690491,560.977356,-831.640503,604.392517,,,,565.487366,-778.402893,494.867126,,,,573.782104,-949.761780,410.586548,568.665466,-948.663086,346.118134,605.900208,-1030.603882,346.857605,619.429138,-1025.476196,404.449799,632.642273,-1133.619385,205.707077,,,,702.033691,-1189.570801,213.218567,664.866272,-1026.822998,53.209484,905.152405,-812.837708,822.488098,600.071533,-1075.210571,72.090813,882.140503,-749.388733,766.459351,849.002991,-670.953918,741.292419,851.752197,-698.554382,659.839233,872.486267,-781.589844,687.890259,831.183289,-682.270264,526.007019,,,,834.754456,-712.812561,346.517578,804.221619,-680.933044,267.664581,818.435974,-734.860779,247.426666,840.208618,-769.152527,325.743988,793.085022,-760.080505,80.511185,,,,,,,775.956726,-572.663879,35.295265,839.703369,-632.196289,28.744623,961.013245,-369.418335,1038.657349,431.338165,-356.942810,1071.665527,455.524780,-346.537903,1350.210938,974.009705,-357.087250,1315.249268,966.116211,-636.080811,1324.317993,453.023499,-621.922119,1362.126709,897.460022,-252.041931,1019.619324,931.258911,-248.513351,1027.615601,868.406128,-246.814636,1036.112671
11562,0,697.422302,-839.518738,1757.860229,787.416016,-847.823486,1750.588867,700.899231,-961.861938,1606.001831,775.875427,-946.347961,1606.933594,663.601257,-809.005737,1592.289185,798.659729,-821.619385,1592.818237,727.553345,-935.222107,1525.416504,724.208374,-994.036621,1411.922485,718.333862,-761.369324,1386.426758,713.607422,-748.064697,1316.426758,800.642639,-992.405273,1428.815186,534.786316,-863.519897,1509.034546,423.111237,-844.711853,1334.465820,353.249786,-823.851074,1233.975586,,,,357.600739,-675.572327,1167.497192,410.428833,-542.046387,1180.412964,,,,398.785004,-453.432312,1080.237549,405.066101,-530.174194,1080.511963,996.191956,-847.725037,1269.162109,1032.330566,-700.224854,1117.201172,998.584778,-564.727661,1144.857788,,,,991.488647,-467.881622,1051.209106,,,,,,,,,,,,,,,,,,,643.118347,-985.372009,1038.673096,793.054810,-974.983154,1036.904053,541.426025,-857.660400,1018.871643,893.482056,-860.604492,1033.828857,519.724548,-834.626648,844.818176,566.274780,-869.138916,671.213440,542.313171,-748.021729,655.776672,561.863464,-814.627136,606.266174,,,,566.318909,-758.064880,498.202942,,,,574.097351,-929.304565,413.684204,566.967834,-928.636169,349.551392,605.041626,-1009.891418,349.046326,619.968567,-1004.732727,406.354279,630.417175,-1112.172485,206.591156,,,,698.380188,-1170.184570,213.508972,664.578491,-1002.150635,56.197002,904.991577,-805.476501,821.911438,598.509705,-1050.614136,74.286819,882.907410,-741.875793,766.899719,849.708008,-663.463562,740.485901,852.331787,-691.819519,659.245117,872.997742,-774.605652,688.058167,831.583496,-676.524048,525.114990,,,,835.286499,-708.126953,346.004089,803.496826,-677.658569,266.768616,818.861938,-731.481445,247.138779,841.318726,-764.383362,325.482269,792.828491,-759.624023,80.451790,,,,,,,775.931091,-572.457397,35.178677,839.807800,-632.104980,28.580868,961.128601,-358.828796,1039.087769,431.580475,-347.148468,1072.438599,455.706848,-336.337219,1350.884399,974.454041,-345.882874,1315.751099,967.082275,-624.890137,1325.289307,453.720825,-611.748047,1363.319946,897.452271,-241.737869,1019.372131,931.838867,-238.728973,1027.735718,868.384033,-236.416595,1035.974976
11563,0,697.470520,-828.951233,1758.825562,787.371277,-837.148376,1751.682007,701.428772,-951.529663,1607.090210,776.344910,-935.935425,1608.224731,663.984741,-798.662170,1593.200684,799.078918,-811.216125,1593.955322,728.111694,-925.004700,1526.469238,724.885742,-983.915344,1413.054077,718.680054,-751.287476,1387.360596,713.785767,-738.164917,1317.119629,801.346497,-982.153992,1429.878052,535.259644,-853.821533,1510.136841,423.541016,-835.129456,1335.604614,353.878754,-814.010010,1235.000122,,,,358.216766,-665.823792,1168.395752,410.993866,-532.217590,1181.430176,,,,399.115265,-443.601959,1081.028320,408.064667,-519.336548,1080.640015,996.738831,-836.977844,1270.453491,1033.085205,-689.364746,1118.257812,999.261414,-553.811768,1145.738159,,,,991.954102,-457.086060,1051.998413,,,,,,,,,,,,,,,,,,,643.053101,-975.593933,1039.669678,792.984314,-965.616516,1038.076538,541.866394,-847.545959,1020.198486,893.868103,-851.432434,1034.298828,520.368896,-822.349121,846.548157,567.600586,-852.959717,672.084106,542.199036,-731.932068,658.940369,562.610596,-797.602661,608.302307,,,,566.388916,-739.097778,502.028229,,,,573.751648,-909.412842,416.535767,565.806702,-907.788269,351.981293,604.026672,-988.911499,350.496429,620.198669,-983.910950,407.516510,628.208374,-1089.399170,205.843170,,,,695.216064,-1148.875000,212.094345,664.634094,-976.301392,58.927006,904.555908,-797.798340,821.860779,597.832031,-1024.212524,75.326263,883.437988,-734.366089,766.832458,850.271912,-656.383423,739.678711,852.830933,-685.323792,658.639771,873.090027,-767.144226,687.785034,831.885864,-671.239441,524.354492,,,,835.531982,-703.901917,345.423126,803.249817,-674.619202,266.345001,819.270386,-728.380920,246.841415,842.614807,-760.454163,325.485199,792.756531,-759.114197,80.439407,,,,,,,776.080566,-572.277832,35.155487,840.024109,-631.795044,28.086536,961.351624,-348.016510,1039.809570,431.145172,-337.197998,1073.218628,455.858215,-326.192688,1351.667969,974.830017,-334.815430,1316.426270,967.844360,-613.706482,1326.200439,454.482300,-601.522888,1364.305542,897.494507,-230.818634,1020.007629,931.933838,-228.107742,1028.125122,868.329834,-225.878281,1036.538574
11564,0,697.422363,-818.469238,1759.647461,787.347473,-826.569946,1753.022095,701.958984,-941.420227,1608.265259,776.871704,-925.720520,1609.569946,664.458008,-788.410400,1593.903931,799.408447,-801.036133,1595.211548,728.673035,-914.956055,1527.576050,725.557007,-973.855652,1414.125610,718.944275,-741.727234,1388.378784,713.958923,-728.083313,1318.032471,801.967651,-971.991089,1430.911621,535.693359,-844.073059,1511.186523,424.186066,-825.405273,1336.723633,354.457123,-804.121887,1236.009155,,,,358.729065,-655.939270,1169.379761,411.551086,-522.291626,1182.353027,,,,399.532959,-433.779480,1081.879517,406.378815,-510.598480,1082.266724,997.288086,-826.325745,1271.648560,1033.793091,-678.570557,1119.387695,999.797546,-542.915100,1146.678589,,,,992.471008,-446.343048,1052.978394,,,,,,,,,,,,,,,,,,,643.083679,-965.785950,1040.769287,793.080994,-956.144592,1039.431885,542.221375,-837.386108,1021.578064,894.295532,-842.209839,1035.347046,521.178650,-809.964294,848.373962,568.261047,-837.078186,673.500854,542.316040,-715.960693,662.482544,562.927307,-780.759033,610.442627,,,,567.208069,-719.398865,506.041779,,,,573.314453,-888.952881,418.330872,564.570312,-886.464111,353.907013,602.968018,-967.641724,351.164398,619.908447,-963.251404,408.101501,625.852600,-1066.364624,204.463089,,,,692.405457,-1126.305908,209.122864,664.545898,-949.018433,61.008850,904.044617,-789.796570,822.304260,598.609741,-996.974304,74.676674,883.779907,-726.971008,766.715271,850.695190,-649.283447,738.739319,853.211792,-679.135132,658.138000,873.505005,-760.631775,688.080688,832.080872,-666.212708,523.549316,,,,835.736450,-700.460632,344.772827,803.331360,-671.984558,265.479218,819.551147,-726.073547,246.599167,842.578491,-757.116943,325.317780,792.681580,-758.742432,80.432060,,,,,,,776.158813,-572.033875,34.676426,840.096313,-631.935059,28.253761,961.708496,-336.974792,1040.766724,431.921021,-327.417023,1073.937744,456.158569,-315.956085,1352.381836,974.862244,-323.692657,1317.265869,968.461365,-602.693970,1327.231812,455.272491,-591.206299,1365.202515,897.492737,-220.121490,1021.178955,931.781067,-217.225632,1029.350220,868.232483,-215.034988,1038.036011
11565,0,697.544312,-808.328552,1760.800415,787.476929,-816.299622,1754.151245,702.544617,-931.508606,1609.475220,777.433533,-915.683716,1610.999146,664.613098,-778.979736,1595.004761,799.713623,-790.896606,1596.410034,729.196533,-905.050537,1528.733032,726.146118,-963.913269,1415.193848,719.252380,-731.922913,1389.557007,714.033691,-717.322754,1318.883667,802.541138,-961.988770,1431.941895,536.147705,-834.209839,1512.152100,424.596802,-815.820923,1337.946045,354.966064,-794.338135,1237.110107,,,,359.362366,-645.822998,1170.656128,412.103271,-512.414246,1183.111572,,,,399.415497,-424.133636,1082.669556,407.065796,-500.730865,1083.067627,997.749084,-815.824341,1272.734009,1034.113770,-667.379028,1120.204834,1000.298767,-532.021484,1147.811035,,,,992.984497,-435.480865,1054.015747,,,,,,,,,,,,,,,,,,,643.288696,-955.915405,1042.038208,793.362244,-946.550354,1040.942749,542.552307,-827.200684,1022.939087,894.650391,-832.639465,1036.585571,522.072266,-797.574768,850.361938,568.827271,-820.971375,674.626282,542.800354,-699.848022,666.134583,563.223389,-763.511536,613.053162,,,,567.657776,-700.886658,509.898499,,,,572.777527,-868.752563,419.959198,563.784485,-864.954102,355.532166,601.921021,-946.168335,350.994934,619.364990,-942.659973,407.963043,623.865540,-1042.177124,201.908859,,,,689.634644,-1102.984375,205.117554,664.262756,-920.476013,62.173382,903.604553,-781.664001,822.956787,598.404846,-968.180664,73.620140,883.964661,-719.865967,766.574219,851.044739,-642.440613,737.682495,853.533508,-673.297058,657.530029,874.026062,-755.044006,688.929077,832.177063,-661.777405,522.850403,,,,835.876953,-697.945984,344.360504,803.241028,-669.850891,264.393799,819.313049,-724.354675,246.407990,842.476562,-754.844177,325.390320,792.450989,-758.447205,80.476730,,,,,,,776.018005,-572.170471,34.913330,840.114014,-631.934570,28.254192,961.923157,-326.179474,1041.776489,431.729950,-317.823975,1074.974976,456.235626,-305.974915,1353.209351,974.780884,-312.784241,1318.382080,968.810486,-591.653137,1328.266479,455.850464,-581.272156,1366.078125,897.460266,-209.201538,1023.057312,931.920715,-206.108490,1031.295654,868.202209,-204.206909,1039.818604
11566,0,697.509949,-798.292480,1761.864258,787.568604,-806.337219,1755.605103,703.091370,-921.772278,1610.808228,777.934204,-905.727905,1612.379272,665.215942,-768.927307,1595.985107,800.163757,-781.001221,1597.782227,729.629089,-895.115967,1529.940552,726.641785,-954.078430,1416.323486,719.501465,-721.976318,1390.812256,714.535156,-708.686584,1320.312012,803.040161,-952.042175,1433.031494,536.455627,-824.606445,1513.357910,424.942139,-805.807190,1338.953369,355.382446,-784.410583,1238.213745,,,,359.703400,-636.221802,1171.287476,412.577545,-502.606567,1183.994507,,,,399.949707,-414.272003,1083.706543,407.581268,-490.950195,1083.793945,998.160034,-805.671814,1273.902832,1034.629272,-656.782471,1121.651367,1000.692871,-521.256836,1149.042603,,,,993.233093,-424.767792,1055.206055,,,,,,,,,,,,,,,,,,,643.555786,-946.142761,1043.330444,793.770935,-936.936951,1042.636963,542.846497,-817.308044,1024.530151,895.081787,-823.006042,1037.954590,523.073059,-785.292664,852.568665,568.524536,-805.316528,676.294983,543.558044,-683.829834,670.039246,563.312805,-746.685120,615.836060,,,,568.400940,-682.603455,513.979431,,,,571.849792,-848.602600,420.942200,563.275208,-843.015930,356.305786,600.850220,-924.311340,350.094727,618.416260,-921.913635,407.007935,622.092896,-1016.872498,198.421768,,,,687.002380,-1078.001465,199.395905,663.939026,-890.542969,62.884972,903.455750,-773.741211,823.694580,597.512329,-938.623413,72.452782,883.774963,-713.385620,766.470032,851.592285,-636.002563,736.842102,853.740601,-667.783081,656.872559,873.985474,-749.093933,689.312988,832.249207,-657.814148,522.075073,,,,835.952637,-695.724609,343.907196,803.527466,-668.434998,264.019257,819.229553,-722.992249,246.210861,842.563904,-753.077637,325.579742,792.262451,-758.243469,80.535522,,,,745.168579,-804.914734,56.692341,775.778625,-572.278381,34.893719,840.048767,-631.973633,28.300966,961.860535,-315.291809,1043.000977,432.163300,-307.602051,1075.493896,456.080505,-296.468170,1354.128296,974.348755,-301.405426,1319.292114,969.138489,-580.949890,1329.511597,456.429993,-571.249268,1366.753174,897.645935,-198.121796,1025.439941,932.090698,-195.052124,1033.561035,868.342285,-193.418533,1042.099854
11567,0,698.089050,-788.271118,1763.426147,787.829773,-796.540466,1756.802490,703.586365,-912.001221,1611.991455,778.386292,-895.804077,1613.700195,665.301147,-759.518921,1597.184814,800.494141,-771.133301,1599.097656,730.001465,-885.153320,1531.206177,727.048523,-944.181702,1417.491943,719.729858,-712.278809,1392.065186,714.837585,-698.793396,1321.591431,803.462524,-942.083618,1434.253418,536.709778,-815.025635,1514.502563,425.577148,-795.712402,1339.876343,355.735596,-774.473511,1239.247192,,,,360.195190,-625.929565,1172.586792,412.937073,-492.684021,1184.535156,,,,400.624146,-404.606415,1083.826660,410.831970,-479.716766,1083.204834,998.393494,-795.353821,1274.950195,1034.958740,-646.107422,1122.924683,1001.075256,-510.530182,1150.369751,,,,993.966309,-413.962463,1056.598755,,,,,,,,,,,,,,,,,,,643.894653,-936.365234,1044.608887,794.242493,-927.205811,1044.223511,543.131226,-807.245667,1025.957153,895.547119,-813.396301,1039.354980,524.244568,-772.904541,854.945496,537.911621,-727.335327,732.859497,544.610291,-667.747742,674.153931,563.468201,-729.895020,618.696106,,,,569.614624,-663.790100,518.023132,,,,572.200378,-825.617249,419.434723,562.979797,-820.208191,356.242615,599.880737,-901.567871,347.941345,616.889709,-901.427429,405.681091,620.515930,-990.733948,194.276382,,,,685.033020,-1052.437866,193.186401,662.609680,-859.468811,63.349113,903.674561,-766.321716,824.297974,596.113037,-907.873169,71.125534,883.786682,-706.696167,766.271667,851.924255,-629.598083,735.527466,853.450928,-662.204590,655.807251,873.848877,-743.580872,689.719971,832.276550,-654.197571,521.326721,,,,835.884094,-693.633118,343.472412,803.741272,-666.892334,263.480927,819.012207,-721.788208,246.207916,842.146973,-751.148376,325.670135,792.004333,-758.014099,80.646187,,,,,,,775.719910,-572.251831,34.865440,839.979553,-631.775269,28.070770,962.255798,-304.385590,1044.480835,432.321777,-297.773804,1076.155884,455.971680,-286.385803,1354.744263,974.225220,-291.196777,1320.930786,969.365601,-570.228088,1330.775024,456.591766,-561.604492,1367.441040,897.609497,-186.808548,1028.081909,932.042236,-184.542801,1036.356323,868.501343,-182.579315,1044.442383
11568,0,697.781799,-779.086121,1764.793335,787.855774,-786.724365,1758.244019,704.007690,-902.294067,1613.063110,778.809204,-886.024536,1614.923218,665.483337,-749.879028,1598.585815,800.690186,-761.210022,1600.504761,730.398560,-875.086060,1532.482910,727.422119,-934.276917,1418.771240,720.043945,-702.314575,1393.492798,715.081177,-688.939087,1322.925659,803.794495,-932.114075,1435.505249,536.909180,-805.270752,1515.728882,425.753510,-786.202271,1341.130737,356.217224,-764.616821,1240.328125,,,,360.494202,-616.223389,1173.414429,413.123718,-482.849884,1185.183838,,,,400.625580,-394.876495,1084.403687,408.263062,-471.379456,1084.987793,998.526611,-785.054199,1276.022705,1035.114136,-635.387451,1124.020020,1001.382324,-499.934509,1151.769165,,,,994.012573,-403.315826,1057.928589,,,,,,,,,,,,,,,,,,,644.308472,-926.631958,1045.952393,794.772522,-917.548157,1045.922363,543.480591,-797.371216,1027.703857,895.864075,-803.527832,1040.596313,525.564819,-760.527893,857.494385,538.675415,-712.461792,736.279480,546.006897,-651.743225,678.476013,563.732239,-713.177185,621.882446,,,,570.657104,-645.882996,522.131409,,,,571.206604,-804.942078,419.266998,562.639282,-797.423767,355.981903,598.733521,-878.935974,345.855469,615.533936,-880.073730,403.161957,618.941895,-963.766479,189.459641,,,,683.311157,-1026.482666,186.513336,660.740601,-827.319153,63.697510,904.083679,-759.230896,824.849365,594.294495,-876.098267,69.828072,883.817139,-700.237793,766.214294,852.229431,-623.315186,734.183105,853.581238,-657.498047,655.352722,873.495422,-738.068481,690.120605,832.286743,-650.867004,520.682068,,,,835.681396,-691.488770,343.101929,803.421875,-665.353333,262.957581,818.763306,-720.299072,246.005783,841.897949,-749.072510,325.604889,791.738220,-757.846191,80.735764,,,,744.204346,-804.047913,56.248291,775.972290,-571.993774,34.545403,839.796509,-631.823486,28.122589,962.248596,-293.853180,1046.006714,432.122467,-287.885498,1076.899536,455.454712,-276.723999,1355.440552,974.023132,-280.688904,1322.558350,969.490967,-559.727417,1332.187134,456.478577,-551.682129,1367.727417,897.829712,-175.803619,1030.394409,932.263916,-173.766922,1038.789185,868.444275,-171.988922,1046.799316
