Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,0.0330734
1,1,0.0235748
1,2,0.0223923
1,3,0.0214767
1,4,0.0112915
1,5,-0.0430679
1,6,-0.0909805
1,7,-0.0935745
1,8,-0.0667572
1,9,-0.0690842
2,0,-0.09655
2,1,-0.0530243
2,2,0.00736237
2,3,0.0284958
2,4,0.0844574
2,5,0.108986
2,6,0.107155
2,7,0.107384
2,8,0.102119
2,9,0.0631332
3,0,0.091362
3,1,-0.0242615
3,2,-0.0469971
3,3,-0.0561905
3,4,-0.0728989
3,5,-0.0379181
3,6,0.0141907
3,7,0.0576019
3,8,0.0758743
3,9,0.0531769
4,0,0.0547791
4,1,0.072937
4,2,0.0589752
4,3,0.173111
4,4,0.0895691
4,5,0.0960541
4,6,0.125427
4,7,0.110931
4,8,0.0503922
4,9,-0.00946045
5,0,-0.0798798
5,1,-0.0810623
5,2,-0.0777817
5,3,-0.00865936
5,4,0.0166321
5,5,0.0542068
5,6,0.114288
5,7,0.119057
5,8,0.078392
5,9,0.0854492
6,0,0.0810242
6,1,0.0653839
6,2,0.0764847
6,3,0.0967407
6,4,-0.026474
6,5,-0.0114059
6,6,-0.0156403
6,7,-0.035553
6,8,-0.0404358
6,9,-0.0025177
7,0,0.0421906
7,1,-0.0121689
7,2,0.0288773
7,3,0.0724411
7,4,0.0782776
7,5,0.0551605
7,6,0.0859451
7,7,0.0905609
7,8,0.1054
7,9,0.0456238
8,0,0.0382233
8,1,0.0056839
8,2,-0.0507355
8,3,-0.115242
8,4,-0.0831604
8,5,-0.0254822
8,6,-0.0616455
8,7,-0.0268936
8,8,0.00278473
8,9,0.0143814
9,0,0.0414658
9,1,0.0300217
9,2,0.0538254
9,3,0.00770569
9,4,0.0265503
9,5,0.0389862
9,6,0.0196838
9,7,-0.0094986
9,8,-0.0260544
9,9,-0.102348
10,0,-0.111885
10,1,-0.131226
10,2,-0.14019
10,3,-0.0825882
10,4,-0.0523758
10,5,-0.0449753
10,6,-0.0317383
