Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,R5HD,LTHI,x73,LWRB,RASI,RWRB
All Timesteps RMSE,0,0,0,0,0,0,0.0314605,0.0256816,0,0,0,0.0291924,0.0189021,0.0224017,0.0696603,0,0,0.0223427,0,0.0202557,0.00446726,0.0358652,0.0224336,0.0115641,0.0159279,0.0345257,0.0353033,0.0150717,0.0149391,0.0140612,0.0131926,0.0155333,0.0118132,0.0103462,0.0320989,0.0270436,0.00771869,0.0165387,0.0103894,0.0274655,0,0,0.033441,0,0.016243,0.0218942,0.0618437,0.0141652,0.0153667,0.0142825,0.0297598,0.0216402,0.0119319,0.0365319,0.0146381,0.0130368,0.00921553,0.00655806,0.00873198,0.0118424,0.0199454,0.0302827,0.0225917,0.0256286,0.0292429,0,0,0,0.0165391,0.00954661,0,0.00718816,0.0199413,0.0154855
0,0,0,0,0,0,0,0.0288785,0.0251332,0,0,0,0.0355637,0.0185043,0.0223142,0.0717656,0,0,0.0247668,0,0.0197221,0.00540695,0.0393689,0.0175319,0.0165162,0.017203,0.0265922,0.0332299,0.010982,0.0180267,0.0136096,0.00525529,0.0119377,0.00911023,0.0157971,0.0407127,0.0277376,0.00819851,0.0163987,0.00865618,0.0241309,0,0,0.0174702,0,0.00193732,0.0123978,0.0501317,0.00864378,0.00731867,0.0101186,0.0318979,0.0162863,0.0104194,0.0340519,0.00917174,0.0055203,0.0102863,0.00736795,0.0106452,0.0110169,0.0192319,0.0158822,0.016388,0.0245359,0.0260985,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0288455,0.0254294,0,0,0,0.0444117,0.0184929,0.0233161,0.070983,0,0,0.0245757,0,0.0197379,0.00519403,0.039333,0.0174659,0.0159409,0.0171572,0.0286305,0.0334583,0.0112695,0.0173769,0.0125682,0.00440418,0.0120957,0.0083061,0.0159342,0.0493039,0.0274167,0.008102,0.0166723,0.00862204,0.0245043,0,0,0.0165368,0,0.00192022,0.0117227,0.0507432,0.00902171,0.00839903,0.00948508,0.0326232,0.0164928,0.00993726,0.0343111,0.00930591,0.00639891,0.0100399,0.00716475,0.010284,0.0107585,0.0189592,0.0153362,0.0154928,0.024949,0.0261262,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0288135,0.0254319,0,0,0,0.0515733,0.0186333,0.0260076,0.0703993,0,0,0.0247152,0,0.0198073,0.00524016,0.0393161,0.0201048,0.0152894,0.0174158,0.0297881,0.0334099,0.0115781,0.0167508,0.0123267,0.0047773,0.0138991,0.00870202,0.0165264,0.0562222,0.0275751,0.00802567,0.0171398,0.00867153,0.0245324,0,0,0.015887,0,0.00187894,0.0111953,0.0514431,0.00924889,0.00900155,0.0091134,0.0326977,0.0166193,0.00993974,0.034759,0.00933729,0.00634412,0.00992117,0.00719715,0.0100883,0.0103386,0.0185196,0.0148815,0.0149823,0.0250486,0.0259893,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0.0287778,0.0253062,0,0,0,0.0559367,0.0187494,0.0297835,0.0700061,0,0,0.024775,0,0.0197575,0.00531384,0.0389968,0.0241246,0.0146854,0.0173616,0.0305223,0.0332283,0.0119468,0.0162916,0.0125888,0.00627096,0.0166459,0.00969052,0.0171939,0.0603441,0.0276699,0.00794165,0.0177755,0.00874811,0.0243402,0,0,0.0155935,0,0.00189174,0.0109929,0.051966,0.00935414,0.00948733,0.00889166,0.0323785,0.0166776,0.00994589,0.0351059,0.00934118,0.00633455,0.00973169,0.00733046,0.00992955,0.0097023,0.0181927,0.0146618,0.0148902,0.0249378,0.0258231,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.0293664,0.026213,0,0,0,0.0574479,0.0186838,0.0336285,0.0695065,0,0,0.0247725,0,0.0195248,0.00566689,0.0383417,0.0287924,0.0142149,0.0171895,0.0308153,0.0335078,0.0123176,0.0160472,0.0132011,0.00824006,0.0196551,0.0109454,0.0177609,0.0620237,0.0281034,0.00779275,0.0179126,0.00879237,0.0240045,0,0,0.033043,0,0.0160462,0.0212296,0.0521942,0.00938266,0.00993343,0.00891418,0.0316736,0.0165504,0.00983374,0.035177,0.0094149,0.00653478,0.00958053,0.00742332,0.00986582,0.00911094,0.0181366,0.0288223,0.0228924,0.0258984,0.0255498,0,0,0,0.0161377,0,0,0,0,0
5,0,0,0,0,0,0,0.0295197,0.0259721,0,0,0,0.057138,0.018689,0.0367535,0.0684729,0,0,0.0246222,0,0.019672,0.00571257,0.037448,0.0331562,0.0138089,0.0176051,0.0308363,0.0334041,0.0126385,0.0158235,0.0140798,0.0101327,0.0223896,0.0123197,0.0181247,0.0618002,0.0278433,0.00778364,0.0179015,0.00877826,0.0240296,0,0,0.0328864,0,0.0158469,0.0211734,0.0522223,0.00937673,0.0103651,0.00910529,0.0308283,0.0165978,0.00965,0.0351286,0.00950343,0.00684101,0.00949528,0.00744696,0.00989503,0.00872308,0.0174944,0.0287012,0.0234421,0.0256979,0.0257214,0,0,0,0.0160058,0,0,0,0,0
6,0,0,0,0,0,0,0.0297003,0.0259099,0,0,0,0.0567739,0.0187198,0.0387856,0.0676035,0,0,0.0243354,0,0.019842,0.00569442,0.0363868,0.0363078,0.0134646,0.0176358,0.0309061,0.0334212,0.0132227,0.0154593,0.0148757,0.0119245,0.0248603,0.0136342,0.0184313,0.0612276,0.0276279,0.00780876,0.0172941,0.00876123,0.0242389,0,0,0.033023,0,0.0159776,0.0211958,0.052293,0.00936849,0.0107506,0.009263,0.0301723,0.0167769,0.00960088,0.0350628,0.00962167,0.00671514,0.00936721,0.00729108,0.00959843,0.00850425,0.0164121,0.0288254,0.0236898,0.0256068,0.025967,0,0,0,0.016094,0.00941948,0,0,0,0
7,0,0,0,0,0,0,0.0298201,0.0258848,0,0,0,0.0561864,0.0187045,0.039705,0.0670897,0,0,0.0240383,0,0.0197641,0.00555251,0.0351791,0.0380296,0.0129673,0.016971,0.0310382,0.0334368,0.0134497,0.0153003,0.0156708,0.0128738,0.0259187,0.014317,0.0184605,0.0601106,0.027549,0.00782016,0.0166702,0.00866686,0.0244774,0,0,0.0330275,0,0.015981,0.0212522,0.0524918,0.00942008,0.0112483,0.00933355,0.0296451,0.0171176,0.00982758,0.034991,0.00972855,0.00665069,0.00917246,0.00705447,0.00925953,0.00830925,0.0151878,0.0288761,0.023887,0.0255161,0.026118,0,0,0,0.0161037,0.00925161,0,0,0,0
8,0,0,0,0,0,0,0.0299467,0.0259062,0,0,0,0.0555571,0.0188742,0.0398597,0.0667741,0,0,0.0240193,0,0.0199045,0.00558837,0.033806,0.0388163,0.0124106,0.0164889,0.0312916,0.0335289,0.0134778,0.0151282,0.016154,0.0129877,0.0259318,0.0145424,0.0183179,0.0591614,0.0277194,0.00789269,0.0161001,0.00841962,0.0247078,0,0,0.0332187,0,0.0161797,0.0213786,0.0528139,0.00921409,0.0118395,0.00931322,0.0292623,0.0175295,0.0101621,0.03487,0.00976486,0.00663618,0.00902691,0.00689605,0.00899558,0.00807699,0.0142505,0.0291372,0.0238638,0.0255687,0.0262164,0,0,0,0.0162442,0.00889844,0,0,0,0
