Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LTHI
All Timesteps RMSE,0,0,0,0,0,0,0.0263592,0.0399879,0,0,0,0.0276155,0.0200698,0.0197968,0,0,0.0156713,0,0.0200369,0.00526236,0.0387075,0.0194887,0.00827406,0.0134353,0.063915,0.0203449,0.014032,0.0101438,0.0155922,0.0120103,0.0148076,0.00913653,0.0131282,0.0334492,0.017114,0.00741472,0.0142735,0.0176956,0.00992579,0.0165518,0,0,0.0412299,0,0.0187877,0.0257302,0.0547551,0.0132898,0.0131935,0.0133065,0.0560931,0.0373158,0.0107066,0.036659,0.0131939,0.00958864,0.0085211,0.00624969,0.00795815,0.0114849,0.0171135,0.0396882,0.0143749,0.00894373,0.0439919,0.0162398,0,0,0,0.0405981
0,0,0,0,0,0,0,0.0249503,0.0385295,0,0,0,0.0140341,0.0199317,0.0145606,0,0,0.0142239,0,0.0200969,0.0040113,0.0385275,0.0191545,0.0073474,0.0078272,0.0598748,0.0186726,0.00538037,0.00602419,0.0182262,0.01324,0.0128604,0.0110008,0.00731375,0.023582,0.0158515,0.00743092,0.0210489,0.0171129,0.0120383,0.0139759,0,0,0.0423942,0,0.0178818,0.0273171,0.0520142,0.0114659,0.0131614,0.0152474,0.0580862,0.0385729,0.0119551,0.0275214,0.014674,0.00806753,0.00815918,0.00908555,0.00315834,0.00724048,0.020473,0.040348,0.016686,0.00985007,0.0429939,0.0131554,0,0,0,0
1,0,0,0,0,0,0,0.0252512,0.038742,0,0,0,0.0105044,0.0198995,0.0130135,0,0,0.0143951,0,0.0200666,0.00395509,0.0386796,0.0184245,0.00739631,0.00724874,0.0602446,0.0187807,0.00423876,0.00554384,0.0171915,0.0129678,0.0123887,0.0105978,0.00831035,0.0198429,0.0157983,0.00745873,0.0199751,0.017094,0.0123186,0.0141774,0,0,0.0423383,0,0.0179671,0.0273206,0.0516497,0.0123757,0.0127407,0.0165172,0.0583415,0.0386454,0.0115778,0.0274081,0.0146279,0.00762365,0.00876515,0.00905316,0.00311422,0.0076819,0.0203626,0.0402798,0.0167279,0.00980013,0.0433536,0.013296,0,0,0,0
2,0,0,0,0,0,0,0.0254116,0.0388638,0,0,0,0.00751099,0.019918,0.0119973,0,0,0.014495,0,0.0200154,0.0039151,0.0391325,0.0178853,0.00767572,0.00730071,0.0603204,0.0187526,0.0038085,0.00565743,0.0161628,0.012465,0.0118091,0.0103263,0.00895118,0.0169617,0.0157974,0.00747777,0.0189465,0.0171302,0.0122487,0.0141348,0,0,0.0422283,0,0.0180581,0.0272589,0.0509098,0.0129925,0.0123791,0.0170813,0.058338,0.0386743,0.0107463,0.0276619,0.0141111,0.00660883,0.0089677,0.00885295,0.00280548,0.00796465,0.019872,0.0402463,0.0166946,0.00974108,0.0433578,0.0132146,0,0,0,0
3,0,0,0,0,0,0,0.0253523,0.0388137,0,0,0,0.00451176,0.0199632,0.0110886,0,0,0.0146737,0,0.0199441,0.00391414,0.0395739,0.0172709,0.00803171,0.00762215,0.0602657,0.0187356,0.00373918,0.00606451,0.0151868,0.0117652,0.011175,0.00996235,0.00956894,0.0139015,0.0158272,0.00747417,0.0178995,0.0171851,0.0120409,0.0139664,0,0,0.0420896,0,0.0181528,0.0271233,0.0501945,0.0135109,0.0120227,0.0171879,0.0582347,0.0385987,0.00980737,0.0279208,0.0135096,0.00542317,0.0092437,0.00862418,0.00257742,0.00838691,0.018949,0.0402041,0.0165893,0.00966403,0.0432324,0.013121,0,0,0,0
4,0,0,0,0,0,0,0.0250991,0.0387559,0,0,0,0.0023025,0.0199908,0.0102708,0,0,0.0149105,0,0.019859,0.00389475,0.0398079,0.0164421,0.00835552,0.00802517,0.0604771,0.0186478,0.00396743,0.00662975,0.0142063,0.0108381,0.0104088,0.00958929,0.0102508,0.0102607,0.0158884,0.00748327,0.0167396,0.0172376,0.0125477,0.0137576,0,0,0.0420134,0,0.0182232,0.0269783,0.0498464,0.0146418,0.0116384,0.0176091,0.0583836,0.0384816,0.00892405,0.0280548,0.013328,0.00471189,0.0100222,0.00891423,0.00242895,0.0091149,0.0177911,0.0401976,0.0164554,0.00948845,0.043208,0.013056,0,0,0,0
5,0,0,0,0,0,0,0.0246311,0.0387429,0,0,0,0.00459518,0.0199848,0.00951169,0,0,0.0151974,0,0.0197974,0.00388654,0.0397901,0.0154528,0.00865171,0.00833296,0.0610964,0.0184434,0.00455323,0.0072892,0.013323,0.00961836,0.00939146,0.00925892,0.010991,0.00657211,0.0159796,0.0075163,0.014397,0.0172827,0.0141007,0.0135219,0,0,0.0419433,0,0.018278,0.0268414,0.0499404,0.0154391,0.0112689,0.0187652,0.0587937,0.038263,0.00811499,0.0281549,0.0138349,0.00536006,0.0106407,0.00967325,0.00249796,0.00942201,0.017402,0.0402382,0.0162784,0.00930636,0.0433023,0.0129411,0,0,0,0
6,0,0,0,0,0,0,0.024261,0.0387224,0,0,0,0.00854463,0.0199654,0.00922927,0,0,0.01535,0,0.01978,0.00389419,0.0396996,0.0144474,0.00898705,0.00863925,0.0617437,0.0180916,0.00551007,0.00795638,0.0126191,0.00822234,0.00831041,0.00888292,0.0117875,0.00550119,0.0160089,0.00755897,0.010623,0.0173013,0.0143462,0.013245,0,0,0.0417965,0,0.0182898,0.0266866,0.0499218,0.0153563,0.0111784,0.0196769,0.0590978,0.0379416,0.00741835,0.0283027,0.0144916,0.00650494,0.00994235,0.00994,0.00264063,0.00811723,0.0173245,0.0402448,0.0160841,0.00915488,0.0433242,0.0125493,0,0,0,0
7,0,0,0,0,0,0,0.0240552,0.0386461,0,0,0,0.0122556,0.0199297,0.00960609,0,0,0.0152394,0,0.0197898,0.00389792,0.0397289,0.0135039,0.00940465,0.00914304,0.0622537,0.0177129,0.00667311,0.00839647,0.0120849,0.00712553,0.00777563,0.00852224,0.0125194,0.00772316,0.0158209,0.00760438,0.00708268,0.0173137,0.0126083,0.0129763,0,0,0.0416049,0,0.0183301,0.0264976,0.0493162,0.0146928,0.0113338,0.0192708,0.0593216,0.0376017,0.00700137,0.0286218,0.0145283,0.00698963,0.0083789,0.00916887,0.00272098,0.00703572,0.0163634,0.0401641,0.015949,0.00910471,0.043309,0.0120013,0,0,0,0
8,0,0,0,0,0,0,0.0239462,0.0385254,0,0,0,0.015107,0.019883,0.0106897,0,0,0.0149168,0,0.0197966,0.00397098,0.0398725,0.0126849,0.00969151,0.00992217,0.062598,0.0174534,0.00789725,0.00882407,0.0116356,0.00647073,0.00793405,0.00827975,0.0131032,0.010303,0.0155492,0.00763756,0.00707615,0.0173051,0.0105758,0.0127695,0,0,0.0414637,0,0.0183892,0.0263874,0.0486572,0.0138859,0.011505,0.0176154,0.0595782,0.0374311,0.00720522,0.0292773,0.0138174,0.00680945,0.00695386,0.00775696,0.00253683,0.00680856,0.015455,0.0400529,0.015819,0.00949799,0.0433784,0.01166,0,0,0,0.0064417
