Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTOE,LUPA,LWRA,R5HD,RANK,RASI,RBAK,RBHD,RELB,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RWRA,STRN,T10,x71,x72,x70,R5FT,LHEE,L5HD,REAR,RHEE,RFHD,RUPA,LTIBP,LTIBI,LTHI,LWRB
All Timesteps RMSE,0,0,0,0,0,0,0.0540131,0.0393848,0,0,0,0.0317172,0.0239752,0.06628,0,0,0.0299943,0,0.0202139,0.01093,0.0358479,0.0101935,0.01302,0.0402998,0.0295162,0.0124333,0.012121,0.0143871,0.012481,0.0152291,0.0355395,0.0282055,0.00790818,0.0880902,0.0145043,0.0172947,0.0603755,0,0.0995635,0.0728837,0.0808742,0.0601408,0.0133573,0.0129125,0.0357742,0.0799717,0.010801,0.0368956,0.0136095,0.0109788,0.0077014,0.00548583,0.00754569,0.0111216,0.0181266,0.0635234,0.0426935,0.0503744,0,0,0,0.0145143,0.0234083,0.0187989,0,0.0130927,0,0.0644524,0.0115034,0.0103447,0.00726459,0.0111246
0,0,0,0,0,0,0,0.0363032,0.027878,0,0,0,0.0283767,0.0392634,0.0699321,0,0,0.017409,0,0.0125872,0.0122933,0.0370836,0.0123398,0.0135324,0.0344954,0.0207642,0.00722743,0.00831702,0.0127879,0.0179059,0.0181862,0.0317925,0.0144663,0.0122462,0.206578,0.126753,0.0105201,0.0372871,0,0.231882,0.172596,0.188896,0.053195,0.00876801,0.0176808,0.0381491,0.0568401,0.0162132,0.0400844,0.0190086,0.0185674,0.0113545,0.0103441,0.0189843,0.0228821,0.0269258,0.143149,0.031267,0.0338673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.036098,0.0276693,0,0,0,0.0273466,0.038507,0.0696336,0,0,0.0172682,0,0.0127298,0.0126248,0.036738,0.0126168,0.0137989,0.0344708,0.0204608,0.00750776,0.00844752,0.0125124,0.0176339,0.0182282,0.0307905,0.0139815,0.0123633,0.206569,0.12402,0.0111184,0.0369658,0,0.231706,0.172652,0.188817,0.0524001,0.00948299,0.0156461,0.0380518,0.0569973,0.0160521,0.0391129,0.0177095,0.0173857,0.0107458,0.0102241,0.0175518,0.0219174,0.0251135,0.143218,0.0311155,0.0336461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0355919,0.0274011,0,0,0,0.0265559,0.0377721,0.0693177,0,0,0.0173632,0,0.0127832,0.012794,0.0360754,0.0127784,0.0136927,0.0348998,0.0200143,0.00727283,0.00825722,0.0125379,0.0172876,0.0183993,0.0300311,0.0137299,0.0124415,0.206598,0,0,0.0364073,0,0.231393,0.172658,0.18869,0.052863,0.0106144,0.0131759,0.0378646,0.0568957,0.0148739,0.0352684,0.0149216,0.014768,0.0212669,0,0.0281892,0.0321469,0.00940654,0.143235,0.0309687,0.0332547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0.0359922,0.0279,0,0,0,0.0265254,0.0371899,0.0692325,0,0,0.0174309,0,0.0127901,0.0128524,0.0360487,0.0122872,0.0135169,0.0351668,0.0201407,0.00711011,0.00832042,0.0124171,0.017137,0.0182573,0.0297325,0.0139258,0.0124333,0.206668,0,0.011543,0.0366623,0,0.231126,0.172704,0.188675,0.0511368,0.0106752,0.0106642,0.0381588,0.0576667,0.0149525,0.0358901,0.0141396,0.0136391,0.00937613,0.0057924,0.0120573,0.0183058,0.021479,0.143529,0.0315836,0.0333739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.0365502,0.0284103,0,0,0,0.0260776,0.0365408,0.0691733,0,0,0.0175642,0,0.0126371,0.012789,0.0359439,0.0123564,0.0134116,0.0353255,0.0204266,0.00683921,0.00841414,0.0124286,0.0170255,0.0187227,0.0291024,0.0142552,0.0123347,0.206776,0.0151094,0.0116124,0.0372332,0,0.230883,0.172719,0.188617,0.0511096,0.0104903,0.0112658,0.0384086,0.0582276,0,0.0355615,0.0140759,0.0132257,0.00761843,0.00441339,0.00993025,0.0162455,0.0211182,0.144006,0.0322155,0.0338195,0,0,0,0.010698,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.0369402,0.0287818,0,0,0,0.0219324,0.0311701,0.0693082,0,0,0.017834,0,0.0124367,0.0126823,0.0358679,0.0127151,0.013495,0.0354872,0.0206076,0.00661537,0.00849271,0.0120761,0.0160849,0.0178714,0.0256698,0.0146451,0.0122212,0.206826,0.0117301,0.0116723,0.0376733,0,0.230643,0.172751,0.188549,0.0510814,0.0106765,0.0102361,0.038301,0.0585563,0,0.0344227,0.0132517,0.0122524,0.00682103,0.00423901,0.00879307,0.0137996,0.02048,0.144045,0.0325802,0.0341273,0,0,0,0.0100499,0.0345181,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0.0343617,0.0305791,0,0,0,0.0216053,0.0302236,0.069037,0,0,0.0338193,0,0.0212007,0.00959853,0.0357967,0.0125349,0.0128797,0.0361324,0.0224754,0.00589452,0.00840009,0.0120477,0.01606,0.0172009,0.0260484,0.0276292,0.00826157,0.20642,0.00931171,0.0116556,0.0350917,0,0.228828,0.17326,0.18763,0.0510247,0.0106745,0.00964776,0.0387247,0.0585607,0.0148611,0.0333251,0.0126177,0.0110427,0.00618767,0.00449747,0.00809918,0.0112998,0.0184634,0.144586,0.0343422,0.0313535,0,0,0,0.00936329,0.0335259,0.0189861,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0.0350654,0.0306912,0,0,0,0.0213517,0.0297661,0.0684295,0,0,0.034835,0,0.0211405,0.0105782,0.0356806,0.0124612,0.0126037,0.0363391,0.0229691,0.00534241,0.00831343,0.0120426,0.0160232,0.0168694,0.0258148,0.0284892,0.0082931,0.206531,0.00907871,0.0120478,0.0356158,0,0.228901,0.173083,0.187757,0.0509491,0.0111083,0.00925675,0.0385952,0.0588598,0.0146053,0.0319284,0.0121878,0.00970013,0.00560608,0.00444306,0.00694747,0.00902209,0.0164281,0.144586,0.0343538,0.0316598,0,0,0,0.00861696,0.0329811,0.0188538,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0.035615,0.0309588,0,0,0,0.0210758,0.0295149,0.0680846,0,0,0.0351312,0,0.0211084,0.0108993,0.0355863,0.0122338,0.0123317,0.0364769,0.0232751,0.0049056,0.00827292,0.0120389,0.0159793,0.0168069,0.0255552,0.0287564,0.00826407,0.20659,0.00900002,0.0123462,0.0360149,0,0.228962,0.173017,0.187772,0.0509968,0.0112724,0.00955996,0.0385399,0.0591999,0.0145316,0.0306229,0.0124764,0.00899905,0.00484769,0.00422286,0.00567386,0.00664804,0.0139054,0.144578,0.0346132,0.0318856,0,0,0,0.00768796,0.0323503,0.0189045,0,0,0,0,0,0,0,0
