Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,x70,x71,x72,LTIBP,RWRB,RASI,T10,x73,LILC,LTHIA
All Timesteps RMSE,0,0,0,0,0,0,0.0096862,0.0149514,0,0,0,0.0268173,0.018371,0.0197254,0,0,0.00518248,0,0.0227164,0.00253626,0.0369983,0.0237641,0.00927196,0.0149648,0.00589683,0.0522074,0.0079565,0.0203182,0.0119199,0.013872,0.00680183,0.0303387,0.0035597,0.00782966,0.0170532,0.0212045,0.0138563,0.0150627,0,0,0.0109522,0,0.0226982,0.00757439,0.0538215,0.0204072,0.0282875,0.0136686,0.00626316,0.0377449,0.00757251,0.0442076,0.0134658,0.00986219,0.00884477,0.00814425,0.00957862,0.0133547,0.0171024,0.0191693,0.00694969,0.0174151,0,0,0,0.0194889,0.00106356,0.051286,0.0114508,0,0.0267104,0.00968379
0,0,0,0,0,0,0,0.0102878,0.0151235,0,0,0,0.026519,0.0189125,0.0238835,0,0,0.010035,0,0.022256,0.0046674,0.0333477,0.0254471,0.0114041,0.0286563,0.00654299,0.0641208,0.00898466,0.0248761,0.0114979,0.00747645,0.00664371,0.0310008,0.00392184,0.00785715,0.0190273,0.0206554,0.0113034,0.0150445,0,0,0.0229356,0,0.0223709,0.0144987,0.0487833,0.0158434,0.0168149,0.00345874,0.00859795,0.0454739,0.00594352,0.0340387,0.0111499,0.0100361,0.0148998,0.0154025,0.0146352,0.0181161,0.0180502,0.0291252,0.0144714,0.0200216,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0109809,0.0149863,0,0,0,0.0271411,0.0189154,0.0248644,0,0,0.00913457,0,0.0222438,0.00432406,0.0333757,0.0266188,0.0121659,0.0292803,0.00615589,0.064141,0.00928184,0.0249281,0.0110872,0.0075336,0.00733629,0.0289364,0.00381445,0.00768591,0.0236821,0.0206055,0.0121666,0.0154641,0,0,0.02203,0,0.0223343,0.0139672,0.0489504,0.0165592,0.0178407,0.0047608,0.00947929,0.0443208,0.00668512,0.0330448,0.0124633,0.0120937,0.0160783,0.0167934,0.0157175,0.0197684,0.0234826,0.0284039,0.0137302,0.0195609,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.010177,0.0149704,0,0,0,0.0216652,0.0190663,0.0118773,0,0,0.00843711,0,0.022253,0.00402628,0.0330192,0.0133126,0.00609084,0.0289405,0.00779744,0.0671307,0.00748026,0.0254671,0.00857188,0.00746297,0.00156735,0.0268814,0.00344609,0.00748361,0.0281724,0.0205746,0.0127888,0.0148716,0,0,0.020452,0,0.022253,0.0130677,0.0500571,0.0179425,0.0198382,0.00604875,0.0109594,0.0428376,0.00786813,0.0321803,0.0136829,0.0146559,0.0172526,0.0176967,0.0167079,0.0220995,0.0291976,0.0268183,0.0137175,0.0193975,0,0,0,0.0172361,0,0,0,0,0,0
3,0,0,0,0,0,0,0.00997865,0.0150312,0,0,0,0.0222901,0.0192078,0.0117492,0,0,0.00806051,0,0.0222425,0.00400649,0.0332519,0.0135008,0.00598429,0.0288131,0.00831133,0.0670045,0.00753035,0.0254417,0.00853956,0.00765314,0.00160452,0.0289524,0.00322,0.0073298,0.0302087,0.0205968,0.0135451,0.014774,0,0,0.0199759,0,0.0222732,0.0128264,0.0501815,0.0189539,0.019838,0.00694664,0.0109151,0.0423465,0.00814115,0.0318276,0.0144972,0.0155654,0.018397,0.0188745,0.0176785,0.023319,0.0317449,0.0264468,0.0137685,0.0195335,0,0,0,0.0171992,0,0,0,0,0,0
4,0,0,0,0,0,0,0.00970419,0.0151217,0,0,0,0.0225789,0.019195,0.0117026,0,0,0.00780546,0,0.0221072,0.00394584,0.0332934,0.0133982,0.00571029,0.0288333,0.0065912,0.0669224,0.00738828,0.0253261,0.00860918,0.00763972,0.00164006,0.0301022,0.00293304,0.00716242,0.030937,0.0206114,0.0141692,0.014512,0,0,0.0196817,0,0.0223102,0.0126054,0.0504087,0.0198083,0.0198653,0.0075792,0.0108218,0.0417356,0.00835786,0.0317549,0.014856,0.0157861,0.0192963,0.0197173,0.0183529,0.023808,0.0326401,0.0260766,0.0137047,0.0201576,0,0,0,0.0173339,0,0,0,0,0,0
5,0,0,0,0,0,0,0.00948832,0.0152253,0,0,0,0.0226447,0.0191358,0.0115713,0,0,0.00765252,0,0.0220349,0.00378341,0.033382,0.01321,0.0052931,0.028886,0.00601485,0.0668627,0.00707222,0.0250898,0.00867562,0.0076326,0.00168328,0.0306496,0.00273027,0.00707274,0.0304192,0.0206034,0.0144689,0.0142478,0,0,0.019386,0,0.0223132,0.0124335,0.0504441,0.0199472,0.0197453,0.00783679,0.0107048,0.0411521,0.00828617,0.0318491,0.0148315,0.0156212,0.019485,0.0200755,0.0185047,0.0233263,0.0319504,0.0256471,0.0135845,0.0205408,0,0,0,0.0174957,0,0,0,0,0,0
6,0,0,0,0,0,0,0.00930746,0.0152177,0,0,0,0.0231028,0.0190961,0.0110058,0,0,0.00751043,0,0.0220591,0.00368021,0.0332648,0.0129344,0.00497725,0.0290264,0.00620573,0.0668555,0.0067402,0.0248116,0.00859773,0.00764749,0.00175155,0.0310547,0.00262973,0.00712365,0.0292775,0.0205857,0.0144357,0.0139945,0,0,0.0191389,0,0.0223148,0.0123464,0.050517,0.0196786,0.0197542,0.00764849,0.0104835,0.0404608,0.00808109,0.0322166,0.0144423,0.0154101,0.0191696,0.0200254,0.0183112,0.0225427,0.0304513,0.0252626,0.0134456,0.0202621,0,0,0,0.0176492,0,0,0,0,0,0
7,0,0,0,0,0,0,0.00925198,0.0153527,0,0,0,0.0234373,0.019143,0.010555,0,0,0.00753191,0,0.0220769,0.00370344,0.0332253,0.0126124,0.00470561,0.0293128,0.00638253,0.0669528,0.00652088,0.0245138,0.00853684,0.00772307,0.00188067,0.03139,0.00254919,0.00714203,0.0266032,0.0205751,0.0140833,0.0139471,0,0,0.0189308,0,0.0223482,0.012191,0.0505532,0.0190176,0.0194826,0.00711062,0.010511,0.040306,0.00764684,0.0326819,0.013815,0.0144297,0.0184416,0.0195795,0.017836,0.0213425,0.0271525,0.0252058,0.0132731,0.0200145,0,0,0,0.0177832,0,0,0,0,0,0
8,0,0,0,0,0,0,0.00924082,0.0155937,0,0,0,0.0232324,0.0191614,0.00999409,0,0,0.00768751,0,0.0219863,0.00377307,0.0333069,0.0124038,0.00428983,0.0297287,0.00636447,0.067111,0.00631677,0.0242191,0.00861317,0.00775636,0.00202063,0.0316956,0.00245224,0.00708999,0.0229585,0.0208798,0.0134325,0.0139846,0,0,0.0184059,0,0.0219495,0.0118476,0.0504492,0.017816,0.0189744,0.00641004,0.010655,0.0406936,0.00698197,0.0331924,0.0130041,0.0130201,0.0174092,0.0188092,0.01691,0.0197563,0.0227742,0.0250931,0.0120333,0.0200149,0,0,0,0.0178955,0.00273665,0,0,0,0,0
