Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x72,x73,LHEE,LILC,LTHI,R5HD,RWRB
All Timesteps RMSE,0,0,0,0,0,0,0.0157942,0.0173804,0,0,0,0.0357072,0.0193814,0.0234939,0,0,0.0124691,0,0.0220645,0.00439097,0.0348342,0.0139422,0.00886045,0.00979998,0.0133349,0.00965856,0.0176367,0.0112412,0.0149008,0.00782179,0.0174474,0.040823,0.0113416,0.00785376,0.0171145,0.0116747,0.0255322,0,0,0.0280743,0,0.0202652,0.0198553,0.0543955,0.0164906,0.0294347,0.0149032,0.00434332,0.0658551,0.0057528,0.0443323,0.0123765,0.00832842,0.00911368,0.00801585,0.00788486,0.0122806,0.0198931,0.0390358,0.0191275,0.0202065,0.0189592,0,0,0,0.0250543,0.0234021,0.0115915,0.0197279,0.00857513
0,0,0,0,0,0,0,0.0144376,0.0181337,0,0,0,0.0424901,0.0192325,0.0211092,0,0,0.0183907,0,0.0215586,0.00716141,0.031018,0.00886604,0.0221619,0.00714627,0.0141281,0.00473286,0.0213327,0.00986595,0.0152718,0.00691322,0.0155634,0.0558678,0.013236,0.00801802,0.0487971,0.0217467,0.0206518,0,0,0.0402074,0,0.00463845,0.0298443,0.0526921,0.0189373,0.0221429,0.028782,0.00737898,0.0558688,0.00903809,0.0344757,0.0266773,0.0220799,0.014161,0.0178003,0.0104945,0.0171942,0.0466156,0.044659,0.0247042,0.019724,0.0136632,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0133654,0.0184791,0,0,0,0.0413174,0.0191648,0.0199229,0,0,0.0176422,0,0.0215083,0.00701782,0.0311912,0.00908407,0.0235916,0.00859697,0.0143138,0.00507475,0.0210329,0.00924607,0.0145796,0.00630092,0.0153441,0.0544647,0.0133813,0.0079295,0.0445817,0.0193652,0.020237,0,0,0.0401184,0,0.00466999,0.0298743,0.0529321,0.0156862,0.0225527,0.0251181,0.00840459,0.056281,0.00923262,0.033008,0.0240983,0.0201814,0.0137303,0.0177311,0.0102099,0.0147518,0.0432487,0.0449588,0.025229,0.0202067,0.013683,0,0,0,0.019003,0,0,0,0
2,0,0,0,0,0,0,0.0132178,0.0187286,0,0,0,0.0413859,0.0190818,0.0191048,0,0,0.0172517,0,0.0214466,0.00701104,0.0311619,0.00983526,0.0242559,0.00916669,0.0152085,0.005649,0.0209911,0.00896147,0.0145291,0.00599959,0.0150869,0.0548505,0.0134428,0.00789745,0.0420207,0.0190105,0.0202944,0,0,0.0400726,0,0.00470298,0.0301737,0.0527223,0.0157179,0.0226205,0.0248437,0.00865339,0.056841,0.00888269,0.0330915,0.0232157,0.0188879,0.0133517,0.0168528,0.00919991,0.0131145,0.0408309,0.0451158,0.0255887,0.0204935,0.0138868,0,0,0,0.0180455,0,0,0,0
3,0,0,0,0,0,0,0.0133235,0.0189774,0,0,0,0.0413726,0.0189915,0.0180113,0,0,0.0168425,0,0.0214242,0.00703318,0.0311507,0.0110308,0.0247995,0.00944645,0.016314,0.00636821,0.02105,0.00878845,0.0147286,0.00603541,0.0145619,0.0547443,0.0135486,0.00791734,0.0383889,0.0182835,0.0204943,0,0,0.040131,0,0.00472534,0.0303253,0.0524218,0.0155535,0.0223649,0.0241642,0.00860968,0.0574232,0.00824759,0.0334408,0.022045,0.0171319,0.0124337,0.0158471,0.00767416,0.0112342,0.0370911,0.0453033,0.0259783,0.0207981,0.0141107,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.0118134,0.0165456,0,0,0,0.0451043,0.0184005,0.0209635,0,0,0.0136585,0,0.0219029,0.00491896,0.031951,0.0105347,0.00609431,0.00753825,0.0157394,0.00441941,0.0172735,0.0125371,0.0182725,0.00798911,0.0123859,0.0606919,0.0116948,0.00860736,0.0331477,0.0192534,0.0216781,0,0,0.0433716,0,0.00443329,0.031709,0.0479261,0.0194397,0.0296694,0.0263892,0.00222409,0.0586209,0.00487619,0.0339467,0.0209023,0.0139798,0.013354,0.0156569,0.00561959,0.0097597,0.0314162,0.0476988,0.0281183,0.0187118,0.0148397,0,0,0,0.0207875,0.0268187,0,0,0
5,0,0,0,0,0,0,0.0119089,0.0168834,0,0,0,0.0442112,0.0184573,0.0193743,0,0,0.0136776,0,0.0218527,0.00515641,0.0319048,0.0120704,0.00678098,0.00764266,0.0169859,0.00533992,0.0169246,0.0122405,0.0183345,0.00763882,0.0120699,0.0602059,0.0116379,0.00854206,0.0300725,0.0192918,0.0220262,0,0,0.0433812,0,0.00443228,0.0315291,0.0470829,0.0225176,0.0297425,0.0279984,0.00158049,0.0594816,0.00398329,0.0350141,0.0210488,0.0131121,0.0133159,0.0135382,0.00311465,0.0108035,0.0280614,0.0478339,0.0286726,0.0192273,0.0151118,0,0,0,0.0200567,0.027256,0,0,0
6,0,0,0,0,0,0,0.0123727,0.0175541,0,0,0,0.0426673,0.0183914,0.0176937,0,0,0.0134558,0,0.0217867,0.00503594,0.0324795,0.0133655,0.00749825,0.00751613,0.0177268,0.00625787,0.0164075,0.0119394,0.0183185,0.00739602,0.0116718,0.0589469,0.0113122,0.00859735,0.0211352,0.016098,0.0227585,0,0,0.0436521,0,0.00451005,0.0321189,0.0469738,0.0229152,0.0289877,0.0227225,0.0014235,0.0611359,0.00328773,0.035099,0.0174406,0.0104221,0.0123818,0.012804,0.00335896,0.00982884,0.0213043,0.0483268,0.0264102,0.019986,0.0156463,0,0,0,0.0194827,0.0279523,0,0,0
7,0,0,0,0,0,0,0.0146567,0.0233186,0,0,0,0.0399825,0.0184412,0.0154261,0,0,0.0140505,0,0.0215418,0.00600629,0.032832,0.0146673,0.00852046,0.00905187,0.0185808,0.00744303,0.0159336,0.0113304,0.0178636,0.00690457,0.011476,0.0564754,0.0122689,0.00835619,0.0170728,0.0176805,0.0276628,0,0,0.0444126,0,0.00451208,0.0321828,0.0469765,0.0257603,0.0282552,0.0229757,0.000830049,0.0744661,0.00197732,0.03584,0.0172585,0.0102226,0.014539,0.0128788,0.0044957,0.012543,0.0221068,0.053776,0.0280192,0,0.0184843,0,0,0,0.0187712,0.02885,0,0,0
8,0,0,0,0,0,0,0.0124716,0.0186435,0,0,0,0.035768,0.0182187,0.0128825,0,0,0.013623,0,0.021613,0.00527477,0.0333836,0.0155917,0.008337,0.00791526,0.0189967,0.00860803,0.0152483,0.010309,0.016686,0.00640751,0.0113948,0.052111,0.0117487,0.00860705,0.0156954,0.0199915,0.0231557,0,0,0.0434944,0,0.00448631,0.0318136,0.0472777,0.0262124,0.0273452,0.0251389,0.00133351,0.0630921,0.00138415,0.0366251,0.0182194,0.0113324,0.0166919,0.0133314,0.00652439,0.0159917,0.0264723,0.048663,0.0272179,0.0209277,0.0156159,0,0,0,0.017935,0.0292388,0,0,0
