Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x70,x71,x72,RHEE,LTHI,R5HD,RWRB
All Timesteps RMSE,0,0,0,0,0,0,0.0181503,0.021883,0,0,0,0.0364834,0.0192302,0.0233632,0,0,0.00814271,0,0.0224356,0.00307897,0.0359234,0.0245955,0.0222181,0.0146999,0.00821795,0.0057251,0.013688,0.00988939,0.0175131,0.0116802,0.0154203,0.00798978,0.0173229,0.0413379,0.00691714,0.00669088,0.0140996,0.0125697,0.0296634,0,0,0.0194311,0,0.0208258,0.014518,0.0561392,0.0300393,0.0146992,0.00605964,0.0669876,0.00686609,0.0449775,0.0125633,0.00842796,0.0093051,0.00810579,0.00925638,0.0131038,0.0154774,0.0334173,0.0115441,0.0246258,0.0225722,0,0,0,0.0181353,0.0115541,0.0205929,0.00192501
0,0,0,0,0,0,0,0.0151798,0.0190881,0,0,0,0.0557198,0.0200314,0.0359909,0,0,0.00878325,0,0.0215781,0.00543895,0.034597,0.0323928,0.0258769,0.00949675,0.00391416,0.0060175,0.00512442,0.00951178,0.0133415,0.0151371,0.0212736,0.0112225,0.0216008,0.0605613,0.00839456,0.00607483,0.0170336,0.00853558,0.0246683,0,0,0.0359743,0,0.00418333,0.0269978,0.0463463,0.0259478,0.0151635,0.00370129,0.0581511,0.00507043,0.0432843,0.010246,0.00782466,0.0075596,0.00784747,0.00762631,0.0084273,0.0184639,0.0424489,0.027568,0.0208793,0.0177965,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0137985,0.0191367,0,0,0,0.0567407,0.0196002,0.0381114,0,0,0.00755233,0,0.0214725,0.00448173,0.0339304,0.0349632,0.0261642,0.0089304,0.00290264,0.00522417,0.00565144,0.00878967,0.014338,0.0169504,0.0237904,0.0121982,0.0218265,0.0616304,0.00772413,0.00599003,0.0174637,0.0084455,0.023849,0,0,0.03594,0,0.00418612,0.0270713,0.046098,0.0271286,0.0148968,0.0027961,0.0580052,0.00470902,0.042825,0.00972478,0.00731293,0.00750453,0.00779888,0.00795486,0.00884066,0.0184916,0.042506,0.0284331,0.0207762,0.0172556,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0135845,0.0193362,0,0,0,0.0563121,0.0199557,0.0397097,0,0,0.00748411,0,0.0216705,0.00451059,0.0332858,0.0371022,0.0259763,0.00870981,0.00254601,0.00486521,0.00612803,0.00829477,0.0150452,0.0182129,0.0255676,0.0128941,0.0219336,0.0616156,0.00774673,0.00593275,0.0173358,0.0082424,0.023812,0,0,0.0361556,0,0.00427336,0.0274088,0.0459233,0.0277394,0.0144693,0.0027024,0.0583093,0.00451417,0.0425957,0.00941664,0.00718829,0.00725869,0.0076126,0.0078746,0.00881907,0.01838,0.0426875,0.0246165,0.0206946,0.0172242,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0.0136071,0.0194724,0,0,0,0.055552,0.0200779,0.0405545,0,0,0.00737967,0,0.0216866,0.00446344,0.0326078,0.0387124,0.0257597,0.00817991,0.00245361,0.00466852,0.0064117,0.00805853,0.0153662,0.0191903,0.0266131,0.0132493,0.0219103,0.0609001,0.00773184,0.00592902,0.017165,0.00797098,0.0238734,0,0,0.0362238,0,0.00427453,0.0273247,0.0458548,0.0281613,0.0139693,0.00289603,0.0586778,0.00450881,0.0424577,0.00923637,0.00733434,0.00687927,0.0073449,0.00756129,0.00853898,0.0178071,0.0429363,0.0249284,0.020648,0.0172349,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.0135777,0.0196582,0,0,0,0.0546338,0.0197679,0.040462,0,0,0.00683242,0,0.0215374,0.00394322,0.0318836,0.0395349,0.0255268,0.00739969,0.00235012,0.00475452,0.00651636,0.0079087,0.0154075,0.019269,0.026731,0.0130888,0.0217564,0.0596215,0.00745505,0.00594723,0.0155374,0.00568308,0.0239222,0,0,0.0362807,0,0.00427704,0.0273883,0.0462294,0.0286132,0.0133071,0.00308517,0.0590864,0.00471191,0.0421526,0.00901404,0.00773533,0.00659037,0.00779141,0.00644633,0.00730233,0.0159558,0.0432643,0.0252314,0.0211072,0.0172223,0,0,0,0.0102049,0,0,0
5,0,0,0,0,0,0,0.013559,0.0199293,0,0,0,0.0535161,0.0192916,0.039554,0,0,0.00630205,0,0.0213451,0.00342482,0.0310391,0.0391571,0.0251552,0.00649335,0.00229907,0.00499975,0.00636182,0.00780394,0.0152592,0.0179299,0.0259145,0.0124441,0.0214066,0.0583126,0.00725548,0.00595115,0.0167926,0.00799618,0.0240777,0,0,0.036303,0,0.00427829,0.0273538,0.0464374,0.0290532,0.0135417,0.00335193,0.0596824,0.0052633,0.0421856,0.0096903,0.00773802,0.00622787,0.00657859,0.00702912,0.00805493,0.01663,0.0435556,0.0255113,0.0215133,0.0172942,0,0,0,0,0.00718031,0,0
6,0,0,0,0,0,0,0.0136122,0.0202622,0,0,0,0.0521955,0.0193083,0.0381914,0,0,0.00621294,0,0.0213973,0.0032836,0.0300715,0.0379278,0.0248769,0.00539166,0.00234659,0.00504192,0.00613187,0.00782046,0.0151403,0.0171989,0.0243896,0.011947,0.0210363,0.0569456,0.00728434,0.00597866,0.0153956,0.00585492,0.0243685,0,0,0.0363912,0,0.00427732,0.0273003,0.0473164,0.0296137,0.0130213,0.00352039,0.0604004,0.00547271,0.0417934,0.00969481,0.00833456,0.00573969,0.00720967,0.00579373,0.00670202,0.0154515,0.0438663,0.0259804,0.0218329,0.0174613,0,0,0,0.0110978,0.00717456,0,0
7,0,0,0,0,0,0,0.0137227,0.020576,0,0,0,0.0507562,0.0191085,0.0365392,0,0,0.00616567,0,0.0213198,0.0031471,0.0290576,0.0365583,0.0246533,0.00434108,0.00248665,0.00521608,0.00586887,0.0078929,0.014931,0.0167979,0.0220155,0.0113586,0.0205951,0.055344,0.00724401,0.00599621,0.0158461,0.00627253,0.0245748,0,0,0.0363242,0,0.00427603,0.0273982,0.0480967,0.0301282,0.0129332,0.00371509,0.061029,0.00574013,0.0416873,0.0100089,0.00869644,0.00520845,0.00704895,0.00563695,0.00662329,0.0151137,0.044093,0.0259003,0.0220892,0.0175404,0,0,0,0.0116357,0.00717021,0,0
8,0,0,0,0,0,0,0.0139574,0.020968,0,0,0,0.0492371,0.0194336,0.0347939,0,0,0.00632416,0,0.021662,0.00313264,0.028201,0.0353858,0.0244013,0.00373986,0.00276437,0.00527102,0.00596042,0.00818149,0.0147464,0.0163867,0.0201896,0.0102227,0.0200929,0.0536349,0.00722345,0.00606906,0.015988,0.00698438,0.0249259,0,0,0.0362952,0,0.0042753,0.0276168,0.0488097,0.0306172,0.0128681,0.00389857,0.0619107,0.00611502,0.0417303,0.0103686,0.00889328,0.00466131,0.00691994,0.00560912,0.0067909,0.0146591,0.0443706,0.026082,0.0224564,0.0177481,0,0,0,0.0126183,0.0072303,0,0
