Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LFIN
All Timesteps RMSE,0,0,0,0,0.0199579,0.0206527,0,0,0,0.0253067,0.0151145,0.0110716,0.0172153,0,0,0.0383373,0,0.0203099,0.0330999,0.0157803,0.0133523,0.0174915,0.0296112,0.0197618,0.00888853,0.0110416,0.0071247,0.0170031,0.0119226,0.0125409,0.0100932,0.0316395,0.0276579,0.0271507,0.0153129,0.010731,0.0140618,0.00966223,0.0185182,0.023004,0.0269322,0,0,0.0146345,0,0.0123023,0.0112805,0.0401936,0.018412,0.0201382,0.0284526,0.0260173,0.0359044,0.00798149,0.0114596,0.0101552,0.00965387,0.0210955,0.0411128,0.0200436,0.0215046,0.0156848,0.0158912,0.0145561,0.0097222,0.0237981,0.0221766,0,0,0,0.0291581
0,0,0,0,0,0.0338543,0.042427,0,0,0,0.00632271,0.014358,0.0169266,0.0192845,0,0,0.0785302,0,0.0487267,0.0283707,0.0200887,0.015387,0.0285103,0.0450693,0.0648308,0.00744013,0.00385881,0.00622363,0.0217759,0.00920999,0.00603256,0.00489299,0.0350815,0.00697075,0.0305248,0.0080868,0.0507761,0.037018,0.0153009,0.0134549,0.0278702,0.0267462,0,0,0.0155702,0,0.0119567,0.0182751,0.0394126,0.0175717,0.0219613,0.0399141,0.0385251,0.0624607,0.00770481,0.00902089,0.0127176,0.0128645,0.0213175,0.0548935,0.0178376,0.0217654,0.0358788,0.0289701,0.0517331,0.0264983,0.0427726,0.0200858,0,0,0,0
1,0,0,0,0,0.0332579,0.0421328,0,0,0,0.00638999,0.0145085,0.0170004,0.0192263,0,0,0.075279,0,0.0465157,0.0283759,0.0202829,0.0154321,0.0282762,0.0442968,0.0640073,0.00743413,0.00400777,0.00600971,0.0217772,0.00909268,0.00590178,0.0049258,0.0352243,0.00670187,0.0306684,0.00829959,0.0502261,0.0374495,0.015402,0.0138125,0.0277052,0.0261445,0,0,0.0157833,0,0.0121024,0.0211942,0.0394558,0.0179233,0.0222834,0.039956,0.0379554,0.0619832,0.00755066,0.00910492,0.0127971,0.0127187,0.0215327,0.0550981,0.0180699,0.0219189,0.0361328,0.0282095,0.0576666,0.0280179,0.0424981,0.0193651,0,0,0,0
2,0,0,0,0,0.0333615,0.0420374,0,0,0,0.00633705,0.0149894,0.0169819,0.0190193,0,0,0.0752053,0,0.0466535,0.0283845,0.0204178,0.0154561,0.0281305,0.0435386,0.0635418,0.00736534,0.00404491,0.0059506,0.0217193,0.00911207,0.00593385,0.00500448,0.0353642,0.00677247,0.0309247,0.00846124,0.0510281,0.0373531,0.0154519,0.0138722,0.0274929,0.0263634,0,0,0.0150807,0,0.0121678,0.0224683,0.0394361,0.0178407,0.0224579,0.0399275,0.0371852,0.0614639,0.00739126,0.00916583,0.012795,0.0126873,0.0216424,0.0552049,0.0181719,0.0220134,0.0360278,0.0279169,0.0616172,0.0290894,0.04244,0.019417,0,0,0,0
3,0,0,0,0,0.0334589,0.0420029,0,0,0,0.00628971,0.0154757,0.0169902,0.0187074,0,0,0.0750497,0,0.0466934,0.0284127,0.0205466,0.0153927,0.0279723,0.0430157,0.0628727,0.00726851,0.00407871,0.00588781,0.0216696,0.00908321,0.00593653,0.00504702,0.035473,0.00681516,0.0311692,0.00863049,0.0517284,0.0371632,0.0153079,0.0139212,0.0271799,0.0265824,0,0,0.0141881,0,0.0122035,0.0236073,0.0393581,0.0178616,0.0224938,0.0398945,0.0364458,0.0605785,0.00735053,0.00920216,0.0128002,0.0125991,0.0217637,0.0553105,0.0182579,0.0220931,0.0357923,0.0274451,0.0655854,0.0301004,0.0425149,0.019451,0,0,0,0
4,0,0,0,0,0.0335216,0.04204,0,0,0,0.00627266,0.0159141,0.0170095,0.0182687,0,0,0.0748198,0,0.0467112,0.0283672,0.0206766,0.0152467,0.027781,0.0424373,0.0619877,0.00712835,0.00416015,0.00577731,0.0215683,0.00903878,0.00591795,0.00509127,0.0355868,0.00690173,0.0313963,0.00876777,0.0523824,0.0365147,0.0149649,0.0139084,0.0266481,0.0267345,0,0,0.0131678,0,0.0123339,0.0245879,0.0392333,0.0175232,0.0227951,0.0397273,0.0357309,0.0595827,0.00730077,0.00923825,0.0127909,0.0124757,0.0219497,0.055512,0.0183754,0.0222157,0.0351274,0.0268803,0.0694022,0.0311569,0.0427304,0.0194891,0,0,0,0
5,0,0,0,0,0.0334367,0.0421848,0,0,0,0.00629684,0.0162784,0.0170933,0.0176621,0,0,0.0743817,0,0.0466557,0.0283354,0.020895,0.0150676,0.0276239,0.0415134,0.060762,0.00694513,0.00416698,0.00571727,0.0213986,0.00905079,0.0059455,0.00516807,0.0357678,0.00720671,0.0317208,0.00885035,0.0531733,0.0354556,0.0147338,0.013863,0.0259919,0.026656,0,0,0.0122294,0,0.0127096,0.0253185,0.039056,0.0171438,0.0230984,0.0395032,0.0348923,0.0586099,0.0073616,0.00922731,0.0128106,0.0125667,0.0220952,0.055742,0.0184967,0.0223161,0.0339225,0.026268,0.0721669,0.032216,0.0431491,0.0193759,0,0,0,0
6,0,0,0,0,0.0338234,0.0427637,0,0,0,0.00630242,0.016301,0.0162995,0.018305,0,0,0.0736107,0,0.0462542,0.0285852,0.0200978,0.0164403,0.0282619,0.0391605,0.0596609,0.00694346,0.00262499,0.00668258,0.0212054,0.00895087,0.00583599,0.00451215,0.0351989,0.00968973,0.0325724,0.00912797,0.054194,0.0311433,0.0145215,0.0123811,0.026651,0.0272338,0,0,0.0109812,0,0.013383,0.025857,0.0385223,0.01432,0.0249963,0.0394393,0.0324257,0.056814,0.00771473,0.00937639,0.0135791,0.0138066,0.0211906,0.0549438,0.0174102,0.0215555,0.029221,0.0249637,0.0739256,0.0332535,0.0436143,0.0200921,0,0,0,0
7,0,0,0,0,0.0296698,0.0397068,0,0,0,0.006769,0.00897874,0.0173719,0.0192329,0,0,0.0624372,0,0.0307926,0.028193,0.0208888,0.0154317,0.0282028,0.044389,0.0648061,0.00737909,0.00459707,0.00578995,0.021805,0.00933805,0.00610412,0.005243,0.0355459,0.00632665,0.0428889,0.0310037,0.0505584,0.0363317,0.0149171,0.0137662,0.0271052,0.0227926,0,0,0.0129253,0,0.0137099,0.0262325,0.039845,0.0167239,0.0224855,0.0403438,0.0379448,0.0586418,0.00697163,0.00929266,0.012815,0.0123554,0.0222523,0.0554356,0.018433,0.0227165,0.0356778,0.0270167,0.0759958,0.0344893,0.0413098,0.0160856,0,0,0,0.0722212
8,0,0,0,0,0.0295873,0.0393382,0,0,0,0.00678706,0.00923055,0.0174077,0.0190365,0,0,0.0622169,0,0.0307645,0.0282944,0.0210272,0.0152632,0.0281919,0.0439649,0.0641425,0.00735365,0.00447341,0.00578665,0.0218285,0.00935999,0.00613089,0.00528228,0.035577,0.00642961,0.0432196,0.0314389,0.0503652,0.035213,0.0150177,0.0134776,0.0269556,0.0228801,0,0,0.0126774,0,0.0138225,0.0265098,0.0398341,0.016147,0.0227905,0.0404384,0.0374541,0.0576115,0.0070287,0.00931812,0.0129387,0.0124328,0.0222884,0.0553638,0.018296,0.0227421,0.0346403,0.0266438,0.0776401,0.0351521,0.0411419,0.0163238,0,0,0,0.0734849
