Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
All Timesteps RMSE,0,0,0,0,0.012541,0.0106806,0,0,0,0.0291991,0.0127853,0.0124402,0.0230235,0,0,0.0334358,0,0.0270681,0.016632,0.0327418,0.0132101,0.0123429,0.0197251,0.0364639,0.0166308,0.0100651,0.0114323,0.00598835,0.0187076,0.0109362,0.00996045,0.00822126,0.0362884,0.0355924,0.022856,0.0150947,0.0072382,0.01896,0.00944433,0.0187303,0.0285877,0.0111775,0,0,0.0143842,0,0.0144244,0.00925208,0.0419642,0.0201914,0.019171,0.0318624,0.0325874,0.0269071,0.00616466,0.0120999,0.0109475,0.0101059,0.0224889,0.0462859,0.0188201,0.0238626,0.0233104,0.0147444,0.00959915,0.00652809,0.0118849,0.013284,0,0,0
0,0,0,0,0,0.0157254,0.00738729,0,0,0,0.0282912,0.00985471,0.0134672,0.0239442,0,0,0.0145917,0,0.031593,0.00665207,0.029389,0.0139959,0.0148749,0.0239641,0.0370744,0.0069318,0.0102002,0.00931295,0.00309913,0.023236,0.00951227,0.00628509,0.00672688,0.0376971,0.0330261,0.00801068,0.017135,0.00642559,0.0166217,0.00707079,0.0212763,0.0312373,0.0150149,0,0,0.014283,0,0.0115268,0.00633706,0.0413908,0.0201138,0.0230837,0.0425434,0.0327213,0.00814232,0.00517827,0.0121357,0.0134268,0.011431,0.028277,0.0569976,0.0204195,0.0304896,0.0239979,0.00644607,0.00396618,0.00327114,0.0104212,0.0198217,0,0,0
1,0,0,0,0,0.015683,0.00720443,0,0,0,0.0283256,0.00975893,0.0134665,0.0241358,0,0,0.0149154,0,0.0318097,0.00668883,0.0293371,0.0139727,0.0148379,0.0240073,0.0375822,0.00719318,0.0102845,0.00920846,0.0030946,0.0232818,0.00942277,0.00625458,0.00669097,0.0376711,0.033056,0.00816166,0.0171958,0.00655464,0.0167375,0.0070557,0.0212198,0.031398,0.0148199,0,0,0.0142582,0,0.0115906,0.00628644,0.0414422,0.019974,0.0230305,0.0426502,0.0332526,0.00846892,0.00514399,0.0121339,0.0134517,0.0114777,0.0283331,0.0570029,0.0204897,0.0305605,0.0240346,0.00661956,0.00379207,0.00314917,0.0100413,0.0196557,0,0,0
2,0,0,0,0,0.0156538,0.00709855,0,0,0,0.0284371,0.00966514,0.0135463,0.0242676,0,0,0.0153199,0,0.0318711,0.00674292,0.0293912,0.0140328,0.0147553,0.0240379,0.0380129,0.00745649,0.0103397,0.00919092,0.00306149,0.0233853,0.0094279,0.00625495,0.00668769,0.0376545,0.0331454,0.00842377,0.0171879,0.00669438,0.0168951,0.0070264,0.0210679,0.0315836,0.0145891,0,0,0.0143512,0,0.0117121,0.00622606,0.0415548,0.0199383,0.0227315,0.0428244,0.0337599,0.00897225,0.00520834,0.0121621,0.0133977,0.0115899,0.0284304,0.0569527,0.0204498,0.0306913,0.0242312,0.00688074,0.00374847,0.00308511,0.00978675,0.0193111,0,0,0
3,0,0,0,0,0.0156564,0.00699785,0,0,0,0.0285557,0.00957455,0.0136063,0.0244427,0,0,0.0156433,0,0.0319973,0.00673061,0.0296324,0.0140505,0.0147645,0.024056,0.0384313,0.00775956,0.0103549,0.00927896,0.00306497,0.0234729,0.00942266,0.00627774,0.00667673,0.0376333,0.0332671,0.00870411,0.0172076,0.00682553,0.0168952,0.00702445,0.0211038,0.0316733,0.0144051,0,0,0.014415,0,0.0118038,0.00615085,0.0416093,0.019989,0.0226161,0.042833,0.0341899,0.00948058,0.0052236,0.0121859,0.0132817,0.0115848,0.0284671,0.0569598,0.0203415,0.0307385,0.0242644,0.00712471,0.00370016,0.00304665,0.00938472,0.0189005,0,0,0
4,0,0,0,0,0.0156469,0.00688397,0,0,0,0.0284441,0.00950403,0.0136472,0.0246161,0,0,0.0159728,0,0.0320901,0.00673841,0.0296566,0.0141257,0.0147228,0.0241945,0.0389239,0.00807949,0.0104569,0.00936096,0.0030863,0.0235764,0.00949008,0.00628204,0.00670399,0.0376484,0.0331339,0.00895887,0.0172266,0.00689937,0.0169296,0.00703354,0.0210592,0.0317695,0.0142323,0,0,0.0144319,0,0.0118443,0.00603975,0.0416024,0.0198651,0.0226142,0.0429366,0.0346066,0.00995457,0.00520887,0.0121513,0.0133715,0.0116305,0.0285006,0.0569212,0.020381,0.0307592,0.0242554,0.00733916,0.00360626,0.00292427,0.00894733,0.0186676,0,0,0
5,0,0,0,0,0.0155635,0.00683873,0,0,0,0.0284374,0.00941217,0.013683,0.0247885,0,0,0.0162899,0,0.0322468,0.00679828,0.0296508,0.0141581,0.0146644,0.0243131,0.0393598,0.0083306,0.0105051,0.00932022,0.00311849,0.0236506,0.0095013,0.00626828,0.00670152,0.0376222,0.0331461,0.00913762,0.0172561,0.00699693,0.0170775,0.00699215,0.0209375,0.0319454,0.0139774,0,0,0.0145493,0,0.0119029,0.0059674,0.0416476,0.0198023,0.0224039,0.043101,0.0350557,0.0105212,0.00523617,0.0121335,0.0134386,0.0117585,0.0285466,0.0568415,0.0204979,0.0308244,0.0244893,0.00761968,0.0034721,0.00267919,0.00866518,0.0184261,0,0,0
6,0,0,0,0,0.0155018,0.006842,0,0,0,0.0284258,0.00933535,0.0136482,0.0249184,0,0,0.0166509,0,0.0323109,0.00684958,0.0296975,0.0140864,0.0146694,0.0243028,0.0396728,0.00856294,0.010505,0.00926818,0.00313971,0.023668,0.00944344,0.0062402,0.00667542,0.0375733,0.0331605,0.00930556,0.0172555,0.00717137,0.0170568,0.00697153,0.0211127,0.0320617,0.0137165,0,0,0.014644,0,0.0119577,0.0059201,0.0416544,0.0201557,0.0223159,0.0430658,0.0353596,0.0110709,0.00522447,0.0122259,0.0134366,0.0117389,0.0285333,0.0568417,0.0206313,0.03085,0.0247293,0.00789659,0.00327128,0.00260019,0.0083773,0.0182163,0,0,0
7,0,0,0,0,0.0154573,0.00692123,0,0,0,0.0284207,0.00924667,0.0136278,0.0250253,0,0,0.0170129,0,0.0323552,0.00684152,0.0297372,0.0140318,0.0147529,0.0243071,0.03987,0.00877758,0.0104263,0.00923587,0.00323509,0.0236504,0.00940774,0.00627872,0.00668078,0.0375427,0.033181,0.0094626,0.0172308,0.00736243,0.0169264,0.00695998,0.0214654,0.0321227,0.0134559,0,0,0.0147441,0,0.0120208,0.00583982,0.0416528,0.0205031,0.0222586,0.0429518,0.0355072,0.0116108,0.00513792,0.0123677,0.0133784,0.0116274,0.0284862,0.0568706,0.0206509,0.0308668,0.0249565,0.00819984,0.00310425,0.00267038,0.0081368,0.0179963,0,0,0
8,0,0,0,0,0.0153831,0.00709343,0,0,0,0.0285227,0.00912788,0.0135827,0.025102,0,0,0.0172893,0,0.0325531,0.00681925,0.02984,0.0139794,0.0148293,0.0242211,0.0400289,0.00901301,0.0102907,0.00926473,0.00333531,0.0235959,0.0093924,0.0063153,0.00669812,0.0375455,0.0333173,0.00959076,0.0172507,0.00755348,0.0170471,0.00694318,0.0214649,0.0321715,0.0131356,0,0,0.0149728,0,0.0120967,0.00574114,0.0417054,0.0205681,0.0221452,0.0431347,0.0356783,0.012401,0.00502982,0.0123034,0.0133797,0.0116567,0.0286371,0.0568716,0.0207072,0.0310459,0.0251641,0.00852124,0.00297587,0.00267974,0.00804682,0.0176919,0,0,0
