Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,BriefCase:BCBT,,,BriefCase:BCFT,,,BriefCase:BCBTT,,,BriefCase:BCBB,,,BriefCase:BCBF,,,BriefCase:IMU_M,,,BriefCase:IMU_T,,,BriefCase:IMU_B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
8486,0,890.620911,1934.279785,1630.123169,807.771729,1909.044556,1656.726318,877.010132,2089.121094,1633.560059,744.030457,2051.150879,1675.732178,862.592834,2045.639771,1522.702759,727.087524,2010.449829,1559.308960,788.615417,2218.265869,1506.725342,782.322693,2279.790283,1386.533447,764.366882,2037.129639,1388.443848,771.044739,2013.717651,1261.419678,695.324341,2269.578857,1455.618408,961.021545,2120.726807,1486.298218,1056.740601,2111.193359,1329.354858,1138.317749,2103.086182,1203.770630,,,,1147.399414,2013.070068,1072.062500,1109.148926,1953.664307,937.002747,1159.529785,2000.768188,925.474609,1142.374756,1910.700195,824.832703,1187.325195,1946.839111,884.020996,570.718628,2157.270020,1470.085083,515.744629,2215.798340,1297.345459,483.229828,2265.501465,1154.136108,,,,450.202942,2224.750977,994.757996,482.257202,2190.709473,872.843384,453.298645,2260.880127,871.349121,422.827271,2195.998047,749.276611,415.185486,2250.637451,803.437561,854.192017,2079.271484,946.059143,660.519043,2054.286621,969.252625,804.283936,2312.639893,986.780579,646.902954,2285.044434,971.828491,925.999878,2183.939697,965.873840,575.902832,2156.171875,980.546509,933.687744,2196.236084,843.109314,915.965698,2218.565186,731.333801,888.407043,2158.739746,672.725098,891.238159,2217.823486,611.092468,906.513672,2276.400146,670.679626,882.091248,2291.609619,497.049713,,,,885.536743,2331.057861,391.831024,862.815674,2318.224365,333.129669,880.501343,2403.764404,311.482422,896.788940,2415.583008,367.623230,829.244873,2533.586426,94.652763,,,,777.366150,2589.754883,74.794861,784.608826,2368.090576,29.920858,560.034424,2085.942871,862.449646,859.494873,2428.218994,11.855261,578.830261,2029.594849,744.370850,617.056396,1955.248657,713.370178,600.343994,1982.731079,633.531067,573.630127,2064.314453,665.867798,598.003479,1980.262451,504.509796,,,,588.966370,1985.592529,412.826965,617.534973,1903.286987,380.740601,606.630554,1926.500000,327.613220,585.513611,2007.435059,357.146454,621.738403,1915.672119,80.286697,,,,666.025330,1963.264526,27.860138,619.365417,1706.319702,52.683720,588.993774,1797.621460,36.660496,,,,484.634308,2004.168213,605.746399,452.644257,2487.971436,593.914124,483.143494,2496.988525,380.803802,499.517914,2010.622314,445.609589,366.674042,2061.187256,657.276978,364.808655,2057.545898,697.455261,,,
8487,0,886.648193,1920.039795,1631.374023,803.880493,1894.606689,1657.854126,872.997375,2074.871094,1634.633667,739.892456,2036.844971,1676.299683,859.090332,2030.779419,1523.744751,723.574219,1995.853638,1559.887817,786.083191,2203.427246,1507.980103,780.757812,2265.740479,1387.996826,761.372498,2023.112305,1388.983032,768.662415,2000.278931,1261.748047,693.085815,2255.502686,1456.441772,958.443481,2105.882568,1488.069458,1054.092529,2098.158691,1330.852783,1135.627686,2091.692871,1205.237427,,,,1145.747681,2004.286011,1071.435913,1109.651611,1948.252563,934.693237,1159.896118,1995.564453,924.765686,1143.831909,1906.885376,822.446472,1188.357056,1942.750244,882.449280,567.686951,2143.634766,1470.386841,513.957275,2203.056885,1297.411011,481.890472,2253.095459,1154.220581,,,,450.480377,2211.755127,994.184570,480.931641,2179.964844,872.114441,452.414490,2249.224854,871.367188,421.467957,2184.984619,749.083679,414.260498,2239.593994,803.493591,853.310364,2066.458740,946.567017,660.093872,2041.889160,970.648315,804.255371,2299.727051,987.200989,646.536621,2273.187988,973.641418,925.320312,2170.730469,965.894775,575.538574,2144.119873,982.176941,932.820374,2182.655518,843.021545,915.229309,2204.867432,731.245728,887.770142,2144.653076,672.781189,890.453613,2203.359863,610.818237,905.740051,2262.343262,670.290283,881.559998,2277.455566,497.078339,,,,885.141663,2319.283691,392.412720,862.748779,2308.077637,333.510193,880.469971,2394.202881,314.219727,896.529846,2404.504639,370.670990,829.959839,2529.394775,100.916931,,,,777.844360,2586.149902,83.422356,784.687927,2367.402588,30.038446,559.364319,2073.501465,864.096191,858.530151,2427.349854,12.235392,578.571045,2016.881714,746.497009,616.373596,1941.798218,715.239441,599.321777,1969.365234,635.533936,572.904419,2050.577393,667.811340,596.934509,1967.358521,505.574341,,,,587.161011,1974.031616,413.965271,617.936890,1893.460571,380.077606,606.214905,1917.452515,327.589447,582.982544,1997.240723,358.908875,621.926331,1914.224365,80.011833,,,,666.065674,1962.726929,28.551455,618.577820,1707.105469,44.479393,586.721985,1797.451538,34.713089,,,,483.298523,1993.235596,605.322205,452.260895,2477.192139,594.395569,483.349609,2486.602783,381.387604,500.231140,2002.140015,444.882355,365.227875,2050.474365,656.628967,363.152832,2046.840698,696.858276,,,
8488,0,882.645691,1906.023438,1632.721191,799.441223,1880.397827,1658.865967,868.925903,2060.658447,1635.882446,735.490051,2022.488159,1676.994751,855.595825,2016.211792,1524.914551,719.871826,1981.518921,1560.519897,783.561646,2188.785889,1509.518066,779.120911,2251.779541,1389.694092,758.549377,2009.186768,1389.427002,766.305054,1987.087280,1262.139526,690.766907,2241.577148,1457.438477,955.233704,2090.460449,1490.023560,1050.784668,2084.525146,1332.498657,1132.918213,2080.364258,1206.948730,,,,1144.712036,1996.007080,1071.292725,1110.059448,1942.873413,932.686035,1160.164307,1990.610229,924.383667,1145.643188,1904.393433,819.876648,1189.546875,1939.108643,881.198914,565.102661,2129.865967,1470.262817,512.076294,2190.075928,1297.450195,480.529480,2240.585938,1154.435791,,,,447.648865,2200.964355,994.660645,480.264832,2166.962646,872.122742,451.624084,2237.654785,871.337891,420.584900,2173.967529,748.919861,413.297668,2228.458008,803.541138,852.040466,2053.477783,947.539856,658.415649,2029.544067,972.354492,804.304443,2286.927002,987.685425,646.452332,2260.750977,975.015747,924.709961,2157.515869,966.276917,574.040100,2131.967285,983.912170,931.923584,2168.931641,843.246460,914.505249,2190.627930,731.364258,887.400146,2129.946045,673.275818,890.320618,2188.437012,611.023743,905.060425,2247.654053,669.965576,881.172363,2262.239014,497.337677,,,,885.020325,2306.569092,393.549133,862.714355,2296.960449,334.179871,880.180298,2383.597168,317.406250,896.287109,2392.424072,374.248596,830.721436,2524.262695,107.991676,,,,778.062683,2581.482422,93.232147,784.837158,2366.419434,30.381327,558.717285,2061.150146,865.596436,858.066528,2426.305664,13.757639,578.415283,2003.901001,748.418945,615.093567,1928.671387,717.323059,598.536438,1956.373413,637.484741,572.246338,2037.246948,669.542603,596.152588,1956.049194,506.208374,,,,585.620056,1963.891846,414.625397,617.858887,1884.517822,379.214661,605.594971,1909.142944,327.263306,581.396423,1988.238159,360.122772,622.050842,1911.998291,80.086433,,,,665.830872,1961.515259,29.379671,617.848267,1704.868652,40.754707,585.629639,1796.394287,34.118782,,,,481.928986,1982.283813,605.064087,451.961090,2466.348389,595.059265,483.483246,2476.141846,382.128571,498.222412,1989.774780,444.817871,363.939850,2039.753906,656.267334,361.868256,2035.986694,696.408020,,,
8489,0,877.529724,1891.306396,1634.119385,795.032288,1866.191040,1659.931519,864.882874,2046.416748,1637.378052,731.467834,2008.353271,1677.817749,851.920227,2001.780762,1526.179688,716.122986,1967.393433,1561.230957,780.776733,2174.204590,1511.485352,777.329773,2238.001221,1391.554321,755.881287,1995.346558,1389.861328,763.940491,1973.853638,1262.674072,688.351196,2227.884521,1458.511963,953.184143,2079.590088,1492.184814,1048.391602,2071.528076,1334.444946,1130.167358,2069.182861,1208.732422,,,,1143.760498,1987.845581,1071.262573,1109.758911,1937.003662,931.242004,1160.521484,1986.000122,924.412537,1147.359741,1902.401245,817.605225,1190.366089,1935.538696,880.147278,562.359375,2116.447510,1470.325195,510.166656,2177.041992,1297.410156,479.164551,2228.044189,1154.591431,,,,446.261627,2189.218262,994.634766,479.152496,2159.537354,870.918335,450.738373,2226.131104,871.386658,419.440491,2162.914307,748.964233,412.388062,2217.473877,803.750244,850.626160,2040.530396,948.810364,657.057434,2016.848511,973.900085,804.362122,2274.028320,988.246948,646.346802,2248.274414,976.199463,924.161316,2144.323975,966.996155,574.206238,2120.007812,985.219727,930.936707,2154.905762,843.698425,913.717224,2175.836914,731.569824,887.070435,2118.650391,672.665710,889.900024,2172.292480,611.164307,904.095154,2231.912842,669.382629,880.955444,2246.026855,497.989960,,,,884.828979,2292.742676,395.031067,863.030762,2284.731689,335.302307,879.774902,2371.934814,321.203552,895.541138,2379.100586,378.244141,830.935059,2517.929932,115.876076,,,,777.973999,2575.363281,104.017685,784.495789,2365.177979,30.365349,557.931213,2049.002686,867.106628,858.429871,2424.765381,16.330534,577.057556,1991.649658,749.738647,613.274170,1916.289185,718.615906,597.442322,1944.319946,638.801392,571.873657,2024.825806,670.887329,594.849670,1945.028931,506.701721,,,,584.987427,1954.720215,415.116730,616.905457,1875.396606,378.420441,605.445190,1901.792358,326.684845,580.674438,1980.120239,361.155731,622.510620,1909.253662,79.933998,,,,665.469360,1960.468750,30.148336,619.121521,1701.613892,37.129314,585.649170,1794.744385,34.127529,,,,480.384186,1970.626343,604.949219,451.783264,2455.345459,595.902527,483.576233,2465.508545,382.976257,498.020111,1980.445679,444.337555,362.842529,2028.810791,656.058594,360.640656,2025.142944,696.266418,,,
8490,0,874.030945,1877.490723,1635.585449,790.973328,1852.174072,1660.721313,860.879700,2032.234375,1639.090332,727.229614,1994.333496,1678.891724,848.289368,1987.669189,1527.659912,712.313049,1953.631592,1562.154785,777.846436,2160.186523,1513.534912,775.417908,2224.525146,1393.432495,752.988342,1981.693604,1390.621216,761.586792,1960.649902,1263.587891,685.961243,2214.364746,1459.667603,948.569824,2060.160889,1494.585693,1045.474487,2058.185059,1336.349731,1127.402710,2058.071289,1210.719604,,,,1142.464111,1979.807495,1071.354858,1110.761230,1933.053589,929.459167,1160.762451,1981.679443,924.816284,1148.914429,1901.052002,815.494751,1191.376709,1932.623535,879.407043,559.563782,2103.187988,1470.657104,508.195160,2164.096680,1297.643311,477.863861,2215.620117,1154.919189,,,,445.797516,2176.925293,994.480774,476.450043,2144.219238,872.561462,449.898346,2214.657227,871.640869,418.736938,2151.703857,748.912109,411.733673,2206.078613,803.755737,849.318970,2027.624878,950.391785,655.706360,2004.023560,975.148987,804.294434,2261.253174,989.149536,646.267029,2235.752686,977.556030,923.462524,2130.984863,967.913391,573.733398,2107.764404,986.460999,929.912109,2140.761230,844.408203,912.827576,2160.547852,731.911621,886.577209,2098.426758,675.055908,889.478699,2155.390137,611.515503,903.448914,2215.802734,668.948486,879.855347,2228.152100,498.128265,,,,884.579895,2277.526367,396.820984,863.335938,2271.064453,336.674408,879.254395,2358.834717,325.400208,894.621094,2364.508545,382.844757,830.836426,2510.255859,124.894287,,,,777.198792,2567.420898,115.597855,784.365479,2363.772949,30.151302,556.539795,2037.158691,868.416809,857.405762,2422.785156,17.949614,574.883240,1980.809204,750.070496,610.343384,1905.214966,718.835205,595.850586,1934.627563,638.723083,570.667725,2014.881592,671.369019,594.107849,1935.144287,506.934052,,,,584.703186,1946.498535,415.558716,616.671082,1867.890381,377.282867,605.355835,1895.250854,326.021881,580.354309,1972.747925,361.915100,623.298218,1907.263184,79.742645,,,,665.577759,1959.854126,30.635973,622.148621,1700.851440,32.737854,586.423401,1793.888672,34.369869,,,,479.550842,1960.050293,604.874756,451.689240,2444.282471,596.824829,483.593445,2454.778564,383.953064,497.447937,1969.200073,444.086609,361.703033,2017.916626,656.108948,359.526062,2014.014771,696.308105,,,
8491,0,869.753174,1863.455688,1637.109131,786.548584,1838.319946,1661.866577,856.999817,2018.172241,1641.059692,722.925415,1980.437134,1680.149048,844.631226,1973.783691,1529.456055,708.603638,1940.160034,1563.259888,775.055176,2146.683838,1515.529785,773.425110,2211.197754,1395.332031,750.155701,1968.211182,1391.734985,759.399231,1947.523193,1264.803589,683.643982,2201.089844,1460.928955,946.212891,2046.437012,1497.168579,1043.072266,2045.472900,1338.552002,1124.689087,2047.074341,1212.818115,,,,1141.457031,1971.939941,1071.594116,1111.039673,1928.522583,928.355408,1160.971802,1977.607788,925.518127,1150.555420,1900.395508,813.755676,1192.098022,1930.007446,878.988708,556.743408,2090.222168,1471.221191,506.266113,2151.270996,1298.003052,476.609741,2203.254639,1155.305542,,,,443.988159,2165.367432,995.020203,475.197510,2132.771484,872.947449,449.184479,2203.016846,872.016724,417.971924,2140.369629,749.180603,411.050232,2194.701172,804.071228,847.580505,2014.543335,951.983093,653.795715,1991.015625,976.213135,804.258423,2248.347412,990.254761,646.108887,2223.360107,979.235779,922.776001,2117.820068,969.159851,572.329529,2095.573730,987.881836,928.963013,2126.422607,845.335266,911.989136,2144.855713,732.337402,886.257019,2081.839600,676.228943,888.931824,2137.483643,611.827942,903.117004,2199.160645,668.564392,879.217407,2209.219971,498.571594,,,,884.290161,2260.701660,398.721466,863.758667,2255.965820,338.224426,878.544067,2344.303711,329.740570,893.421082,2348.389648,387.556854,830.229858,2500.981445,134.241669,,,,776.045349,2557.719971,127.795410,783.953430,2362.194580,29.987705,554.906311,2025.744873,869.445923,857.349182,2420.767090,21.890831,572.542664,1971.517456,749.718384,606.649475,1895.336670,717.650146,593.450073,1926.217285,637.810486,569.761902,2006.543823,671.294312,593.884827,1926.754395,506.888794,,,,584.347168,1938.629395,415.649323,617.005554,1861.018433,376.058075,605.370361,1889.045532,325.337097,580.145020,1965.974854,362.598969,624.117676,1906.130371,79.846504,,,,665.946106,1959.468018,30.982180,623.390625,1700.493286,29.930822,586.851196,1793.325317,34.505070,,,,478.076233,1948.176270,605.002563,451.687134,2433.071289,597.877258,483.569458,2443.983398,385.057404,497.686737,1960.744507,442.881134,360.729309,2006.903442,656.297363,358.598907,2002.851196,696.442200,,,
8492,0,864.907532,1849.240356,1638.614380,782.202881,1824.517090,1662.879517,853.323303,2004.357300,1643.272705,718.941223,1966.804443,1681.491821,841.440979,1960.379150,1531.336548,704.965881,1926.946777,1564.420410,772.541077,2133.658447,1517.434937,771.468079,2198.028564,1397.273682,747.440125,1954.943237,1393.062134,757.333618,1934.758301,1266.198608,681.428345,2188.049805,1462.275024,943.955933,2035.900391,1499.642944,1040.451172,2032.805420,1340.811401,1121.983765,2036.366943,1215.032837,,,,1140.418823,1964.385010,1072.255737,1111.202026,1923.955933,927.756836,1160.668945,1973.546021,926.384399,1151.645386,1899.607422,812.482849,1192.617065,1927.492798,878.815186,554.385925,2077.182129,1471.696655,504.471588,2138.897705,1298.710083,475.412994,2191.020996,1155.965332,,,,442.871887,2153.572754,995.472656,474.878387,2120.980713,872.956665,448.555786,2191.231689,872.589233,417.433563,2128.907471,749.552490,410.531830,2183.238770,804.557312,846.176697,2001.905396,954.006104,652.337341,1978.466309,976.976562,804.075500,2235.297607,991.601318,645.755615,2211.045898,981.237305,921.683777,2104.462158,970.400513,572.391235,2083.682617,988.901123,927.958130,2111.873535,846.389771,911.165955,2128.562744,732.720764,886.065002,2064.481689,677.563538,889.010010,2119.217041,612.346985,902.553345,2181.743652,667.994202,878.668457,2189.294189,499.036652,,,,883.909119,2242.945068,400.594421,864.871033,2239.569580,340.068817,877.660767,2328.540039,334.299530,892.092163,2331.160156,392.245941,829.195679,2490.007812,143.731827,,,,773.956909,2545.836182,140.288574,783.559326,2360.462891,29.615049,553.477295,2014.642456,869.932617,856.096924,2417.902588,24.945307,570.950378,1963.069092,748.765808,602.850708,1886.421387,715.798889,591.254150,1918.396606,636.494690,569.985962,1999.337646,670.993164,593.520935,1918.493286,506.545135,,,,584.444702,1931.186401,415.771759,617.740723,1854.682861,374.940735,606.068604,1883.536255,324.628387,579.933044,1959.534546,363.210052,624.767029,1905.201782,79.875290,,,,666.273682,1959.222412,31.262234,623.205750,1699.479980,29.554008,586.678284,1793.323120,34.423397,,,,476.898407,1936.714111,605.221008,451.748596,2421.827881,599.021118,483.444672,2433.073730,386.133759,495.245422,1947.141113,444.343811,359.759460,1995.644531,656.683289,357.619324,1991.730225,696.837646,,,
8493,0,861.489380,1835.922852,1640.204590,778.048523,1811.006714,1663.941162,849.756226,1990.674194,1645.592041,715.089661,1953.374634,1682.972534,838.188538,1947.113403,1533.413574,701.501221,1914.085938,1565.704468,770.224121,2120.824219,1519.383911,769.646973,2185.050049,1399.223389,744.810486,1942.080566,1394.564819,755.208496,1922.084473,1267.844727,679.281921,2175.196289,1463.616821,940.702759,2018.770508,1502.273926,1037.979492,2020.853027,1343.202759,1119.392822,2025.886475,1217.272339,,,,1139.139526,1956.951538,1073.036377,1111.431885,1919.612793,927.458008,1160.521606,1969.690186,927.617737,1152.018311,1898.371216,811.827393,1192.958862,1925.211548,878.904724,552.081604,2064.748779,1472.735474,502.849213,2126.704346,1299.560791,474.296875,2178.708984,1156.729370,,,,442.588226,2141.351807,995.982605,475.234558,2112.031250,872.657532,447.988647,2179.397461,873.217957,417.055023,2117.392334,750.022705,410.118256,2171.649414,805.022156,844.389160,1989.434326,955.972168,650.257874,1966.072144,977.779480,803.822754,2222.325195,992.999451,645.334961,2198.933105,983.449280,921.041565,2091.630615,971.902771,571.065979,2071.874023,989.922852,926.952393,2097.152588,847.529602,910.440857,2111.882568,733.101379,886.095337,2046.634888,679.064087,888.725159,2100.099365,612.797913,902.168274,2163.781982,667.361816,878.237915,2168.553467,499.401672,,,,883.447327,2224.194824,402.655579,865.156128,2222.165527,342.147400,876.673218,2311.745361,338.899353,890.490601,2312.875732,396.942017,827.816406,2477.359619,153.282654,,,,771.555420,2532.083252,152.944702,783.330261,2358.700684,29.379557,552.417725,2003.859497,870.355713,855.079346,2413.644775,29.025040,570.142761,1954.726807,747.754395,599.693176,1877.717773,713.948853,590.496521,1911.529175,635.079529,571.094421,1992.123169,670.542175,593.827393,1911.172974,506.297119,,,,584.448853,1924.412354,416.018829,618.234009,1848.782471,373.889679,606.517822,1878.463257,324.057556,579.754700,1953.623901,363.903412,625.293579,1904.541016,79.857430,,,,666.549255,1959.092407,31.425926,623.575684,1698.949097,29.127258,587.259583,1793.124756,34.731632,,,,476.223663,1925.742432,605.292297,451.763458,2410.428711,600.148010,483.268463,2422.051514,387.235504,492.165497,1934.553833,445.254181,358.990936,1984.298706,657.081726,356.901703,1980.324585,697.216003,,,
8494,0,857.733948,1822.509155,1641.863281,774.063843,1797.813232,1665.009766,846.464783,1977.289429,1647.948608,711.470520,1940.232666,1684.433472,835.494263,1934.299194,1535.531250,698.322327,1901.590088,1566.992432,767.999695,2108.117676,1521.253174,767.973633,2172.263672,1401.101074,742.399048,1929.425903,1396.223389,753.221741,1909.739868,1269.526001,677.281006,2162.565430,1465.020386,938.895264,2009.384644,1504.718750,1035.424438,2008.854370,1345.590210,1116.571777,2015.352783,1219.436646,,,,1137.846436,1949.607178,1073.981445,1111.133423,1915.443115,927.124573,1160.116821,1965.830078,929.071655,1152.946289,1898.206543,811.070251,1193.018311,1922.838867,879.221313,549.523682,2052.722168,1473.833374,501.316132,2114.644775,1300.473877,473.233490,2166.398438,1157.490845,,,,441.644379,2129.377197,996.664185,473.099670,2096.660645,874.668457,447.473175,2167.555664,873.951416,416.515930,2105.880371,750.602966,409.732697,2159.985596,805.605103,842.449402,1977.102051,958.068298,648.360168,1953.965332,978.848450,803.517700,2209.619141,994.402344,644.847168,2186.942871,985.789062,919.952576,2078.676758,973.196838,569.682617,2060.389404,991.513855,925.993835,2082.306641,848.669678,909.709473,2094.820068,733.487915,886.101624,2028.382812,680.703735,888.529053,2080.663574,613.407166,901.727112,2145.364258,666.662415,877.867126,2147.327637,499.734711,,,,883.076782,2204.642334,404.861572,864.722839,2204.237061,343.444611,875.389099,2293.719482,343.264313,888.619751,2293.656738,401.572937,826.275879,2463.074219,162.790146,,,,769.166321,2516.713379,165.191437,783.716492,2356.435059,30.898184,551.571838,1993.299683,870.739929,853.780945,2407.636230,34.859829,569.762207,1946.390381,747.323364,597.238342,1868.857788,712.700134,590.188782,1904.470093,634.182495,572.905579,1984.921631,670.554565,593.610901,1903.966064,506.380066,,,,584.482727,1918.258911,416.260040,618.430664,1843.177490,372.912201,606.845581,1873.801270,323.543457,580.159912,1948.414917,364.630402,625.847168,1903.915039,79.933960,,,,666.893677,1958.986938,31.550188,624.553162,1699.432129,29.142618,587.527100,1793.005005,34.841057,,,,475.214905,1914.253784,605.501709,451.871735,2398.950439,601.299500,483.018311,2410.921875,388.402588,490.948700,1923.269897,445.334900,358.133301,1973.050049,657.566589,356.031738,1969.043213,697.828735,,,
