Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,0.0887299
1,1,0.0809479
1,2,0.0689316
1,3,0.0463867
1,4,0.0369263
1,5,-0.00713348
1,6,-0.0424194
1,7,-0.0486755
1,8,-0.0331879
1,9,-0.0445557
2,0,-0.0351334
2,1,-0.0138855
2,2,0.0181961
2,3,0.0563812
2,4,0.0494385
2,5,0.0867844
2,6,0.0792313
2,7,0.0673294
2,8,0.0643158
2,9,0.0581741
3,0,0.0474548
3,1,-0.0110245
3,2,-0.0556564
3,3,-0.0745773
3,4,-0.0743866
3,5,-0.0888824
3,6,-0.0491333
3,7,-0.0258636
3,8,0.00473022
3,9,0.0451279
4,0,0.0348663
4,1,0.0714111
4,2,0.055809
4,3,0.0183868
4,4,0.0370407
4,5,0.0400543
4,6,0.0486755
4,7,0.038414
4,8,-0.0196838
4,9,-0.0792313
5,0,-0.11364
5,1,-0.131645
5,2,-0.0974274
5,3,-0.0709152
5,4,-0.018692
5,5,-0.0062561
5,6,-0.00389099
5,7,0.0291443
5,8,0.0365829
5,9,0.0511169
6,0,0.0527191
6,1,0.0282288
6,2,0.0299072
6,3,0.0210953
6,4,-0.0232697
6,5,-0.0822067
6,6,-0.0823593
6,7,-0.0840759
6,8,-0.0976181
6,9,-0.095787
7,0,-0.099411
7,1,-0.0822449
7,2,-0.0101852
7,3,0.0470734
7,4,0.0630951
7,5,0.0353241
7,6,0.0150299
7,7,-0.0183487
7,8,0.0124359
7,9,0.0230408
8,0,0.00118256
8,1,-0.0357437
8,2,-0.0953293
8,3,-0.149994
8,4,-0.145493
8,5,-0.101967
8,6,-0.0780106
8,7,-0.046463
8,8,-0.0231171
8,9,-0.0227737
9,0,0.0653839
9,1,0.036087
9,2,0.0339127
9,3,0.0341797
9,4,0.0597382
9,5,0.0376892
9,6,0.0175476
9,7,-0.0237656
9,8,-0.0320435
9,9,-0.0848007
10,0,-0.115585
10,1,-0.0988007
10,2,-0.115433
10,3,-0.0672913
10,4,-0.00469208
10,5,0.001297
10,6,0.0312042
10,7,0.0627899
10,8,0.0616074
10,9,0.0641632
11,0,0.0608826
11,1,0.0299072
11,2,0.0265884
11,3,0.0246048
11,4,0.0357819
11,5,-0.054245
11,6,-0.0494766
11,7,-0.0931931
11,8,-0.0658035
11,9,-0.0979996
12,0,-0.0437546
12,1,-0.0406647
12,2,0.0315857
12,3,0.0740814
12,4,0.0784302
12,5,0.0543594
12,6,0.0663757
12,7,0.0877762
12,8,0.0814056
12,9,0.08564
13,0,0.0706863
13,1,0.00118256
13,2,-0.0247574
13,3,-0.0691986
13,4,-0.0568008
13,5,-0.0702667
13,6,-0.0728226
13,7,-0.0094223
13,8,0.0240326
13,9,0.0753784
14,0,0.0954056
14,1,0.0854874
14,2,0.071373
14,3,0.0675201
14,4,0.0735474
14,5,0.0902176
14,6,0.0859451
14,7,0.0807571
14,8,0.0345612
14,9,-0.0283051
15,0,-0.0644684
15,1,-0.0994492
15,2,-0.0548553
15,3,-0.00514984
15,4,0.0152588
15,5,0.0481415
15,6,0.0605774
15,7,0.0873947
15,8,0.0882721
15,9,0.0910568
16,0,0.0826645
16,1,0.0763702
16,2,0.0720978
16,3,0.0209427
16,4,0.0498962
16,5,-0.0062561
16,6,-0.0665283
16,7,-0.0530624
16,8,-0.0648117
16,9,-0.0535965
17,0,-0.0321579
