Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71
All Timesteps RMSE,0,0,0,0,0.0119172,0.00864153,0,0,0,0.0311956,0.0161364,0.018985,0.00632034,0,0,0.0165385,0,0.0221625,0.0097506,0.0249167,0.0217122,0.0277777,0.0101065,0.00482596,0.0193975,0.00704743,0.0142961,0.0101633,0.0174145,0.010963,0.016499,0.00776983,0.0284431,0.0418068,0.0112874,0.0159509,0.00519396,0.0318074,0.0105341,0.0232249,0.0156372,0.0111578,0,0,0.00769272,0,0.0106532,0.00506397,0.0365014,0.027374,0.0415738,0.0224966,0.0126217,0.00733424,0.00711205,0.0187425,0.0102458,0.00835798,0.0217171,0.0639099,0.0178028,0.0233656,0.026277,0.00492483,0.00402653,0.00469547,0.00787128,0.0125025,0,0,0,0
0,0,0,0,0,0.0226139,0.0145281,0,0,0,0.0314966,0.0153385,0.0168808,0.00709084,0,0,0.0245546,0,0.0241781,0.011768,0.0215931,0.0170202,0.0309381,0.00840077,0.0025992,0.0296638,0.00472493,0.0102473,0.00656993,0.0168074,0.00677818,0.0136352,0.00646745,0.0308983,0.0458934,0.0119464,0.0158724,0.00354572,0.00935449,0.0115343,0.00603619,0.0127182,0.0207062,0,0,0.00468626,0,0.0116327,0.00399377,0.0355228,0.00869393,0.0435609,0.0054973,0.0152863,0.00545998,0.00801384,0.0230425,0.0080689,0.00606413,0.0121214,0.0679966,0.0131138,0.011537,0.0200958,0.00436094,0.00579421,0.00566858,0.00991491,0.0233785,0,0,0,0
1,0,0,0,0,0.022309,0.0150912,0,0,0,0.031014,0.0154954,0.0166745,0.00729802,0,0,0.0233594,0,0.0241246,0.0113758,0.0217133,0.0167523,0.0309813,0.00816538,0.00252988,0.0298782,0.00456895,0.0102349,0.00654386,0.0165882,0.00673298,0.0135415,0.00643503,0.0307933,0.0453601,0.0117639,0.015875,0.00376739,0.00779171,0.0114682,0.0092422,0.012635,0.0201709,0,0,0.00485829,0,0.0116237,0.00388037,0.0363937,0.0111048,0.0438577,0.000938215,0.0154714,0.00662528,0.00883536,0.0233395,0.0083371,0.00780304,0.0123444,0.0698988,0.0139641,0.0131397,0.0185273,0.00513179,0.0049286,0.00533791,0.0104266,0.0228847,0,0,0,0
2,0,0,0,0,0.0213334,0.0155435,0,0,0,0.0312758,0.0157836,0.0165669,0.00742011,0,0,0.0218914,0,0.0239652,0.0109763,0.0219726,0.0167529,0.030829,0.008105,0.00261079,0.0295043,0.00440701,0.0105491,0.00663565,0.0164744,0.00657836,0.0135742,0.00633775,0.0306525,0.0458196,0.0115987,0.0159107,0.00413822,0.00897199,0.0114649,0.0138884,0.0123853,0.0190405,0,0,0.00611895,0,0.0114854,0.00409534,0.0370305,0.0162324,0.0442668,0.00762624,0.0157209,0.00954198,0.0096185,0.0233019,0.00923643,0.00982716,0.014829,0.0710712,0.0149864,0.0166001,0.0172276,0.00727908,0.00388852,0.0048849,0.0110706,0.0216191,0,0,0,0
3,0,0,0,0,0.0228031,0.0164203,0,0,0,0.0320156,0.0154518,0.0165235,0.00766577,0,0,0.0228324,0,0.0241706,0.0111816,0.022278,0.0167952,0.0304951,0.00795754,0.00242375,0.0304229,0.00423666,0.0110825,0.00675747,0.0164068,0.00643208,0.0137598,0.0062826,0.0305284,0.0469396,0.0119721,0.0159429,0.0035899,0.0127757,0.0113449,0.0189674,0.0117893,0.020392,0,0,0.00471772,0,0.0118392,0.00367856,0.0375901,0.0202407,0.0445794,0.0151105,0.0154791,0.00731293,0.0104188,0.0232341,0.0108314,0.0118043,0.0189682,0.0715202,0.0162348,0.0212207,0.0192176,0.00490254,0.00468057,0.00524025,0.0116705,0.0230159,0,0,0,0
4,0,0,0,0,0.0235541,0.0170251,0,0,0,0.0328047,0.0153132,0.0164419,0.00783157,0,0,0.023067,0,0.0241547,0.0111976,0.0225777,0.016886,0.0301735,0.00787092,0.00232294,0.0308988,0.00410208,0.011621,0.00677793,0.0164026,0.00628542,0.0139295,0.00617793,0.0303926,0.0481994,0.012168,0.0159046,0.00327121,0.0173599,0.0113169,0.0238676,0.0111037,0.0210827,0,0,0.0046797,0,0.0120686,0.00359419,0.0382403,0.0229829,0.0448959,0.0228672,0.0152686,0.00609815,0.0109666,0.023541,0.0130857,0.0131883,0.0235912,0.0712306,0.0173638,0.0259589,0.022992,0.0034122,0.0051907,0.00556549,0.0121583,0.023643,0,0,0,0
5,0,0,0,0,0.0237771,0.0173906,0,0,0,0.0331784,0.0152891,0.0161307,0.00776249,0,0,0.0229973,0,0.0240752,0.0111537,0.0226895,0.0170028,0.0299606,0.00773417,0.0025286,0.0309702,0.00404859,0.0120485,0.00682785,0.0163579,0.00618582,0.0140409,0.00605077,0.0303049,0.0489734,0.0123005,0.0158285,0.00315238,0.0107313,0.0112356,0.0200923,0.011031,0.0212733,0,0,0.00468996,0,0.0121364,0.00352085,0.0387969,0.018555,0.0449618,0.0245188,0.0154696,0.00617186,0.0109886,0.0234324,0.0130506,0.013057,0.0247114,0.0715811,0.0176169,0.0263769,0.0177886,0.00317739,0.00523104,0.00559921,0.0125366,0.0237271,0,0,0,0
6,0,0,0,0,0.0238979,0.0177611,0,0,0,0.0336325,0.0152601,0.0157349,0.00774794,0,0,0.0229507,0,0.0240139,0.011123,0.0229541,0.0172145,0.0297231,0.00769469,0.00268134,0.0309571,0.00405635,0.012132,0.00688989,0.0164971,0.00597188,0.0141841,0.00588897,0.0301046,0.0496764,0.0125148,0.0157781,0.00303717,0.0126871,0.0111643,0.0198312,0.010754,0.021371,0,0,0.00468658,0,0.0121634,0.00351032,0.0391973,0.0191899,0.0451743,0.0245691,0.0156756,0.00617504,0.0111539,0.023394,0.0127394,0.0126878,0.0249418,0.0722129,0.0185487,0.026223,0.0204535,0.00283557,0.00537861,0.00572509,0.0129732,0.0236894,0,0,0,0
7,0,0,0,0,0.0177492,0.0173072,0,0,0,0.0339242,0.0166258,0.0153353,0.00761752,0,0,0.0200846,0,0.0227246,0.0113485,0.0234657,0.0174225,0.0296491,0.00778055,0.00269115,0.0264862,0.00401455,0.011806,0.00666407,0.0166787,0.0055941,0.0141519,0.00564488,0.0297888,0.0501002,0.0117006,0.0155455,0.00488446,0.0150495,0.0115103,0.0218092,0.0105358,0.0155182,0,0,0.0082955,0,0.0113028,0.00451874,0.0394718,0.0236119,0.0454613,0.0239682,0.0166135,0.0170336,0.0115796,0.0235978,0.0125722,0.0124329,0.0246364,0.0725344,0.0190735,0.0259919,0.0172565,0.0116065,0.00247761,0.00481186,0.0147749,0.017053,0,0,0,0
8,0,0,0,0,0.0158555,0.0178431,0,0,0,0.0340769,0.0169527,0.0149382,0.00747461,0,0,0.0210942,0,0.0222396,0.0121657,0.0240106,0.0181874,0.0294712,0.00767853,0.0029144,0.0242293,0.00407409,0.0114071,0.00636842,0.016764,0.0054131,0.0140938,0.00551989,0.029631,0.0503836,0.0119398,0.0153179,0.00506222,0.0133018,0.0115582,0.0218551,0.0107636,0.0137346,0,0,0.00863364,0,0.0114718,0.00454563,0.0395091,0.0251923,0.045346,0.0232387,0.0172027,0.019146,0.0116593,0.0237319,0.0123976,0.0120871,0.0243157,0.072608,0.0189469,0.0258494,0.01257,0.0128474,0.00187377,0.00510913,0.0163012,0.0147754,0,0,0,0
