Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,-0.155983
1,1,-0.128632
1,2,-0.103302
1,3,-0.0883865
1,4,-0.0669098
1,5,-0.0462341
1,6,-0.00873566
1,7,0.0338745
1,8,0.0409317
1,9,0.0362396
2,0,0.0522232
2,1,0.0441742
2,2,0.0247955
2,3,0.031929
2,4,0.0437164
2,5,-0.0322723
2,6,-0.0709534
2,7,-0.104446
2,8,-0.110435
2,9,-0.143013
3,0,-0.0561905
3,1,-0.00694275
3,2,0.00934601
3,3,0.0377274
3,4,0.0645828
3,5,0.0574875
3,6,0.0959778
3,7,0.096817
3,8,0.0706482
3,9,0.0761032
4,0,0.044136
4,1,0.0286484
4,2,-0.0102997
4,3,-0.0283051
4,4,-0.0571823
4,5,-0.0770187
4,6,-0.031662
4,7,-0.0520325
4,8,-0.00152588
4,9,0.0696182
5,0,0.0819016
5,1,0.106201
5,2,0.113525
5,3,0.099411
5,4,0.0669861
5,5,0.0795746
5,6,0.0948334
5,7,0.0663757
5,8,0.0490952
5,9,0.0162125
6,0,-0.0537491
6,1,-0.0640106
6,2,-0.0479889
6,3,-0.0043869
6,4,0.0228119
6,5,0.0454712
6,6,0.0617981
6,7,0.116043
6,8,0.126877
6,9,0.119743
7,0,0.0997543
7,1,0.100441
7,2,0.115089
7,3,0.0651932
7,4,0.0740433
7,5,0.0374222
7,6,-0.00442505
7,7,0.00854492
7,8,-0.0239563
7,9,-0.055275
8,0,-0.0511932
8,1,0.00659943
8,2,0.0350189
8,3,0.0611877
8,4,0.0943375
8,5,0.0857162
8,6,0.0834274
8,7,0.0997162
8,8,0.0563812
8,9,0.112991
9,0,0.0535202
9,1,0.00549316
9,2,-0.0123215
9,3,-0.00724792
9,4,-0.0664139
9,5,-0.0762939
9,6,-0.0812912
9,7,-0.0263977
9,8,-0.019722
9,9,0.0204086
10,0,0.0464249
10,1,0.0654602
10,2,0.0157547
10,3,0.0476456
10,4,0.0492096
10,5,0.0222015
10,6,0.0486755
10,7,0.0758743
10,8,-0.00431061
10,9,-0.0506592
11,0,-0.140419
11,1,-0.134926
11,2,-0.117912
11,3,-0.0676727
11,4,-0.0357056
11,5,-0.0398254
11,6,-0.0419617
11,7,0.0140381
11,8,0.0578308
11,9,0.017395
12,0,0.02285
12,1,0.0346756
12,2,0.0611115
12,3,-0.000267029
12,4,-0.0229645
12,5,-0.0588608
12,6,-0.0882339
12,7,-0.121689
12,8,-0.146751
12,9,-0.141945
13,0,-0.135345
13,1,-0.0901031
13,2,-0.050354
13,3,-0.0330353
13,4,0.0254059
13,5,0.024147
13,6,0.0260925
13,7,0.00160217
13,8,-0.0145721
13,9,0.00335693
14,0,-0.0220871
14,1,-0.0394058
14,2,-0.0722122
14,3,-0.114822
14,4,-0.131264
14,5,-0.131454
14,6,-0.123901
14,7,-0.0992203
14,8,0.0247192
14,9,-0.0200653
15,0,-0.0106049
15,1,-0.000915527
15,2,0.0337219
15,3,-0.0123596
15,4,0.0143051
15,5,0.0218201
15,6,0.0483704
15,7,0.0175476
15,8,-0.0460052
15,9,-0.0640106
16,0,-0.136299
16,1,-0.184402
16,2,-0.105362
16,3,-0.0785446
16,4,-0.0405884
16,5,-0.00663757
16,6,0.0126648
16,7,0.0463867
16,8,0.0468445
16,9,0.0527573
17,0,0.0336838
17,1,0.0537872
17,2,0.0704956
17,3,0.0461197
17,4,0.0312424
17,5,-0.0433731
17,6,-0.0327682
17,7,-0.0780106
17,8,-0.0312042
17,9,-0.0440979
18,0,0.000724792
18,1,-0.0101471
18,2,0.0063324
18,3,0.0438309
18,4,0.0819778
18,5,0.111847
18,6,0.127907
18,7,0.0760651
18,8,0.0299835
18,9,0.0906754
19,0,0.0218582
19,1,0.0504684
19,2,-0.0242615
19,3,-0.0511169
19,4,-0.0902557
19,5,-0.0722885
19,6,-0.0714493
19,7,0.0117111
19,8,0.0363159
19,9,0.0330353
20,0,0.0398254
20,1,0.0962448
20,2,0.10807
20,3,0.12001
20,4,0.02388
20,5,0.0754547
20,6,0.0739288
20,7,0.0841904
20,8,0.0069809
20,9,0.00141144
21,0,-0.0343323
21,1,-0.0836945
21,2,-0.0734711
21,3,-0.0326538
21,4,-0.000495911
21,5,0.0379181
21,6,0.0348663
21,7,0.0462341
21,8,0.0951767
21,9,0.0951004
22,0,0.0971222
22,1,0.0804901
22,2,0.0505447
22,3,0.0576782
22,4,0.0337601
22,5,0.0069809
22,6,-0.0379562
22,7,-0.0688171
22,8,-0.0822449
22,9,-0.0613022
23,0,-0.0636292
23,1,-0.0178528
23,2,-0.00297546
23,3,0.0411224
23,4,0.0324249
23,5,0.0550842
23,6,0.0627899
23,7,0.0495148
23,8,0.0608063
23,9,0.0492096
24,0,0.0148392
24,1,0.00671387
24,2,-0.0525665
24,3,-0.0462341
24,4,-0.0467682
24,5,-0.098877
24,6,-0.044632
24,7,-0.0725555
24,8,-0.0312424
24,9,-0.00587463
25,0,0.028801
25,1,0.0455856
25,2,0.0494003
25,3,0.0279617
25,4,0.0211716
25,5,0.00583649
25,6,0.0398636
25,7,0.0136566
25,8,-0.021553
25,9,-0.0824738
26,0,-0.112801
26,1,-0.145569
26,2,-0.117531
26,3,-0.0627899
26,4,-0.0584412
26,5,-0.0285339
26,6,0.00282288
26,7,0.0207901
26,8,0.042038
26,9,0.0402069
27,0,0.034523
27,1,0.0358963
27,2,0.0198364
27,3,-0.0272751
27,4,-0.00331879
27,5,-0.0526047
27,6,-0.063591
27,7,-0.122375
27,8,-0.11055
27,9,-0.0982285
28,0,-0.0638199
28,1,-0.0628662
28,2,-0.00789642
28,3,-0.00793457
28,4,0.0274277
28,5,0.0661087
28,6,0.0337601
28,7,0.0587845
28,8,-0.00938416
28,9,0.0438309
29,0,0.0483704
29,1,0.010643
29,2,-0.0570297
29,3,-0.0784683
29,4,-0.0971222
29,5,-0.0765228
29,6,-0.0714111
29,7,-0.0374985
29,8,-0.0193024
29,9,0.00408173
30,0,0.04673
30,1,0.0310135
30,2,0.0629044
30,3,0.0928879
30,4,0.0582123
30,5,0.0513458
30,6,0.059433
30,7,0.0741196
30,8,0.00106812
30,9,-0.0264359
31,0,-0.0596619
31,1,-0.0588989
31,2,-0.0752258
31,3,-0.0296021
31,4,-0.0239944
31,5,0.0229263
31,6,0.0810623
31,7,0.107956
31,8,0.102158
31,9,0.0901031
32,0,0.0553894
32,1,0.0223923
32,2,0.0802994
32,3,0.0804901
32,4,0.0793076
32,5,0.042305
32,6,-0.0284195
32,7,-0.0630569
32,8,-0.0663757
32,9,-0.0608063
33,0,-0.00576019
33,1,0.0142288
33,2,0.0222015
33,3,0.077858
33,4,0.0879288
33,5,0.0564575
33,6,0.0893021
33,7,0.100784
33,8,0.103912
33,9,0.0691605
34,0,0.0751495
34,1,0.0604248
34,2,-0.0209045
34,3,-0.0442123
34,4,-0.0764084
34,5,-0.0569916
