Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.00728905,0.013827,0.0320491,0.0152507,0.0175208,0.00608119,0,0,0.0117503,0,0.0204231,0.00750077,0.0267784,0.0196584,0.0225119,0.00816388,0.00519338,0.0139095,0.00669886,0.0141354,0.00915904,0.0182086,0.0104128,0.0151914,0.006036,0.0224755,0.041725,0.00751395,0.0136089,0.00341865,0.0192934,0.0116895,0.0202065,0.0135842,0.00571058,0,0,0.0109571,0,0.011342,0.00770094,0.0327509,0.0161809,0.0338858,0.00899148,0.00791604,0.0137466,0.0056722,0.0139645,0.00762108,0.00622398,0.0115043,0.0472149,0.0107942,0.0122627,0.0309274,0.00704231,0.00590103,0.00266027,0.0157444,0.00458704
0,0.00515308,0.0154392,0.00993449,0.0157636,0.00970895,0.00272059,0,0,0.00767926,0,0.0185684,0.00185767,0.027153,0.0160913,0.0193201,0.00765284,0.00291327,0.0139844,0.0039209,0.00631093,0.00492708,0.0180023,0.00392303,0.00590434,0.00167921,0.0222967,0.0259381,0.00684261,0.0137622,0.0017696,0.00830228,0.00778988,0.0136359,0.0118282,0.00725975,0,0,0.00858723,0,0.0134343,0.0105239,0.0358993,0.0201443,0.0325968,0.00686444,0.00950174,0.0161728,0.00337935,0.0136187,0.00560678,0.00205017,0.00819599,0.0505843,0.00373192,0.00708787,0.0171087,0.00588496,0.00781031,0.00360041,0.0174667,0.0027306
1,0.00507936,0.0149596,0.00389232,0.0158207,0.0110252,0.00250843,0,0,0.00796186,0,0.0182933,0.00212108,0.026921,0.0148635,0.0191607,0.00761905,0.0032488,0.0136021,0.00358046,0.00589481,0.00521221,0.0172326,0.00378212,0.00427265,0.0021802,0.0220902,0.020564,0.00682009,0.0134131,0.00175458,0.00657732,0.00793087,0.012461,0.0128994,0.00712931,0,0,0.00804897,0,0.0135084,0.0101288,0.0359937,0.0189933,0.0320784,0.00741059,0.00913963,0.0158959,0.00372975,0.0119622,0.00476893,0.00152307,0.00794406,0.0488815,0.00223962,0.00696189,0.018696,0.00585196,0.00785823,0.00364596,0.0168358,0.00282766
2,0.00519747,0.0142682,0.00223225,0.0161764,0.0128334,0.0024963,0,0,0.00786134,0,0.0179829,0.00255436,0.0268437,0.014856,0.018867,0.0080793,0.00323321,0.0130781,0.00354133,0.00575578,0.00538253,0.0167642,0.00423847,0.00418685,0.00264535,0.0219783,0.0174635,0.00667492,0.0130022,0.00204028,0.00563877,0.00822156,0.0112213,0.0133515,0.00678831,0,0,0.00776837,0,0.0134317,0.00966608,0.0357471,0.0172028,0.0322803,0.00751632,0.00891971,0.0154484,0.00381408,0.0106432,0.00406379,0.00154534,0.00741341,0.0475221,0.00144564,0.00650075,0.0180023,0.00613368,0.00792228,0.00354932,0.0161111,0.00279345
3,0.00548483,0.0135139,0.00790347,0.0167676,0.0144699,0.00272255,0,0,0.00726505,0,0.0175453,0.00304294,0.0268461,0.0155085,0.0185742,0.00871316,0.00316494,0.0124346,0.00363272,0.00588249,0.00557687,0.016524,0.00510782,0.00558243,0.00313359,0.0218783,0.0171444,0.00631494,0.0125358,0.00260146,0.00584534,0.008603,0.00976724,0.0134197,0.00653766,0,0,0.00772206,0,0.0132758,0.00917376,0.0354276,0.0147776,0.0327123,0.00719907,0.00865893,0.0150409,0.00398242,0.00953229,0.00377315,0.00189851,0.00665498,0.0465084,0.00137219,0.00594815,0.0166615,0.00660829,0.00793704,0.00329696,0.0154273,0.00291565
4,0.00572135,0.0127495,0.0136268,0.0175398,0.015809,0.00294624,0,0,0.00618362,0,0.0172164,0.00373862,0.0269888,0.0167362,0.0182909,0.00902002,0.00321826,0.0116252,0.00395877,0.00646322,0.00575478,0.0165163,0.00618572,0.00766042,0.00371985,0.0218224,0.0194957,0.00563721,0.0121542,0.00315548,0.00723545,0.00904938,0.00805511,0.0131888,0.00642089,0,0,0.00798441,0,0.0130335,0.00878138,0.0351178,0.0117233,0.0331852,0.0064631,0.00838045,0.0146968,0.00400599,0.00880972,0.00415359,0.00229716,0.0056076,0.0460094,0.00146925,0.00578474,0.0160946,0.00706604,0.00793179,0.00295143,0.0146798,0.00319313
5,0.00559048,0.0119621,0.0194729,0.0184427,0.0171817,0.00342547,0,0,0.0077776,0,0.0168385,0.00507801,0.0272541,0.0185479,0.0180449,0.00910848,0.00333097,0.0111484,0.00449927,0.00754558,0.00597303,0.0167599,0.00722927,0.00983139,0.00435521,0.021809,0.0233582,0.006695,0.011686,0.00430585,0.00919858,0.00951531,0.00627342,0.0128846,0.00593969,0,0,0.00779053,0,0.0129252,0.00802916,0.0348644,0.00850683,0.0336455,0.00565384,0.00820296,0.0142214,0.00377694,0.00871587,0.00494827,0.00264767,0.00490021,0.0459635,0.00144991,0.00670493,0.0157426,0.00717914,0.00750981,0.00267434,0.0137614,0.00305712
6,0.00533247,0.0112643,0.0245751,0.0192063,0.0182273,0.00405577,0,0,0.00557035,0,0.0167843,0.00562114,0.0276859,0.0203048,0.0179368,0.00911092,0.00356802,0.0100529,0.00530201,0.00920177,0.00627647,0.0172489,0.00841983,0.0119579,0.00486753,0.0218432,0.0275848,0.00517665,0.0115037,0.00465294,0.0113045,0.00987317,0.00480195,0.0124341,0.00587756,0,0,0.00994614,0,0.0122535,0.00763411,0.0345688,0.00624666,0.0341047,0.00482147,0.00789565,0.0137286,0.00328374,0.00895844,0.00560345,0.00310004,0.00473596,0.0461634,0.00166555,0.00779537,0.0150565,0.00892893,0.00695822,0.00205263,0.0127971,0.00309047
7,0.00496441,0.0104893,0.0287739,0.0197934,0.0189242,0.00482296,0,0,0.00541231,0,0.0167515,0.00633458,0.0282125,0.0223254,0.0178734,0.00901968,0.00356143,0.00916167,0.00628747,0.011132,0.00665476,0.0179588,0.00961314,0.0136789,0.00502363,0.0219206,0.0324509,0.00499708,0.0115147,0.00509503,0.0128409,0.0101808,0.00419447,0.0120153,0.00544527,0,0,0.0110959,0,0.0118469,0.00716646,0.0341405,0.00531864,0.0345677,0.00411332,0.00767802,0.0128818,0.00263269,0.00908348,0.00595276,0.00375994,0.00454453,0.0463259,0.00179602,0.00808125,0.0147507,0.00956026,0.00620697,0.0016757,0.0116459,0.00282087
8,0.00460114,0.00976853,0.0320695,0.0200874,0.019092,0.00554728,0,0,0.00415546,0,0.0167744,0.00642793,0.0287346,0.0246477,0.0178983,0.00888041,0.00362659,0.00803507,0.00738875,0.0133759,0.00720921,0.0187734,0.0106403,0.0150174,0.00514958,0.0220114,0.038158,0.00400229,0.0117263,0.00487725,0.0135997,0.0104295,0.00407407,0.0115077,0.00506168,0,0,0.0121882,0,0.0114323,0.00681214,0.0336012,0.00486096,0.0350343,0.0035485,0.00744555,0.0118632,0.00202866,0.0089872,0.0058762,0.00455337,0.00383763,0.0463939,0.00171321,0.00713202,0.0145685,0.00989183,0.00548713,0.00144759,0.0105201,0.00259492
