Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0.0303513,0.029972,0,0,0,0.0286117,0.0309132,0.0182658,0.00429824,0,0,0,0,0.0118347,0,0.0158331,0.00694503,0.0309149,0.0193657,0.0165126,0.0110893,0,0,0.00549511,0.01654,0.00741681,0.0100775,0.00850614,0.0359779,0.00906798,0.0103773,0.00711112,0.0160504,0,0.0350651,0,0.00952406,0.0224623,0.00297635,0.0173817,0.00774054,0.0115995,0.00534945,0.0410936,0,0,0.00869687,0,0.0109969,0.00512615,0.0670478,0.0181523,0.0216585,0.012289,0.00425855,0.0558859,0.00469715,0.0286553,0.0109156,0.00902673,0.00847069,0.00913461,0.00885132,0.0140773,0.0209876,0.0232483,0.00375187,0.00324888,0.0306975,0.0293542,0,0,0
0,0.090075,0.0881902,0,0,0,0.0325779,0.0310407,0.0181228,0.00473185,0,0,0,0,0.00806617,0,0.0169789,0.0042451,0.0276957,0.0147311,0.0164777,0.00818502,0,0,0.00990611,0.0225928,0.00754744,0.00724647,0.00698187,0.0386277,0.00784189,0.00635882,0.003307,0.011655,0,0.0389661,0,0.00995242,0.0232833,0.00382131,0.0234125,0.00703477,0.0125238,0.00792471,0.121341,0,0,0.023592,0,0.018872,0.011841,0.0629075,0.0211635,0.0176222,0.00991489,0.00647503,0.168267,0.00589182,0.0314194,0.0109754,0.0094119,0.0152132,0.00845897,0.0158062,0.0249979,0.0301797,0.0719071,0.00588024,0.00101934,0.0909991,0.0871503,0,0,0
1,0.0954329,0.0925683,0,0,0,0.0318913,0.031026,0.0180953,0.00433742,0,0,0,0,0.00725833,0,0.0170626,0.00380449,0.0273959,0.0148381,0.016817,0.00838822,0,0,0.00932972,0.0219923,0.0080681,0.00815346,0.00704641,0.0388446,0.00782151,0.00626818,0.00307134,0.011609,0,0.0385912,0,0.00915815,0.0233749,0.00368698,0.0217849,0.0073477,0.0131901,0.0076062,0.127043,0,0,0.02588,0,0.0198438,0.0138655,0.0620905,0.0224129,0.0182332,0.00951944,0.00621209,0.176039,0.00572021,0.0309427,0.0100082,0.00807285,0.0162969,0.00917828,0.0164168,0.0257032,0.0291576,0.0769904,0.00727761,0.00157412,0.0950057,0.091311,0,0,0
2,0.0907869,0.0887996,0,0,0,0.0307021,0.031073,0.0181038,0.00417765,0,0,0,0,0.00552381,0,0.0175526,0.00274194,0.027596,0.0151004,0.0167642,0.00868665,0,0,0.00855871,0.0216152,0.00799786,0.00803455,0.0068431,0.0386374,0.00804505,0.00631045,0.00299163,0.0117563,0,0.0373908,0,0.0084008,0.023499,0.00347695,0.0218488,0.00701569,0.0125452,0.00699472,0.12124,0,0,0.0226241,0,0.0188257,0.0118378,0.0624194,0.0226544,0.0183519,0.00730069,0.0052512,0.168326,0.00499494,0.0292039,0.00817682,0.00671414,0.0147775,0.00855563,0.015049,0.0244727,0.0303137,0.0714557,0.00597937,0.000973398,0.0909976,0.086999,0,0,0
3,0.0937149,0.0916358,0,0,0,0.0303619,0.0310033,0.0181956,0.00414839,0,0,0,0,0.00583422,0,0.0173745,0.00286747,0.027626,0.0152462,0.0164867,0.00887676,0,0,0.00842628,0.0218288,0.00827166,0.0076371,0.00684609,0.0385828,0.00818546,0.00631819,0.00295952,0.0117881,0,0.0371829,0,0.00856707,0.0234631,0.00329745,0.0215146,0.00735035,0.0111025,0.00654027,0.124995,0,0,0.0247604,0,0.0196956,0.0134719,0.0627959,0.0215007,0.0185613,0.00552027,0.00474707,0.173635,0.00457285,0.0277649,0.00661151,0.00562415,0.0126792,0.00792286,0.0128567,0.0221581,0.030728,0.0753919,0.00716571,0.00162217,0.0936097,0.0896288,0,0,0
4,0.0687875,0.0701084,0,0,0,0.0278273,0.0315218,0.0180831,0.00389657,0,0,0,0,0.00299557,0,0.0185456,0.00214535,0.0284511,0.0155298,0.0171334,0.00955101,0,0,0.0059418,0.0199813,0.00767751,0.00716314,0.00628395,0.0377797,0.00857629,0.00671397,0.00344451,0.0122949,0,0.0347067,0,0.00639913,0.023814,0.00324387,0.0211603,0.00675769,0.00941894,0.00619345,0.0940433,0,0,0.0149868,0,0.014748,0.00796638,0.0635145,0.0189989,0.0178363,0.00432591,0.00317544,0.130658,0.00506129,0.0261211,0.00614734,0.00570085,0.0106095,0.00760999,0.0106945,0.0191338,0.030276,0.0474417,0.00551771,0.00311245,0.0721408,0.0671053,0,0,0
5,0.0780927,0.0784737,0,0,0,0.0281448,0.0314123,0.0182492,0.00399186,0,0,0,0,0.00371394,0,0.0181741,0.00198488,0.0281528,0.0156917,0.0169396,0.0097545,0,0,0.00665501,0.0206842,0.00802895,0.00737712,0.00620561,0.0379222,0.00870831,0.00681381,0.00336305,0.0121439,0,0.0355301,0,0.00690045,0.0237551,0.00333722,0.0193029,0.00647644,0.00704526,0.00587302,0.105764,0,0,0.0166242,0,0.0164217,0.00743894,0.0638111,0.0154715,0.0183325,0.0036614,0.00312937,0.146963,0.00470976,0.0252006,0.00538257,0.00497351,0.00843702,0.00767437,0.00824469,0.015267,0.0275657,0.0589609,0.00360809,0.00175616,0.0803371,0.0755422,0,0,0
6,0.0786646,0.0793144,0,0,0,0.0280608,0.0314173,0.0182807,0.00391489,0,0,0,0,0.00351674,0,0.0181676,0.0017933,0.0280128,0.0157112,0.0170494,0.00981788,0,0,0.00641028,0.0208451,0.00814542,0.00735508,0.00603005,0.0379434,0.00885336,0.0069464,0.00345451,0.0121497,0,0.0356775,0,0.00691414,0.0237389,0.00321332,0.0167465,0.00655179,0.00461222,0.00567493,0.10664,0,0,0.0171534,0,0.0166631,0.00770624,0.0641223,0.0118937,0.0185708,0.00314817,0.00282825,0.14837,0.00462118,0.0242345,0.00512912,0.00434503,0.00616139,0.00813161,0.00557567,0.0110958,0.0238372,0.0598871,0.00380763,0.00149103,0.0810821,0.0760281,0,0,0
7,0.0814605,0.0820883,0,0,0,0.0281754,0.0313492,0.0183181,0.00396973,0,0,0,0,0.00346512,0,0.0181658,0.00174344,0.027759,0.015762,0.016971,0.00986138,0,0,0.00644953,0.0211715,0.00851209,0.00734392,0.00592951,0.0379929,0.00899555,0.00706379,0.00348365,0.012127,0,0.0359474,0,0.00701445,0.023732,0.00324103,0.0131097,0.00667974,0.00197471,0.00550105,0.110295,0,0,0.0187875,0,0.0173571,0.00861943,0.0644777,0.00770387,0.0187145,0.00291311,0.00269153,0.153654,0.00465699,0.0235714,0.00520005,0.00384367,0.00416076,0.00926232,0.00325662,0.00690846,0.01868,0.0635255,0.00426998,0.000970518,0.0837152,0.0785169,0,0,0
8,0.0764864,0.0780888,0,0,0,0.0275991,0.0313832,0.0182298,0.00394404,0,0,0,0,0.00327318,0,0.0192493,0.00224017,0.0277159,0.0158262,0.0169489,0.00994737,0,0,0.00595707,0.0212305,0.00854536,0.00735851,0.00570777,0.0377913,0.00927262,0.00735621,0.00372361,0.0122442,0,0.0355273,0,0.00710917,0.0240035,0.00353459,0.00876008,0.00679934,0.00262929,0.00524373,0.104361,0,0,0.0158487,0,0.0164607,0.00737835,0.0650131,0.00488099,0.0186077,0.00311418,0.00231964,0.146356,0.00503592,0.0228694,0.00572371,0.00404435,0.00406639,0.0107807,0.00386205,0.00470331,0.0125096,0.0576441,0.00414959,0.00147471,0.079681,0.0740372,0,0,0
