Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBR,RTHI
All Timesteps RMSE,0.00550899,0.00881952,0,0,0,0.030593,0.028093,0.019017,0.00470112,0,0,0,0.0128897,0,0.00431371,0.00679435,0.0324064,0.0241199,0.0163858,0.0108768,0,0,0.00548815,0.0150735,0.00651652,0.00941694,0.0092052,0.0359484,0.00850132,0.0102802,0.00669232,0.0170962,0,0.0358577,0,0.00875226,0.0209324,0.00256138,0.0228935,0.00755769,0.0130967,0.00700257,0.0110506,0,0,0.0114445,0,0.0100769,0.00647552,0.0701779,0.0198147,0.0224837,0.0168349,0.00578398,0.00642984,0.0319873,0.013738,0.0109024,0.0098908,0.0090563,0.00935485,0.0164383,0.0265254,0.00726119,0.00382544,0.00312435,0.00924039,0.0103916,0,0,0,0,0.00487122
0,0.0157098,0.0175449,0,0,0,0.0399872,0.0276479,0.0193925,0.00494969,0,0,0,0.00790774,0,0.00475518,0.0051099,0.0254923,0.0163778,0.0170237,0.0162624,0,0,0.00538174,0.0115436,0.0113321,0.016973,0.010683,0.0361451,0.011631,0.0187246,0.0123041,0.0197517,0,0.0506298,0,0.00386293,0.0204813,0.00187883,0.0224174,0.00786934,0.0114866,0.00860232,0.0278197,0,0,0.0223377,0,0.0113797,0.00970312,0.0717856,0.0218645,0.0273031,0.0177406,0.00663916,0.0240631,0.0327823,0.0122971,0.0107381,0.00947275,0.0099002,0.0112826,0.0223747,0.0259508,0.021293,0.005363,0.00469023,0.0170609,0.0217732,0,0,0,0,0
1,0.014302,0.0169392,0,0,0,0.0181817,0.0276198,0.013844,0.00469688,0,0,0,0.00780996,0,0.00488942,0.00548619,0.0296323,0.0218778,0.0163297,0.00604515,0,0,0.00535769,0.0103126,0.00919562,0.0080601,0.00724479,0.0336348,0.00825996,0.00792253,0.00485333,0.0194964,0,0.0232938,0,0.00324904,0.0204125,0.00183521,0.0229111,0.00813069,0.0118769,0.00942377,0.0267712,0,0,0.0218734,0,0.0112018,0.00961717,0.0719018,0.0212359,0.0279095,0.0163865,0.00702606,0.0233926,0.0332275,0.0108183,0.0106656,0.0102468,0.0102618,0.0118706,0.0227655,0.0266877,0.0203963,0.00517446,0.00575029,0.0171298,0.0209639,0,0,0,0,0
2,0.0147929,0.0173933,0,0,0,0.0131247,0.0274913,0.0109123,0.00402737,0,0,0,0.00837954,0,0.00516965,0.00553148,0.0301962,0.0200942,0.0165119,0.00493738,0,0,0.00595544,0.010188,0.00846759,0.00720327,0.00570323,0.0337034,0.00733317,0.00677343,0.00449344,0.0191218,0,0.0176054,0,0.00361173,0.0204709,0.00191095,0.0236784,0.00832713,0.0120388,0.00940416,0.0271712,0,0,0.0225635,0,0.0111164,0.0099577,0.0722398,0.0210674,0.0279566,0.0160505,0.00703922,0.0241817,0.0337,0.00993705,0.0109752,0.0107585,0.0105221,0.0123011,0.0232906,0.0277276,0.0215287,0.00535377,0.00597969,0.0178856,0.0213687,0,0,0,0,0
3,0.0111855,0.014665,0,0,0,0.00939362,0.0274501,0.00847376,0.00354206,0,0,0,0.00896811,0,0.00527661,0.00569711,0.0306556,0.0190458,0.0165429,0.00435056,0,0,0.00635844,0.0106134,0.00768143,0.00678909,0.00433488,0.0338249,0.00630936,0.00568244,0.00402719,0.018691,0,0.0117398,0,0.00380728,0.0205184,0.00198038,0.0242207,0.00820267,0.0119123,0.00938188,0.0231795,0,0,0.0216065,0,0.0112909,0.0095429,0.0726842,0.021199,0.0280196,0.0158276,0.00721526,0.0179787,0.0341424,0.00942448,0.011293,0.0112128,0.010702,0.0128046,0.0239043,0.0287568,0.0188147,0.00500567,0.00587261,0.0153736,0.0186744,0,0,0,0,0
4,0.00929875,0.0132799,0,0,0,0.00997177,0.027445,0.00761102,0.00307528,0,0,0,0.00971382,0,0.00558279,0.00612661,0.0309532,0.0186804,0.0168418,0.00412329,0,0,0.006679,0.0109509,0.00695299,0.00719167,0.00431718,0.0341822,0.00548294,0.00505334,0.00405832,0.0185002,0,0.0092339,0,0.00416707,0.0204854,0.00201011,0.0244798,0.00843002,0.0112751,0.00924018,0.0208931,0,0,0.018801,0,0.0105289,0.00793896,0.0728268,0.0208959,0.0278397,0.015554,0.00720775,0.0153016,0.0343861,0.00920648,0.0114731,0.011398,0.0108108,0.0128586,0.0240422,0.0297209,0.0166411,0.00477075,0.00570679,0.0140216,0.0171928,0,0,0,0,0
5,0.00825867,0.0125027,0,0,0,0.0141738,0.0273419,0.00868754,0.00269085,0,0,0,0.010545,0,0.00558561,0.00665431,0.031296,0.0191691,0.0172026,0.0048116,0,0,0.00708836,0.011154,0.0065999,0.00871366,0.00615951,0.0348358,0.00499093,0.00481948,0.00431455,0.0185606,0,0.0115527,0,0.00459685,0.0204036,0.0021233,0.0244666,0.00833447,0.0101739,0.00913357,0.0194845,0,0,0.0182762,0,0.0105277,0.00777692,0.0728622,0.0203858,0.0276217,0.0152748,0.00714261,0.0129499,0.0345983,0.00905307,0.0115324,0.011401,0.0109203,0.0124957,0.0237684,0.0303978,0.0154411,0.00454977,0.00535025,0.013346,0.0163415,0,0,0,0,0
6,0.00753766,0.0118522,0,0,0,0.0184245,0.0272327,0.0107027,0.00259105,0,0,0,0.0114824,0,0.00553432,0.00702238,0.0317165,0.0199626,0.0177053,0.00619731,0,0,0.00753841,0.0113421,0.00670208,0.0109245,0.00871331,0.0358197,0.0049507,0.00486565,0.00469765,0.0189274,0,0.0155558,0,0.00503987,0.0203305,0.00221748,0.024615,0.00822822,0.00967347,0.00893215,0.0183617,0,0,0.0177549,0,0.0105064,0.00763329,0.0729165,0.0201535,0.0274209,0.0150087,0.00705173,0.0109604,0.0349057,0.0087935,0.0115336,0.0115466,0.0109777,0.0122772,0.0235022,0.0310936,0.014326,0.00428219,0.00516355,0.0129292,0.0156751,0,0,0,0,0
7,0.00722554,0.0114397,0,0,0,0.0216339,0.0271042,0.0125736,0.00280018,0,0,0,0.0125166,0,0.00556871,0.00753168,0.0319752,0.020801,0.0182405,0.00797188,0,0,0.00801205,0.0115273,0.00715874,0.013279,0.0115679,0.037138,0.00541539,0.00519441,0.00514148,0.0195548,0,0.0188293,0,0.00557153,0.0202299,0.0023538,0.0248173,0.00810984,0.00977039,0.00867494,0.0176226,0,0,0.0173765,0,0.0105053,0.0075906,0.0730635,0.0203009,0.0272603,0.01468,0.00691827,0.00942714,0.0349993,0.00838679,0.0115923,0.0115435,0.0110935,0.0123002,0.0233547,0.0317814,0.0134751,0.00402769,0.00474281,0.0127514,0.0152712,0,0,0,0,0
8,0.00710803,0.0112289,0,0,0,0.0244838,0.0269515,0.014426,0.00312526,0,0,0,0.0134225,0,0.00569943,0.00795333,0.0320964,0.0217171,0.0188703,0.0104444,0,0,0.00850742,0.0117978,0.00779276,0.0154881,0.0144491,0.0387239,0.0062013,0.00586058,0.0055359,0.0202829,0,0.0215731,0,0.00603691,0.0202187,0.00246645,0.024514,0.00799289,0.0097537,0.00846165,0.0170895,0,0,0.0171652,0,0.0104911,0.00762149,0.0733433,0.0207567,0.0272066,0.0143356,0.00675451,0.00812716,0.0349108,0.00796001,0.0116424,0.0112421,0.011276,0.0123185,0.0232325,0.0320233,0.0128296,0.0037376,0.00449328,0.0127839,0.0149892,0,0,0,0,0
9,0.00715813,0.0112682,0,0,0,0.0272633,0.0268531,0.0163595,0.00343822,0,0,0,0.0141479,0,0.00588205,0.00824544,0.0323513,0.0229836,0.0193732,0.0130039,0,0,0.00903543,0.0121765,0.00830213,0.0171515,0.0167629,0.0403931,0.00708567,0.00662334,0.00596689,0.0210698,0,0.0240982,0,0.00635278,0.0202606,0.00250887,0.0243295,0.00763922,0.00936211,0.00824552,0.0167908,0,0,0.017278,0,0.0105282,0.00777899,0.073853,0.0208562,0.0270164,0.0137586,0.00649534,0.00717388,0.0346726,0.00757906,0.0115344,0.0106669,0.0111843,0.0119597,0.0227554,0.0323821,0.0125549,0.00375151,0.0045881,0.0129904,0.0148463,0,0,0,0,0
