Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,Shopping Cart:CBR,,,Shopping Cart:CFR,,,Shopping Cart:CFL,,,Shopping Cart:CBL,,,Shopping Cart:IMUR_T,,,Shopping Cart:IMUR_M,,,Shopping Cart:IMUR_B,,,Shopping Cart:IMUL_T,,,Shopping Cart:IMUL_M,,,Shopping Cart:IMUL_B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
24746,0,617.361938,-308.539276,1705.933594,706.418518,-312.417664,1712.942261,633.795898,-504.109619,1714.961182,709.700684,-488.151093,1709.009766,598.540710,-412.186127,1583.969849,737.727417,-412.767456,1603.819946,664.295410,-569.883301,1557.525146,658.139465,-634.535156,1440.779419,658.423645,-394.114777,1418.289795,660.182739,-374.825897,1347.548828,727.246399,-635.837708,1465.305054,463.409576,-506.919495,1508.851929,401.912476,-519.836365,1301.599976,364.691376,-522.333618,1179.493774,,,,331.305267,-439.194366,1039.929932,353.505859,-319.474640,956.940857,350.141785,-381.238617,919.378113,295.630310,-265.974304,855.495728,302.532745,-344.472839,874.555481,872.248108,-500.598969,1501.561401,927.971252,-532.367798,1299.217285,962.175537,-537.033508,1172.980103,,,,966.800049,-451.573242,1051.585083,910.874207,-352.281464,962.802979,948.007446,-393.160187,913.542419,962.247192,-263.851318,891.043396,980.115417,-336.945709,888.079651,569.026733,-376.724731,1033.323608,770.055847,-362.315643,1049.848267,600.231995,-599.241455,1081.127319,746.937256,-588.113098,1073.532349,496.678284,-473.201752,1053.679077,846.116394,-475.740387,1065.090454,466.016418,-482.426086,887.968933,481.483917,-487.023987,776.059753,492.725555,-443.482635,702.709534,496.724426,-519.166016,664.209778,501.504242,-562.347412,736.871826,509.409607,-504.446045,530.850586,,,,493.883728,-599.362000,368.573639,476.990295,-547.660950,332.469238,501.890594,-596.443665,262.115326,529.077026,-637.134827,296.971954,514.195496,-575.736511,77.533371,,,,575.699341,-623.762878,33.816620,552.447021,-377.060425,32.389648,870.765869,-484.758209,851.980164,480.396423,-429.817719,27.688349,855.695068,-449.665771,786.316528,823.163818,-392.669556,726.980774,,,,853.872314,-513.976196,730.200562,830.947449,-491.662231,532.816711,,,,850.906738,-530.026917,359.539948,825.595520,-498.994598,278.585938,842.621826,-552.863953,259.402405,857.422546,-586.515198,338.690033,828.098511,-573.949890,83.623604,,,,784.942932,-621.126221,56.538845,794.160461,-383.335297,36.835644,863.165222,-436.348053,31.057228,954.633301,186.323700,159.693542,923.987061,612.713989,155.770203,487.726532,602.024780,153.908142,479.051422,175.889633,168.806671,1028.692017,119.443161,1079.766846,1051.762817,97.890823,1054.013428,1049.752930,71.503922,1024.560181,427.200806,123.048134,1093.390137,390.943573,110.253036,1079.152344,373.926666,88.446739,1051.082520
24747,0,617.499573,-308.558197,1705.972778,706.783020,-312.067505,1712.803467,633.984192,-504.124115,1714.996582,709.928223,-488.189636,1709.112549,598.761841,-412.229248,1583.973877,737.960693,-412.799591,1603.819824,664.666138,-569.949158,1557.542480,658.514465,-634.636841,1440.753418,658.579956,-394.207336,1418.338257,660.298096,-374.917175,1347.609863,727.604492,-635.873962,1465.338623,463.710175,-507.342590,1509.217651,401.203735,-520.217407,1302.552734,363.286774,-521.459290,1180.594116,,,,329.215546,-433.890198,1043.939819,351.496124,-311.564362,964.839233,347.120300,-371.983887,925.388855,291.470093,-254.894501,866.421814,298.645020,-333.682800,883.169373,872.464355,-500.647369,1501.676514,928.731995,-531.809753,1299.541504,963.135742,-535.516357,1173.532104,,,,967.285339,-446.447998,1055.443970,910.171936,-345.149536,969.766113,948.912048,-383.034821,919.506226,962.138184,-252.449783,904.319275,981.339966,-325.659698,898.343445,569.465942,-377.086334,1033.578491,770.301514,-362.426056,1049.766968,600.703552,-599.473633,1081.195557,747.404907,-588.233826,1073.588013,496.915405,-473.811981,1053.762695,846.448303,-475.581299,1065.046387,466.353912,-482.754578,887.968140,482.019012,-487.028717,776.087341,493.111664,-443.468872,702.679382,496.983246,-519.482300,664.265991,501.844177,-562.675781,736.890320,509.720398,-503.964478,530.511230,,,,494.090790,-599.491394,368.576294,477.136322,-547.812683,332.515900,502.045685,-596.554077,262.136871,529.295715,-637.231445,296.980133,514.236389,-575.722534,77.470261,,,,575.733215,-623.759216,33.797356,552.456604,-377.037933,32.388641,871.099915,-484.690887,851.946411,480.778778,-429.409271,27.722763,855.851440,-449.843597,786.727295,823.194336,-392.550568,726.578125,,,,854.217590,-514.076599,730.292419,831.188965,-491.785706,532.842651,,,,851.113525,-530.083374,359.537659,825.763184,-499.028412,278.529175,842.799377,-552.938416,259.394257,857.702209,-586.590637,338.654633,828.194641,-573.912537,83.597733,,,,785.035950,-621.070679,56.485046,794.190613,-383.332062,36.869667,863.260254,-436.330414,31.072962,954.647156,186.317642,159.691147,923.988770,612.717407,155.778030,487.671448,602.101868,153.949142,479.035919,175.905746,168.766830,1028.784180,119.361961,1079.887451,1051.787964,97.895981,1054.041382,1049.793579,71.492989,1024.559082,427.216949,123.050278,1093.406616,390.999725,110.273949,1079.143188,373.959717,88.458496,1051.084961
24748,0,617.660522,-308.615448,1705.966309,706.845947,-312.406067,1712.936646,634.192932,-504.099060,1715.023071,710.127869,-488.202454,1709.134644,598.966003,-412.279480,1583.947632,738.133728,-412.794006,1603.861328,664.986450,-569.976135,1557.542480,658.873108,-634.690613,1440.741943,658.671875,-394.290619,1418.317627,660.407288,-375.038818,1347.644775,727.972839,-635.907349,1465.376099,464.056122,-507.628632,1509.524902,400.747925,-519.947327,1303.115234,361.951996,-520.468262,1181.693237,,,,327.090607,-428.718689,1048.286621,350.065155,-303.763336,973.199707,344.163330,-362.638519,931.903442,287.667786,-243.332535,878.531128,294.464752,-323.231415,892.892090,872.527527,-500.371979,1501.565063,929.458618,-531.185059,1299.877441,964.142517,-533.959839,1174.282349,,,,967.711060,-441.213623,1059.509277,909.198486,-337.745026,977.091980,949.720825,-372.649963,926.088684,961.146545,-241.732635,918.503113,982.015015,-313.985565,908.911072,569.699097,-377.380280,1033.601196,770.432800,-362.562256,1049.716675,601.139038,-599.706543,1081.276123,747.809509,-588.351685,1073.616333,497.307312,-473.912201,1053.718872,846.770020,-475.573456,1065.046021,466.587158,-483.082367,888.038635,481.925964,-487.640228,776.171570,493.119720,-443.908997,702.786865,497.217987,-519.690857,664.278992,502.118469,-562.977905,736.874817,509.846375,-504.143707,530.456116,,,,494.209961,-599.672974,368.622284,477.266602,-547.947327,332.574127,502.277191,-596.492004,262.339966,529.416748,-637.293152,296.977631,514.218140,-575.731201,77.532112,,,,575.592041,-623.472412,33.983673,552.440613,-377.083252,32.421684,871.382385,-484.659088,851.957092,480.822235,-429.387054,27.709360,856.005737,-449.630371,786.640320,823.553101,-392.781799,726.903625,,,,854.551880,-514.047729,730.305664,831.446228,-491.785126,532.833252,,,,851.304077,-530.152649,359.517944,825.847961,-499.056824,278.543091,842.930969,-552.856140,259.301361,857.899109,-586.604065,338.610321,828.221313,-573.933838,83.547676,,,,784.743164,-621.870544,57.244099,794.147766,-383.329651,36.867325,863.095093,-436.319000,31.064816,954.622009,186.296661,159.718704,923.975952,612.717102,155.794022,488.066315,601.829163,153.929947,478.997650,175.925766,168.763611,1028.753662,119.385277,1079.866821,1051.738770,97.894684,1054.030762,1049.786865,71.501678,1024.595581,427.171204,123.049911,1093.387695,390.972412,110.264824,1079.125122,373.924927,88.459770,1051.104614
24749,0,617.950562,-308.556580,1705.936646,707.017944,-312.412598,1712.926392,634.429382,-504.089294,1715.052490,710.333313,-488.123505,1709.134155,599.165100,-412.304779,1583.958252,738.446716,-412.859009,1603.874268,665.334106,-569.966125,1557.593140,659.260681,-634.763428,1440.726074,658.841980,-394.368561,1418.361084,660.534729,-375.096436,1347.623413,728.370972,-635.855103,1465.373047,464.330109,-508.007111,1510.063843,400.026611,-520.060425,1304.037231,360.733032,-519.581970,1182.832397,,,,325.713837,-423.077240,1052.607178,348.840332,-295.905212,982.112610,341.345062,-353.172180,938.907593,284.537140,-231.615784,891.565857,291.404358,-311.442810,902.521851,872.722717,-500.319366,1501.735962,930.164307,-530.587524,1300.247314,965.301025,-532.415161,1175.172729,,,,968.283203,-436.259552,1064.096558,908.731750,-330.960999,985.109619,950.505005,-362.320557,933.167358,959.680664,-231.078445,933.350769,982.259583,-302.057465,919.813538,569.525085,-377.960052,1033.654785,770.621277,-362.613525,1049.663086,601.558533,-599.831665,1081.296143,748.252747,-588.386108,1073.663086,497.495178,-474.537018,1053.860718,847.110291,-475.472534,1064.991943,466.820068,-483.434906,888.043030,482.160004,-487.914154,776.252441,493.161652,-444.307770,702.813599,497.445435,-519.958130,664.243530,502.382568,-563.193970,736.923767,509.895020,-504.998566,530.923950,,,,494.413116,-599.777893,368.592834,477.359131,-548.113525,332.559753,502.273071,-596.708496,262.199829,529.494019,-637.365723,296.860382,514.193298,-575.846252,77.621529,,,,575.718750,-623.744690,33.784901,552.453064,-377.021729,32.402458,871.654724,-484.584259,851.893188,480.736877,-429.455872,27.703596,856.287415,-449.645203,786.641418,823.611389,-392.645142,726.539551,,,,854.835510,-514.031860,730.276733,831.750427,-491.867096,532.834900,,,,851.433228,-530.134399,359.494598,825.974243,-499.093536,278.503143,843.042542,-552.864929,259.293152,858.086792,-586.591370,338.567352,828.278809,-573.923828,83.476669,,,,784.794678,-621.850891,57.181850,794.184204,-383.339691,36.843948,863.156860,-436.341980,31.067354,954.638245,186.267532,159.766617,923.976685,612.737427,155.830917,488.109344,601.815735,153.914291,479.000793,175.921371,168.762741,1028.697632,119.422424,1079.829468,1051.727051,97.908188,1054.056152,1049.786865,71.494362,1024.577759,427.185059,123.029755,1093.384766,390.893463,110.192017,1079.213501,373.880524,88.437920,1051.062256
24750,0,618.164673,-308.543701,1705.993164,706.288574,-310.915558,1712.500977,634.688660,-504.104858,1715.084106,710.576965,-488.134949,1709.186523,599.438599,-412.287262,1583.959106,738.766052,-412.937256,1603.934570,665.670288,-569.961060,1557.639038,659.639771,-634.747925,1440.696777,659.024292,-394.377808,1418.423462,660.693909,-375.208740,1347.684937,728.753662,-635.820618,1465.412354,464.631683,-508.177582,1510.435059,399.733307,-519.554749,1304.694458,359.647858,-518.596252,1183.976074,,,,323.867950,-417.659454,1057.406372,347.934906,-288.461029,991.471741,338.730255,-343.761505,946.473145,282.389801,-219.914764,905.098450,288.004242,-300.259369,913.209106,873.012512,-500.535797,1502.083130,930.893921,-529.774658,1300.635620,966.510254,-530.678162,1175.920776,,,,968.886719,-430.807587,1068.416260,907.974487,-323.906372,993.345459,951.167908,-351.998352,940.876404,957.432800,-220.069855,948.492920,982.304443,-290.648773,931.356445,570.052917,-377.867188,1033.558472,770.778687,-362.571442,1049.674072,602.000366,-599.956299,1081.262085,748.674316,-588.371277,1073.656616,497.824066,-474.789581,1053.859985,847.428589,-475.427277,1064.951172,467.048615,-483.763519,888.036194,482.210632,-488.232544,776.244568,493.382355,-444.442139,702.794006,497.635406,-520.202209,664.301147,502.676727,-563.429016,736.883179,510.200562,-505.086243,530.949158,,,,494.563080,-599.899231,368.594177,477.446106,-548.247192,332.624237,502.510895,-596.694641,262.365692,529.641663,-637.423279,296.868958,514.239197,-575.749817,77.577370,,,,575.593628,-623.438660,33.938107,552.415222,-377.087250,32.453857,871.822327,-484.377350,851.885315,480.821594,-429.336761,27.644840,856.558105,-449.540863,786.569397,823.837463,-392.784668,726.763550,,,,855.148438,-514.006531,730.295044,831.994507,-491.894012,532.816589,,,,851.558838,-530.163269,359.408386,826.052124,-499.138672,278.431976,843.155640,-552.795654,259.119415,858.263489,-586.614319,338.506226,828.307495,-573.959106,83.515060,,,,785.155029,-621.150391,56.504757,794.175476,-383.350952,36.848213,863.176147,-436.348328,31.037848,954.657471,186.274750,159.761734,923.982849,612.737305,155.803482,488.099182,601.822693,153.901627,478.937927,176.000549,168.709885,1028.735352,119.393745,1079.893311,1051.719971,97.911995,1054.057129,1049.776123,71.526680,1024.604614,427.171448,123.031929,1093.385742,390.951752,110.266449,1079.177979,373.857758,88.428474,1051.068237
24751,0,618.467102,-308.500305,1706.129761,706.555054,-310.954041,1712.626831,634.984070,-504.120880,1715.125244,710.886230,-488.119904,1709.212280,599.716553,-412.243774,1583.991821,738.937256,-412.835022,1603.984131,665.976624,-569.920715,1557.632812,659.962708,-634.710632,1440.661133,659.205261,-394.401642,1418.457031,661.249268,-374.834717,1347.635376,729.127563,-635.785889,1465.421021,464.970428,-508.277130,1510.864502,399.430542,-519.214966,1305.484741,358.759674,-517.707764,1185.075928,,,,322.572784,-412.835480,1062.819946,347.251923,-281.477386,1001.519897,336.279968,-334.459473,954.483093,280.661621,-208.426147,919.613953,285.210571,-289.068573,924.532593,873.204468,-500.495300,1502.237061,931.727051,-528.985901,1301.130493,967.752258,-528.868591,1176.735474,,,,969.468140,-425.652924,1073.096436,906.540588,-316.960205,1001.778870,951.620422,-341.630951,948.988586,954.953918,-210.708145,964.125305,981.438232,-278.884491,943.437012,569.983215,-378.329193,1033.616089,770.943115,-362.510468,1049.569092,602.440735,-600.091919,1081.348145,749.099792,-588.339417,1073.703369,498.161194,-474.973328,1053.878296,847.907776,-475.520050,1065.015137,467.385376,-484.021484,888.020996,482.104797,-488.712372,776.380493,493.502899,-444.807770,702.851135,497.865387,-520.415833,664.371155,502.912231,-563.625244,736.943848,510.409760,-505.276428,531.013428,,,,494.707581,-599.996338,368.662445,477.585724,-548.405090,332.671387,502.693359,-596.769409,262.399994,529.759338,-637.494507,296.881622,514.201965,-575.903137,77.679855,,,,575.579224,-623.413818,33.939247,552.410950,-377.071564,32.474262,872.108765,-484.278809,851.869507,480.766144,-429.374817,27.632008,856.787354,-449.483368,786.595093,823.950439,-392.774536,726.757690,,,,855.517517,-513.968079,730.238220,832.183838,-491.890076,532.797119,,,,851.747009,-530.272644,359.421356,826.169312,-499.152527,278.357025,843.248413,-552.835144,259.212585,858.424194,-586.619812,338.494385,828.351929,-573.927429,83.461288,,,,784.872742,-621.866943,57.156853,794.137512,-383.382233,36.909664,863.249268,-436.369843,31.047632,954.612549,186.304367,159.777008,923.981995,612.745850,155.816925,488.416077,601.613037,153.913773,478.989624,175.925415,168.782776,1028.729736,119.405281,1079.899536,1051.726318,97.915367,1054.079346,1049.793701,71.551292,1024.606079,427.187073,123.043785,1093.406738,390.965607,110.316902,1079.097290,373.895630,88.436249,1051.059937
24752,0,618.688721,-308.571411,1706.228760,708.190063,-312.201874,1712.974487,635.283264,-504.083405,1715.157471,711.071777,-487.913849,1709.084839,600.026001,-412.290100,1584.069336,739.226624,-412.750397,1604.039307,666.345337,-569.872620,1557.687012,660.372131,-634.655945,1440.673706,659.418213,-394.399200,1418.468628,661.219360,-375.169800,1347.719849,729.525574,-635.752869,1465.449829,465.329865,-508.448242,1511.359009,399.072571,-519.129150,1306.392456,358.040588,-516.848267,1186.141846,,,,321.344116,-407.654022,1068.036865,347.576691,-274.002747,1011.412842,334.036835,-325.095276,963.088623,279.783112,-196.909729,934.700134,282.947571,-277.903442,936.326416,873.425293,-500.420502,1502.473999,932.611084,-527.997986,1301.627686,968.952637,-527.023438,1177.552124,,,,969.906311,-420.681793,1078.268066,905.944763,-310.288330,1010.912048,951.806091,-331.416748,957.634094,952.058167,-201.547363,979.671753,980.720825,-267.801941,956.023010,570.185730,-378.458374,1033.631714,771.189697,-362.475769,1049.499390,602.914185,-600.228210,1081.358398,749.563293,-588.306824,1073.738647,498.580292,-474.928375,1053.794189,848.054932,-475.209991,1064.925171,467.667145,-484.277252,888.051453,482.762177,-488.400696,776.299011,493.835968,-444.897919,702.834290,498.082397,-520.587036,664.363770,503.150574,-563.879639,736.954529,510.534637,-505.441895,531.056335,,,,494.880005,-600.181824,368.669525,477.698059,-548.520752,332.712189,502.673492,-596.993286,262.277557,529.901001,-637.639954,296.891663,514.214600,-575.877808,77.664726,,,,575.302368,-623.762573,34.415100,552.423889,-377.067596,32.480320,872.418823,-484.173920,851.863953,480.749573,-429.407196,27.676750,856.983093,-449.422089,786.549316,823.982727,-392.711884,726.665161,,,,855.822571,-513.947815,730.265625,832.343445,-491.963043,532.773132,,,,851.874451,-530.353455,359.398193,826.272461,-499.205902,278.394928,843.374878,-552.908386,259.201691,858.570496,-586.640808,338.414124,828.403381,-573.958130,83.422813,,,,785.229004,-621.194824,56.520458,794.154968,-383.366760,36.904011,863.223450,-436.391052,31.053377,954.611450,186.329437,159.713974,923.990051,612.743347,155.828079,488.392273,601.655029,153.857864,478.965576,175.963531,168.755112,1028.762939,119.371834,1079.898315,1051.732788,97.914841,1054.079712,1049.808716,71.510475,1024.636475,427.193634,123.031143,1093.385376,390.845673,110.203537,1079.273315,373.922058,88.445045,1051.075806
24753,0,618.989746,-308.589264,1706.399414,708.397278,-312.198517,1713.165405,635.603088,-504.112610,1715.175903,711.469299,-488.062012,1709.219238,600.353516,-412.188812,1584.178711,739.488098,-412.697784,1604.078857,666.662048,-569.800842,1557.702026,660.680298,-634.576416,1440.651978,659.614929,-394.354492,1418.499756,661.511658,-375.062531,1347.725098,729.882751,-635.667236,1465.514160,465.742035,-508.474579,1511.756592,398.842072,-518.756531,1307.017822,357.397736,-515.866638,1187.100464,,,,319.986176,-402.629456,1073.757690,347.772156,-266.965881,1021.909485,332.143616,-315.994324,972.125427,279.626068,-185.960175,950.410522,281.166077,-266.882477,948.844116,873.637817,-500.353638,1502.737793,933.540771,-526.966492,1302.214722,970.249207,-524.986694,1178.433594,,,,970.250488,-414.968475,1083.329224,904.658875,-303.627014,1020.097046,951.876709,-321.376831,966.727722,949.139465,-192.724304,995.389954,979.690918,-257.231232,968.870361,570.351624,-378.503204,1033.615723,771.284485,-362.415985,1049.392090,603.349060,-600.359985,1081.387817,749.989929,-588.238220,1073.764893,498.893951,-475.038971,1053.766357,848.417908,-475.145355,1064.964478,467.895416,-484.550690,888.058044,482.640381,-488.909546,776.334045,493.806061,-445.253693,702.904053,498.336731,-520.753479,664.364807,503.429230,-564.054260,736.951050,510.694611,-505.021271,530.607849,,,,494.977783,-600.314636,368.687317,477.787079,-548.591125,332.696442,502.809235,-596.991821,262.222961,530.004883,-637.688965,296.871094,514.260742,-575.807922,77.563828,,,,575.713318,-623.746521,33.816921,552.440186,-377.058868,32.472378,872.709595,-484.063324,851.827026,480.990082,-429.159607,27.729603,857.215393,-449.337311,786.505310,824.132324,-392.715118,726.581665,,,,856.103271,-513.871521,730.238770,832.495483,-491.977203,532.698425,,,,852.031067,-530.390869,359.397949,826.383301,-499.222198,278.344360,843.448120,-552.859802,259.045654,858.721069,-586.703796,338.407288,828.412476,-573.938049,83.369911,,,,785.266418,-621.174316,56.449520,794.277039,-383.197144,36.680168,863.192932,-436.352783,31.031137,954.612854,186.306900,159.725342,924.154663,612.687500,156.153839,488.346222,601.595581,153.839401,479.003693,175.918747,168.752823,1028.746582,119.372551,1079.896240,1051.723145,97.902771,1054.063477,1049.840332,71.516197,1024.599609,427.197754,123.053581,1093.407593,391.161835,110.385735,1079.017578,373.910065,88.441330,1051.060059
24754,0,619.212769,-308.676605,1706.583984,708.701843,-312.160095,1713.316162,635.935791,-504.078217,1715.188354,711.810547,-488.073822,1709.250610,600.660339,-412.094940,1584.262695,739.906677,-412.735626,1604.213013,666.987732,-569.694458,1557.720581,661.045288,-634.471863,1440.648438,659.836975,-394.306793,1418.557007,661.770569,-374.995819,1347.751953,730.240906,-635.530945,1465.547119,466.083984,-508.442413,1512.141113,398.610809,-518.418701,1307.659058,356.916351,-514.994263,1188.104126,,,,319.262817,-397.773804,1080.076660,348.905365,-260.379639,1032.825562,330.656830,-306.943268,981.785095,280.361969,-175.672134,966.548279,280.052216,-255.993454,961.931946,873.868103,-500.176239,1503.019165,934.546265,-525.844360,1302.855957,971.586365,-522.762329,1179.413208,,,,970.520020,-409.551636,1088.793213,903.096680,-296.750732,1029.440308,951.706726,-311.547363,975.989746,945.803955,-184.102219,1011.022217,978.495361,-247.146698,981.939758,570.473206,-378.553955,1033.621704,771.499634,-362.288483,1049.393433,603.797668,-600.451843,1081.416748,750.427185,-588.236877,1073.832520,499.186310,-475.241486,1053.749146,848.670654,-475.039185,1064.977905,468.038330,-484.930969,888.334290,482.863708,-489.159027,776.465942,494.009552,-445.419952,702.882568,498.498840,-520.959717,664.382019,503.649780,-564.226013,736.928955,510.828125,-505.779449,531.124756,,,,495.140320,-600.386047,368.690125,477.896515,-548.729309,332.712708,502.938873,-597.052246,262.240814,530.108704,-637.763184,296.776947,514.321045,-575.809448,77.631821,,,,575.334290,-623.738770,34.369549,552.439087,-377.063019,32.491375,872.976501,-483.903839,851.784424,480.913177,-429.195068,27.599154,857.469299,-449.317108,786.485657,824.252441,-392.718231,726.601746,,,,856.361389,-513.789734,730.190613,832.679993,-492.037262,532.714783,,,,852.140259,-530.469543,359.383606,826.460083,-499.219330,278.352386,843.562927,-552.976562,259.096344,858.836487,-586.705383,338.327728,828.466736,-573.956421,83.363068,,,,785.285522,-621.201721,56.451035,794.187927,-383.356140,36.801628,863.288635,-436.347534,31.006073,954.619873,186.278595,159.694183,924.184937,612.702637,156.137573,488.354767,601.576721,153.858032,479.018768,175.912292,168.735641,1028.729736,119.343063,1079.887573,1051.781006,97.889351,1054.015137,1049.828247,71.497925,1024.604492,427.206482,123.050247,1093.391113,391.033813,110.304985,1079.072632,373.910034,88.433243,1051.078735
