Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,RTHIA
All Timesteps RMSE,0.045109,0,0,0,0,0.0480927,0,0,0,0,0,0,0.0313238,0.0519342,0.0223888,0.0131426,0,0,0.0290281,0,0.0330051,0.0166834,0.0375175,0.0258576,0.016166,0.0113701,0.0363323,0.0630208,0.0111061,0.013761,0.0113851,0.0142272,0.0111588,0.0113491,0.0106918,0.0134605,0.0354548,0.0388131,0.0473983,0.0229606,0.024644,0.0326784,0.0145895,0.0137218,0.0320621,0,0,0.0243129,0,0.0370684,0.0201717,0.0654502,0.0176794,0.0103637,0.0174707,0.0364313,0.0457583,0.012821,0.0166335,0.0147917,0.0111345,0.00708195,0.0117031,0.0167365,0.0284694,0.0224761,0.0170562,0.0181996,0.0418816,0.0373258,0,0,0,0,0,0.0293978
0,0.0260849,0,0,0,0,0.0320769,0,0,0,0,0,0,0.0263782,0.017096,0.0141688,0.00870591,0,0,0.0598766,0,0.0367352,0.0388638,0.0396029,0.0110427,0.00939843,0.00492223,0.0168113,0.0615421,0.00866796,0.0067508,0.00500315,0.0170187,0.00661827,0.00723031,0.00784458,0.0170842,0.0225372,0.0505457,0.0139361,0.0290267,0.0191271,0.0153181,0.0116473,0.00584956,0.0248887,0,0,0.043822,0,0.0258865,0.0294832,0.0612472,0.0268237,0.0126355,0.00420103,0.013857,0.0618361,0.016787,0.00677821,0.0162569,0.0121508,0.0157228,0.0134756,0.0252272,0.029818,0.0180541,0.0327838,0.00598485,0.0296111,0.0255258,0,0,0,0,0,0
1,0.0264242,0,0,0,0,0.0313461,0,0,0,0,0,0,0.0410425,0.0186558,0.0213596,0.00874586,0,0,0.0516878,0,0.0376339,0.0336768,0.0395721,0.0183588,0.00848841,0.0105503,0.0161978,0.0598731,0.00493088,0.0100696,0.00818243,0.0187486,0.00365851,0.00186052,0.00649775,0.0145403,0.0359761,0.0437117,0.0158958,0.0269793,0.0169284,0.016333,0.010874,0.00603134,0.0256065,0,0,0.0395993,0,0.0238934,0.0259148,0.0618587,0.0249986,0.0118437,0.00457367,0.0135363,0.0596204,0.0154405,0.00547929,0.0144146,0.0120466,0.0159023,0.0126435,0.023505,0.0266381,0.0153726,0.0305185,0.00734259,0.0286886,0.0258861,0,0,0,0,0,0
2,0.0261144,0,0,0,0,0.0312943,0,0,0,0,0,0,0.0402242,0.0197379,0.0211212,0.00885216,0,0,0.0488616,0,0.0379445,0.0319308,0.0397278,0.0185816,0.00848274,0.0101008,0.0166579,0.0588297,0.00484033,0.00995889,0.00796442,0.0186057,0.00372191,0.00131462,0.00634392,0.014599,0.0343287,0.0411649,0.0179176,0.0261831,0.0159961,0.0168425,0.0112202,0.00610858,0.0253238,0,0,0.0392725,0,0.0231918,0.025085,0.0618158,0.0254041,0.0114791,0.00482583,0.0138966,0.0592875,0.0154895,0.00564271,0.0141131,0.0121696,0.0156182,0.0126405,0.0233678,0.0259215,0.0154779,0.0276243,0.00726382,0.0289569,0.0256883,0,0,0,0,0,0
3,0.0266792,0,0,0,0,0.0318606,0,0,0,0,0,0,0.0390119,0.0207228,0.0210236,0.00932098,0,0,0.0480975,0,0.0377458,0.0315911,0.0397847,0.0187619,0.00850258,0.00965221,0.0177826,0.058454,0.00517562,0.00969821,0.00768522,0.018388,0.00385523,0.00119722,0.00624705,0.0146671,0.0322116,0.0406679,0.0201066,0.0256815,0.0158513,0.0172151,0.0124141,0.00649167,0.0256647,0,0,0.0389231,0,0.0225567,0.0241158,0.0614315,0.0274065,0.0113411,0.00543098,0.0147851,0.0594386,0.0162941,0.0068003,0.0150629,0.012744,0.0152367,0.0132573,0.0243851,0.0266665,0.0157297,0.0237506,0.00763372,0.0295796,0.0262636,0,0,0,0,0,0
4,0.0274863,0,0,0,0,0.0325379,0,0,0,0,0,0,0.037476,0.0216695,0.0207989,0.00982418,0,0,0.0473599,0,0.0373608,0.0313022,0.0398069,0.0188963,0.00849626,0.00913154,0.0189337,0.058327,0.00518152,0.00941416,0.00741103,0.0181538,0.00397872,0.00168418,0.00631575,0.0147262,0.0301918,0.0405832,0.0220698,0.0250457,0.0151258,0.0175507,0.0129482,0.00697856,0.0261903,0,0,0.0388696,0,0.0218729,0.0233183,0.0617164,0.0280979,0.0108666,0.00593501,0.0157893,0.0599968,0.0161334,0.00716286,0.0150607,0.0128422,0.0148692,0.0132961,0.0244237,0.0259197,0.0163723,0.0195496,0.00817921,0.0300935,0.0269604,0,0,0,0,0,0
5,0.0233702,0,0,0,0,0.0324221,0,0,0,0,0,0,0.0338886,0.0222492,0.0200583,0.00814999,0,0,0.0480691,0,0.0377945,0.0322143,0.0390281,0.0187856,0.0107895,0.00844593,0.0202673,0.0584852,0.0062698,0.00986202,0.00752688,0.016549,0.0046913,0.0030115,0.00687507,0.0141687,0.026067,0.0420846,0.0239147,0.0252457,0.00349894,0.0177604,0.0063169,0.0043486,0.0199486,0,0,0.0396509,0,0.0213221,0.022962,0.0667884,0.0119533,0.0123688,0.0079558,0.0177743,0.0562954,0.00624834,0.00654729,0.00543512,0.007639,0.00972311,0.00838667,0.0128545,0.00350253,0.0201649,0.0171303,0.00952399,0.0309116,0.0234437,0,0,0,0,0,0.0296017
6,0.0312395,0,0,0,0,0.0333427,0,0,0,0,0,0,0.0330068,0.023673,0.0198704,0.00877653,0,0,0.0466353,0,0.0374114,0.0309099,0.0391088,0.0186598,0.0109592,0.00823125,0.0216765,0.0579578,0.00623051,0.00979023,0.0075178,0.0161611,0.00482097,0.00349062,0.00698138,0.0141378,0.0249156,0.0416395,0.0261938,0.0235023,0.00351745,0.017794,0.00654406,0.00502889,0.0290456,0,0,0.038396,0,0.021184,0.0218495,0.0670679,0.0115492,0.0117484,0.00818851,0.0190874,0.0597437,0.00688195,0.00715721,0.0052072,0.00757611,0.00907973,0.0084799,0.0124294,0.0027608,0.0159417,0.013643,0.00954468,0.0305832,0.030351,0,0,0,0,0,0.0298849
7,0.0339411,0,0,0,0,0.0342004,0,0,0,0,0,0,0.032383,0.0246853,0.0198204,0.00927244,0,0,0.0454884,0,0.0372363,0.0295771,0.0391966,0.0185071,0.0111167,0.00799399,0.0227291,0.0574988,0.00600537,0.00994047,0.00755366,0.015835,0.0048771,0.00380906,0.00708207,0.0141421,0.0241833,0.0415057,0.0279638,0.0219192,0.00424522,0.0178705,0.00687689,0.00543373,0.0320003,0,0,0.0378963,0,0.0209634,0.0211897,0.0673126,0.0115909,0.0112393,0.00806154,0.0200713,0.061408,0.00737435,0.00735612,0.00511816,0.00760959,0.00859191,0.00855419,0.0121761,0.00275846,0.0152152,0.0122593,0.00951885,0.0310992,0.0325934,0,0,0,0,0,0.0296976
8,0.0362846,0,0,0,0,0.0350436,0,0,0,0,0,0,0.0316106,0.0255046,0.0198672,0.00969196,0,0,0.0441731,0,0.0370275,0.0282074,0.0392895,0.0184465,0.0112818,0.00773614,0.0237087,0.0571309,0.00616587,0.0101878,0.00760954,0.0156321,0.00492933,0.00413166,0.0071827,0.0141958,0.0235157,0.0410559,0.0294427,0.0202272,0.00510493,0.0179185,0.00718377,0.00573056,0.0345936,0,0,0.0371143,0,0.0207928,0.020628,0.0675569,0.011691,0.0107386,0.00792452,0.0210065,0.0628389,0.00765057,0.00747538,0.00508595,0.00765011,0.00814065,0.00859912,0.0119572,0.00320742,0.0144509,0.0117418,0.00940277,0.0317284,0.0346131,0,0,0,0,0,0.0293132
9,0.0325265,0,0,0,0,0.0352426,0,0,0,0,0,0,0.031019,0.0261624,0.0199304,0.00957593,0,0,0.0432778,0,0.0367772,0.0273527,0.0392238,0.0185517,0.0112567,0.00726887,0.0239531,0.0571919,0.00604659,0.0101553,0.00755264,0.0156524,0.00486616,0.00444522,0.0072035,0.0143686,0.0229617,0.0409849,0.0307077,0.0188156,0.00587989,0.0183719,0.00734187,0.0056539,0.0293328,0,0,0.0365409,0,0.020471,0.0200638,0.0677981,0.0117162,0.0105282,0.00785585,0.0213344,0.0609469,0.0077009,0.00762001,0.00516833,0.00766965,0.00777402,0.00862634,0.0117824,0.00388314,0.0181147,0.0116065,0.00935062,0.0326942,0.0307087,0,0,0,0,0,0.0289478
10,0.0328931,0,0,0,0,0.035874,0,0,0,0,0,0,0.0304983,0.0268432,0.0199771,0.00966844,0,0,0.0420788,0,0.036657,0.0264521,0.0393531,0.0185536,0.011411,0.00699133,0.0246674,0.0572286,0.00682204,0.0102787,0.00760486,0.0155043,0.0049447,0.00484074,0.00730474,0.0143822,0.0224142,0.0404663,0.032185,0.0175658,0.00643553,0.0185673,0.00744195,0.00577409,0.0293243,0,0,0.0349346,0,0.0204234,0.019215,0.0679847,0.0115565,0.0101235,0.00783137,0.0220918,0.0607007,0.00773443,0.00781001,0.00528955,0.00772473,0.00755226,0.00866171,0.0116121,0.00449091,0.0182432,0.0106766,0.00949281,0.0332765,0.0308944,0,0,0,0,0,0.0286648
11,0.0334533,0,0,0,0,0.0365126,0,0,0,0,0,0,0.0300192,0.0276418,0.0198387,0.00966431,0,0,0.0411101,0,0.0364084,0.0258654,0.0394589,0.0184297,0.0116156,0.00684129,0.0253103,0.0572229,0.0072005,0.010358,0.00767319,0.0153532,0.00509043,0.00515547,0.00740965,0.0143315,0.0221055,0.0400001,0.0336906,0.0166572,0.00683507,0.0183384,0.00756756,0.00584746,0.0295464,0,0,0.0332358,0,0.020128,0.0181194,0.0681429,0.0114864,0.00983489,0.00788333,0.0227674,0.0604977,0.00799402,0.00795963,0.00543445,0.00780678,0.00734642,0.00870946,0.0115315,0.00497685,0.01826,0.00949263,0.00954431,0.0336301,0.0312474,0,0,0,0,0,0.0285531
