Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,LTHI,RTHIA
All Timesteps RMSE,0.0245057,0,0,0,0,0.021958,0,0,0,0,0,0,0.022503,0.0525532,0.012767,0.00583004,0,0,0.0228957,0,0.0285762,0.016327,0.0352838,0.0153131,0.0152897,0.00850593,0.0137634,0.036318,0.00794973,0.0062013,0.0185907,0.0114582,0.0113255,0.00711206,0.0257357,0.0282815,0.018196,0.0426786,0.021854,0.0187986,0.0305915,0.0103461,0.00889058,0.0181713,0,0,0.0229154,0,0.0319832,0.011909,0.0637131,0.0170168,0.0198642,0.0111601,0.0127106,0.0358819,0.0121055,0.0090395,0.00927615,0.0101428,0.0148238,0.0100747,0.0169539,0.0260798,0.0235012,0.0142551,0.01073,0.0210168,0.0168005,0,0,0,0,0,0.00587931,0.0380925
0,0.0193891,0,0,0,0,0.0227471,0,0,0,0,0,0,0.0119695,0.0217711,0.00828215,0.00734508,0,0,0.0174324,0,0.0284006,0.0123768,0.0354542,0.00942138,0.0184478,0.00778534,0.0288796,0.0435607,0.0104174,0.00839645,0.0243357,0.00466497,0.00300573,0.00494154,0.0272811,0.016131,0.0122013,0.0148371,0.0268646,0.0178584,0.012783,0.0215685,0.00743955,0.00687844,0,0,0.0186521,0,0.0300932,0.0157256,0.0640243,0.0379071,0.035976,0.0182375,0.0304974,0.0392187,0.0107697,0.0143004,0.0125543,0.0185339,0.0224907,0.0167261,0.0275149,0.0330952,0.0163965,0.0292867,0.00580272,0.0193186,0.00901475,0,0,0,0,0,0,0
1,0.0190626,0,0,0,0,0.0221297,0,0,0,0,0,0,0.0116765,0.0211991,0.00835398,0.00719951,0,0,0.0194245,0,0.0287543,0.0139054,0.0354476,0.00950221,0.0182691,0.00765438,0.0282069,0.0422844,0.0101807,0.00833835,0.024192,0.0045064,0.00281845,0.00476344,0.0271727,0.0157811,0.0130574,0.0143814,0.026053,0.0178027,0.0129099,0.0215413,0.00728631,0.0067369,0,0,0.0188779,0,0.029599,0.0156009,0.0641708,0.0379296,0.035544,0.0183672,0.0297595,0.03969,0.0107572,0.0143261,0.0125759,0.0185358,0.0224254,0.0166787,0.0274984,0.0334031,0.0174363,0.0294178,0.00547885,0.0188437,0.00884981,0,0,0,0,0,0,0
2,0.0196152,0,0,0,0,0.0235519,0,0,0,0,0,0,0.0120907,0.022107,0.00855652,0.00758596,0,0,0.0162469,0,0.0283187,0.0120142,0.0355106,0.00968051,0.018792,0.00768525,0.0294818,0.0451418,0.0101886,0.00832424,0.0242731,0.00451932,0.00283358,0.00475637,0.0271279,0.0162527,0.0124195,0.0147183,0.027456,0.0181021,0.0127598,0.0217446,0.00767985,0.00722242,0,0,0.0186047,0,0.0299571,0.0156001,0.0641426,0.0382842,0.0361377,0.0183669,0.0310017,0.0398545,0.0107772,0.0144127,0.012621,0.018674,0.0225465,0.0169091,0.0278018,0.0339312,0.0163953,0.0291962,0.00573723,0.0201034,0.00920635,0,0,0,0,0,0,0
3,0.0196111,0,0,0,0,0.0235389,0,0,0,0,0,0,0.0122271,0.0221962,0.00860282,0.00760404,0,0,0.0161301,0,0.0282919,0.0120314,0.0354965,0.00972494,0.0188213,0.00767246,0.0294824,0.0451956,0.0100909,0.00830856,0.0242891,0.00450984,0.00283883,0.00473483,0.027134,0.0163853,0.0124022,0.0147634,0.0275435,0.0182461,0.0128643,0.0218,0.00779244,0.00716564,0,0,0.0184685,0,0.0300485,0.0155736,0.0641085,0.0384298,0.0361396,0.018385,0.0310143,0.0398285,0.0107659,0.0144679,0.0126168,0.0187214,0.0225745,0.0169514,0.0278956,0.0340976,0.0162617,0.0290825,0.00594736,0.0201607,0.00916549,0,0,0,0,0,0,0
4,0.019606,0,0,0,0,0.023523,0,0,0,0,0,0,0.0123487,0.0222414,0.00861722,0.00761975,0,0,0.0160812,0,0.0282444,0.0120135,0.0354943,0.00977589,0.0188703,0.00769318,0.0294741,0.0452932,0.0100248,0.00829675,0.0243098,0.00450116,0.00283978,0.00471319,0.0271518,0.0165684,0.0124258,0.0148342,0.027601,0.0184202,0.0129057,0.0217997,0.0078268,0.00710196,0,0,0.0183463,0,0.0300803,0.0155538,0.0640806,0.0384929,0.0361398,0.0183709,0.0310079,0.0398841,0.0107377,0.0144523,0.0125392,0.0187696,0.0226185,0.0169769,0.0279528,0.0343142,0.0161723,0.0290516,0.00608978,0.0201867,0.00912631,0,0,0,0,0,0,0
5,0.0195581,0,0,0,0,0.0234615,0,0,0,0,0,0,0.0123585,0.022243,0.00865707,0.00761589,0,0,0.0161178,0,0.0281474,0.0120124,0.0355012,0.0098405,0.0189177,0.00763193,0.0294325,0.0453822,0.0102665,0.00829094,0.0243852,0.0044044,0.00285403,0.00465988,0.0270594,0.0167112,0.0124988,0.0148804,0.0276969,0.0186529,0.012952,0.0217476,0.00775773,0.00701477,0,0,0.0182487,0,0.0300695,0.015487,0.0640605,0.0384534,0.0361275,0.0183741,0.0309726,0.0399651,0.0107196,0.0143808,0.0124441,0.0188192,0.0225584,0.0169982,0.0279719,0.0345394,0.0161634,0.02903,0.00619442,0.0201402,0.00908354,0,0,0,0,0,0,0
6,0.0194966,0,0,0,0,0.0233971,0,0,0,0,0,0,0.0124059,0.0222847,0.00873908,0.00758946,0,0,0.0161506,0,0.0280577,0.0120744,0.03549,0.00990427,0.0190126,0.0075941,0.0293768,0.0456134,0.0108933,0.00830446,0.0244551,0.00419451,0.00298853,0.00467403,0.0269974,0.0168052,0.0125905,0.0149111,0.0278424,0.0189503,0.0129908,0.0216989,0.00758664,0.00690725,0,0,0.0181716,0,0.0300398,0.0153874,0.0639914,0.0384113,0.0361367,0.0184084,0.0309224,0.0399218,0.0107612,0.0143342,0.0123965,0.0188642,0.0223172,0.0170373,0.0280031,0.0348609,0.0161647,0.029005,0.00621841,0.0200917,0.00904926,0,0,0,0,0,0,0
7,0.0194107,0,0,0,0,0.0232879,0,0,0,0,0,0,0.0124537,0.0222857,0.0087544,0.00753795,0,0,0.0162465,0,0.0279645,0.0122077,0.0354911,0.00998498,0.0191027,0.00759674,0.0292407,0.0457865,0.0111645,0.00831273,0.0245248,0.00410499,0.00306563,0.00468466,0.0269802,0.0168776,0.0126771,0.0149603,0.0278848,0.0191343,0.0129902,0.0216848,0.00754172,0.00679272,0,0,0.0180645,0,0.0300112,0.0152968,0.063922,0.0384111,0.0360778,0.0183333,0.0307702,0.0398638,0.0107694,0.0142712,0.0123249,0.0188635,0.0223262,0.0170759,0.0280071,0.0349947,0.0161236,0.0289155,0.00621586,0.0200132,0.00897742,0,0,0,0,0,0,0
8,0.019257,0,0,0,0,0.0229826,0,0,0,0,0,0,0.012479,0.0222055,0.00872754,0.00740797,0,0,0.0166675,0,0.0279046,0.0125642,0.0354515,0.0100649,0.0190527,0.00767129,0.0289791,0.0454901,0.0112177,0.00836528,0.0246092,0.00415299,0.00313193,0.0047209,0.027017,0.0168344,0.0127322,0.0150794,0.0277533,0.0192386,0.0129842,0.0216435,0.00749803,0.00662291,0,0,0.0178844,0,0.0300145,0.0151952,0.0639018,0.0383644,0.0358881,0.0181775,0.0304383,0.0398019,0.0107308,0.0141916,0.0122285,0.0188341,0.0226421,0.017113,0.0279929,0.0349502,0.0160459,0.0288664,0.00624487,0.0197396,0.00881033,0,0,0,0,0,0,0
