Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,RTHII
All Timesteps RMSE,0.0274721,0,0,0,0,0.0223039,0,0,0,0,0,0,0.0303828,0.0516203,0.0205857,0.00707851,0,0,0.0294069,0,0.0297887,0.0207466,0.0401558,0.0233272,0.0158186,0.0100945,0.0199076,0.0334231,0.00972905,0.0113878,0.00966244,0.0147829,0.0113568,0.0117458,0.0104095,0.0135163,0.0363813,0.0244632,0.0434727,0.0198507,0.0190081,0.0322999,0.011375,0.00794353,0.0257493,0,0,0.0287358,0,0.0335802,0.0181176,0.0623565,0.0149762,0.0132851,0.0125943,0.0181429,0.0479563,0.0065644,0.0344842,0.00969049,0.00932524,0.0105825,0.00977051,0.0148282,0.0227765,0.0281259,0.0203357,0.0131175,0.020249,0.0242699,0,0,0,0,0,0.0112318
0,0.0481238,0,0,0,0,0.0378928,0,0,0,0,0,0,0.0326215,0.0197848,0.0269434,0.00828559,0,0,0.0265221,0,0.0357805,0.0171281,0.0369304,0.0244681,0.0188277,0.00633787,0.00237588,0.0305211,0.00480679,0.0029251,0.00576919,0.020094,0.0139122,0.0137181,0.0166,0.0136098,0.0321276,0.0205219,0.014069,0.0283665,0.0109635,0.0147299,0.00896383,0.00770433,0.0583801,0,0,0.0253141,0,0.0226346,0.0188305,0.065655,0.0154226,0.0205051,0.00986201,0.00423004,0.0792779,0.00110378,0.0375154,0.00588812,0.00987708,0.0162299,0.0107115,0.015682,0.0153801,0.0285726,0.00475265,0.0249133,0.0319403,0.0436617,0,0,0,0,0,0
1,0.0408865,0,0,0,0,0.0311315,0,0,0,0,0,0,0.0327669,0.0196176,0.0276716,0.00791465,0,0,0.0302125,0,0.0349849,0.0196281,0.0370552,0.0254922,0.0183609,0.00692238,0.00266274,0.0290619,0.00492438,0.00327339,0.0059032,0.0197321,0.0145407,0.014389,0.0173477,0.0136319,0.032201,0.024118,0.01451,0.0293317,0.010304,0.0154724,0.00865955,0.00717555,0.0509462,0,0,0.0220268,0,0.0216917,0.0172229,0.0657926,0.0150483,0.019861,0.00975627,0.00399657,0.0710327,0.00120299,0.0370307,0.00572528,0.00979193,0.0160183,0.0105661,0.015464,0.0145414,0.0230492,0.00401157,0.0247665,0.0261341,0.0386836,0,0,0,0,0,0
2,0.0435236,0,0,0,0,0.0341278,0,0,0,0,0,0,0.0304469,0.0202506,0.0253089,0.00718743,0,0,0.0303421,0,0.0343589,0.0196093,0.0371317,0.0228934,0.0177816,0.0068711,0.00420237,0.0288755,0.00503892,0.00348322,0.0059667,0.0197552,0.0134917,0.0130897,0.0156732,0.0127563,0.0300295,0.0245827,0.0155912,0.0287989,0.00990178,0.0159163,0.00835465,0.00629567,0.0546285,0,0,0.0221767,0,0.0214897,0.0180469,0.0656824,0.0144836,0.0188377,0.00981382,0.00456455,0.0744321,0.00133911,0.0367755,0.00552964,0.009588,0.0157619,0.01028,0.0150749,0.0139163,0.0258612,0.00541252,0.0255321,0.0293238,0.0415068,0,0,0,0,0,0
3,0.0448043,0,0,0,0,0.0362313,0,0,0,0,0,0,0.0272154,0.0210603,0.0214547,0.0065342,0,0,0.0302891,0,0.0338153,0.0196017,0.0371864,0.0183444,0.0173451,0.00701076,0.00606566,0.0283909,0.00507898,0.00387466,0.00612079,0.0200917,0.0118323,0.0109984,0.012986,0.0118363,0.0273429,0.024829,0.0167254,0.0281886,0.00949729,0.0160509,0.00807357,0.0056194,0.0569617,0,0,0.0224409,0,0.0210687,0.0189152,0.0656048,0.0139986,0.0179347,0.00983989,0.00586201,0.0765424,0.00148899,0.0365498,0.00534043,0.00943894,0.0155246,0.0100319,0.0146792,0.0132973,0.0277962,0.00753453,0.0262088,0.0317924,0.0431964,0,0,0,0,0,0
4,0.0395286,0,0,0,0,0.0317587,0,0,0,0,0,0,0.0264705,0.0215247,0.0211294,0.00643073,0,0,0.0322716,0,0.033549,0.0209939,0.0373381,0.0178095,0.0173973,0.00732479,0.0070672,0.0270558,0.00515293,0.00418247,0.00639163,0.0201103,0.0119856,0.0110963,0.0130171,0.0113765,0.0264394,0.0265142,0.0176105,0.0277905,0.009171,0.016477,0.00784604,0.00541402,0.0518123,0,0,0.0195592,0,0.0205432,0.0176961,0.0656631,0.0136553,0.0176701,0.00981371,0.0066241,0.0711982,0.00166025,0.0363541,0.00522804,0.00936039,0.0153645,0.00988318,0.0144521,0.0128812,0.0238932,0.00889444,0.0259973,0.0284504,0.0396311,0,0,0,0,0,0
5,0.0362021,0,0,0,0,0.0295464,0,0,0,0,0,0,0.0263781,0.0221479,0.0217751,0.00642387,0,0,0.033268,0,0.0330171,0.0215439,0.0375523,0.0186228,0.0174648,0.00761796,0.00831665,0.0263346,0.00553152,0.00460081,0.00666746,0.0198728,0.012625,0.0118041,0.0137699,0.0109059,0.0258959,0.027517,0.0186087,0.0270115,0.00879777,0.0169881,0.007577,0.00521145,0.048731,0,0,0.0179976,0,0.0203235,0.0172465,0.0658015,0.0133365,0.0173319,0.00977301,0.00758155,0.0679485,0.00192526,0.0360436,0.00506073,0.00926337,0.0151185,0.00969999,0.0142298,0.0124135,0.0222048,0.0103419,0.026098,0.0272011,0.0375096,0,0,0,0,0,0
6,0.0435525,0,0,0,0,0.0367015,0,0,0,0,0,0,0.0260553,0.0231171,0.0220972,0.00605627,0,0,0.0320078,0,0.0322055,0.0202782,0.0376723,0.0191279,0.0173037,0.00792414,0.0102975,0.0264154,0.00557843,0.00493442,0.0068729,0.0195364,0.0130867,0.0122931,0.0142456,0.0104871,0.0254441,0.0268242,0.019968,0.0254217,0.00844994,0.0172461,0.00731534,0.00469791,0.0579998,0,0,0.020396,0,0.0205222,0.0186982,0.0659742,0.0129964,0.0166879,0.00982042,0.00913976,0.077157,0.00223507,0.0356868,0.00491971,0.00914378,0.0148223,0.00952437,0.0139697,0.0119501,0.0284425,0.0126085,0.0269371,0.0337333,0.0440946,0,0,0,0,0,0
7,0.0384612,0,0,0,0,0.0326217,0,0,0,0,0,0,0.0255529,0.0234955,0.0170497,0.00569537,0,0,0.033812,0,0.0319675,0.021086,0.0374913,0.0129026,0.0174329,0.00901822,0.0108225,0.0253794,0.0045316,0.00641332,0.00718096,0.0204119,0.010285,0.00815395,0.00981119,0.0111198,0.0273278,0.0284227,0.0208524,0.024796,0.00838897,0.0177682,0.00721811,0.00444143,0.0530383,0,0,0.0175483,0,0.0203199,0.0168812,0.066049,0.0128761,0.0166742,0.00984613,0.00961164,0.0722808,0.00229007,0.035631,0.00496582,0.00914037,0.0147724,0.00948516,0.0139159,0.0119013,0.0248825,0.013534,0.026045,0.0307876,0.0406082,0,0,0,0,0,0
8,0.0387188,0,0,0,0,0.0345656,0,0,0,0,0,0,0.0237236,0.025043,0.0165485,0.00523065,0,0,0.032862,0,0.0314995,0.0200455,0.037543,0.0127232,0.0173741,0.00878555,0.0122873,0.0252164,0.00460597,0.00623896,0.00727716,0.0202032,0.0107191,0.00869888,0.0101644,0.0107642,0.0254498,0.0279092,0.0225886,0.0231571,0.00813591,0.0181638,0.00709049,0.00395181,0.0544778,0,0,0.0181541,0,0.0203959,0.0173009,0.0661214,0.0126883,0.0164195,0.00981888,0.0108726,0.0737174,0.00244288,0.0354821,0.00485988,0.0090679,0.0146223,0.00942982,0.0137859,0.0116472,0.0271884,0.0149651,0.0259703,0.0330586,0.0413648,0,0,0,0,0,0
9,0.0386746,0,0,0,0,0.0370688,0,0,0,0,0,0,0.0220106,0.0268169,0.0160759,0.0050307,0,0,0.0312685,0,0.0310352,0.0186291,0.0374579,0.0123743,0.0172697,0.00868426,0.0135333,0.0254889,0.004991,0.00611985,0.00735629,0.0199403,0.011085,0.00931957,0.0105103,0.0105931,0.023602,0.0269006,0.0244051,0.0214021,0.00785279,0.0184221,0.0069507,0.00361614,0.0557845,0,0,0.0196464,0,0.020552,0.018055,0.0662197,0.0125331,0.0161962,0.00980335,0.0120293,0.075022,0.00262534,0.0352688,0.00474813,0.00898395,0.0143985,0.00935777,0.0136743,0.011332,0.0297582,0.0164149,0.026022,0.0358924,0.0417571,0,0,0,0,0,0
10,0.0361754,0,0,0,0,0.034921,0,0,0,0,0,0,0.0211421,0.0275826,0.0161191,0.00506843,0,0,0.0328556,0,0.0309882,0.019274,0.0375542,0.0124376,0.0172658,0.00865677,0.0137693,0.0253134,0.00519755,0.00594605,0.00737816,0.0197893,0.0113014,0.00975064,0.0107647,0.0104047,0.0226026,0.0283573,0.02544,0.0205514,0.00782958,0.0190111,0.0068605,0.00362263,0.0539649,0,0,0.0172686,0,0.0207072,0.0162323,0.0661756,0.0123843,0.0162352,0.00985414,0.0122364,0.0733676,0.00258997,0.0352526,0.0047157,0.00896823,0.0143816,0.00926289,0.0135647,0.0111639,0.0274804,0.0174286,0.0249498,0.0346092,0.0406014,0,0,0,0,0,0
11,0.0347039,0,0,0,0,0.0351287,0,0,0,0,0,0,0.021037,0.0286383,0.0165042,0.00501205,0,0,0.0327217,0,0.0307397,0.0187893,0.0377779,0.0127977,0.0173606,0.00858948,0.0141782,0.0260178,0.00522231,0.00600428,0.00741446,0.019648,0.0115566,0.0100661,0.0110946,0.0101215,0.0222184,0.0284483,0.0266898,0.018894,0.00769709,0.0194433,0.00676316,0.00352941,0.0535686,0,0,0.0166693,0,0.0209424,0.0157179,0.0662348,0.012284,0.0160844,0.00984898,0.0126661,0.0731322,0.00266267,0.0351578,0.00467572,0.00884134,0.0142619,0.0092076,0.013482,0.0110115,0.027609,0.0179744,0.0244599,0.0352806,0.0400787,0,0,0,0,0,0
12,0.0335991,0,0,0,0,0.0356244,0,0,0,0,0,0,0.0211176,0.0295976,0.0168268,0.00493506,0,0,0.0325397,0,0.0305643,0.0182484,0.0379199,0.0130556,0.017403,0.00873011,0.014558,0.0270555,0.00525325,0.00615146,0.00746276,0.0195336,0.0117379,0.0103045,0.0113522,0.00992365,0.0219441,0.0285593,0.0279116,0.0170891,0.00760962,0.0198283,0.00669932,0.00347465,0.0535745,0,0,0.0162644,0,0.0210927,0.0154672,0.0662425,0.0121691,0.0159994,0.00987071,0.0129953,0.0732586,0.00265728,0.0350977,0.00463739,0.00855641,0.014228,0.00917881,0.0134075,0.0108864,0.0276879,0.019027,0.02435,0.0361783,0.0398767,0,0,0,0,0,0
13,0.0261737,0,0,0,0,0.0389868,0,0,0,0,0,0,0.0213698,0.0297956,0.0171713,0.0051909,0,0,0.0354696,0,0.030947,0.0208029,0.0380426,0.0135666,0.0175611,0.0088034,0.01385,0.0381589,0.00557402,0.00617472,0.00753829,0.0196109,0.0118437,0.0104447,0.011548,0.0098927,0.022089,0.0307873,0.0284756,0.0174881,0.00785532,0.0200939,0.00678313,0.00360104,0.0521143,0,0,0.0171603,0,0.0212871,0.0160413,0.0659799,0.0121788,0.0162033,0.00986322,0.0121857,0.0736543,0.00230566,0.0354324,0.00459306,0.00858923,0.0144,0.00922063,0.0134731,0.0111,0.0286844,0.0201499,0.0246825,0.0416371,0.038006,0,0,0,0,0,0
14,0.0332953,0,0,0,0,0.0370727,0,0,0,0,0,0,0.0208971,0.031826,0.0172269,0.00500551,0,0,0.0319973,0,0.0302065,0.0170405,0.0380693,0.0137108,0.0174429,0.00884996,0.0150563,0.0287958,0.0059445,0.00628053,0.00758565,0.019409,0.0119986,0.0106546,0.0116801,0.00978283,0.0215647,0.0287213,0.0303493,0.014854,0.00737457,0.0206452,0.00638405,0.00351829,0.0550182,0,0,0.0157382,0,0.0216858,0.0149412,0.0661096,0.0117187,0.0157801,0.00985843,0.0133735,0.0748773,0.00262849,0.0350555,0.00441576,0.00846651,0.0137508,0.00898062,0.0131585,0.0106131,0.0278411,0.0211593,0.0241555,0.0381309,0.0407222,0,0,0,0,0,0
