Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x75,x74
All Timesteps RMSE,0.0306905,0,0,0,0,0.0264328,0,0,0,0,0,0,0.0303411,0.0457976,0.0180726,0.00633821,0,0,0.0262057,0,0.0292297,0.0164457,0.0353747,0.0180783,0.0172539,0.0098828,0.0144315,0.0474114,0.00744822,0.00918289,0.00748706,0.0196623,0.012662,0.0130279,0.0104586,0.0235376,0.0344626,0.0237114,0.0368157,0.0211456,0.0239025,0.0270805,0.012228,0.00801571,0.0238807,0,0,0.0252831,0,0.0300369,0.0134931,0.0607128,0.0193393,0.0216193,0.0109618,0.0135573,0.0366246,0.00456485,0.0378304,0.00944729,0.00999606,0.0107057,0.0158113,0.0115632,0.0184817,0.030724,0.0213999,0.0204944,0.0123496,0.025709,0.0221444,0,0,0,0,0
0,0.0342875,0,0,0,0,0.0323955,0,0,0,0,0,0,0.015627,0.0244249,0.0074785,0.0102725,0,0,0.0461459,0,0.0344311,0.030641,0.0346891,0.0104038,0.0223613,0.00437006,0.025271,0.0469162,0.00183078,0.0038187,0.00321108,0.0209695,0.0044094,0.00344847,0.00271163,0.0238722,0.022265,0.0282962,0.023184,0.00816008,0.0239884,0.0169551,0.0184298,0.00925933,0.0264779,0,0,0.017736,0,0.0238531,0.0107338,0.0636402,0.0328865,0.03263,0.003757,0.0268051,0.049079,0.00472336,0.0370216,0.00830624,0.00724304,0.0127063,0.0199375,0.0156932,0.0239759,0.0347706,0.0163185,0.0159972,0.00889988,0.026993,0.0242347,0,0,0,0,0
1,0.0316996,0,0,0,0,0.0299722,0,0,0,0,0,0,0.0162601,0.0235857,0.00756305,0.00974321,0,0,0.0433502,0,0.0347931,0.0283552,0.0345932,0.0108302,0.0222893,0.00462475,0.0244136,0.0476735,0.00184014,0.00393099,0.00327427,0.0211043,0.00419541,0.00353973,0.00254516,0.0237443,0.0226967,0.0275778,0.0230736,0.0105781,0.0237807,0.0164439,0.018263,0.00889698,0.0250968,0,0,0.0193242,0,0.0243727,0.0122162,0.0637428,0.0325355,0.0323377,0.00391824,0.0260206,0.0463096,0.00457411,0.0367739,0.00837237,0.00724565,0.0127506,0.0199867,0.0156691,0.0238358,0.0349658,0.0158894,0.0165039,0.00858007,0.0249819,0.0227578,0,0,0,0,0
2,0.0315924,0,0,0,0,0.0298686,0,0,0,0,0,0,0.0165045,0.0233423,0.00769493,0.00984981,0,0,0.0431642,0,0.0348846,0.0280022,0.0345991,0.0110371,0.0225788,0.00478609,0.0244221,0.0482459,0.00198205,0.00384929,0.00332224,0.0212704,0.00423954,0.00340038,0.00250534,0.0236764,0.0229163,0.0274059,0.0230715,0.0108867,0.0242661,0.0163295,0.0181896,0.00893412,0.025008,0,0,0.0191546,0,0.0243344,0.0121886,0.0638867,0.0323549,0.0324205,0.0040882,0.0260716,0.0461965,0.00445394,0.0369238,0.00840383,0.00726948,0.0127836,0.0201051,0.01571,0.023875,0.0353962,0.0158185,0.0166738,0.00850771,0.0252883,0.0227113,0,0,0,0,0
3,0.0313935,0,0,0,0,0.0297087,0,0,0,0,0,0,0.0168727,0.0230745,0.00776642,0.00997255,0,0,0.0427249,0,0.0350096,0.0274697,0.0345604,0.0109666,0.0224581,0.00473673,0.0244636,0.048734,0.00213201,0.00395047,0.00349402,0.0213762,0.00414899,0.00345835,0.00251862,0.0235756,0.0233957,0.0269752,0.0229581,0.0114726,0.0248103,0.0163191,0.018089,0.00890794,0.024855,0,0,0.0189957,0,0.0243433,0.0120877,0.0640832,0.0321424,0.0324596,0.00429428,0.0261186,0.0461756,0.00435404,0.0369923,0.00843114,0.00733789,0.0127258,0.020201,0.0157276,0.0239252,0.0357171,0.0157181,0.0168468,0.00837884,0.0253053,0.0225406,0,0,0,0,0
4,0.0200948,0,0,0,0,0.0201925,0,0,0,0,0,0,0.0182005,0.018596,0.0080143,0.00781699,0,0,0.0279744,0,0.0318056,0.0212615,0.033589,0.0109189,0.0208133,0.005575,0.0223793,0.0254051,0.00306347,0.00495487,0.00416792,0.0218678,0.00426437,0.00412503,0.0027861,0.0239647,0.0248961,0.0120511,0.0156419,0.0353623,0.0249821,0.0159966,0.0172617,0.00858091,0.0175729,0,0,0.019321,0,0.0250171,0.0126707,0.0648908,0.031311,0.0311768,0.0039939,0.0234714,0.0392995,0.00375481,0.0361037,0.00805313,0.00706057,0.0121536,0.0196185,0.0152114,0.0235474,0.0357364,0.0143175,0.0178159,0.00869368,0.0170975,0.0157192,0,0,0,0,0
5,0.0244981,0,0,0,0,0.0238732,0,0,0,0,0,0,0.0173214,0.0188059,0.0078658,0.00784941,0,0,0.0269653,0,0.0319834,0.0206278,0.033776,0.0110288,0.0206517,0.00488159,0.0212732,0.0264479,0.00278561,0.00418523,0.00386935,0.0216852,0.00430157,0.00346859,0.00248043,0.0237496,0.0238126,0.0124817,0.0159375,0.0355027,0.0250541,0.0158527,0.0170689,0.00812869,0.0207764,0,0,0.019092,0,0.0250869,0.0124499,0.0648879,0.0309624,0.030811,0.00422011,0.0225165,0.0437856,0.00366353,0.0360909,0.00804894,0.00698595,0.0121401,0.0196843,0.0150618,0.0233287,0.0356305,0.0146195,0.0175547,0.00881519,0.0197426,0.0180439,0,0,0,0,0
6,0.0245103,0,0,0,0,0.023926,0,0,0,0,0,0,0.0178669,0.0190827,0.00797023,0.00806979,0,0,0.0254068,0,0.0319779,0.0196922,0.0337535,0.0112091,0.0208344,0.0048118,0.0215892,0.0266574,0.00295899,0.00417586,0.00399268,0.0218414,0.00433321,0.00340371,0.00236604,0.0235867,0.0243802,0.0119207,0.0161172,0.0355596,0.0254676,0.0157582,0.0170127,0.00826189,0.0207571,0,0,0.0191471,0,0.0251906,0.0124811,0.0650117,0.030855,0.0309289,0.00443025,0.0227831,0.0437744,0.00366995,0.0361469,0.00817732,0.00713111,0.0123028,0.0198689,0.015119,0.0234304,0.0360963,0.0145717,0.0179415,0.0086146,0.019735,0.0180311,0,0,0,0,0
7,0.0244951,0,0,0,0,0.0239438,0,0,0,0,0,0,0.0183934,0.0193821,0.00806471,0.0082288,0,0,0.0238335,0,0.0318857,0.0187295,0.0336875,0.0114475,0.0210911,0.00483218,0.0218782,0.0269731,0.00321246,0.00413264,0.00419465,0.0219907,0.00438113,0.00337759,0.00223638,0.0234312,0.0251157,0.0112639,0.0161766,0.0356045,0.0259082,0.0156384,0.0169546,0.008365,0.0207551,0,0,0.0191979,0,0.0252922,0.0124055,0.0651505,0.0306987,0.0310735,0.00465555,0.023,0.043823,0.00373973,0.0362202,0.0082999,0.00733063,0.0124143,0.0200514,0.0152168,0.0235798,0.0364563,0.0145673,0.0184579,0.00846843,0.0198212,0.0180159,0,0,0,0,0
8,0.0244836,0,0,0,0,0.0240215,0,0,0,0,0,0,0.0190056,0.0197043,0.00814695,0.00848545,0,0,0.0223559,0,0.0318027,0.0178473,0.0336377,0.0116244,0.0213203,0.00485115,0.0222333,0.0273948,0.00349058,0.00403492,0.00443768,0.0221552,0.00445044,0.00334472,0.00198911,0.0232829,0.0257527,0.0105941,0.0161835,0.0357514,0.0263896,0.0155,0.0168855,0.00851576,0.0207012,0,0,0.0191718,0,0.0254685,0.0125778,0.0652998,0.0305031,0.0312068,0.00481901,0.0232641,0.0440465,0.00377188,0.0364393,0.00833776,0.0074637,0.0125062,0.0201884,0.0152821,0.0237329,0.0370509,0.0146044,0.019007,0.00833402,0.0200408,0.0179615,0,0,0,0,0
