Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x73,x74,LTHII,x71,x72,LTHIP
All Timesteps RMSE,0.0232296,0.0257211,0,0,0,0,0,0,0.016386,0.02177,0.0124004,0.00620885,0,0,0.0802026,0,0.0444985,0.0485361,0.0335716,0.0153601,0.0132296,0.00719577,0.0126988,0.0680305,0.00687338,0.0059017,0.00925263,0.0100448,0.00537331,0.0225188,0.0207409,0.0539896,0.0292103,0.0262321,0.0128622,0.00899177,0.0169672,0.00929642,0.0224858,0,0,0.0369408,0,0.0161345,0.0209986,0.0586182,0.0220596,0.0222493,0.00728805,0.0129874,0.0162313,0.00390971,0.0311709,0.00564941,0.0051717,0.00990385,0.0222811,0.0122827,0.0143907,0.013503,0.0306649,0.0129236,0.0134967,0.0243368,0.0274026,0,0,0,0,0,0,0.005114,0,0,0.0202175
0,0.0196104,0.0204341,0,0,0,0,0,0,0.02328,0.023945,0.0203821,0.00780876,0,0,0.0415559,0,0.0606268,0.0357416,0.027521,0.0256517,0.0072771,0.0164387,0.0106564,0.0583789,0.00382609,0.00880858,0.0177924,0.0168826,0.00527682,0.0181019,0.0293207,0.0233806,0.0368304,0.0392853,0.0296218,0.0108524,0.0414948,0.00555651,0.0211036,0,0,0.0204776,0,0.0182231,0.0226965,0.0518717,0.0495581,0.0128433,0.0164661,0.00873993,0.012034,0.00949418,0.0306071,0.00477004,0.0119215,0.0231418,0.0175212,0.0305437,0.0327108,0.0208286,0.0140109,0.0213456,0.0247808,0.0184947,0.0173695,0,0,0,0,0,0,0,0,0,0
1,0.0214126,0.0215178,0,0,0,0,0,0,0.0227756,0.0221119,0.0205174,0.00784253,0,0,0.0368904,0,0.0581978,0.0331875,0.027634,0.0253897,0.0080728,0.017663,0.00937926,0.0597615,0.00408503,0.0098099,0.0186069,0.0166331,0.00503289,0.017533,0.0278303,0.0243036,0.0372678,0,0.0298413,0.0109583,0.0403925,0.00497257,0.0224214,0,0,0.0207633,0,0.0177231,0.0204158,0.0515644,0.048027,0.0136239,0.0156359,0.00769214,0.0113989,0.00956998,0.0308282,0.00437321,0.0119755,0.0227881,0.0172241,0.0297992,0.030665,0.0218841,0.0162352,0.0203026,0.0227626,0.0193655,0.018848,0,0,0,0,0,0,0,0,0,0
2,0.021329,0.0213209,0,0,0,0,0,0,0.0214325,0.0240033,0.0200084,0.00801038,0,0,0.0317367,0,0.0584594,0.0283142,0.0275658,0.0241261,0.00822857,0.0178613,0.00908563,0.0589588,0.00439665,0.0103832,0.0175661,0.0161847,0.00504554,0.0175668,0.0261354,0.0242734,0.0363161,0.0345437,0.0300325,0.0109622,0.0404787,0.00488365,0.0223922,0,0,0.0207434,0,0.017743,0.020478,0.0515479,0.0481325,0.0137869,0.015638,0.00757124,0.0115181,0.00947835,0.0308554,0.00440736,0.0117206,0.0228734,0.0172011,0.0298197,0.0310795,0.0222359,0.0160428,0.0203844,0.0227588,0.0192333,0.0188212,0,0,0,0,0,0,0,0,0,0
3,0.0216591,0.0213102,0,0,0,0,0,0,0.0207821,0.0221315,0.0198359,0.00821912,0,0,0.0358346,0,0.0579854,0.0322677,0.0274874,0.0235714,0.00837493,0.0181328,0.00861777,0.0595774,0.00457877,0.0107865,0.0168607,0.0158851,0.00508653,0.0175886,0.0248021,0.0242471,0.037023,0,0.0301539,0.0109439,0.0407699,0.00481966,0.022487,0,0,0.0206133,0,0.017754,0.0204966,0.0513422,0.0485182,0.0140474,0.0156357,0.00743742,0.0114382,0.00952792,0.030905,0.00420652,0.0116385,0.0229366,0.017162,0.0298888,0.0315398,0.0221279,0.0159977,0.0203531,0.0227257,0.019194,0.0189206,0,0,0,0,0,0,0,0,0,0
4,0.0150275,0.0147816,0,0,0,0,0,0,0.019544,0.0246579,0.0192672,0.0084584,0,0,0.0362533,0,0.0584372,0.0289083,0.0273618,0.0220435,0.00829079,0.0178516,0.0086947,0.0491121,0.00449105,0.0107182,0.0163727,0.015381,0.005063,0.0179441,0.0228844,0.0268049,0.037605,0.0337892,0.0302247,0.0108921,0.0410961,0.00500602,0.0155912,0,0,0.0207154,0,0.017725,0.0202755,0.0513806,0.0488525,0.0137745,0.0154552,0.007815,0.0103873,0.00955136,0.0308797,0.00427595,0.0116366,0.0230679,0.0169748,0.0300772,0.0318434,0.0221755,0.0163418,0.0202697,0.0225025,0.0126546,0.0104146,0,0,0,0,0,0,0,0,0,0
5,0.0131788,0.0129652,0,0,0,0,0,0,0.020756,0.0248773,0.0165153,0.00919171,0,0,0.0371976,0,0.0583628,0.0288615,0.0266493,0.0170902,0.00768537,0.0258076,0.00819955,0.0466266,0.00789972,0.0150587,0.0163876,0.0161218,0.00544282,0.0186536,0.0151421,0.0276528,0.037711,0.0338027,0.0304024,0.010847,0.041655,0.00555305,0.0135432,0,0,0.0208021,0,0.0176929,0.0200959,0.0512357,0.0495843,0.01393,0.0155017,0.00745326,0.0105095,0.00912805,0.0314728,0.00437436,0.0118011,0.0233052,0.0167667,0.0304198,0.0320882,0.0220791,0.0163907,0.020212,0.0223481,0.0109871,0.00790752,0,0,0,0,0,0,0,0,0,0
6,0.0120628,0.0118019,0,0,0,0,0,0,0.0159904,0.0249261,0.0155548,0.00851137,0,0,0.0370591,0,0.0582728,0.0284763,0.0266133,0.015834,0.0079208,0.0209598,0.00803055,0.0450084,0.00589374,0.011998,0.0151616,0.0142593,0.0048347,0.0197182,0.0121006,0.0276854,0.0376459,0.0336168,0.0303835,0.0108487,0.0414122,0.00539482,0.0124278,0,0,0.020654,0,0.0176812,0.0201118,0.051368,0.0492636,0.0139438,0.0154749,0.00755786,0.00992368,0.00898026,0.0315211,0.00430949,0.0117699,0.0229807,0.0166441,0.0302971,0.0316912,0.0223,0.0163068,0.0202312,0.02235,0.00989304,0.00668537,0,0,0,0,0,0,0,0,0,0
7,0.0114083,0.0111366,0,0,0,0,0,0,0.0133067,0.0248935,0.0153017,0.00809547,0,0,0.0367676,0,0.0581767,0.0281945,0.0267382,0.0155305,0.00821662,0.017669,0.00785592,0.0441007,0.00451829,0.0101233,0.0143371,0.0131757,0.00425882,0.0202247,0.0114726,0.0277485,0.0375325,0.0334283,0.0302333,0.010838,0.0412185,0.00527568,0.0118995,0,0,0.0204814,0,0.0176279,0.0201354,0.0512914,0.049071,0.0140271,0.0153377,0.00763049,0.00954277,0.00911028,0.0315324,0.0044038,0.0118129,0.022632,0.016398,0.0301864,0.0317195,0.0220535,0.0161569,0.0202179,0.0223273,0.00928148,0.0061597,0,0,0,0,0,0,0,0,0,0
8,0.0110104,0.010689,0,0,0,0,0,0,0.0123721,0.0248021,0.0150705,0.00783859,0,0,0.0365392,0,0.0581676,0.028101,0.0269373,0.0152807,0.00835803,0.0155899,0.00763896,0.0435856,0.00377987,0.00914504,0.0138002,0.0126611,0.00392754,0.0204249,0.0126042,0.0278653,0.0373195,0.0336552,0.0300446,0.0108242,0.0411349,0.00519457,0.0117002,0,0,0.0202496,0,0.0175748,0.0200773,0.0510838,0.0490363,0.014006,0.0150275,0.00765003,0.00929248,0.00938986,0.0314982,0.00449079,0.0121123,0.0223186,0.016148,0.0301849,0.0316117,0.0217254,0.0159778,0.020204,0.0222907,0.00889227,0.00599149,0,0,0,0,0,0,0,0,0,0
