Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75
All Timesteps RMSE,0.0222806,0.0185709,0,0,0,0,0,0,0.0226275,0.0158575,0.0135363,0.0126239,0,0,0.027926,0,0.0213522,0.0184969,0.0363766,0.0203007,0.0152333,0.00874323,0.0183132,0.0247815,0.00489266,0.006495,0.00481573,0.0116192,0.0126024,0.0136672,0.00740578,0.0191051,0.02832,0.0209896,0.0144539,0.00612222,0.00850035,0.00987559,0.00817313,0.0159789,0.0205487,0,0,0.0129137,0,0.00784467,0.00873921,0.0569435,0.00920437,0.0166279,0.0115617,0.0172023,0.0121951,0.00729175,0.0342443,0.0142712,0.0101622,0.00697866,0.0238327,0.00591475,0.00670076,0.00828664,0.0119039,0.0125924,0.00799063,0.0217203,0.019471,0,0,0,0,0,0,0,0,0
0,0.0159055,0.0210775,0,0,0,0,0,0,0.0222761,0.0113511,0.0114789,0.00319943,0,0,0.0428691,0,0.0301255,0.0272365,0.0378115,0.0291554,0.0152852,0.012643,0.0253326,0.0185064,0.00610988,0.0106785,0.00793528,0.00981956,0.0142287,0.0142135,0.00549938,0.0202717,0.0268011,0.0308176,0.0198307,0.0134563,0.00861838,0.00137378,0.0104952,0.0113841,0.0217139,0,0,0.0754021,0,0.00449264,0.0475297,0.0513517,0.00935413,0.0138901,0.0145742,0.0250296,0.0523644,0.00994264,0.0436018,0.0194729,0.0149899,0.00749611,0.0214861,0.00392989,0.00501423,0.00571097,0.0464729,0.0224069,0.00582814,0.0305501,0.0164013,0,0,0,0,0,0,0,0,0
1,0.0160498,0.0208086,0,0,0,0,0,0,0.0219397,0.0103812,0.0113934,0.00330862,0,0,0.0205821,0,0.0318627,0.0147706,0.0381189,0.0288486,0.0154866,0.011485,0.0241167,0.009011,0.00562015,0.0094602,0.00691068,0.00972862,0.0140945,0.0137292,0.00528799,0.0199471,0.0257659,0.0139949,0.0198112,0.00759622,0.00795222,0.001447,0.0104683,0.0118966,0.0213109,0,0,0.0720515,0,0.00436117,0.0454452,0.0508988,0.0100357,0.0145257,0.0140255,0.0236587,0.0506642,0.00935734,0.043365,0.0189287,0.0142065,0.00757028,0.0217449,0.00452761,0.00559495,0.00498409,0.0444167,0.0215786,0.00524186,0.0299324,0.0164027,0,0,0,0,0,0,0,0,0
2,0.0164334,0.0202624,0,0,0,0,0,0,0.0218487,0.0102174,0.0112998,0.00313368,0,0,0.0217876,0,0.0314187,0.0151654,0.0381336,0.0284781,0.0154346,0.0114089,0.0232644,0.00878809,0.00547639,0.00937742,0.00673395,0.00959646,0.0139879,0.0136531,0.00527648,0.0199093,0.0256738,0.0147197,0.0196598,0.00727085,0.00770977,0.00139771,0.0102828,0.0120516,0.0214779,0,0,0.0716115,0,0.00440824,0.0449955,0.0509223,0.00997075,0.0145443,0.0138171,0.0229054,0.0496692,0.00918016,0.04335,0.0186544,0.0139431,0.00752923,0.0216988,0.0045584,0.00561571,0.00485374,0.0442852,0.0211111,0.00509608,0.0287704,0.0167701,0,0,0,0,0,0,0,0,0
3,0.0168404,0.0197105,0,0,0,0,0,0,0.0218015,0.00998547,0.0113129,0.00312014,0,0,0.0228256,0,0.0309676,0.015527,0.038082,0.0281455,0.0155052,0.0111578,0.0224714,0.00850214,0.0052777,0.00917951,0.00646692,0.00969077,0.0138821,0.0135453,0.00522696,0.0199061,0.0255009,0.015291,0.0194475,0.00696085,0.00768333,0.00136621,0.0102123,0.0123349,0.0215822,0,0,0.0709255,0,0.00446375,0.0444485,0.0507825,0.00983427,0.0144165,0.0137291,0.0221467,0.0484497,0.00891784,0.0433314,0.0184384,0.013701,0.00743411,0.0216637,0.00455113,0.00559312,0.00473819,0.0438995,0.0206274,0.00504524,0.0274699,0.0170691,0,0,0,0,0,0,0,0,0
4,0.0172629,0.019123,0,0,0,0,0,0,0.0217877,0.00970969,0.0114006,0.00316737,0,0,0.0236319,0,0.030452,0.0158849,0.0379787,0.0278882,0.0157555,0.0107835,0.0216484,0.0080748,0.00502659,0.00867297,0.00612065,0.00997543,0.0137967,0.0134328,0.00517111,0.0199361,0.0253249,0.0156869,0.0192062,0.00666082,0.00762488,0.00158437,0.0101351,0.0126158,0.0215922,0,0,0.0696038,0,0.0045326,0.0437242,0.0504664,0.00982328,0.0143274,0.013701,0.0213995,0.0468498,0.00866307,0.0432502,0.018272,0.0134505,0.0073031,0.0216099,0.00449406,0.005542,0.00460754,0.04315,0.0204619,0.00558407,0.0262833,0.0172667,0,0,0,0,0,0,0,0,0
5,0.0315339,0.0232841,0,0,0,0,0,0,0.0218249,0.0089392,0.0113373,0.0029627,0,0,0.0260205,0,0.029097,0.0182797,0.0375005,0.0273839,0.0158676,0.0106357,0.0225279,0.0254992,0.00451451,0.00806905,0.00581065,0.00963067,0.013552,0.0133159,0.00524732,0.0199523,0.0252624,0.0196422,0.0186537,0.00661311,0.0075976,0.00230563,0.00997541,0.0131194,0.0321281,0,0,0.0301884,0,0.00562093,0.0201447,0.0506225,0.00976717,0.0136015,0.0138204,0.0225,0.0241564,0.00841536,0.0429782,0.0181575,0.0132796,0.00717101,0.0214479,0.00421643,0.00541465,0.00469663,0.0317737,0.0125203,0.003088,0.0252271,0.0235371,0,0,0,0,0,0,0,0,0
6,0.0319242,0.0198298,0,0,0,0,0,0,0.0220278,0.00947042,0.0117954,0.00507481,0,0,0.0256764,0,0.0297015,0.0169505,0.037517,0.0275778,0.0170593,0.00975545,0.0183107,0.00817016,0.00426502,0.00780692,0.00533792,0.0101284,0.0137791,0.0135203,0.00529643,0.020006,0.0252124,0.0171545,0.0188723,0.0060031,0.00735961,0.00760785,0.00979251,0.0146696,0.0262788,0,0,0.0222891,0,0.00378178,0.0156673,0.0501104,0.00963137,0.0150413,0.0134293,0.0183379,0.0093062,0.00804776,0.043076,0.0178698,0.0127317,0.00695482,0.0215025,0.00430539,0.00536043,0.00451693,0.0164599,0.0118504,0.0042488,0.0213562,0.0253137,0,0,0,0,0,0,0,0,0
7,0.0312149,0.0205468,0,0,0,0,0,0,0.0219505,0.00939886,0.0118458,0.0055041,0,0,0.0266807,0,0.0294607,0.0175138,0.0375355,0.0273852,0.017317,0.00954109,0.0173426,0.00908295,0.00426534,0.00764585,0.00513508,0.0102158,0.0137516,0.0135557,0.00535186,0.0199978,0.0251549,0.0176062,0.0187732,0.00586949,0.00736313,0.00760347,0.00968147,0.014984,0.0251095,0,0,0.0223423,0,0.0040737,0.0158015,0.0500531,0.00956668,0.0152423,0.013249,0.0175153,0.0125508,0.00791082,0.0430512,0.0178595,0.0125124,0.00691279,0.0214834,0.00433428,0.00535556,0.00458293,0.0160662,0.012018,0.00429863,0.0220704,0.0246168,0,0,0,0,0,0,0,0,0
8,0.0305544,0.0211416,0,0,0,0,0,0,0.0219024,0.00940724,0.0118439,0.00574703,0,0,0.0275415,0,0.0293293,0.0179738,0.0375152,0.0271768,0.0173122,0.00944864,0.0165679,0.0101074,0.00426165,0.00734251,0.00499281,0.0102508,0.0137083,0.0135637,0.00538276,0.0199985,0.0251754,0.0180781,0.0187248,0.00579706,0.0073836,0.00748577,0.00957826,0.0153192,0.0240263,0,0,0.0224822,0,0.00426632,0.0158842,0.0500832,0.00940944,0.0153798,0.0131093,0.0168344,0.0154704,0.00778885,0.0430078,0.0177472,0.0123693,0.00684901,0.0214738,0.0043284,0.00534733,0.00466381,0.015925,0.011887,0.00425764,0.0227639,0.0239839,0,0,0,0,0,0,0,0,0
