Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHII,LTHIP
All Timesteps RMSE,0.0174766,0.0165426,0,0,0,0,0,0,0.0284184,0.0139004,0.0181359,0.00561036,0,0,0.00504975,0,0.0236725,0.00338007,0.0403698,0.0189847,0.0167933,0.0106246,0.00881902,0.00461759,0.00690264,0.00896027,0.0110939,0.0128369,0.00736964,0.0163842,0.0359652,0.00393136,0.0146068,0.00446857,0.0176829,0.0058025,0.0119631,0.00695217,0.0210862,0,0,0.0131496,0,0.0129099,0.00842527,0.0606217,0.0181857,0.0213537,0.0119266,0.00694081,0.0259448,0.00582227,0.0311295,0.0112035,0.00897105,0.00832358,0.00863321,0.00914274,0.0136741,0.0219538,0.0165857,0.00802668,0.00618184,0.0168578,0.0152639,0,0,0,0,0,0,0,0,0.00676514,0.0123182
0,0.0214042,0.0192482,0,0,0,0,0,0,0.0308398,0.01213,0.0158124,0.00535115,0,0,0.00408065,0,0.0232957,0.00151119,0.036866,0.0153476,0.0108218,0.016457,0.00550653,0.00470209,0.00700046,0.00753601,0.0154965,0.0161233,0.00595195,0.0138279,0.0379106,0.00494828,0.0149176,0.00468555,0.00735154,0.00531469,0.0184857,0.0112879,0.0211964,0,0,0.0143962,0,0.0119932,0.00845586,0.0766663,0.0235769,0.0289038,0.00638485,0.0120442,0.0243203,0.00520596,0.0372282,0.00655162,0.00243269,0.00652016,0.00273064,0.00978705,0.00923046,0.0128369,0.0169499,0.00659671,0.00729378,0.0194721,0.0145651,0,0,0,0,0,0,0,0,0,0
1,0.0201859,0.0193341,0,0,0,0,0,0,0.0296677,0.0120556,0.0142548,0.00585892,0,0,0.00365095,0,0.0235633,0.000583352,0.0375675,0.0149046,0.0108825,0,0.00447436,0.00536514,0.00771648,0.00875619,0.0154738,0.0160853,0.00585013,0.0141285,0.0371321,0.00537414,0.014997,0.00445078,0.00877208,0.0048288,0.016525,0.0101457,0.0213887,0,0,0.0157164,0,0.0123329,0.00926987,0.0755626,0.0189833,0.0299163,0.00838221,0.0111909,0.0250015,0.00575464,0.0370354,0.00691812,0.00337167,0.00563089,0.00233818,0.00798757,0.00600523,0.011946,0.0179521,0.00701115,0.00753483,0.0197183,0.0143907,0,0,0,0,0,0,0,0,0,0
2,0.0193342,0.0189395,0,0,0,0,0,0,0.0281599,0.0118616,0.0130675,0.00641811,0,0,0.00348225,0,0.0239591,0.00051317,0.0377854,0.0145022,0.0108791,0,0.00415291,0.00516513,0.00819322,0.00978622,0.0151378,0.0156543,0.00574547,0.0142274,0.0353712,0.00533286,0.0150634,0.00455041,0.00665019,0.00437986,0.0148327,0.00908347,0.0211862,0,0,0.018432,0,0.0125798,0.010415,0.0747214,0.0147796,0.0297481,0.0102621,0.0103454,0.0249529,0.00595431,0.0364798,0.00733989,0.00491319,0.00510887,0.00211338,0.00629361,0.00347083,0.0142373,0.0196983,0.00783739,0.00775515,0.0190736,0.0140275,0,0,0,0,0,0,0,0,0,0
3,0.0187524,0.0188095,0,0,0,0,0,0,0.0261073,0.0117703,0.012024,0.00665363,0,0,0.0039807,0,0.0242395,0.000528232,0.0376227,0.0139366,0.0110743,0,0.00360758,0.00457495,0.00817009,0.00955369,0.014404,0.0148784,0.00537546,0.0142693,0.0327348,0.0050934,0.0150176,0.00478453,0.00774358,0.00411111,0.0132789,0.00833526,0.0209289,0,0,0.0192943,0,0.0127537,0.0111595,0.0741574,0.0113832,0.0296096,0.0121305,0.0102076,0.0247795,0.00553078,0.0357375,0.00848093,0.0064991,0.00482082,0.00193931,0.00483613,0.00280296,0.0158024,0.0203751,0.00813536,0.00800552,0.0187322,0.0136246,0,0,0,0,0,0,0,0,0,0
4,0.0184421,0.0187136,0,0,0,0,0,0,0.0246245,0.0116735,0.0112984,0.00678858,0,0,0.00444932,0,0.024532,0.000821987,0.0373348,0.013104,0.0115776,0.0123867,0.00297712,0.00387779,0.00793499,0.00888432,0.0137523,0.0142634,0.00528016,0.014323,0.0305802,0.00484507,0.0149123,0.0051009,0.00967434,0.00385316,0.0118344,0.00767898,0.0208977,0,0,0.019975,0,0.0129343,0.0117591,0.0736629,0.00899639,0.029493,0.0136033,0.0100843,0.0246792,0.00493358,0.0348371,0.00989108,0.00807779,0.00498493,0.0017611,0.00371432,0.00413933,0.016859,0.0209786,0.0084775,0.00812957,0.0186875,0.0134753,0,0,0,0,0,0,0,0,0,0
5,0.0180565,0.018613,0,0,0,0,0,0,0.0235274,0.0117068,0.0111443,0.00720488,0,0,0.00520275,0,0.0246122,0.000941931,0.0369853,0.0125382,0.0117008,0.0109514,0.0021921,0.00323371,0.00790885,0.00788989,0.0136455,0.0141506,0.00552625,0.0144795,0.0286426,0.00486518,0.0149802,0.005101,0.012074,0.00370631,0.0103227,0.00742773,0.0206634,0,0,0.0200597,0,0.0130928,0.0120679,0.0730273,0.00814922,0.029299,0.0148739,0.0101024,0.0244716,0.00463678,0.0339332,0.0109035,0.00944115,0.00550807,0.0015577,0.00300841,0.00562,0.0172292,0.021108,0.00886697,0.00812335,0.0186787,0.0132079,0,0,0,0,0,0,0,0,0,0
6,0.0177133,0.0185451,0,0,0,0,0,0,0.0228406,0.0118315,0.0110422,0.00717161,0,0,0.00578512,0,0.0246162,0.00103169,0.0365369,0.0124984,0.0118013,0.0102407,0.001681,0.00280797,0.00808019,0.00722217,0.0135665,0.0141763,0.00576338,0.0146503,0.0270647,0.00523209,0.0150959,0.0048788,0.0155558,0.00371907,0.00891893,0.00724801,0.0204166,0,0,0.0196327,0,0.0131456,0.0120387,0.0724589,0.00907551,0.0286566,0.0163612,0.0103675,0.0242101,0.0044545,0.0334126,0.0117926,0.0105889,0.0059289,0.00133991,0.00253751,0.00657837,0.0170667,0.0207671,0.00903411,0.00825488,0.0186697,0.0129443,0,0,0,0,0,0,0,0,0,0
7,0.0167512,0.0176512,0,0,0,0,0,0,0.0221931,0.0118384,0.0107885,0.00692768,0,0,0.00662405,0,0.024863,0.00150324,0.0361614,0.0123274,0.0117173,0.0100832,0.00169927,0.00224831,0.00840314,0.00704428,0.0134461,0.0141309,0.00598177,0.0148123,0.0260327,0.00586351,0.0150606,0.00504687,0.017701,0.00358612,0.0079963,0.00716396,0.0187724,0,0,0.0200318,0,0.0130185,0.0123791,0.0719029,0.0107687,0.0278466,0.0171896,0.0103631,0.0220163,0.00426907,0.0331341,0.0122947,0.0111275,0.0060908,0.00117111,0.0026905,0.00709167,0.0184894,0.0201642,0.00985295,0.00836771,0.0176783,0.0116698,0,0,0,0,0,0,0,0,0,0
8,0.0162612,0.0169451,0,0,0,0,0,0,0.0215137,0.0119691,0.0103528,0.00636635,0,0,0.00708465,0,0.024965,0.00142715,0.0359727,0.0118403,0.0119006,0.0103094,0.00161213,0.00208815,0.00869423,0.00722072,0.0133196,0.0138759,0.0061594,0.0149381,0.0249451,0.00654336,0.0150417,0.00510103,0.0201743,0.00347366,0.00841611,0.00645271,0.018198,0,0,0.0200317,0,0.0130699,0.012564,0.0716412,0.0126968,0.0275259,0.0183786,0.00975641,0.0209218,0.00397405,0.0331345,0.0128855,0.0117868,0.0064545,0.00136435,0.00264035,0.00732438,0.0208038,0.0196147,0.0100566,0.00885673,0.0169248,0.011325,0,0,0,0,0,0,0,0,0,0
