Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,IMUL_R
All Timesteps RMSE,0.00540647,0.00546782,0,0,0,0,0,0.0420723,0.0169274,0.0238142,0.0114082,0,0,0.0251231,0,0.0192244,0.017853,0.0357,0.0242877,0.0112625,0.0180471,0.0116491,0.0179908,0.0111662,0.0164305,0.0125298,0.0146548,0.0120331,0.0135884,0.00672927,0.012434,0.049159,0.0139103,0.0139364,0.00743192,0.0175436,0.00966317,0.0112121,0.0112644,0.00774397,0,0,0.0201548,0,0.0107321,0.0168062,0.065766,0.0151513,0.0151426,0.0141443,0.00971356,0.0196297,0.00929791,0.0355456,0.0128558,0.012368,0.00927013,0.0121813,0.00884946,0.0130773,0.021674,0.0172826,0.00820365,0.00526102,0.00670632,0.00531221,0,0,0,0,0,0,0,0,0,0
0,0.00625777,0.00594078,0,0,0,0,0,0.0161086,0.0171585,0.0202122,0.0103508,0,0,0.0231457,0,0.0174753,0.016626,0.0397741,0.0165665,0.0131888,0.0143903,0.00814649,0.0199668,0.0115516,0.0228333,0.0101368,0.00931561,0.00408237,0.00597671,0.00557927,0.00810458,0.0275733,0.013562,0.0136039,0.00795417,0.0172885,0.0109033,0.0124053,0.0154394,0.00893567,0,0,0.0189186,0,0.00974225,0.0153887,0.0572914,0.0190775,0.00925302,0.0176294,0.0125397,0.0120385,0.00777596,0.0343796,0.0114264,0.0147957,0.011132,0.0119327,0.001229,0.00913982,0.0294799,0.0154311,0.00738515,0.00524738,0.00927084,0.00582109,0,0,0,0,0,0,0,0,0,0
1,0.00651546,0.0057885,0,0,0,0,0,0.0104823,0.0171335,0.0192223,0.0102133,0,0,0.0225092,0,0.0182743,0.0162409,0.0399699,0.0175678,0.0132809,0.0139691,0.00750109,0.0198149,0.0122926,0.0217637,0.0104785,0.00862322,0.00387704,0.00437596,0.00516198,0.00882004,0.0220904,0.0130576,0.0142588,0.00800282,0.0169514,0.0107046,0.0110067,0.0155792,0.00890165,0,0,0.0191493,0,0.00992641,0.0155344,0.0567087,0.0169619,0.00965835,0.0175619,0.0117142,0.0125007,0.00882692,0.0334476,0.0106989,0.0149961,0.00992629,0.0113867,0.00144232,0.00811604,0.0278023,0.0155039,0.00801811,0.0053434,0.00844867,0.00579275,0,0,0,0,0,0,0,0,0,0
2,0.00675924,0.0055463,0,0,0,0,0,0.00609626,0.0170161,0.0185625,0.0107904,0,0,0.0219885,0,0.0184508,0.0159654,0.0402589,0.0184214,0.0131891,0.0145623,0.00747901,0.0196467,0.0124604,0.0207604,0.0107998,0.00819553,0.00408132,0.00316941,0.00499601,0.00947559,0.0180478,0.0124885,0.0143153,0.0078858,0.0171163,0.0105562,0.00981736,0.0158256,0.00907853,0,0,0.0191221,0,0.00996048,0.0156174,0.0564991,0.0138384,0.00997759,0.0172172,0.0114074,0.0130062,0.00892797,0.0326113,0.0108942,0.0140987,0.00847556,0.0114088,0.00238609,0.00694189,0.026378,0.015472,0.00823233,0.00547274,0.00809149,0.00595596,0,0,0,0,0,0,0,0,0,0
3,0.0069201,0.00546141,0,0,0,0,0,0.00636744,0.0168971,0.019237,0.0117801,0,0,0.0216215,0,0.0182871,0.0157147,0.0403333,0.0201378,0.0129819,0.0145356,0.00787928,0.0194616,0.0123847,0.0198189,0.0113667,0.00807659,0.00476174,0.00376197,0.00501729,0.0101986,0.0162738,0.0120083,0.0141071,0.00768495,0.0178478,0.010494,0.00923883,0.016274,0.00930001,0,0,0.0189881,0,0.00995671,0.0156333,0.0565798,0.0115268,0.0103094,0.016344,0.011595,0.0134115,0.00858442,0.0319943,0.0113133,0.0139549,0.0073795,0.0115762,0.00338646,0.00637231,0.0256625,0.0154311,0.00823893,0.00547581,0.00805367,0.00629098,0,0,0,0,0,0,0,0,0,0
4,0.00717145,0.00554416,0,0,0,0,0,0.0117909,0.0169291,0.0213266,0.0129339,0,0,0.0208837,0,0.0184242,0.0152171,0.0401482,0.0227193,0.0128754,0.0138221,0.00870169,0.0193306,0.0121073,0.0188604,0.0115185,0.00786984,0.00577992,0.00520672,0.00519161,0.0109777,0.0177711,0.0114148,0.0143564,0.0074542,0.0187319,0.0105308,0.0091728,0.0168303,0.00967434,0,0,0.0189427,0,0.00997388,0.015542,0.0566307,0.0105106,0.0105649,0.0152062,0.0120939,0.0135829,0.00870988,0.031822,0.0114911,0.014142,0.00693476,0.011579,0.00362722,0.00595324,0.0254583,0.0153573,0.00822358,0.00545646,0.00792135,0.00676174,0,0,0,0,0,0,0,0,0,0
5,0.00723592,0.00526596,0,0,0,0,0,0.0182904,0.0171213,0.0241609,0.0136492,0,0,0.0199102,0,0.0184055,0.0146472,0.0399487,0.0261677,0.0126173,0.0129179,0.0089804,0.0191751,0.0116354,0.0172583,0.0113276,0.0076965,0.00702588,0.00714452,0.00558869,0.0117981,0.0218041,0.0106908,0.0144284,0.00716143,0.019162,0.0107167,0.00909367,0.0170839,0.00990464,0,0,0.018811,0,0.0100009,0.0154411,0.0564434,0.0101106,0.0105038,0.0143729,0.0123215,0.0137777,0.00896666,0.0321319,0.0115502,0.0141215,0.00708363,0.0113384,0.00291979,0.00555994,0.0254142,0.0152958,0.00831024,0.00541159,0.00743009,0.00695744,0,0,0,0,0,0,0,0,0,0
6,0.00732501,0.00507464,0,0,0,0,0,0.0239221,0.0171724,0.0270307,0.0144187,0,0,0.0193917,0,0.0182959,0.014424,0.0395539,0.0296055,0.0124428,0.0119492,0.00938878,0.0190665,0.0113246,0.0158494,0.0110964,0.007734,0.00829859,0.00924642,0.00644862,0.0126244,0.0264174,0.0101674,0.0142446,0.00695674,0.018861,0.0109706,0.00913747,0.0172068,0.0102555,0,0,0.0186631,0,0.0100489,0.0153396,0.0561912,0.0101051,0.0102921,0.0139287,0.0127701,0.0138068,0.00950778,0.0326984,0.0119141,0.0136006,0.00756724,0.0110176,0.00182169,0.00598931,0.0250843,0.0151865,0.00826963,0.00542735,0.00748291,0.00720118,0,0,0,0,0,0,0,0,0,0
7,0.00744528,0.00484121,0,0,0,0,0,0.0289239,0.0173654,0.0290026,0.0146291,0,0,0.0188005,0,0.0181909,0.01416,0.0393627,0.0314529,0.0121829,0.0108208,0.00914823,0.0189561,0.0107313,0.0140972,0.0107908,0.00787408,0.00953446,0.0113648,0.00739001,0.0135006,0.0316644,0.00963556,0.0141688,0.00679507,0.0184465,0.0110907,0.00922337,0.017174,0.0104746,0,0,0.0184901,0,0.00992057,0.0148336,0.0559464,0.0104397,0.00997609,0.0136238,0.0127706,0.0138671,0.0099355,0.0332956,0.0126609,0.0127317,0.00795497,0.0107626,0.0012235,0.00686074,0.0247262,0.0152495,0.00804298,0.00531073,0.00726275,0.0073082,0,0,0,0,0,0,0,0,0,0
8,0.00763168,0.00470279,0,0,0,0,0,0.0344225,0.0174879,0.0301727,0.0147882,0,0,0.0183316,0,0.0180259,0.0139383,0.0392007,0.0312392,0.0119412,0.0099916,0.00902601,0.018929,0.0101229,0.0123245,0.0104912,0.00801842,0.0107603,0.0128682,0.00808236,0.0143409,0.0373847,0.00941831,0.0140225,0.00665476,0.0180583,0.0111653,0.00905677,0.0170962,0.010703,0,0,0.0185037,0,0.00982314,0.0141476,0.0559458,0.0103185,0.00970543,0.013154,0.0126688,0.0139954,0.010048,0.0337428,0.0125278,0.0131344,0.00784171,0.0105351,0.00109628,0.00695084,0.0243036,0.0154665,0.00796606,0.00520915,0.00691668,0.00744136,0,0,0,0,0,0,0,0,0,0
