Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,-0.0170135
1,1,-0.0674438
1,2,-0.0230408
1,3,-0.080719
1,4,0.0667191
1,5,0.0134659
1,6,0.0649261
1,7,0.0788498
1,8,0.115585
1,9,0.094223
2,0,0.0960541
2,1,0.0721359
2,2,0.0870514
2,3,0.0919342
2,4,0.059433
2,5,0.00656128
2,6,-0.0485992
2,7,-0.0217056
2,8,-0.000686646
2,9,0.011673
3,0,-0.00785828
3,1,0.0294113
3,2,0.0889587
3,3,0.0800705
3,4,0.11013
3,5,0.133133
3,6,0.141907
3,7,0.0912857
3,8,0.125771
3,9,0.0408936
4,0,0.0918961
4,1,0.0489426
4,2,-0.00106812
4,3,-0.0648499
4,4,-0.0245285
4,5,-0.0209808
4,6,0.0119781
4,7,0.0585938
4,8,0.0470352
4,9,0.0792694
5,0,0.0875092
5,1,0.0961304
5,2,0.101128
5,3,0.108757
5,4,0.114899
5,5,0.0799561
5,6,0.0945663
5,7,0.0660706
5,8,-0.00553131
5,9,-0.0432968
6,0,-0.0507355
6,1,-0.0704956
6,2,-0.0570297
6,3,-0.0426483
6,4,0.0262833
6,5,0.0124359
6,6,0.0553513
6,7,0.0780487
6,8,0.0784302
6,9,0.0494766
7,0,0.050354
7,1,0.0493622
7,2,0.0532913
7,3,0.0497055
7,4,0.00480652
7,5,-0.0324249
7,6,-0.116043
7,7,-0.102997
7,8,-0.117836
7,9,-0.0659561
8,0,-0.0642014
8,1,-0.0364685
8,2,0.0246429
8,3,0.0307465
8,4,0.0530624
8,5,0.0616455
8,6,0.0587845
8,7,0.0495148
8,8,0.0321198
8,9,0.00724792
9,0,-0.00038147
9,1,-0.0375748
9,2,-0.0852203
9,3,-0.0828171
9,4,-0.0968933
9,5,-0.107613
9,6,-0.071106
9,7,-0.0336075
9,8,-0.017662
9,9,-0.0191879
10,0,0.032196
10,1,0.0197601
10,2,0.0475311
10,3,-0.00244141
10,4,0.0428772
10,5,0.0550079
10,6,0.0350189
10,7,-0.019455
10,8,-0.0699615
10,9,-0.0679398
11,0,-0.130577
11,1,-0.121536
11,2,-0.134544
11,3,-0.0359344
11,4,-0.0114441
11,5,-0.0100327
11,6,-0.00282288
11,7,0.0362778
11,8,0.0471497
11,9,0.0452805
12,0,0.0529861
12,1,0.00831604
12,2,0.0135803
12,3,0.0119019
