Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71,x72
All Timesteps RMSE,0,0,0,0,0.0210668,0.00665559,0,0,0.0505624,0.0225985,0.0194369,0.008942,0,0,0.00936966,0,0.0215147,0.00806304,0.0420466,0.0199586,0.0179692,0.0202721,0.00868272,0.0251064,0.012843,0.0177542,0.0207664,0.0574373,0.0162549,0.0173913,0.0122426,0.026967,0.0631243,0.0090687,0.0186486,0.00436785,0.0210725,0.0250614,0.0170828,0.006248,0.0204383,0,0,0.032065,0,0.0160465,0.0207531,0.0612761,0.0268637,0.0136129,0.0216884,0.00610174,0.0455741,0.0151089,0.0596719,0.017547,0.0240594,0.0138535,0.0102091,0.00804965,0.0138893,0.0233897,0.0191172,0.0127663,0.00877062,0.00603526,0.0201064,0,0,0,0,0,0
0,0,0,0,0,0.0108839,0.00657126,0,0,0.0276993,0.0211563,0.0210698,0.00925147,0,0,0.0143627,0,0.0212221,0.00891976,0.0453313,0.0224476,0.0177334,0.0210671,0.00929053,0.0111756,0.0105214,0.0135676,0.0221571,0.049193,0.0153266,0.0133827,0.0121851,0.0260787,0.0311766,0.0131603,0.0195025,0.00315728,0.0418059,0.0180307,0.0171141,0.00203332,0.0120546,0,0,0.100986,0,0.0184222,0.0719398,0.0618685,0.0120907,0.0135279,0.0270482,0.0066018,0.11836,0.0183372,0.0554431,0.0238628,0.0292642,0.0186125,0.0109973,0.00813714,0.0205622,0.0465495,0.0404857,0.0387146,0.0233762,0.0052331,0.0112815,0,0,0,0,0,0
1,0,0,0,0,0.0106654,0.00620862,0,0,0.0274291,0.0212039,0.0211302,0.00932927,0,0,0.01417,0,0.0212576,0.00874021,0.045369,0.0223796,0.0177038,0.0210474,0.00930375,0.010914,0.0105744,0.0136291,0.022079,0.0491438,0.0154579,0.0135332,0.0123881,0.0260395,0.0308252,0.0129454,0.0194111,0.00311912,0.0418768,0.0183574,0.017566,0.00202477,0.0119683,0,0,0.100805,0,0.01814,0.0718632,0.0618545,0.0129486,0.0136283,0.0265637,0.00658916,0.118415,0.0180274,0.0553486,0.0234512,0.0286788,0.0181629,0.0110193,0.00798134,0.0199684,0.0465429,0.0409008,0.0385237,0.0233455,0.00501247,0.0112103,0,0,0,0,0,0
2,0,0,0,0,0.010631,0.00616163,0,0,0.027382,0.0211924,0.0211606,0.00936331,0,0,0.0141435,0,0.0212681,0.00872486,0.0453846,0.0223536,0.017659,0.0210306,0.00932559,0.0108904,0.0106009,0.0136516,0.022204,0.0491272,0.0154952,0.0135646,0.0124267,0.0260382,0.0307746,0.0128481,0.0194124,0.00310547,0.0418654,0.0183821,0.0175806,0.00200394,0.0119442,0,0,0.100767,0,0.0181337,0.0718163,0.0618656,0.0129605,0.0136245,0.0265489,0.00661113,0.118459,0.018037,0.0553665,0.0234632,0.0286769,0.0181645,0.011025,0.0079975,0.0201108,0.046557,0.040891,0.0385596,0.0233038,0.00500473,0.0112113,0,0,0,0,0,0
3,0,0,0,0,0.0105601,0.00611214,0,0,0.0274219,0.021174,0.0212372,0.00939712,0,0,0.0141156,0,0.0212725,0.00870782,0.0453966,0.0224347,0.017584,0.0209909,0.00935326,0.0109122,0.0106187,0.0136614,0.0223933,0.0491133,0.0154497,0.0135252,0.012386,0.0260314,0.0308158,0.0125937,0.0194294,0.00311776,0.0418239,0.0184064,0.0175805,0.00196945,0.0118879,0,0,0.100698,0,0.0181328,0.0717433,0.0618884,0.0129707,0.0136341,0.0265761,0.00661487,0.118505,0.0180413,0.0553773,0.0234874,0.0286658,0.018162,0.0110535,0.00803194,0.0201583,0.0465101,0.0408915,0.0385534,0.0231777,0.00498286,0.011149,0,0,0,0,0,0
4,0,0,0,0,0.0105375,0.00609004,0,0,0.0274147,0.0212027,0.0213303,0.00940612,0,0,0.0140528,0,0.0212611,0.00864155,0.0454133,0.0224704,0.0175438,0.0209961,0.00934151,0.0108901,0.0106358,0.0136496,0.0223044,0.0490998,0.0154572,0.0135358,0.0123931,0.0260194,0.0308286,0.0127023,0.0194094,0.00311129,0.0418992,0.0183999,0.0175881,0.00194668,0.0118723,0,0,0.100631,0,0.0181196,0.0716914,0.0618933,0.0130463,0.0136615,0.0265706,0.00659333,0.118546,0.0180366,0.055365,0.0234713,0.0286401,0.0181299,0.0110497,0.0080547,0.0201142,0.046491,0.0409165,0.0384911,0.0231208,0.00499938,0.0111041,0,0,0,0,0,0
5,0,0,0,0,0.0105173,0.00606172,0,0,0.0274546,0.0212295,0.0212385,0.00941628,0,0,0.0139903,0,0.0212721,0.00860521,0.0454256,0.0224652,0.0175408,0.0210003,0.00932831,0.0108502,0.0106241,0.0136201,0.0223511,0.0490991,0.0154674,0.0135612,0.0124089,0.0260124,0.030857,0.0128544,0.0194067,0.00307682,0.0420026,0.0183905,0.0175593,0.00196202,0.0118718,0,0,0.100622,0,0.0181056,0.0716856,0.0618923,0.0130893,0.01366,0.026566,0.0066091,0.118585,0.0180188,0.055361,0.0234544,0.0286356,0.018119,0.0110571,0.00802101,0.0200809,0.0464489,0.0409507,0.0384547,0.0231545,0.00499227,0.0110913,0,0,0,0,0,0
6,0,0,0,0,0.0104817,0.0060252,0,0,0.0275165,0.0212446,0.0211538,0.00944527,0,0,0.0139401,0,0.0212702,0.00859156,0.0454214,0.0224633,0.0175282,0.0209937,0.00934166,0.0108298,0.0105938,0.0135919,0.0223063,0.0491136,0.0154317,0.0135371,0.0123696,0.0260297,0.0309385,0.0128458,0.0194131,0.00304827,0.0418513,0.0183806,0.0176005,0.00198768,0.0118274,0,0,0.100618,0,0.0180793,0.0716944,0.0618962,0.0131297,0.0136495,0.0265495,0.00661722,0.118648,0.0180146,0.055353,0.023452,0.0286384,0.0181255,0.0110491,0.00800763,0.0200521,0.0464363,0.0409781,0.0384361,0.0232415,0.00495334,0.0110813,0,0,0,0,0,0
7,0,0,0,0,0.010447,0.00599052,0,0,0.027413,0.0212576,0.021159,0.00944801,0,0,0.0138867,0,0.0212643,0.00856066,0.0454296,0.0223535,0.0175019,0.0209982,0.00937148,0.0107889,0.0106043,0.0136335,0.0223644,0.0491078,0.0155036,0.0136124,0.0124648,0.026019,0.0308504,0.0127868,0.0194235,0.00304859,0.0417712,0.018385,0.0176571,0.00200265,0.0117869,0,0,0.100671,0,0.0180732,0.071765,0.0619101,0.013179,0.0136644,0.0265081,0.00660642,0.118712,0.01799,0.0553426,0.023429,0.028606,0.0180988,0.0110203,0.00798925,0.0199565,0.046453,0.0410324,0.038458,0.0233358,0.00489027,0.0110835,0,0,0,0,0,0
8,0,0,0,0,0.0103989,0.00596825,0,0,0.0276104,0.0212748,0.0211603,0.00944064,0,0,0.0138734,0,0.0212534,0.00852373,0.0454095,0.0224499,0.017508,0.0209906,0.00936136,0.0107594,0.0105583,0.013629,0.0221256,0.0490834,0.0153994,0.0135311,0.0123557,0.0260589,0.03108,0.0127818,0.0194274,0.00306482,0.0418686,0.0183992,0.0176763,0.00201425,0.0117504,0,0,0.1007,0,0.0180629,0.0717942,0.0619138,0.013247,0.0136867,0.0264624,0.00656674,0.118737,0.017969,0.0553211,0.0234206,0.028575,0.0180748,0.0110016,0.0079317,0.0198309,0.0464172,0.0410776,0.0384444,0.0233711,0.00485078,0.0110683,0,0,0,0,0,0
