Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x67,x68,x69,x70,x71,RTIBA,RTIBI
All Timesteps RMSE,0,0,0,0,0.0162528,0.00569646,0,0,0.0323961,0.0199516,0.0183062,0.00754544,0,0,0.010616,0,0.0216016,0.00654847,0.0429204,0.022215,0.0157973,0.0225049,0.00742309,0.0193962,0.0129309,0.0193964,0.0208581,0.0590309,0.0171476,0.0176315,0.0123283,0.0256351,0.0400854,0.0108078,0.0185201,0.00341358,0.0231065,0.0238992,0.0129853,0.00506768,0.0160396,0,0,0.020956,0,0.0153866,0.0134226,0.0608656,0.014513,0.0139677,0.0216936,0.00557563,0.0367518,0.0155575,0.0615769,0.0169673,0.0247834,0.0155668,0.015786,0.0248727,0.0127097,0.01058,0.00715656,0.00470333,0.0159079,0,0,0,0,0,0.0128125,0.0076899
0,0,0,0,0,0.0115956,0.00852687,0,0,0.0481225,0.0208777,0.0208667,0.00808446,0,0,0.0176398,0,0.0214208,0.00844794,0.0453784,0.0191331,0.0184459,0.0213746,0.00861331,0.0200829,0.00940813,0.0142477,0.023609,0.0498976,0.0119983,0.013195,0.0100954,0.0271535,0.057696,0.0188681,0.0192298,0.00170571,0.0224728,0.0275937,0.0213484,0.00850733,0.0119148,0,0,0.00548195,0,0.0156177,0.00839155,0.06151,0.028958,0.0157074,0.0238847,0.00524895,0.0236192,0.0160045,0.0576521,0.0186506,0.0265129,0.0136778,0.00978424,0.0217653,0.0109102,0.0122969,0.00539371,0.00701779,0.0117315,0,0,0,0,0,0,0
1,0,0,0,0,0.0113542,0.00865995,0,0,0.0481037,0.0209107,0.020798,0.00810273,0,0,0.0184466,0,0.0213982,0.00892853,0.0453045,0.0189646,0.0183937,0.0213705,0.00861243,0.0198024,0.00944434,0.0142327,0.0236401,0.0499098,0.0120147,0.013206,0.0101183,0.0272205,0.0578661,0.0195726,0.0192315,0.00190871,0.0222816,0.0267148,0.0212651,0.00849562,0.0116272,0,0,0.0054458,0,0.0154877,0.00807465,0.0614738,0.0289784,0.015726,0.0238755,0.00529258,0.0236385,0.0160163,0.05756,0.0187801,0.0263041,0.013699,0.00973004,0.0215272,0.0116873,0.0136634,0.00451448,0.0072931,0.0115046,0,0,0,0,0,0,0
2,0,0,0,0,0.0115223,0.00849422,0,0,0.048138,0.0209194,0.0207387,0.00813335,0,0,0.0177266,0,0.0214056,0.00849645,0.0452551,0.0188593,0.0185019,0.0213379,0.00873471,0.0200544,0.00938732,0.0141771,0.0234231,0.0498629,0.0120088,0.0131992,0.0101069,0.0272212,0.0579803,0.0191616,0.0191979,0.00170725,0.0220167,0.0275607,0.0211444,0.00858662,0.0118063,0,0,0.00547709,0,0.0155789,0.00826237,0.061448,0.0289742,0.0157772,0.0239016,0.00536505,0.0234881,0.0160314,0.0573985,0.0188214,0.0262856,0.0137361,0.00967913,0.0211509,0.0109225,0.0122353,0.00527996,0.00704521,0.0118253,0,0,0,0,0,0,0
3,0,0,0,0,0.0114912,0.00853347,0,0,0.0482044,0.0209877,0.020722,0.00810397,0,0,0.0168936,0,0.0213556,0.0080108,0.0452156,0.0187964,0.0185432,0.0213272,0.00876017,0.0199994,0.00938941,0.0141671,0.0230776,0.0498401,0.0120006,0.0131805,0.0100878,0.0271971,0.0580446,0.0184222,0.0191529,0.00147649,0.0217953,0.0279088,0.0211236,0.00861375,0.0121093,0,0,0.00546394,0,0.0159101,0.00831977,0.0614867,0.0289817,0.0157813,0.0239059,0.00537955,0.0237371,0.0160243,0.0573093,0.0186867,0.0263844,0.0137245,0.00962762,0.0208028,0.0106248,0.0114433,0.00575812,0.00697815,0.0119175,0,0,0,0,0,0,0
4,0,0,0,0,0.0114539,0.00857833,0,0,0.0482734,0.0210092,0.0207263,0.00809258,0,0,0.0161136,0,0.0213515,0.00756819,0.0451998,0.0187606,0.0185458,0.0213805,0.00864043,0.0197587,0.00944053,0.0142173,0.0230763,0.0498327,0.0119589,0.0131266,0.0100659,0.0271262,0.0581036,0.0177771,0.0191401,0.00131329,0.0215663,0.0280199,0.0211464,0.00862366,0.0123182,0,0,0.00546443,0,0.0162348,0.00828267,0.0616631,0.0290629,0.0158175,0.0238489,0.00542269,0.0239875,0.0159647,0.0572858,0.0185576,0.0264782,0.0136525,0.00948991,0.0204931,0.0104494,0.0109041,0.00604082,0.00693109,0.0119004,0,0,0,0,0,0,0
5,0,0,0,0,0.0114824,0.00857424,0,0,0.0483418,0.021001,0.0208061,0.00816129,0,0,0.0154125,0,0.0213661,0.00719707,0.0451596,0.018754,0.0185428,0.0214115,0.00832934,0.0194186,0.00938401,0.014222,0.0232565,0.0498404,0.0119293,0.0131209,0.0101033,0.027028,0.0581937,0.0172087,0.0191417,0.00121763,0.0212704,0.0280987,0.021305,0.00861714,0.0124445,0,0,0.00544771,0,0.0164225,0.0082396,0.061966,0.0292314,0.0158672,0.0237392,0.00546524,0.0242065,0.0158845,0.0572854,0.0184447,0.0263266,0.0135309,0.00923919,0.0200912,0.0103022,0.010533,0.00624084,0.00685992,0.0118277,0,0,0,0,0,0,0
6,0,0,0,0,0.0116105,0.00852234,0,0,0.0483885,0.0210226,0.0208746,0.00826395,0,0,0.0147678,0,0.0213957,0.00684471,0.0450813,0.0187345,0.0185465,0.0213766,0.00827881,0.0191005,0.009299,0.0141729,0.0231675,0.0498639,0.0119472,0.0131482,0.0101634,0.0270273,0.0582311,0.0166889,0.0191744,0.0011239,0.021061,0.0282864,0.021373,0.00863747,0.0125256,0,0,0.00540509,0,0.0164487,0.00824727,0.0620367,0.0292927,0.0158851,0.0236185,0.00549953,0.0243819,0.0158717,0.0572622,0.018295,0.0261331,0.0134764,0.00909676,0.0198124,0.0101429,0.0102744,0.00645228,0.00675934,0.0117723,0,0,0,0,0,0,0
7,0,0,0,0,0.0118997,0.00894442,0,0,0.0484957,0.0207146,0.021112,0.00868674,0,0,0.0140845,0,0.0216278,0.00661016,0.0447636,0.0186182,0.0191098,0.0212347,0.00862564,0.0182758,0.00913082,0.0141413,0.0232287,0.050318,0.0123723,0.013486,0.0105532,0.027434,0.0583531,0.0160875,0.0190749,0.00120003,0.0160938,0.0278466,0.0163697,0.00946032,0.0129964,0,0,0.00534982,0,0.0168365,0.00808405,0.0613274,0.0235488,0.0166569,0.0255577,0.00568437,0.0244806,0.0170873,0.0575643,0.0198077,0.0277378,0.0166894,0.0131263,0.0150754,0.0100392,0.00996967,0.0064794,0.00730932,0.0123303,0,0,0,0,0,0.00952974,0
8,0,0,0,0,0.0118034,0.00895942,0,0,0.0485328,0.0207508,0.0210984,0.00869091,0,0,0.0136371,0,0.0215674,0.00636424,0.044744,0.0186543,0.0191704,0.021148,0.0086793,0.0179785,0.00913215,0.0141077,0.0232554,0.050259,0.0123817,0.0134845,0.0105245,0.0274112,0.0583671,0.0157104,0.0191345,0.00112057,0.0162238,0.0279715,0.0164715,0.00948015,0.0130293,0,0,0.0053563,0,0.0169325,0.0082109,0.0612743,0.0236105,0.0165633,0.025354,0.00557691,0.0245643,0.0169063,0.0576651,0.0197359,0.0276742,0.0165494,0.0130532,0.0151985,0.0100024,0.00991507,0.0066621,0.00732911,0.0121851,0,0,0,0,0,0.00930693,0
