Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,BriefCase:BCBT,,,BriefCase:BCFT,,,BriefCase:BCBTT,,,BriefCase:BCBB,,,BriefCase:BCBF,,,BriefCase:IMU_M,,,BriefCase:IMU_T,,,BriefCase:IMU_B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
3952,0,620.847168,-246.692017,1611.730469,728.633667,-241.627350,1625.369629,638.243347,-410.390717,1678.839722,738.676514,-387.009583,1679.088013,621.968262,-363.935852,1528.385498,754.797607,-356.611328,1533.396729,686.990417,-553.528931,1498.445435,697.279724,-631.259827,1368.019409,695.390076,-389.305817,1410.373779,707.280396,-379.928802,1311.061401,803.035034,-627.730652,1429.195190,498.665497,-467.862427,1436.723145,431.740387,-571.938843,1269.906128,407.282379,-633.957947,1184.453369,,,,353.430389,-625.639709,1047.608765,368.338898,-583.713135,927.969910,346.509979,-666.446106,941.000366,325.430328,-609.188416,792.218872,317.511444,-662.354797,857.157959,895.181030,-492.336639,1452.610474,949.541565,-557.146545,1288.212646,982.499817,-575.835022,1153.372437,,,,1027.633057,-545.972717,1041.647705,1001.091492,-481.943726,897.079529,1058.492920,-540.588745,897.304382,1062.683228,-464.873352,779.640991,1074.548340,-540.162842,821.111389,603.494751,-456.351715,1025.121826,824.858704,-447.784332,1031.959717,644.730408,-631.010559,1073.512939,781.084106,-630.616333,1083.264893,566.102112,-538.225342,1059.394165,866.715027,-533.302856,1060.324219,530.590332,-536.831299,939.890137,530.307556,-471.371552,672.821533,539.639038,-410.768341,616.250427,567.123169,-471.690979,555.319885,563.989075,-533.651123,615.601074,569.854309,-412.505402,515.601990,,,,560.790100,-378.475769,314.559601,561.820312,-320.298401,286.878326,589.527283,-359.890228,210.902451,594.091187,-412.527618,239.082565,608.287109,-285.219971,97.773071,,,,676.342529,-322.129913,42.905258,619.893799,-79.069519,156.042328,897.768799,-565.873474,962.744080,560.410583,-129.835999,109.714539,881.997375,-624.326355,675.512329,866.820740,-557.646790,618.218994,863.612000,-617.400696,558.637756,868.330505,-681.519836,614.906128,863.173889,-642.069275,518.292419,,,,881.157898,-752.605774,365.189941,863.168762,-720.176941,281.256683,863.771362,-776.984192,265.491577,869.408752,-809.384705,348.190704,837.197266,-843.857239,126.787750,,,,793.278320,-926.606628,103.073242,778.997925,-661.916382,36.884689,850.554626,-701.571472,37.221424,,,,983.976440,-249.215775,648.064941,1070.850586,-725.638916,597.140320,1045.865601,-719.417664,383.233154,971.934204,-245.501907,487.289429,,,,1080.184326,-299.583527,666.413452,,,
3953,0,617.214539,-233.838959,1609.823242,725.166382,-228.725647,1623.815186,634.615784,-397.490601,1676.744141,735.005676,-374.044281,1677.321655,618.873596,-350.730652,1526.134277,751.493225,-343.504669,1531.680420,684.087891,-540.452759,1496.354004,694.823425,-618.090149,1365.887329,693.004089,-375.825897,1408.470581,705.035583,-366.836151,1309.195679,800.346619,-614.519653,1427.502319,495.978546,-454.665100,1433.888306,429.493408,-559.414917,1267.199097,405.322235,-621.672852,1181.912476,,,,351.310333,-613.999146,1045.079956,365.591431,-573.223267,925.224976,344.359650,-655.813293,938.876526,322.857330,-598.891602,789.755615,315.206818,-652.275024,855.059692,892.455322,-479.095215,1451.262451,947.383911,-544.113098,1287.215088,980.842285,-562.759766,1152.390991,,,,1026.698120,-533.095154,1040.894409,1000.797607,-469.148193,896.091980,1058.101074,-527.797852,896.689087,1062.813843,-452.200500,779.042358,1074.495972,-527.365112,820.481750,601.922241,-441.397705,1022.168518,824.148926,-434.768005,1030.222534,643.011963,-617.232117,1071.244629,779.294861,-617.262451,1081.257080,564.719971,-524.123779,1056.860474,865.532410,-520.483582,1058.839844,529.275696,-522.476562,937.274048,529.697266,-457.533752,670.231934,540.445129,-395.372711,613.620972,567.213867,-457.273041,553.343872,564.241028,-518.627197,612.864014,570.404663,-397.108429,513.995911,,,,562.673767,-361.396667,313.717590,564.553406,-302.776245,286.736542,591.187927,-341.927338,210.159943,594.920593,-395.042358,237.598160,610.880188,-265.824127,97.982224,,,,678.509644,-302.524994,41.805042,626.333313,-60.812263,160.130630,896.715149,-553.244690,961.298279,566.248047,-109.281609,112.487282,881.566833,-613.598145,675.012817,866.867371,-547.290161,617.097290,863.405579,-607.555237,558.002502,867.699158,-671.251221,614.922546,862.991577,-632.673035,517.909302,,,,881.067505,-745.918640,366.647705,863.602844,-715.304565,282.475189,863.743286,-771.890625,267.220612,868.736084,-801.941406,350.030579,837.523682,-841.153870,129.619553,,,,793.568848,-924.358948,107.641731,779.129944,-661.556030,36.621639,850.664795,-701.293152,37.498592,,,,984.478882,-236.423065,647.102600,1071.714478,-712.738586,595.800354,1047.493652,-706.240540,381.892822,972.943542,-232.495804,486.276276,,,,1080.664917,-286.836029,665.785461,,,
3954,0,613.524963,-220.641739,1607.948242,721.294739,-215.393906,1622.235229,630.823181,-384.429291,1674.734375,731.230225,-360.902039,1675.666260,615.406799,-337.719330,1524.343872,748.191833,-330.329529,1530.175537,681.034424,-527.146973,1494.379395,692.307495,-604.713745,1363.813477,690.291260,-362.442566,1406.653442,702.653625,-353.410583,1307.136475,797.604492,-601.191772,1425.724121,493.104492,-441.667633,1431.309204,427.193542,-546.697327,1264.636963,403.160004,-609.056396,1179.358032,,,,348.924835,-602.573853,1042.862671,362.785309,-562.195251,922.557007,342.140442,-644.856262,936.764526,319.822266,-588.570740,787.346375,312.738220,-642.062622,852.971252,889.650146,-465.790405,1450.033325,945.025574,-530.591248,1286.159058,979.047058,-549.601562,1151.453369,,,,1025.745361,-520.151001,1040.277466,1000.590820,-456.031738,895.141296,1057.624756,-515.000183,896.035828,1062.875122,-439.501953,778.165039,1074.369507,-514.719788,819.854614,601.428589,-428.379517,1020.044312,823.107666,-421.169647,1028.564575,641.375305,-603.359802,1069.106079,777.619812,-603.649597,1079.405518,563.363525,-510.114380,1054.439697,864.340332,-507.047821,1057.220093,527.826111,-508.171448,934.994263,529.498413,-441.174042,668.472961,540.319153,-379.479156,612.459412,567.785767,-440.655396,551.908264,563.955688,-502.468353,611.118164,571.332886,-380.277985,513.108521,,,,564.612854,-344.734283,312.561798,567.057007,-286.107117,285.498474,593.230591,-325.989410,208.935623,596.126953,-379.004486,236.429443,613.701233,-249.995422,96.453545,,,,680.605225,-287.171234,39.652813,633.505371,-45.870232,160.916809,895.451111,-540.303833,959.907898,572.789978,-92.188454,112.300156,880.922058,-602.149292,674.421143,867.310059,-536.093140,615.852295,863.293335,-596.889587,557.396973,866.973328,-660.090942,614.570435,862.803528,-622.333923,517.296814,,,,880.999573,-738.231934,367.904633,863.621155,-709.035461,282.925720,863.762756,-766.111084,269.017914,868.902222,-794.877014,352.674530,838.006287,-838.070618,132.719742,,,,793.792847,-922.084839,112.951447,779.596008,-661.154175,35.962475,850.761108,-700.735718,37.450947,,,,984.457703,-223.178848,646.210266,1072.528198,-699.964600,594.618103,1049.106812,-693.211060,380.555023,973.883972,-219.890427,485.157288,,,,1081.124634,-274.072388,665.128967,,,
3955,0,609.736633,-207.654434,1606.113159,717.711121,-202.188828,1620.908081,626.971497,-371.327515,1672.852417,727.430481,-347.754517,1674.229492,612.270813,-324.208252,1522.373657,744.794983,-316.912323,1528.779419,678.093018,-513.757202,1492.499146,689.740723,-591.114014,1361.738159,687.360657,-349.034821,1404.856934,700.134521,-339.829834,1305.436401,794.878296,-587.561340,1424.043823,490.291473,-428.379028,1428.797241,424.897491,-533.633911,1262.109009,400.901245,-596.340942,1176.886597,,,,346.625824,-590.565369,1040.484619,359.932098,-551.007935,920.080505,339.657440,-633.660645,934.762207,316.617706,-578.254883,785.220520,310.081726,-631.527588,851.081665,886.792664,-452.157959,1448.853760,942.739380,-517.128479,1285.144653,977.107361,-536.219788,1150.627930,,,,1024.540894,-507.166748,1039.599121,1000.170959,-443.331696,894.352661,1057.032349,-502.391571,895.554626,1062.729980,-426.976776,777.547424,1074.126709,-502.196014,819.334961,600.052795,-413.976349,1017.479187,821.950562,-407.425812,1026.855103,640.010193,-589.447205,1067.091064,776.067322,-589.719910,1077.700439,562.023499,-496.229675,1052.260742,862.909729,-493.056671,1055.596436,526.573730,-493.933533,933.194397,529.701660,-423.771454,667.597534,541.061707,-361.893738,612.005859,568.361084,-422.910370,551.141113,564.119019,-484.896973,610.070068,572.420044,-362.331696,512.740784,,,,566.096558,-328.428070,310.961060,569.682495,-270.456238,282.875214,595.072937,-311.836792,207.009354,597.385681,-364.369385,235.476196,616.338684,-237.255600,93.443649,,,,682.128784,-276.372925,36.655777,641.117249,-33.841125,157.336487,893.958374,-526.825073,958.513000,579.300842,-78.757156,108.771004,880.291260,-589.862061,673.446350,867.341370,-524.063843,614.562378,862.938721,-585.092834,556.375183,866.242737,-648.011108,613.884277,862.423340,-610.904968,516.403931,,,,880.964844,-729.720642,369.294617,863.712646,-702.263123,283.531433,863.822083,-759.640930,270.930908,868.691406,-786.063904,354.666016,838.601318,-834.455994,136.060486,,,,794.491577,-918.706360,118.289154,779.438782,-661.137268,35.813911,851.242310,-700.697388,37.478958,,,,985.222595,-210.714645,645.379822,1073.239868,-687.278931,593.548279,1050.762207,-680.267029,379.356018,975.228943,-206.840942,484.206329,,,,1081.513306,-261.339325,664.497498,,,
3956,0,606.128845,-194.171677,1604.517700,713.865784,-188.924286,1619.737305,623.127075,-358.126831,1671.094604,723.837708,-333.859619,1672.484741,608.822021,-310.859253,1520.522095,741.438538,-303.452271,1527.463867,675.268677,-500.290741,1490.737183,687.217468,-577.201172,1359.785645,684.417053,-335.539825,1403.282593,697.496094,-326.152588,1303.693481,792.301819,-573.762451,1422.490234,487.323792,-415.368683,1426.619873,422.462341,-520.662170,1259.708740,398.599854,-583.367493,1174.534302,,,,344.113037,-578.604492,1038.301880,356.882050,-539.384155,917.761047,337.174103,-622.210022,932.885559,313.285339,-567.659668,783.220154,307.295471,-620.598083,849.327332,883.823547,-438.421326,1447.650269,940.534119,-503.860474,1284.308228,975.174133,-522.803650,1149.961182,,,,1023.393860,-494.115265,1039.155762,999.773865,-430.428467,893.516479,1056.351440,-489.636688,895.066833,1062.634277,-414.414612,776.905640,1073.738037,-489.649323,818.860474,598.066345,-399.896301,1015.793945,820.417419,-393.089081,1025.483154,638.841553,-575.355469,1065.137329,774.643982,-575.429810,1076.051147,560.777222,-482.179352,1050.244263,861.449524,-478.451019,1053.963989,525.450989,-479.168854,931.702942,530.190552,-405.663574,667.368225,541.776306,-343.493744,612.041565,569.205627,-404.168610,550.973755,564.565369,-466.418945,609.535461,573.714111,-343.935303,512.310852,,,,567.654541,-312.721893,309.158722,571.812805,-255.190826,280.025330,596.677673,-299.174896,204.748352,598.245422,-350.992493,234.524353,618.687073,-227.619278,89.588638,,,,682.940491,-269.865936,34.816372,649.142395,-24.180719,150.595276,892.499451,-512.944153,957.126709,586.102295,-68.083801,102.750214,879.472351,-576.683777,672.248901,867.004028,-511.015228,613.126587,862.456787,-571.961060,554.856628,865.462708,-634.945312,612.782288,862.128235,-598.301636,515.270935,,,,880.997498,-720.265320,370.664856,863.367004,-694.512573,283.990540,863.313293,-751.924988,272.424316,869.113892,-777.916748,357.989716,839.388977,-830.357788,139.732468,,,,795.081116,-915.014954,124.318558,779.415955,-661.025208,35.662552,851.476807,-700.291748,37.390282,,,,985.594299,-198.247345,644.509094,1073.832886,-674.645996,592.556458,1052.416504,-667.433472,378.284851,976.540405,-194.162369,483.295746,,,,1081.897705,-248.769836,664.001587,,,
3957,0,602.362732,-180.916351,1603.075684,710.285645,-175.267838,1618.310547,619.375732,-344.998260,1669.370117,719.823181,-321.221466,1671.439819,605.277893,-297.535675,1518.984009,738.044006,-289.830261,1526.191772,672.453613,-486.819580,1488.943970,684.769165,-563.213562,1357.835205,681.307983,-321.729340,1401.735107,694.447266,-312.157043,1302.457275,789.653137,-559.817078,1420.859619,484.358704,-402.233978,1424.609985,419.992249,-507.651398,1257.620850,396.287170,-570.358948,1172.467041,,,,341.541718,-566.302551,1036.291504,354.010895,-527.691101,915.653625,334.615417,-610.456238,931.165100,309.793488,-556.921387,781.429260,304.475037,-609.293396,847.728882,880.781921,-424.478027,1446.499512,938.148376,-490.262054,1283.594482,973.130798,-509.243439,1149.378662,,,,1022.028198,-480.880676,1038.536011,999.321899,-417.624756,892.679443,1055.657104,-477.152863,894.610779,1062.365601,-401.923553,776.296997,1073.346924,-477.076477,818.330505,595.610718,-384.588898,1014.282349,818.518799,-378.548523,1024.172119,637.716614,-560.882690,1063.109497,773.236938,-560.711426,1074.400513,559.455383,-467.868530,1048.365967,859.975464,-464.162842,1052.672363,524.740845,-463.833008,930.589966,530.616577,-386.994568,667.461731,542.499817,-324.541809,612.423279,570.094299,-384.852722,551.002441,565.136963,-447.548645,609.495728,575.115356,-325.324219,511.930176,,,,568.757629,-297.667877,306.961121,574.584045,-241.397324,276.159210,598.063416,-287.909332,202.491989,598.684326,-338.816589,233.762329,620.632690,-220.288971,86.846489,,,,683.229187,-267.341858,34.646809,657.938965,-16.219437,139.773361,891.152039,-498.691864,955.820618,592.987671,-60.466183,94.906799,878.531372,-562.515869,670.674744,866.569641,-496.971680,611.641296,862.049500,-557.976624,553.402039,864.635498,-620.927307,611.316467,861.661865,-584.455078,513.855896,,,,881.024841,-709.844055,372.053009,863.806396,-686.248108,284.761261,864.174683,-744.304993,274.961639,869.217102,-768.035583,360.944824,840.266602,-825.672241,143.709885,,,,795.597412,-911.078918,131.483994,779.035339,-661.032776,35.487057,851.670288,-699.718018,37.260841,,,,986.174194,-185.543243,643.668335,1074.375854,-662.090576,591.706055,1054.117432,-654.695129,377.372803,977.817749,-181.403885,482.442932,,,,1082.246460,-236.277695,663.609497,,,
3958,0,598.518127,-167.834610,1601.742920,706.372559,-162.097763,1617.489624,615.676392,-331.874451,1667.667114,716.080994,-307.876984,1670.080078,601.874695,-284.088654,1517.492065,734.582642,-276.071259,1524.946533,669.556030,-473.173065,1487.176270,682.352783,-548.986328,1355.756714,677.932556,-308.130524,1400.011841,691.156250,-297.954102,1301.440430,786.932922,-545.824097,1419.166992,481.328674,-389.081757,1422.764893,417.368103,-493.779419,1255.961060,393.819824,-557.530762,1170.318359,,,,339.004333,-553.950134,1034.614868,350.901459,-515.557251,913.718445,331.996765,-598.506714,929.575989,306.587891,-545.317444,779.523010,301.497162,-597.709656,846.373413,877.641235,-410.563904,1445.327026,935.847412,-476.649078,1282.810059,971.037720,-495.586121,1148.735107,,,,1020.558350,-467.877777,1037.974609,998.852966,-404.905426,891.896912,1054.892700,-464.513916,894.171509,1062.131836,-389.467041,775.612061,1072.947998,-464.625061,817.892761,594.144958,-369.614105,1012.874146,816.678101,-363.433655,1022.904724,636.500427,-545.868896,1061.144043,771.801819,-545.623535,1072.744507,558.038696,-453.073181,1046.685547,858.369629,-448.989258,1051.229980,523.401062,-449.025879,929.801147,531.183533,-367.725677,667.749695,543.234985,-305.226135,612.874329,570.646851,-365.599762,551.309265,565.622009,-428.250854,609.669861,576.652222,-306.715149,511.240601,,,,570.753357,-283.377838,305.208038,578.266602,-228.613174,272.034485,599.381226,-278.006165,200.172943,598.552979,-328.025208,233.020172,622.839722,-216.156052,83.075615,,,,684.409302,-265.906189,33.488628,666.544922,-10.528829,126.979736,889.600830,-483.594116,954.279724,599.378967,-55.496658,86.423813,877.501038,-547.543335,669.025330,866.107910,-481.839203,610.021545,861.604797,-542.673401,551.591370,863.789062,-605.666809,609.420593,861.217590,-569.182861,512.079834,,,,880.862244,-698.479004,373.679565,864.350769,-677.049622,285.520660,863.864624,-734.920959,276.841949,869.270142,-757.016968,364.043579,841.278198,-820.335938,148.141998,,,,796.322205,-905.462341,138.685410,778.797974,-660.728760,35.530411,851.915344,-699.118347,37.145580,,,,986.586792,-173.000656,642.969604,1074.889282,-649.559692,591.090332,1055.803955,-642.092590,376.700256,978.950684,-169.128067,481.628906,,,,1082.546387,-223.772644,663.300781,,,
3959,0,594.694885,-154.625290,1600.575439,702.548828,-148.806641,1616.658936,612.006897,-318.797852,1666.143433,712.423462,-294.639404,1668.869019,598.622314,-270.534424,1515.955200,731.126038,-262.321259,1523.685303,666.513306,-459.602875,1485.371826,680.007507,-534.753113,1353.630859,674.517395,-294.211792,1399.080566,688.211182,-283.407532,1300.301147,783.977539,-531.888062,1417.346069,478.121643,-375.966217,1421.165771,414.603333,-481.085205,1254.391479,391.467133,-544.468933,1168.586670,,,,336.379150,-541.405396,1032.899658,347.790863,-503.152252,911.946777,329.437195,-586.129028,927.964539,302.748993,-532.982727,778.377014,298.472168,-585.577515,844.872803,874.427063,-396.728180,1444.194336,933.173706,-462.351471,1281.804932,968.855286,-481.897980,1147.944214,,,,1019.043213,-454.797729,1037.505615,998.506836,-392.003479,891.036194,1054.131592,-452.013641,893.787842,1061.949463,-377.084045,775.091248,1072.652710,-452.226837,817.421570,592.321960,-354.514587,1012.292053,814.757446,-348.100403,1021.865845,635.034058,-530.344543,1059.162720,770.307373,-530.304993,1071.061523,556.464905,-437.691132,1045.098999,856.772156,-433.401581,1049.863525,522.478760,-432.926453,928.859375,532.085999,-348.016754,668.125305,544.036011,-285.332764,613.270752,571.032288,-346.437775,551.584106,566.271301,-408.935272,610.116333,578.444092,-288.423401,510.252838,,,,573.138733,-270.225250,303.162231,582.442139,-216.874817,268.069733,600.956238,-269.081055,197.846207,598.389404,-318.093079,232.265198,625.696411,-212.023041,80.588852,,,,686.353943,-263.387024,34.532448,673.328125,-4.482976,114.356621,888.103149,-468.172485,952.821838,604.811218,-50.604362,77.896751,876.531372,-531.515747,667.036743,865.803406,-465.451782,608.225830,861.170349,-526.246033,549.670654,862.872070,-589.351257,607.075928,860.828430,-552.469482,509.940155,,,,880.873779,-685.710449,375.063721,864.834900,-666.922791,286.442688,864.321899,-725.113159,279.605072,868.722778,-743.841125,366.995422,842.220764,-813.936340,152.869202,,,,796.870117,-899.070557,146.976242,778.608948,-660.338074,35.369476,852.053040,-698.382935,37.023998,,,,986.881287,-160.659363,642.298706,1075.514404,-637.084229,590.827026,1057.562988,-629.533142,376.311890,980.239624,-156.626648,480.856293,,,,1082.852661,-211.285004,663.114807,,,
3960,0,591.002380,-141.199890,1599.571289,698.924438,-135.503204,1615.924561,608.353638,-305.570740,1664.884888,708.820984,-281.387939,1667.923706,595.447693,-257.046448,1514.670166,727.712891,-248.760635,1522.618530,663.207825,-446.055298,1483.610107,677.547607,-520.417664,1351.438110,671.298218,-280.210938,1398.160278,684.910583,-268.600586,1299.312256,780.753723,-518.245911,1415.533325,474.954742,-362.434753,1419.485474,411.794861,-468.423187,1252.714966,389.072418,-531.356018,1166.922974,,,,333.822876,-528.445740,1031.282959,344.670410,-490.586121,910.350403,326.876068,-573.352905,926.398926,299.247986,-520.998230,776.954163,295.430817,-573.368042,843.621826,871.239990,-383.219788,1443.188965,930.545410,-449.341675,1280.906982,966.548950,-468.398315,1147.173584,,,,1017.392029,-441.918182,1037.024170,998.054993,-379.036163,890.397339,1053.288452,-439.580811,893.444702,1061.769897,-364.592407,774.775818,1072.341309,-439.757874,817.193604,590.626160,-338.609924,1011.365051,813.024475,-332.451752,1020.864014,633.276367,-514.647827,1057.647339,768.803894,-514.858582,1069.354736,554.601685,-421.738678,1043.793579,855.189209,-417.690643,1048.533081,521.324585,-416.130829,927.317444,533.267578,-329.021362,668.208435,545.353638,-266.508759,612.931213,571.217102,-328.039185,551.359436,566.672302,-390.494324,610.550720,579.987427,-271.488007,509.060455,,,,576.686096,-257.425354,301.385681,587.209961,-205.020447,265.789764,603.495850,-259.774780,195.540161,598.760620,-307.597229,231.240906,627.947632,-205.293274,81.114952,,,,687.274902,-260.350739,37.094402,678.025818,5.449540,99.784607,886.612122,-452.546509,951.255615,609.106689,-44.177723,69.111069,875.627869,-514.415894,664.653625,865.428772,-447.924835,606.280579,860.861206,-507.899872,547.051208,861.967957,-571.652954,604.285400,860.530151,-534.415039,507.565918,,,,880.936890,-671.936157,376.929535,865.609558,-655.760925,287.662323,865.163391,-714.379456,282.972504,868.712585,-730.928284,370.694122,843.381531,-806.649536,158.160461,,,,797.403564,-891.265869,156.364883,778.492859,-660.155701,34.657661,852.269226,-697.290100,36.420208,,,,987.409546,-148.071976,641.546265,1076.230835,-624.672546,590.680786,1059.394775,-617.127502,376.077148,981.519470,-144.182037,480.101349,,,,1083.188477,-198.821320,662.869507,,,
