Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_M,
All Timesteps RMSE,0,0,0,0,0.0130825,0.0102005,0,0,0.0489015,0.010871,0.0235304,0.00589476,0,0,0.0082262,0,0.019109,0.00403916,0.0488478,0.0288273,0.0315986,0.0192787,0.00454503,0.0133483,0.0138859,0.0205217,0.0172984,0.0535021,0.0150825,0.0201741,0.0118062,0.0222855,0.0604089,0.00824767,0.00880483,0.00291277,0.0330018,0.015342,0.0249961,0.00784999,0.0112399,0,0,0.00763135,0,0.01313,0.00496578,0.0702715,0.0363412,0.0239515,0.0295503,0.00608399,0.00944072,0.0670282,0.0509437,0.0322469,0.0232941,0.0333886,0.0269513,0.0308643,0.0316932,0.0355247,0.00688698,0.00426501,0.00313784,0.00923206,0.010558,0,0,0,0,0,0,0
0,0,0,0,0,0.0147794,0.0133403,0,0,0.102067,0.01085,0.03469,0.0081915,0,0,0.00557649,0,0.018951,0.00344405,0.0401741,0.0164985,0.0323278,0.0136217,0.005141,0.018174,0.0124947,0.012143,0.0244395,0.0682446,0.0206548,0.0312858,0.0195267,0.0317303,0.122669,0.00905616,0.00875516,0.00276318,0.025105,0.0171714,0.0184756,0.0128648,0.00620786,0,0,0.0109138,0,0.0129104,0.00804458,0.0722343,0.0195245,0.0230046,0.00533592,0.00142406,0.0104681,0.00626627,0.0515308,0.00849412,0.00849241,0.00868384,0.0279367,0.0131414,0.0211406,0.0261109,0.00523676,0.00511456,0.00360344,0.0106673,0.00441491,0,0,0,0,0,0,0
1,0,0,0,0,0.00889358,0.0102187,0,0,0.102012,0.0106198,0.0350471,0.0067069,0,0,0.00518833,0,0.0191444,0.00303398,0.0397392,0.0176729,0.0324918,0.0163324,0.00523246,0.0180571,0.0137239,0.0123592,0.0272686,0.0686137,0.0197868,0.0291939,0.017874,0.0318644,0.124036,0.00884552,0.0089181,0.00281913,0.0256787,0.0174964,0.0182308,0.011464,0.00476253,0,0,0.0136167,0,0.0130749,0.00982152,0.0716394,0.0184859,0.0238258,0.00498313,0.00163075,0.00946108,0.00579627,0.0515483,0.00803032,0.00808031,0.00835521,0.0273353,0.0129694,0.020605,0.0268498,0.010682,0.00517254,0.00394792,0.00929576,0.00854025,0,0,0,0,0,0,0
2,0,0,0,0,0.0183838,0.0156075,0,0,0.103916,0.0107779,0.0335912,0.0058145,0,0,0.0032979,0,0.0191628,0.00237765,0.0411613,0.0224929,0.0327758,0.0111821,0.00494428,0.0179009,0.0104759,0.0124539,0.0221989,0.0662474,0.0223788,0.034157,0.0180884,0.0327924,0.128552,0.00715294,0.00872821,0.00305741,0.0253289,0.0167022,0.017655,0.0106278,0.0112087,0,0,0.00936725,0,0.0130151,0.00685215,0.071555,0.017327,0.0240574,0.00465949,0.00231438,0.0169443,0.00494679,0.0519654,0.00732693,0.00723998,0.0078518,0.0267852,0,0.0195718,0.0264584,0.00529967,0.00458419,0.00333442,0.0127415,0.0060323,0,0,0,0,0,0,0
3,0,0,0,0,0.0128486,0.0125343,0,0,0.102799,0.0101879,0.0336688,0.0056581,0,0,0.00563917,0,0.0196074,0.0029115,0.0409668,0.0235505,0.0318952,0.0127832,0.00476399,0.017849,0.0109425,0.011616,0.0240362,0.0667571,0.0215042,0.0327714,0.0166775,0.0328499,0.127638,0.00881867,0.00920305,0.00292716,0.0250376,0.0170471,0.0177444,0.00993859,0.00449027,0,0,0.0117112,0,0.0130841,0.00865715,0.0718367,0.0177014,0.0240522,0.00426923,0.0027441,0.00983447,0.00475137,0.0526503,0.00742947,0.00717675,0.00729067,0.0262438,0.014954,0.0197851,0.0259959,0.00740959,0.00499895,0.00375921,0.0100285,0.00493526,0,0,0,0,0,0,0
4,0,0,0,0,0.0494515,0.0466893,0,0,0.102625,0.0132606,0.0326003,0.0058764,0,0,0.00876759,0,0.0182291,0.00709437,0.0422279,0.0265253,0.03302,0.0106794,0.00693312,0.0297893,0.00900257,0.0123451,0.0213553,0.0649236,0.0227964,0.0345693,0.0165407,0.0332678,0.128769,0.00763097,0.0067752,0.00509308,0.0239127,0.0144765,0.017242,0.0106376,0.0464326,0,0,0.00701681,0,0.0133965,0.00513013,0.0723095,0.0179198,0.0247567,0.00395909,0.00546023,0.0648306,0.00419817,0.0531182,0.00695529,0.00676233,0.00726642,0.0257774,0,0.0197872,0.0248147,0.0298876,0.00472365,0.00361296,0.0409449,0.0280871,0,0,0,0,0,0,0
5,0,0,0,0,0.0094609,0.0198198,0,0,0.100849,0.00877309,0.0313716,0.00776426,0,0,0.0124113,0,0.0212861,0.00694921,0.0421186,0.027476,0.0322646,0.0111564,0.00879763,0.0193677,0.0091916,0.0129972,0.0211897,0.0647314,0.0220831,0.0338683,0.0156101,0.0330807,0.127218,0.0145223,0.0104091,0.00325229,0.0214018,0.0192012,0.0189432,0.00986938,0.00995383,0,0,0.0249645,0,0.013064,0.0181987,0.0731704,0,0.0260538,0.00512049,0.00887446,0.0199472,0.00400993,0.0525481,0.0059345,0.00512559,0.00886296,0.0260082,0.0147495,0.0206889,0.0244615,0.0220173,0.00855128,0.0073775,0.0186243,0.00439624,0,0,0,0,0,0,0
6,0,0,0,0,0.0124691,0.012232,0,0,0.0991586,0.0106881,0.0305674,0.00569063,0,0,0.00449619,0,0.0195819,0.00213799,0.042757,0.0281768,0.0310199,0.0112032,0.00506064,0.0207875,0.00813353,0.0121794,0.0209526,0.0634751,0.0216627,0.0329329,0.0149656,0.0332155,0.125679,0.00959491,0.00891128,0.00204755,0.0206186,0.0167431,0.0184011,0.00880632,0.0063772,0,0,0.0111391,0,0.0129513,0.00810565,0.072229,0,0.0243969,0.00519882,0.00494619,0.00788036,0.00280024,0.0532299,0.00569679,0.00428357,0.00900803,0.0247486,0.015989,0.021059,0.0238842,0.00782661,0.00454251,0.00342295,0.0110429,0.00653135,0,0,0,0,0,0,0
7,0,0,0,0,0.0251388,0.0243244,0,0,0.0966456,0.01178,0.0301191,0.00586037,0,0,0.000582776,0,0.0190596,0.00234156,0.0432731,0.0280755,0.03158,0.0123277,0.00636552,0.0255497,0.00749596,0.0109284,0.0214826,0.0626045,0.0208435,0.0310503,0.014256,0.0331084,0.122916,0.00833533,0.00806425,0.00257597,0.0203712,0.0160861,0.0169994,0.0095814,0.016316,0,0,0.00820381,0,0.0129725,0.00602329,0.0721375,0.0212747,0.0248019,0.00409077,0.00663501,0.0232173,0.00259171,0.0538223,0.00653305,0.0055404,0.0090223,0.02392,0.0175085,0.0229663,0.0202134,0.00732114,0.004572,0.00326306,0.0213014,0.0108758,0,0,0,0,0,0,0
8,0,0,0,0,0.0273275,0.0266695,0,0,0.0933587,0.0117752,0.029671,0.00612182,0,0,0.000457477,0,0.0191537,0.00212857,0.0433564,0.0271304,0.0313832,0.0146563,0.00698884,0.0279657,0.00770127,0.0101347,0.022618,0.0621731,0.0197405,0.0284772,0.0134717,0.0328171,0.118613,0.00921008,0.00819025,0.00235112,0.019071,0.0161761,0.0166141,0.00964555,0.0174143,0,0,0.00946069,0,0.0130265,0.00695848,0.0722963,0.0220906,0.0252572,0.00387849,0.0079057,0.0252219,0.00218426,0.0541829,0,0.00517716,0.00986789,0.0231486,0.0179653,0.0237747,0.01858,0.00797696,0.00503937,0.00347572,0.0235191,0.0114552,0,0,0,0,0,0,0
