Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LTHII,LTHIP,IMU_M,
All Timesteps RMSE,0,0,0,0,0.00914094,0.00672195,0,0,0.0541665,0.00982154,0.0240233,0.00631095,0,0,0.00621254,0,0.0191517,0.00279568,0.0497306,0.0223877,0.0313345,0.0195307,0.00472058,0.0116967,0.0143818,0.0184707,0.0143354,0.0190678,0.0114554,0.0220096,0.0645711,0.0062936,0.00893443,0.00218456,0.0304131,0.0154038,0.023223,0.00693351,0.00896995,0,0,0.00669182,0,0.012956,0.00445363,0.0719162,0.0327472,0.0250162,0.0136027,0.00519033,0.00587653,0.0131585,0.0505781,0.0118847,0.0177048,0.0221676,0.025533,0.0374519,0.0468948,0.0355715,0.00601217,0.00458526,0.00360283,0.00595976,0.00827776,0,0,0,0,0,0.0205529,0.0527547,0,0
0,0,0,0,0,0.0139411,0.00934502,0,0,0.0220659,0.0101291,0.0214977,0.0164844,0,0,0.00712942,0,0.0192244,0.00136396,0.0481676,0.0247114,0.0254059,0.014675,0.00824915,0.0130663,0.0201058,0.0211321,0.0101662,0.010659,0.00908644,0.0220086,0.0239837,0.00419163,0.0087526,0.00143231,0.0373683,0.0149108,0.0210687,0.00448002,0.0152302,0,0,0.00372147,0,0.0125472,0.00439783,0.0675231,0.0380266,0.0289207,0.0149168,0.00710004,0.0062638,0.0144662,0.0501397,0.0110248,0.0214675,0.0238193,0.0153537,0.0280037,0.0322497,0.0527885,0.00347587,0.0036552,0.00412695,0.00628036,0.0126077,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.0133957,0.00846386,0,0,0.0205634,0.0100907,0.0188823,0.0152789,0,0,0.00731678,0,0.0190848,0.00147277,0.0490359,0.0214914,0.0264032,0.00939647,0.00919059,0.0124848,0.0133084,0.0140814,0.0113592,0.0133906,0.00867171,0.0216898,0.0219918,0.0043533,0.00857611,0.00131813,0.0367704,0.0146922,0.0216152,0.0053382,0.0147432,0,0,0.00542004,0,0.0126522,0.0048354,0.0670429,0.0377633,0.0296538,0.0134044,0.00749631,0.00570555,0.013072,0.0502513,0.00998326,0.0192464,0.0223114,0.0155802,0.0275758,0.03049,0.0517666,0.00443086,0.0033322,0.00410117,0.00477283,0.0124051,0,0,0,0,0,0.0129266,0,0,0
2,0,0,0,0,0.0126574,0.00726832,0,0,0.0185267,0.0100949,0.016492,0,0,0,0.00756064,0,0.0189953,0.00160664,0.0486129,0.0172731,0.0261616,0.00776207,0.00932412,0.0117601,0.0090508,0.0100986,0.0115012,0.0137314,0.00791764,0.0211923,0.0204034,0.00463473,0.00849121,0.00116281,0.0362906,0.0145065,0.0228052,0.00615647,0.0139261,0,0,0.00679472,0,0.0126723,0.00533784,0.0669255,0.0379633,0.0304969,0.0119157,0.00810817,0.00530518,0.0116001,0.0507761,0.0085964,0.0171351,0.0210966,0.0153621,0.0275028,0.0290943,0.051833,0.00541116,0.00335571,0.00417497,0.00385879,0.012098,0,0,0,0,0,0.00991652,0,0,0
3,0,0,0,0,0.0119127,0.0066865,0,0,0.0172562,0.0099179,0.0146869,0,0,0,0.00865722,0,0.0190948,0.00215473,0.0479906,0.0131233,0.0260971,0.00774716,0.00857305,0.0111375,0.00670269,0.0089797,0.0103435,0.011994,0.00703803,0.0201785,0.0192301,0.00537334,0.00852985,0.00131516,0.0360382,0.0142236,0.0238704,0.00656823,0.0131677,0,0,0.00891836,0,0.0126764,0.00627059,0.0669482,0.0375195,0.0309717,0.010339,0.00798923,0.00551344,0.0099601,0.0514784,0.00618228,0.014851,0.0192225,0.015586,0.0271906,0.0272755,0.0520777,0.00729347,0.00346045,0.00445995,0.00361644,0.0118351,0,0,0,0,0,0.00964644,0,0,0
4,0,0,0,0,0.0119747,0.00735491,0,0,0.0102963,0.00973837,0.00885246,0.0111255,0,0,0.00909747,0,0.0190981,0.00246613,0.0550753,0.0152878,0.0262456,0.0177241,0.00353342,0.0112512,0.00671264,0.0150523,0.0116252,0.0100926,0.0145455,0,0.0137311,0.00576876,0.00852019,0.00155777,0.0359275,0.0142899,0.0233686,0.00541456,0.0126138,0,0,0.00809218,0,0.0125959,0.00562498,0.0678076,0.0354671,0.0287554,0.00759518,0.00650184,0.00739799,0.00841577,0.050869,0,0.0122431,0.0155811,0.0181794,0.024841,0.0246258,0.0519334,0.00773827,0.00379041,0.00432339,0.00512332,0.0129968,0,0,0,0,0,0.0204054,0.0443677,0,0
5,0,0,0,0,0.013381,0.00756952,0,0,0.0192777,0.00973243,0.00992293,0.0103324,0,0,0.00903473,0,0.0189658,0.00250637,0.0543614,0.00789709,0.0257202,0.00428677,0.00309927,0.0108502,0.00186634,0.0068978,0.00558521,0.00966022,0.00425226,0.0169784,0.0211347,0.00548764,0.00841675,0.00158874,0.0358942,0.013972,0.024029,0.00523387,0.0130952,0,0,0.00968076,0,0.0124929,0.00653098,0.0679421,0.0350537,0.0296087,0.0071458,0.0070448,0.00667779,0.00633386,0.052085,0,0.00988175,0.0126274,0.0187672,0.0240491,0.0222109,0.0520546,0.00844885,0.00483876,0.00481111,0.00453564,0.0127697,0,0,0,0,0,0.0100397,0.0447766,0,0
6,0,0,0,0,0.01341,0.00717378,0,0,0.0186399,0.00942562,0.00889241,0.00852168,0,0,0.00919814,0,0.0189559,0.00304946,0.0548718,0.00750938,0.0261737,0.0050155,0.00309796,0.0105193,0.00267446,0.00674176,0.00655202,0.0104608,0.00457909,0.0169162,0.0202937,0.00525803,0.00846707,0.00197389,0.0356867,0.0137954,0.0235605,0.00518117,0.012208,0,0,0.0107561,0,0.0125375,0.00672924,0.0681715,0.032812,0.0302726,0.00846589,0.00693875,0.00665418,0.00458114,0.0529593,0,0.00837587,0.00942849,0.0194878,0.0228427,0.0199219,0.0514866,0.00933864,0.00563393,0.00467807,0.00438128,0.0105249,0,0,0,0,0,0.008651,0.0457447,0,0
7,0,0,0,0,0.0134632,0.00660183,0,0,0.0178639,0.00919106,0.007327,0.00697277,0,0,0.00917147,0,0.0189467,0.00332484,0.055713,0.00631709,0.0263574,0.0062474,0.00320895,0.0105001,0.00206306,0.0066022,0.00748618,0.0116794,0.00361217,0.0167126,0.019617,0.00480811,0.00850504,0.00237203,0.0350793,0.0137367,0.0223236,0.00568704,0.011797,0,0,0.0107799,0,0.0126877,0.00661037,0.0687384,0.0294614,0.0307719,0.00957997,0.0064688,0.00617801,0.00350172,0.0537479,0,0.00820324,0.0071229,0.0201256,0.0218802,0.0185482,0.0511261,0.00957857,0.00680525,0.0043595,0.00411155,0.00877937,0,0,0,0,0,0.00646775,0.0457346,0,0
8,0,0,0,0,0.0114314,0.00525644,0,0,0.0156833,0.00903377,0.0111052,0.0135979,0,0,0.0106305,0,0.0191806,0.00395733,0.0484547,0.0144037,0.0262443,0.00706072,0.0090221,0.0092084,0.00549984,0.00662397,0.0122657,0.0151681,0.00637426,0.0172064,0.0166785,0.00535732,0.00869086,0.00276342,0.0360941,0.0130726,0.0212479,0.00731374,0.0114251,0,0,0.0145149,0,0.0129755,0.00912983,0.0688548,0.0249599,0.0333702,0.0103665,0.0067823,0.00620065,0.00310024,0.0559673,0,0.00855912,0.00707734,0.0194632,0.0226015,0.0177281,0.0500456,0.0119319,0.00757629,0.00491778,0.00234342,0.00521371,0,0,0,0,0,0,0,0,0
