Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M,
All Timesteps RMSE,0,0,0,0,0.0232856,0.0291003,0,0.0569385,0.0152441,0.0322473,0.00878893,0,0,0.00955732,0,0.017577,0.00462319,0.0455249,0.0364705,0.0271674,0.0162289,0.0126142,0.0240573,0.0125581,0.0178242,0.0150024,0.0508192,0.0163266,0.0241696,0.0146416,0.0120755,0.0692867,0.00806643,0.00579116,0.00563005,0.0336679,0.012218,0.0257918,0.00971877,0.0144681,0,0,0.0358475,0,0.0129444,0.0266871,0.0618011,0.0356275,0.0295275,0.0128196,0.0154222,0.028575,0.0100244,0.0561965,0.0124259,0.0143272,0.0163101,0.0220995,0.0276144,0.0484867,0.036839,0.0196038,0.0145698,0.0119532,0.0270001,0.0132985,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0253956,0.0318149,0,0.0285839,0.01469,0.0160585,0.012343,0,0,0.0141759,0,0.0180837,0.00495554,0.0474988,0.0150132,0.0214721,0.0103687,0.0167739,0.0306163,0.00537063,0.0046728,0.00359229,0.0475491,0.0169324,0.0197259,0.0129356,0.00666221,0.0280032,0.00853739,0.00611979,0.00640787,0.03685,0.0137086,0.0206966,0.011932,0.0154281,0,0,0.0274288,0,0.0117754,0.0214315,0.0644277,0.0448459,0.0312563,0.0162552,0.0137729,0.0268101,0.0175409,0.0612652,0.0171307,0.0233674,0.00571162,0.0220993,0.0238623,0.0243924,0.0303897,0.0144512,0.00879722,0.0101784,0.0285561,0.0144493,0,0,0,0,0,0,0,0
1,0,0,0,0,0.0252559,0.0317617,0,0.0278387,0.0145813,0.0156897,0.0118946,0,0,0.0138706,0,0.0179393,0.00505724,0.0476371,0.0146298,0.0215244,0.00998726,0.0164393,0.0309343,0.00459512,0.0045482,0.00293331,0.0478675,0.0170847,0.0197491,0.0128399,0.00648281,0.0276021,0.00867342,0.00599596,0.00626233,0.0296767,0.013908,0.0171009,0.0131298,0.0147272,0,0,0.026789,0,0.0118122,0.0207626,0.0647252,0.0376178,0.0324915,0.0156232,0.0143485,0.0264124,0.017496,0.0607743,0.01692,0.0239516,0,0.0223602,0.0237621,0.0240843,0.0228878,0.0142507,0.00774446,0.00987564,0.0289521,0.0143377,0,0,0,0,0,0,0,0
2,0,0,0,0,0.0253305,0.0320466,0,0.0281915,0.0145593,0.0154951,0.0113457,0,0,0.013769,0,0.0179297,0.00514991,0.047515,0.0139555,0.0218326,0.010255,0.0161058,0.0313463,0.00474204,0.00459144,0.0031509,0.0482575,0.0173261,0.0200033,0.0127857,0.00641824,0.0279643,0.00865174,0.00589616,0.00620836,0.0266787,0.0140044,0.0168002,0.0131964,0.0144133,0,0,0.0267426,0,0.0118332,0.02058,0.0647622,0.0349184,0.0326127,0.0151326,0.0145315,0.0264037,0.0175891,0.060628,0.0167531,0.0243796,0,0.0232821,0.0243661,0.0253975,0.0187758,0.0142082,0.00735403,0.00974174,0.0293227,0.0142668,0,0,0,0,0,0,0,0
3,0,0,0,0,0.0253968,0.0325738,0,0.028823,0.0144535,0.0153623,0.0107152,0,0,0.0136504,0,0.0178961,0.00514885,0.047272,0.0137655,0.0222918,0.0107575,0.0157785,0.0317569,0.00547915,0.00500071,0.00378599,0.0486472,0.0174393,0.0201165,0.0127617,0.00649402,0.0285308,0.00850618,0.00587744,0.00611772,0.0253797,0.0140288,0.017956,0.0130308,0.0142959,0,0,0.0268614,0,0.0118465,0.0205459,0.0645778,0.0354134,0.0324887,0.014734,0.0146293,0.0264015,0.0177939,0.0606893,0.0166115,0.0246473,0.0120303,0.0245969,0.0256832,0.0274222,0.0164522,0.0143211,0.00747434,0.00961964,0.0296551,0.0142516,0,0,0,0,0,0,0,0
4,0,0,0,0,0.0254095,0.0330147,0,0.0295655,0.0143446,0.015324,0.0103334,0,0,0.0134329,0,0.0179396,0.00505463,0.0470361,0.0139533,0.0227027,0.0111045,0.0155744,0.0320349,0.00499266,0.00565861,0.00422119,0.0488378,0.0174395,0.0199802,0.0126678,0.00666948,0.0292109,0.0083158,0.00595848,0.00603594,0.0234575,0.0140962,0.0185707,0.0131327,0.0142152,0,0,0.0272099,0,0.0119047,0.0206029,0.0645519,0.0353561,0.0325573,0.0143695,0.0146799,0.0265068,0.0175402,0.0603131,0.0166857,0.0244429,0.0137666,0.0255958,0.0262463,0.028481,0.0129761,0.014506,0.00779579,0.00943669,0.0298865,0.0141417,0,0,0,0,0,0,0,0
5,0,0,0,0,0.0254073,0.0332871,0,0.030224,0.0143394,0.0153731,0.0101709,0,0,0.0132598,0,0.017959,0.00497554,0.0467454,0.0141856,0.0229647,0.0113585,0.0152953,0.0321132,0.00407395,0.00628344,0.00474426,0.0490828,0.0174625,0.0198915,0.0125265,0.00683991,0.0300156,0.0082037,0.00600274,0.00595865,0.0218274,0.0142117,0.0195344,0.0133092,0.0142989,0,0,0.0274563,0,0.0119673,0.0205935,0.0645828,0.0360476,0.0326069,0.0141927,0.0146398,0.0266254,0.0169042,0.0600167,0.016859,0.0242123,0.0153566,0.0262383,0.0257218,0.0297788,0.010311,0.0145106,0.00827967,0.00908906,0.0299683,0.0141087,0,0,0,0,0,0,0,0
6,0,0,0,0,0.0254427,0.0332757,0,0.0308092,0.0143934,0.0154832,0.0102431,0,0,0.0131608,0,0.0179651,0.00493699,0.04636,0.0141985,0.023036,0.0114719,0.014988,0.0320548,0.00390987,0.00682384,0.00481837,0.0492794,0.0175643,0.0199851,0.012363,0.00703705,0.0308376,0.00822204,0.00602124,0.00593796,0.0204248,0.0142644,0.0205002,0.0136403,0.014494,0,0,0.0275488,0,0.0119433,0.0204829,0.0646385,0.0373379,0.0325496,0.0139672,0.0145203,0.0268028,0.0164055,0.0597155,0.0168866,0.0238949,0.0165661,0.0267444,0.0255441,0.0313496,0.00853608,0.0144257,0.00838323,0.00883623,0.0298601,0.0141624,0,0,0,0,0,0,0,0
7,0,0,0,0,0.0254962,0.0331173,0,0.0315126,0.0145065,0.01565,0.010503,0,0,0.0130164,0,0.018107,0.00504924,0.0459168,0.0142027,0.0230358,0.0114951,0.0146271,0.0319539,0.00419878,0.00723631,0.00490559,0.0494558,0.017756,0.0201871,0.0122602,0.00724995,0.0318246,0.00839225,0.00608328,0.00603098,0.0191045,0.0142817,0.0213123,0.013886,0.0146723,0,0,0.0275752,0,0.0118995,0.0203648,0.0646804,0.0389434,0.0324673,0.0136064,0.0143114,0.0269973,0.0159817,0.0594053,0.0167477,0.0234515,0.0174504,0.0272147,0.0257172,0.0331389,0.00819767,0.0143792,0.00827665,0.00866586,0.0296579,0.0142417,0,0,0,0,0,0,0,0
8,0,0,0,0,0.0255406,0.0330268,0,0.0324383,0.0146572,0.0159686,0.0108807,0,0,0.0127928,0,0.0182696,0.00520835,0.0454526,0.0142649,0.0229639,0.0115484,0.0142693,0.0316683,0.00453235,0.00758337,0.00505377,0.0496477,0.0179814,0.0204574,0.0122372,0.00746561,0.0331991,0.00855888,0.00613852,0.00613827,0.0178861,0.0142931,0.0217082,0.0138095,0.0147425,0,0,0.0275813,0,0.0118744,0.020254,0.0647275,0.0400213,0.032473,0.0130931,0.0139594,0.0271616,0.015453,0.0590284,0.0163278,0.0229324,0.0181471,0.0276126,0.0259056,0.0342016,0.00937272,0.0143961,0.00826242,0.00849202,0.0293963,0.01427,0,0,0,0,0,0,0,0
9,0,0,0,0,0.0256097,0.0327625,0,0.0338563,0.0147122,0.0164541,0.0114259,0,0,0.0123852,0,0.0182308,0.00530161,0.0450033,0.0144901,0.0228038,0.0116364,0.0139626,0.0312099,0.00518141,0.00788904,0.00515755,0.0499213,0.0183312,0.0208725,0.0122883,0.00767085,0.035015,0.0086367,0.00615609,0.00615758,0.0165808,0.0144007,0.0215907,0.0136801,0.0148109,0,0,0.0274137,0,0.0118909,0.0200662,0.0648011,0.0403161,0.0324944,0.0126018,0.0135256,0.0272525,0.0148714,0.0587094,0.015787,0.0222798,0.0187189,0.0278449,0.0259795,0.0346308,0.0113264,0.0143015,0.0083389,0.00828887,0.0289927,0.0143241,0,0,0,0,0,0,0,0
10,0,0,0,0,0.00835576,0.0250557,0,0.0380032,0.0162381,0.0178027,0.0128467,0,0,0.00804229,0,0.0175232,0.00537854,0.0459831,0.0146843,0.0225695,0.0114613,0.0117266,0.0326868,0.00549339,0.00803484,0.00462501,0.0494232,0.0189951,0.021998,0.0128488,0.00743692,0.0396198,0.00926729,0.0054936,0.00660893,0.0166885,0.0133167,0.020746,0.0152694,0.0173125,0,0,0.0350666,0,0.0124917,0.0250644,0.0651834,0.0394973,0.0342395,0.0121234,0.0123226,0.0317113,0.0147224,0.0581568,0.0152627,0.0218276,0.0191407,0.0279046,0.0255197,0.0349417,0.0135033,0.0306879,0.00901148,0.00989187,0.0268351,0.0120638,0,0,0,0,0,0,0,0
11,0,0,0,0,0.00866511,0.0248808,0,0.0380323,0.01601,0.0180545,0.0114364,0,0,0.00842063,0,0.0174858,0.00542787,0.0456296,0.0149627,0.0234232,0.0110099,0.0116206,0.032467,0.00588085,0.00790135,0.00477305,0.0493955,0.0189079,0.0217665,0.0128069,0.00767131,0.0398314,0.00932795,0.00556511,0.00674787,0.0150918,0.0132003,0.0196141,0.0141516,0.0174333,0,0,0.0356606,0,0.0125225,0.025389,0.0649017,0.0380161,0.0336186,0.0116903,0.0126843,0.0317622,0.013883,0.0578796,0.0147291,0.0206995,0.019685,0.0278432,0.0253186,0.0352334,0.0159994,0.0310775,0.00935489,0.00988038,0.026574,0.012534,0,0,0,0,0,0,0,0
12,0,0,0,0,0.00885971,0.024423,0,0.038528,0.015798,0.0184689,0.0104017,0,0,0.00892594,0,0.0175658,0.00541815,0.0454344,0.0153143,0.0241815,0.0105754,0.0114024,0.0317602,0.00573567,0.00770978,0.00458874,0.0493851,0.0188522,0.021671,0.0128004,0.00787551,0.0405312,0.00924762,0.00570649,0.00681998,0.0143555,0.0132211,0.0179543,0.0133262,0.0168283,0,0,0.0355259,0,0.0125027,0.0251855,0.0646001,0.0352681,0.0328214,0.0113799,0.0128074,0.0309105,0.013128,0.0578828,0.0139033,0.0195735,0.0202967,0.0274877,0.0251131,0.0353464,0.0180586,0.0306201,0.00930531,0.00974975,0.0259824,0.0126224,0,0,0,0,0,0,0,0
13,0,0,0,0,0.0101059,0.0237467,0,0.0389819,0.0151485,0.0190227,0.00952789,0,0,0.0105559,0,0.0178034,0.00549515,0.0452215,0.0154431,0.0246842,0.0102666,0.0110806,0.0296068,0.00535304,0.00753755,0.00472549,0.0494514,0.0189437,0.0216856,0.0129049,0.00812699,0.0415112,0.00893648,0.00602853,0.00674476,0.0147796,0.0138066,0.0156602,0.012517,0.0113336,0,0,0.032473,0,0.0123291,0.022839,0.0641977,0.0312418,0.0321321,0.0111674,0.012732,0.0246534,0.012212,0.0579171,0.0130259,0.0183358,0.0206778,0.0270398,0.0245909,0.0349094,0.019951,0.0255599,0.00850576,0.00872301,0.0238273,0.0111691,0,0,0,0,0,0,0,0
14,0,0,0,0,0.0190503,0.0247334,0,0.0409073,0.0162584,0.0196069,0.00831775,0,0,0.00804072,0,0.0174056,0.00561327,0.0450828,0.0153344,0.0261389,0.0103006,0.00949368,0.0325979,0.00490885,0.00785011,0.00449214,0.0492175,0.0193961,0.022298,0.0132088,0.00809612,0.0441299,0.00984628,0.00553015,0.00707254,0.0159162,0.0121642,0.0128828,0.0121196,0.0400235,0,0,0.0437817,0,0.0130134,0.0308257,0.0634902,0.0264292,0.0320994,0.0112991,0.0120546,0.0577473,0.0113667,0.058117,0.0126602,0.0171266,0.0200868,0.02638,0.0236842,0.0336034,0.0210813,0.0476326,0.0108051,0.0115582,0.0310553,0.0250319,0,0,0,0,0,0,0,0
