Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,LTHII,LTHIP,RANK,RTHII,RTIBI,RTHIP,IMU_B,RTIBA,x73,
All Timesteps RMSE,0,0,0,0,0.0104159,0.00922689,0,0,0.0496881,0.012919,0.0215595,0.00518765,0,0,0.00781271,0,0.0178786,0.00314346,0.0480914,0.0212108,0.0320279,0.0173646,0.00427041,0.0116306,0.0133676,0.017176,0.0120667,0.0163292,0.00981971,0.0213556,0.0592879,0.00829759,0.0070313,0.00270365,0.0287207,0.0129052,0.00674181,0.0102222,0,0,0.0075114,0,0.0128806,0.00596994,0.0706974,0.0335082,0.0253126,0.0124267,0.00491886,0.00630698,0.0127813,0.0491994,0.0370271,0.0264033,0.0317197,0.00689593,0.00533014,0.00470252,0.00861913,0.00921429,0,0,0,0,0,0.0184698,0.049677,0.0237386,0.0126452,0.0239676,0.0482425,0,0.0243374,0,0
0,0,0,0,0,0.00382748,0.00687652,0,0,0.00997004,0.0155568,0.0111372,0.0142397,0,0,0.00781386,0,0.0173928,0.00558048,0.041495,0.016434,0.028679,0.0174224,0.0152523,0.0101031,0.00864797,0.0119844,0.0108636,0.0105656,0.00236164,0.0141125,0.0186346,0.0118489,0.00602732,0.00477458,0.0687945,0.012719,0.0134269,0.00577814,0,0,0.00529991,0,0.0131174,0.00481929,0.0708586,0.0702371,0.035302,0.0277843,0.00568393,0.00573419,0.0235765,0.0642822,0.0349223,0.0428251,0.0666942,0.00312852,0.00901234,0.00424317,0.00932675,0.00544534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.00220055,0.00436418,0,0,0.0097194,0.0157792,0.0107966,0.00472282,0,0,0.00469001,0,0.0172749,0.00394552,0.0531873,0.00734115,0.0252293,0.00970993,0.00661185,0.00987568,0.00640471,0.00797165,0.00802017,0.0100435,0.007204,0.0184294,0.00846201,0.00937445,0.00570844,0.00447304,0.0586401,0.0134464,0.0142396,0.0030388,0,0,0.00225285,0,0.0127702,0.0017006,0.0722547,0.0648338,0.0329474,0.0239182,0.00493094,0.00388318,0.0223945,0.0596613,0.03318,0.0422758,0.0559068,0.00209287,0.00829537,0.0025751,0.00382302,0.00201967,0,0,0,0,0,0.00515489,0.0429924,0.0443213,0.0213687,0,0,0,0,0,0
2,0,0,0,0,0.00160925,0.00582219,0,0,0.00389651,0.0157431,0.0150564,0.0163437,0,0,0.00329044,0,0.0168556,0.00319033,0.044513,0.0181761,0,0.0137881,0.0125705,0.00991319,0.00838899,0.00951637,0.010947,0.0119724,0.00611877,0.0160147,0.00910769,0.00686994,0.00540765,0.00425897,0.055444,0.0138825,0.00725986,0.00441659,0,0,0.0046691,0,0.0126496,0.0024372,0.0718981,0.0620168,0.0295147,0.0250103,0.00837268,0.00414565,0.0220892,0.0632347,0.0318207,0.0399813,0.0532093,0.00485627,0.00661012,0.00166853,0.00750054,0.00763818,0,0,0,0,0,0,0,0.0430132,0.0228889,0,0,0,0,0,0
3,0,0,0,0,0.00211555,0.00357286,0,0,0.0110633,0.0149867,0.0113593,0.00182999,0,0,0.00227127,0,0.0167545,0.00232811,0.0537727,0.00774734,0.0249837,0.00934189,0.00507117,0.00831226,0.00512561,0.00683628,0.0094181,0.0124655,0.00664097,0.0170192,0.0100864,0.00756867,0.00555686,0.0036147,0.0514204,0.0136088,0.012284,0.00286942,0,0,0.00264754,0,0.0127321,0.0018565,0.0722675,0.0620842,0.031375,0.0244745,0.00472008,0.00356495,0.0231128,0.0594381,0.0363357,0.0459293,0.0485057,0.00375571,0.0061176,0.00195109,0.00347952,0.00392129,0,0,0,0,0,0,0.0442795,0.0451629,0,0,0,0,0,0,0
4,0,0,0,0,0.00222081,0.00333188,0,0,0.0111596,0.0148271,0.0106966,0.00142967,0,0,0.00210494,0,0.0169129,0.00199812,0.0539987,0.00687172,0.0251486,0.00889387,0.00456214,0.00781717,0.00465592,0.00645966,0.00936044,0.0127274,0.00573443,0.0168508,0.0108163,0.00660282,0.00566963,0.00314961,0.0357217,0.0137681,0.011833,0.00328544,0,0,0.00356275,0,0.012689,0.00177393,0.072764,0.0513992,0.0309805,0.0236178,0.00502123,0.00283829,0.0218332,0.0583903,0,0.0431239,0.0338515,0.00536216,0.00592165,0.00180266,0.00354881,0.00453079,0,0,0,0,0,0,0.0446992,0.0377854,0.0207814,0,0,0,0,0,0
5,0,0,0,0,0.00247758,0.00485451,0,0,0.00678684,0.0154724,0.0107972,0.0129208,0,0,0.00548375,0,0.0168151,0.00282883,0.0554506,0.00684727,0,0.00652351,0.00848016,0.00988919,0,0.00453453,0.00747317,0.00896839,0.00610415,0.0178429,0.00924269,0.00508152,0.00530721,0.00334408,0.0347737,0.0148523,0.00585622,0.00472826,0,0,0.0122782,0,0.0124689,0.00683993,0.0724762,0.0498902,0.0240239,0.0250766,0.00680308,0.00744356,0.0216331,0.0607221,0,0.0445166,0.0322668,0.0107709,0.00541407,0.001217,0.0067914,0.00569029,0,0,0,0,0,0,0.0436044,0.0370838,0,0.0317208,0,0,0,0,0
6,0,0,0,0,0.00245862,0.00488476,0,0,0.00761713,0.0151911,0.00899601,0.0128597,0,0,0.00662306,0,0.0165473,0.0031006,0.055212,0.00469488,0,0.00644912,0.0086605,0.0101388,0.00594483,0.00497408,0.00676287,0.00887202,0.00509373,0.0179444,0.00997952,0.00533525,0.0052294,0.003182,0.0293469,0.0151152,0.00508599,0.00485764,0,0,0.0136836,0,0.0124854,0.00791171,0.0728667,0.0468466,0.0233092,0.0227571,0.00671416,0.00775453,0.0197023,0.0595871,0,0.0445893,0.0263396,0.0118034,0.00517069,0.00162845,0.00723275,0.00539311,0,0,0,0,0,0,0.0433351,0.0349015,0.0205914,0.0306291,0,0,0,0,0
7,0,0,0,0,0.00270067,0.00505799,0,0,0.00848006,0.0150477,0.00758806,0.0130519,0,0,0.00772837,0,0.0162367,0.00358979,0.0549059,0.00346537,0,0.00655879,0.00888057,0.0105731,0.00658549,0.00592441,0.00649331,0.00891358,0.00447864,0.0179314,0.0103567,0.00580073,0.00510569,0.0032042,0.024007,0.0153373,0.00443314,0.00513718,0,0,0.0154686,0,0.0124128,0.00910051,0.07292,0.0440113,0.0222464,0.0218959,0.00660268,0.0082177,0.0183882,0.0591882,0,0.0445462,0.0210195,0.0130797,0.00522878,0.00210867,0.00752762,0.00544898,0,0,0,0,0,0,0.0430033,0.0326833,0.0196759,0.0296239,0.0328119,0,0,0,0
8,0,0,0,0,0.00293664,0.00518896,0,0,0.00900895,0.0150225,0.00652624,0.0131917,0,0,0.00821183,0,0.0160454,0.00386077,0.0546124,0.00316943,0,0.00617264,0.00914864,0.010833,0.00701037,0.00628525,0.00628586,0.00884469,0.00379503,0.0178785,0.0107973,0.0061832,0.00502849,0.0032776,0.0235991,0.015441,0.00444261,0.00544875,0,0,0.0165704,0,0.0123454,0.00989821,0.0733066,0.0447556,0.0215841,0.0207261,0.006084,0.00830569,0.0168056,0.0583716,0.0378965,0.0461824,0.0187268,0.0139552,0.00528567,0.00246612,0.00738988,0.00587027,0,0,0,0,0,0,0.042696,0.0330974,0.0182353,0.0307294,0.0308631,0,0,0,0
