Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M
All Timesteps RMSE,0,0,0,0,0.0339077,0.0481399,0,0.0487373,0.00951715,0.0278383,0.0190534,0,0,0.0148283,0,0.0201925,0.00769896,0.0500016,0.0342995,0.0219796,0.0185222,0.0283532,0.0435759,0.0163305,0.0235658,0.0156571,0.0486618,0.0140821,0.0218274,0.0109798,0.0125326,0.0625439,0.0100495,0.00872925,0.00529301,0.0299782,0.00921793,0.0177475,0.0124935,0.0133806,0,0,0.0526163,0,0.0145681,0.0354658,0.0581193,0.0255366,0.0241152,0.0150426,0.032042,0.0335446,0.0111208,0.0568661,0.0163237,0.0145597,0.0129061,0.0172459,0.0230484,0.0181378,0.036824,0.0291402,0.0147725,0.0155607,0.0463768,0.0127594,0,0,0,0,0,0,0
0,0,0,0,0,0.034824,0.0509274,0,0.0440614,0.00933466,0.0392923,0.0169435,0,0,0.0183673,0,0.0214054,0.00995187,0.0522297,0.0515027,0.0216508,0.0298037,0.0281605,0.0494858,0.0363895,0.0384776,0.0316721,0.0563618,0.0112714,0.0114133,0.0105365,0.013815,0.0484107,0.0136644,0.00924552,0.00444471,0.00578695,0.00988867,0.0167089,0.00516409,0.00990148,0,0,0.0389688,0,0.0133043,0.0269612,0.0589367,0.0293138,0.0220265,0.0127687,0.0283675,0.021826,0.00609374,0.0549381,0.00900813,0.0131446,0.0188789,0.0131189,0.0276038,0.0244814,0.00639972,0.0227727,0.0115301,0.0132899,0.04914,0.0111448,0,0,0,0,0,0,0
1,0,0,0,0,0.0350365,0.051207,0,0.0419968,0.00907335,0.0378152,0.0168003,0,0,0.0185181,0,0.0215361,0.00998853,0.0521773,0.0495473,0.0216196,0.0289896,0.0285503,0.0495886,0.0353482,0.0378971,0.0290968,0.0548909,0.012501,0.0127854,0.0103464,0.0129737,0.0461421,0.0137502,0.00917989,0.00455076,0.00579312,0.00973857,0.0173522,0.0051171,0.0100533,0,0,0.0396511,0,0.0134851,0.0274658,0.0586203,0.0296586,0.0228436,0.0125866,0.0285723,0.0223041,0.00594787,0.0546389,0.00869887,0.0126482,0.0185211,0.0130255,0.0275375,0.0240603,0.00511374,0.023179,0.0116701,0.0134846,0.0495104,0.0113059,0,0,0,0,0,0,0
2,0,0,0,0,0.0353869,0.051416,0,0.0404263,0.00897515,0.0358556,0.0168166,0,0,0.0184229,0,0.0215711,0.00999246,0.0522491,0.045975,0.0213787,0.027625,0.0287761,0.0493595,0.0337636,0.0366051,0.0265613,0.0533818,0.0131554,0.0136125,0.00981138,0.0124782,0.0443737,0.0135423,0.00911459,0.00460474,0.00643432,0.00961272,0.0179757,0.00550996,0.0105173,0,0,0.0403194,0,0.0136346,0.027936,0.0586067,0.0296072,0.0233131,0.011972,0.0283798,0.0227789,0.00533388,0.0546383,0.00796212,0.0115762,0.0182699,0.0128287,0.0275749,0.0241919,0.00548441,0.0235956,0.0117986,0.0136842,0.0496066,0.0118366,0,0,0,0,0,0,0
3,0,0,0,0,0.0357751,0.0516329,0,0.0387647,0.00894789,0.0337168,0.0167667,0,0,0.018338,0,0.0215894,0.00998758,0.0523876,0.0421336,0.0210266,0.0256596,0.0289121,0.0489826,0.0317534,0.034789,0.0238628,0.051792,0.0137349,0.0139915,0.00936057,0.0119102,0.0428151,0.0132353,0.00905948,0.00463506,0.00767852,0.00948406,0.0187259,0.00613515,0.0111011,0,0,0.0410693,0,0.0137715,0.0284228,0.0586305,0.0295388,0.0236344,0.0112861,0.0279433,0.0232702,0.00441515,0.0548491,0.00734812,0.010325,0.0178991,0.0124418,0.027771,0.024025,0.00639634,0.0239533,0.011971,0.0139582,0.0493461,0.0125133,0,0,0,0,0,0,0
4,0,0,0,0,0.036113,0.0517237,0,0.0368475,0.00895691,0.0314749,0.0167908,0,0,0.0183692,0,0.0216653,0.010081,0.0526427,0.0396084,0.0206071,0.0233551,0.0289675,0.0484342,0.0294502,0.0327659,0.0212836,0.050186,0.0138519,0.0138421,0.00890907,0.0115256,0.0412164,0.0128295,0.0090165,0.00475215,0.00945166,0.00935911,0.0193797,0.00684837,0.0116329,0,0,0.0420366,0,0.0139516,0.0291074,0.0586099,0.0292327,0.0240483,0.0105681,0.0274906,0.0238266,0.00339445,0.0551108,0.00683197,0.00888084,0.0172836,0.0119995,0.0278664,0.0231628,0.00769801,0.0243886,0.0122096,0.0142666,0.0489661,0.0131443,0,0,0,0,0,0,0
5,0,0,0,0,0.0364742,0.0517053,0,0.034475,0.00884791,0.0297078,0.0171822,0,0,0.0184727,0,0.0216229,0.0101762,0.0526528,0.0383853,0.020045,0.0213936,0.0290133,0.0478077,0.0273222,0.03107,0.0193209,0.0485994,0.0132997,0.0132931,0.00827897,0.0115658,0.0396848,0.0123658,0.00895609,0.00491779,0.0116551,0.0092115,0.019968,0.00765269,0.0121788,0,0,0.0432664,0,0.0141532,0.0299513,0.0586344,0.0286428,0.024554,0.00999543,0.0271721,0.0245182,0.00230252,0.0554345,0.00649106,0.00736113,0.0166059,0.0116414,0.0278435,0.0218087,0.00932222,0.0248903,0.0124058,0.014653,0.0488621,0.0136832,0,0,0,0,0,0,0
6,0,0,0,0,0.0368575,0.0519192,0,0.0303143,0.00872641,0.0279116,0.0173378,0,0,0.0187969,0,0.0216334,0.0103224,0.0522692,0.0360435,0.0194216,0.0204383,0.029067,0.0473131,0.0255042,0.029777,0.018339,0.0471333,0.0121723,0.0127175,0.00781433,0.011687,0.0373048,0.01202,0.00892575,0.00510874,0.0138599,0.00906075,0.0202805,0.00832491,0.0126498,0,0,0.0448279,0,0.0143675,0.0309729,0.0587184,0.0274373,0.0249142,0.00964979,0.0270701,0.0253958,0.00114815,0.0558212,0.00653684,0.00571385,0.0155743,0.0115502,0.0275736,0.0206697,0.0111091,0.0258589,0.0126061,0.0151361,0.048913,0.0141283,0,0,0,0,0,0,0
7,0,0,0,0,0.0371812,0.0523179,0,0.023637,0.0086137,0.0246212,0.0170156,0,0,0.0192183,0,0.0217012,0.0106347,0.0517992,0.0317145,0.0188568,0.0205843,0.0291159,0.0469396,0.0231329,0.028678,0.0181334,0.0459711,0.0113021,0.0129143,0.00818126,0.0109649,0.0326445,0.0116806,0.00891628,0.00535061,0.0160698,0.00891686,0.0203125,0.0088286,0.0130717,0,0,0.0465844,0,0.0145566,0.0320297,0.0588038,0.0255966,0.0250742,0.00955355,0.0271468,0.0263083,0.000251737,0.0563198,0.00709026,0.00406973,0.0140264,0.011785,0.0270914,0.0193631,0.0130278,0.027004,0.0128534,0.015635,0.0489093,0.014626,0,0,0,0,0,0,0
8,0,0,0,0,0.0375499,0.0526133,0,0.0176684,0.00849374,0.0203487,0.0165085,0,0,0.0192716,0,0.0217301,0.0107857,0.0514011,0.0277235,0.0184858,0.0210482,0.0293086,0.046654,0.0196194,0.0279404,0.0183675,0.045482,0.0117306,0.0142497,0.00919159,0.00956137,0.0282777,0.0114133,0.00888914,0.00552903,0.0179907,0.00878632,0.0201716,0.00931315,0.0134914,0,0,0.048461,0,0.0147173,0.0330457,0.0589576,0.0234862,0.0251996,0.00958183,0.0273737,0.0272116,0.00153109,0.0569104,0.00788371,0.00328688,0.0120379,0.0123069,0.026391,0.0177874,0.0145222,0.0281545,0.0130303,0.0160721,0.0490063,0.015214,0,0,0,0,0,0,0
9,0,0,0,0,0.0380324,0.0524282,0,0.015778,0.0084112,0.0178075,0.0161049,0,0,0.0188202,0,0.0217344,0.0106615,0.0512986,0.0261591,0.0183748,0.020927,0.0296038,0.0464848,0.0185006,0.027233,0.0183729,0.0457817,0.0128163,0.0155462,0.0100055,0.00859496,0.0269165,0.0110385,0.00886194,0.00558266,0.0194566,0.0086798,0.0202314,0.00985361,0.0139779,0,0,0.049936,0,0.0148769,0.0338376,0.0591811,0.0215531,0.0253005,0.00967504,0.0277083,0.027893,0.00290907,0.0574329,0.00872498,0.00450843,0.00997418,0.0129324,0.0255673,0.0164749,0.0157292,0.0289773,0.013468,0.0162817,0.0490865,0.0159103,0,0,0,0,0,0,0
10,0,0,0,0,0.0384306,0.0522814,0,0.0169448,0.00836414,0.0172207,0.0161315,0,0,0.0182775,0,0.0217383,0.0105018,0.0515959,0.0260302,0.0183803,0.0199833,0.0298321,0.0463923,0.0194259,0.0265417,0.0177067,0.0465088,0.0134035,0.0160604,0.00997595,0.00845151,0.0278373,0.0106336,0.00881706,0.00549637,0.0207071,0.00861148,0.0207945,0.0105257,0.0144365,0,0,0.0505889,0,0.0150095,0.0343377,0.0594526,0.0200543,0.0253001,0.00991852,0.0279405,0.028207,0.00408573,0.0579323,0.00974742,0.00592065,0.00816968,0.0135775,0.0247449,0.0157806,0.0165126,0.0292964,0.0138177,0.0163773,0.0489724,0.0166314,0,0,0,0,0,0,0
11,0,0,0,0,0.0386767,0.052329,0,0.0190461,0.00832971,0.0170544,0.0166205,0,0,0.0178797,0,0.0217499,0.010366,0.0523507,0.0260386,0.0183954,0.0183345,0.0300987,0.0463239,0.0204516,0.0253917,0.0164684,0.0470537,0.0132056,0.0158518,0.00953096,0.00874796,0.0298661,0.0104806,0.00878647,0.00532198,0.021609,0.00853498,0.0213578,0.0115006,0.0148676,0,0,0.0507117,0,0.0151051,0.0346727,0.0596452,0.0184955,0.0251839,0.0103049,0.0280736,0.0283391,0.00477839,0.058489,0.0108695,0.00727729,0.0066802,0.0143587,0.0238752,0.0157531,0.0172878,0.0292619,0.0140032,0.0164822,0.0487667,0.0171078,0,0,0,0,0,0,0
12,0,0,0,0,0.0388481,0.0522003,0,0.0213607,0.00837741,0.0164103,0.0174475,0,0,0.0174735,0,0.0216603,0.0101339,0.0528801,0.0261625,0.0182909,0.0168006,0.030415,0.0461551,0.0188161,0.0230766,0.0149365,0.0469688,0.0125223,0.0155856,0.00899846,0.00918967,0.0328011,0.010358,0.00873047,0.00514679,0.0226816,0.00846018,0.0214682,0.0130068,0.0153107,0,0,0.0504541,0,0.0151447,0.0347916,0.0596811,0.0161729,0.0251946,0.0109424,0.0280941,0.0283309,0.00565622,0.0589934,0.0120277,0.00874189,0.00567845,0.0152737,0.0229288,0.016131,0.0182794,0.0289243,0.0141607,0.0165698,0.0483341,0.0172349,0,0,0,0,0,0,0
