Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTIBP,LTHI,LHEE,LTHII,RTIBI,
All Timesteps RMSE,0,0,0,0,0.0110441,0.00654558,0,0,0,0.0505712,0.0116675,0.0244499,0.00599185,0,0,0.00540453,0,0.017902,0.00249343,0.048009,0.0324168,0.0203299,0.00551202,0.00918577,0.0181668,0.0511586,0.013163,0.0160616,0.0112622,0.0214434,0.0601383,0.00560596,0.00759574,0.00118423,0.0381786,0.0151666,0.0325939,0.00782864,0.00930858,0,0,0.00530907,0,0.0129954,0.00364416,0.0705255,0.0407326,0.0244877,0.0161523,0.00499643,0.00532533,0.0141766,0.0502184,0.0124969,0.0177044,0.0182988,0.037087,0.0416552,0.00528981,0.00405005,0.00265773,0.00534603,0.00913926,0,0,0,0,0,0.0259598,0.0148568,0.0239498,0.0207743,0.0655136,0
0,0,0,0,0,0.00272208,0.00280058,0,0,0,0.0214951,0.0128371,0.00597223,0.00301819,0,0,0.00336753,0,0.0171055,0.000835889,0.0511009,0.0302122,0.00598176,0.00336955,0.00499722,0.00328662,0.0459238,0.0102856,0.00995627,0.00372019,0.018964,0.0243022,0.00363333,0.00703774,0.000901924,0.0283847,0.0154527,0.00928786,0.00175689,0.00262692,0,0,0.00451578,0,0.0126032,0.00150679,0.0739122,0.00921406,0.021823,0.0163643,0.00249183,0.00586758,0.0121463,0.052447,0.0116133,0.0171567,0.0226238,0.0330941,0.0309283,0.00376202,0.00317405,0.00119858,0.00379797,0.00273232,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.00287056,0.00281665,0,0,0,0.022687,0.0124808,0.00655928,0.00223089,0,0,0.00321481,0,0.0172385,0.000930853,0.0508843,0.0311488,0.00673879,0.00417057,0.00546455,0.0035389,0.0453943,0.0101739,0.00997151,0.00372743,0.0189319,0.0251773,0.00411906,0.00705128,0.000628706,0.0306228,0.0153777,0.0100042,0.00278579,0.00195202,0,0,0.00425637,0,0.0127393,0.00140767,0.0733981,0.0133304,0.0225834,0.0147411,0.00359528,0.00596971,0,0.0512837,0.00996168,0.0159705,0.0213439,0.0312657,0.03434,0.00352708,0.00258095,0.00114722,0.00409611,0.0027408,0,0,0,0,0,0.0325179,0,0,0,0,0
2,0,0,0,0,0.000724012,0.00709044,0,0,0,0.0192418,0.0134765,0.00482375,0.0189127,0,0,0.00608886,0,0.0168833,0.00367042,0.0530944,0,0.00708326,0.014907,0.00880138,0.00426312,0.0418485,0.00800486,0.0073658,0.00306906,0.0189726,0.0210634,0.00744993,0.00643223,0.00136821,0.0316964,0.0165838,0.0122617,0.0116201,0.00308675,0,0,0.0165018,0,0.0128848,0.00886103,0.0738779,0.0130281,0.0155105,0.0128717,0.00532612,0.0130233,0,0.0519831,0.00853339,0.0139888,0.017958,0.0296861,0.0347367,0.0116852,0.00380927,0.003503,0.011512,0.00545927,0,0,0,0,0,0.0291825,0,0,0,0,0
3,0,0,0,0,0.00473027,0.0114169,0,0,0,0.0345949,0.0139795,0.00830835,0.0295535,0,0,0.00982545,0,0.016763,0.00561857,0,0,0.0138301,0.0206516,0.0101948,0.0127421,0.028138,0.00805241,0.0121307,0.00967603,0.0218001,0.0365797,0.0100909,0.00606628,0.00219077,0.0348226,0.0171077,0.0112551,0.0135412,0.00932193,0,0,0.023133,0,0.0129904,0.0126523,0.0733074,0.0123939,0.013227,0.0095169,0.00541337,0.0187705,0.0154096,0.0489071,0.00435573,0.0128364,0.0181637,0.0299776,0.0402754,0.0161559,0.00510549,0.0048664,0.015735,0.00745195,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0.00436779,0.00308655,0,0,0,0.0306869,0.0118882,0.0102339,0.0038289,0,0,0.00525841,0,0.0176405,0.00199284,0.0499619,0.0329257,0.00827951,0.00559494,0.00622918,0.00234279,0.0455298,0.0104336,0.0112431,0.00510941,0.0199418,0.0336181,0.00603816,0.00732689,0.000530162,0.0360408,0.015171,0.0124392,0.00354639,0.00317756,0,0,0.00339262,0,0.0128136,0.000855448,0.0730487,0.0132559,0.0213299,0.00763971,0.00626662,0.00594497,0.014528,0.0480257,0.0023119,0.0110308,0.0161687,0.0292517,0.0419202,0.00289185,0.00236285,0.000907589,0.00415245,0.00444497,0,0,0,0,0,0,0.002257,0,0,0,0
5,0,0,0,0,0.00137685,0.00687358,0,0,0,0.0260835,0.0131591,0.00917973,0.0210261,0,0,0.00840503,0,0.0169572,0.00455057,0.0514791,0,0.00895467,0.0166041,0.00987528,0.00257614,0.0418187,0.00779001,0.00840401,0.00288087,0.0191483,0.0274821,0.00944866,0.00641892,0.00148519,0.0355564,0.0164407,0.0167467,0.0146783,0.00421593,0,0,0.0156278,0,0.012773,0.00825965,0.0744535,0.0144754,0.0149216,0.00590874,0.00678828,0.0122387,0.0121714,0.0493075,0.00370331,0.00814928,0.0121607,0.0281446,0.039341,0.0115539,0.00365085,0.00347742,0.0118234,0.00699935,0,0,0,0,0,0,0.00402358,0.00771504,0,0,0
6,0,0,0,0,0.00509458,0.00328078,0,0,0,0.0331277,0.0117958,0.0130447,0.00341455,0,0,0.00605698,0,0.017751,0.00226073,0.0486919,0.0339209,0.011116,0.00595474,0.00616056,0.0042231,0.0458631,0.0108307,0.0116906,0.00590462,0.0199755,0.0356761,0.00664079,0.00732214,0.000461594,0.037914,0.014951,0.0177512,0.00327797,0.00409474,0,0,0.0026483,0,0.0128091,0.000263844,0.0741172,0.0156882,0.0213173,0.00517322,0.00670194,0.00479732,0.0126662,0.0472256,0.00144181,0.00836767,0.0133378,0.0282137,0.0421403,0.00222577,0.00220098,0.000658882,0.00385413,0.00550506,0,0,0,0,0,0,0.00199331,0.0107576,0,0,0
7,0,0,0,0,0.00495519,0.00313458,0,0,0,0.0341853,0.0118056,0.0142909,0.00374516,0,0,0.00582695,0,0.0177831,0.00208923,0.0483146,0.034354,0.0128249,0.00584649,0.00641614,0.00535855,0.0460535,0.0109042,0.0116378,0.00647797,0.020457,0.0373716,0.00659311,0.00731676,0.000488604,0.0383946,0.0148686,0.0204656,0.0035544,0.0038463,0,0,0.00286949,0,0.0128029,0.000404012,0.0738467,0.0180501,0.0211907,0.0041555,0.00660522,0.00403911,0.0122656,0.0468739,0.00140067,0.00742748,0.0128335,0.0276096,0.0413632,0.00229972,0.00184727,0.000580613,0.00385961,0.00568612,0,0,0,0,0,0,0.00243534,0.0113973,0.0160355,0,0
8,0,0,0,0,0.00480807,0.003126,0,0,0,0.0356312,0.0118557,0.0153486,0.00385964,0,0,0.00595919,0,0.0176256,0.00217121,0.0481528,0.035292,0.0143894,0.00571212,0.00695556,0.00624961,0.0461907,0.0110223,0.0116249,0.00687065,0.0207833,0.0398567,0.00692783,0.0072014,0.000585055,0.0378577,0.0148592,0.0222685,0.00414372,0.00358023,0,0,0.00261722,0,0.012808,0.000386425,0.0727751,0.0196333,0.0210578,0.00252172,0.00652209,0.00408008,0.01207,0.0464671,0.00208998,0.00656334,0.012616,0.0272294,0.0399738,0.0021165,0.00171131,0.000615195,0.00332882,0.0057997,0,0,0,0,0,0,0.00317703,0.0118322,0.0173653,0,0
