Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTIBI,IMU_M,IMU_B
All Timesteps RMSE,0,0,0,0,0.0494143,0.0622018,0,0.0531866,0.0115238,0.028401,0.020351,0,0,0.00995653,0,0.0179819,0.00443928,0.0491368,0.0390213,0.0230647,0.0221063,0.0316246,0.0498299,0.017512,0.0267353,0.0169956,0.0498448,0.0158268,0.0248949,0.0106499,0.0133963,0.0698345,0.0171973,0.00760257,0.00290313,0.0274185,0.010034,0.0174453,0.0133437,0.0286737,0,0,0.0496137,0,0.0148264,0.0366277,0.0597444,0.0245029,0.0220763,0.01322,0.0355839,0.0494318,0.00936039,0.057972,0.0146573,0.0128287,0.0131626,0.0160508,0.0180922,0.0333789,0.0234878,0.018698,0.0162802,0.0571652,0.0192926,0,0,0,0,0,0.0251526,0,0
0,0,0,0,0,0.0503467,0.0620032,0,0.0413299,0.0122397,0.039177,0.0210382,0,0,0.0104852,0,0.0173282,0.00476766,0.0492967,0.0537407,0.0233602,0.0305949,0.0338035,0.0504163,0.0356922,0.0377111,0.0304937,0.0572689,0.0162145,0.0174047,0.0127824,0.0104481,0.0505288,0.021602,0.00767468,0.00153889,0.0139481,0.0121283,0.0207113,0.00933711,0.0350413,0,0,0.0346898,0,0.0127593,0.0269011,0.0592375,0.0391483,0.020205,0.0151741,0.0351357,0.0486847,0.00804948,0.0551335,0.0108624,0.0160974,0.0222646,0.0114133,0.0286522,0.0208388,0.0161395,0.0145733,0.0125681,0.0569107,0.0226254,0,0,0,0,0,0,0,0
1,0,0,0,0,0.0503264,0.0621045,0,0.038813,0.0122284,0.0375129,0.021337,0,0,0.0100306,0,0.0174012,0.00473875,0.0495074,0.0527637,0.0232028,0.0301972,0.0340966,0.0507723,0.0349791,0.0372052,0.0276843,0.0558637,0.0174395,0.018731,0.0126754,0.00964458,0.0488829,0.0217341,0.00752803,0.00146216,0.0127367,0.0118385,0.0207723,0.00894045,0.0347803,0,0,0.0352893,0,0.0128814,0.0272474,0.058774,0.0381509,0.0208359,0.0146197,0.0353059,0.0488745,0.00737048,0.0551087,0.0103426,0.0149925,0.0216041,0.0115125,0.0275611,0.0190097,0.0163729,0.0145412,0.0128174,0.0572404,0.0223126,0,0,0,0,0,0,0,0
2,0,0,0,0,0.0502876,0.0621775,0,0.0311866,0.012277,0.0315244,0.0211103,0,0,0.00940273,0,0.017374,0.00461093,0.0498701,0.0459157,0.0229862,0.0290953,0.0343345,0.0507103,0.0330607,0.0358794,0.0253488,0.0544077,0.0160708,0.016727,0.00905243,0.0112592,0.0399915,0.0213158,0.00739097,0.00147548,0.0114301,0.0116003,0.0211855,0.00879247,0.0343708,0,0,0.0359187,0,0.0130407,0.0276149,0.0587118,0.0376812,0.0212654,0.0139616,0.0351739,0.049191,0.00675725,0.0552056,0.00983496,0.0139086,0.021279,0.0112496,0.0269153,0.0181137,0.0165764,0.014521,0.0130073,0.0573349,0.0219885,0,0,0,0,0,0,0,0
3,0,0,0,0,0.050092,0.0620882,0,0.0280054,0.0124147,0.0288275,0.0210537,0,0,0.00854238,0,0.0173104,0.00430744,0.0504382,0.0418593,0.0226748,0.0271109,0.0345003,0.0503655,0.0309364,0.0338087,0.022897,0.0529889,0.0155337,0.0159955,0.00786059,0.0117968,0.0365523,0.0207865,0.00726482,0.00142649,0.0100103,0.0115037,0.02211,0.00887348,0.0337836,0,0,0.0367883,0,0.0131918,0.0281683,0.0586964,0.0377519,0.0217316,0.0134158,0.0348762,0.0494681,0.00615266,0.0554258,0.0095656,0.0128966,0.0211332,0.0107782,0.026514,0.017231,0.0167053,0.0148439,0.013189,0.0572175,0.0216505,0,0,0,0,0,0,0,0
4,0,0,0,0,0.0497347,0.062061,0,0.0271664,0.0126104,0.0271899,0.0210784,0,0,0.00785219,0,0.0172559,0.00405624,0.0509972,0.0406775,0.0222422,0.0248592,0.0345969,0.0497781,0.0287182,0.0315474,0.0203113,0.0514992,0.0151145,0.0155331,0.00723734,0.0117993,0.0363164,0.0200976,0.00710867,0.00148201,0.00851891,0.0112848,0.0222081,0.00927472,0.0330882,0,0,0.0376684,0,0.0133684,0.0287509,0.0587525,0.0366023,0.0221149,0.0125406,0.0344038,0.0498215,0.00528909,0.0555208,0.00891701,0.0113374,0.0204459,0.0105688,0.0253723,0.0167121,0.016883,0.0155236,0.0133784,0.057068,0.0212972,0,0,0,0,0,0.0307366,0,0
5,0,0,0,0,0.0491636,0.0620652,0,0.0275621,0.0127423,0.0261405,0.0210381,0,0,0.00734121,0,0.0172433,0.00388611,0.0512732,0.0407046,0.021727,0.023115,0.034584,0.0492361,0.0261691,0.0292951,0.0183342,0.0500312,0.0142358,0.0146541,0.00638726,0.0122819,0.0378787,0.0193582,0.00700012,0.00167149,0.0068342,0.0111641,0.02293,0.00962398,0.0321602,0,0,0.038886,0,0.0135368,0.0296132,0.0586805,0.0360972,0.0225193,0.0119603,0.0339899,0.0500822,0.00430603,0.05581,0.00817442,0.00981213,0.0200684,0.0100866,0.0245457,0.0158348,0.0172036,0.016387,0.0137037,0.0569892,0.0208252,0,0,0,0,0,0.030872,0,0
6,0,0,0,0,0.0484922,0.0619204,0,0.0278698,0.0127804,0.0257394,0.0208106,0,0,0.00697079,0,0.0172531,0.00374099,0.0510638,0.0402894,0.0211785,0.0226558,0.0344516,0.0487406,0.0236248,0.0284225,0.0179033,0.0485567,0.0128808,0.0138013,0.0058007,0.0129203,0.0400782,0.0187217,0.00696527,0.00188535,0.00588202,0.0110133,0.0235418,0.00992864,0.0310139,0,0,0.0403742,0,0.0137337,0.0305666,0.0587582,0.0351905,0.0228735,0.011521,0.0337148,0.0502412,0.00320743,0.0561914,0.00753206,0.00812553,0.0193729,0.00975325,0.0234413,0.0148023,0.0177444,0.0170953,0.0140989,0.0569702,0.0202511,0,0,0,0,0,0.0307347,0,0
7,0,0,0,0,0.0479183,0.0617032,0,0.0263308,0.0126531,0.0243397,0.0203209,0,0,0.00665281,0,0.0172602,0.00350923,0.05072,0.0373357,0.0206851,0.0235795,0.0342372,0.0483089,0.021624,0.0280345,0.0185493,0.0471814,0.0117576,0.013945,0.00607244,0.0127585,0.0400946,0.0182321,0.00698869,0.00203547,0.00597986,0.0108044,0.0237543,0.0100987,0.0296499,0,0,0.0422963,0,0.0139323,0.0316884,0.0589309,0.0336109,0.0230656,0.0112725,0.0336551,0.0503296,0.00223917,0.0566972,0.00776116,0.00636716,0.0180368,0.00983335,0.0218661,0.0139059,0.0186709,0.0175251,0.0145711,0.0570161,0.019512,0,0,0,0,0,0.0301593,0,0
8,0,0,0,0,0.0476154,0.0612809,0,0.0236129,0.0127054,0.0210654,0.0204957,0,0,0.00613923,0,0.0171927,0.00327518,0.0506106,0.0334106,0.0199161,0.0250645,0.034419,0.0473927,0.0199214,0.027602,0.019122,0.0457795,0.0120355,0.0157811,0.00692839,0.0115149,0.0389818,0.0178926,0.00692023,0.00211077,0.00558838,0.0106614,0.0198391,0.012085,0.028397,0,0,0.0440982,0,0.0140648,0.0325384,0.0601703,0.0268974,0.0225373,0.00927723,0.0333077,0.0506761,0.00166961,0.0561085,0.00756402,0.00298153,0.013535,0,0.0176345,0.0139782,0.0197167,0.0176236,0.0149094,0.0565927,0.0185407,0,0,0,0,0,0.0263826,0,0
