Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,RTHI,RTIBI,LTHII,
All Timesteps RMSE,0,0,0,0,0.0444042,0.0538462,0,0,0,0.0561113,0.00910146,0.0291498,0.0150408,0,0,0.0158127,0,0.0206506,0.00736395,0.0511872,0.0377626,0.0259347,0.0176734,0.0210283,0.0594333,0.0147837,0.0215408,0.0488657,0.0148661,0.0239103,0.0114578,0.0130973,0.0726795,0.0263767,0.0100115,0.00392457,0.0386986,0.0110638,0.0319545,0.00787699,0.0192762,0,0,0.0433409,0,0.0131129,0.0304331,0.0623227,0.0418225,0.0242794,0.0192925,0.0245281,0.023984,0.0560064,0.0217014,0.0166293,0.0377914,0.0226411,0.0283105,0.0373987,0.0270243,0.012127,0.0129001,0.0516108,0.0207391,0,0,0,0,0,0.0116247,0.0252301,0.014784,0
0,0,0,0,0,0.0406514,0.0540387,0,0,0,0.0380387,0.0091294,0.0249735,0.0122533,0,0,0.0125301,0,0.0194403,0.00761803,0.0501063,0.0247407,0.0293101,0.0210053,0.023973,0.0642672,0.0118621,0.0177673,0.0442789,0.0146917,0.0155835,0.0112295,0.0127453,0.0394022,0.0274001,0.00946999,0.00617253,0.028657,0.0141743,0.0208129,0.00412465,0.0139697,0,0,0.038173,0,0.012566,0.0252345,0.0567351,0.0124668,0.0266318,0.0121474,0.0340917,0.0205009,0.0530782,0.0148164,0.00710898,0.0129725,0.0289847,0.0288511,0.0288262,0.0247867,0.00626574,0.0101873,0.0528526,0.0174725,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.0429185,0.0557218,0,0,0,0.0377131,0.00929811,0.0250504,0.0128434,0,0,0.0118934,0,0.0194004,0.00718208,0.0500815,0.024913,0.0290945,0.0215861,0.0243927,0.0660264,0.0123653,0.0183253,0.0438086,0.0149083,0.0156303,0.0111058,0.0122469,0.0391028,0.0272095,0.00931589,0.00593336,0.0290468,0.0139176,0.0197264,0.00510795,0.0148214,0,0,0.0397503,0,0.0127374,0.026277,0.0568774,0.0131992,0.0267795,0.0140517,0.0342839,0.0214431,0.0528129,0.0163015,0.00699951,0.0119396,0.0282399,0.0268131,0.0300401,0.025406,0.00616678,0.0104437,0.0545823,0.0183162,0,0,0,0,0,0.0041028,0,0,0
2,0,0,0,0,0.0430316,0.0564114,0,0,0,0.0379392,0.00941605,0.0251066,0.0131622,0,0,0.011758,0,0.0193753,0.00696737,0.0498754,0.0248649,0.0291221,0.0218551,0.0243796,0.0665117,0.0125764,0.018577,0.0435881,0.0150139,0.0156391,0.0109278,0.0120853,0.0392306,0.0271146,0.00923502,0.0057941,0.0308062,0.0138448,0.019709,0.00503336,0.0150745,0,0,0.0406743,0,0.0128931,0.0268519,0.0569991,0.0147985,0.0268124,0.0160813,0.0343699,0.0220971,0.0530087,0.0177483,0.00812782,0.0111929,0.0278102,0.0263811,0.0319943,0.0257156,0.00635713,0.0105539,0.055131,0.0185645,0,0,0,0,0,0.00496118,0.0201507,0,0
3,0,0,0,0,0.0432663,0.056738,0,0,0,0.0382213,0.00949546,0.0249633,0.0137101,0,0,0.0117257,0,0.0193409,0.00684879,0.0496765,0.02473,0.0291686,0.0219928,0.0242686,0.0666152,0.0126889,0.0186505,0.0434561,0.0149685,0.0155026,0.0106996,0.0119825,0.0394469,0.02695,0.0091699,0.00564879,0.0329959,0.0136977,0.0197767,0.00493497,0.0151688,0,0,0.0414618,0,0.0129788,0.0272914,0.0573977,0.0172738,0.0268812,0.0181138,0.0343619,0.0226392,0.0529654,0.0193823,0.00932309,0.0105515,0.0271854,0.0259787,0.0343672,0.0260259,0.00681066,0.0106038,0.0553577,0.0186553,0,0,0,0,0,0.00528723,0,0,0
4,0,0,0,0,0.0434354,0.0568477,0,0,0,0.0386394,0.00952065,0.0248938,0.013068,0,0,0.0117982,0,0.0192969,0.00684279,0.0495046,0.0244274,0.0292052,0.0219058,0.0239579,0.0663979,0.0126604,0.0185363,0.0433511,0.0149092,0.0154293,0.0105669,0.0118487,0.0398007,0.0268266,0.00914534,0.00553263,0.0341305,0.0134919,0.0193942,0.00479469,0.015263,0,0,0.0420788,0,0.0129863,0.027573,0.0579376,0.0207988,0.0266074,0.0204631,0.0340721,0.0229864,0.053136,0.0213065,0.0111133,0.00988426,0.0264112,0.0251188,0.0355791,0.0261885,0.00728298,0.0105963,0.0554361,0.0187193,0,0,0,0,0,0.00591268,0.0160789,0,0
5,0,0,0,0,0.0433667,0.056789,0,0,0,0.0390889,0.00958935,0.0248649,0.0125426,0,0,0.0120081,0,0.0193504,0.0068744,0.0493991,0.0240768,0.029114,0.0215718,0.0236177,0.0659136,0.0124899,0.0182322,0.0431707,0.0147824,0.0152713,0.0104064,0.0116811,0.0402406,0.0270863,0.00919735,0.00537746,0.0342695,0.0133469,0.0193975,0.00503199,0.0154047,0,0,0.0425199,0,0.0129767,0.0277931,0.0585142,0.0267831,0.0260033,0.0222146,0.0335494,0.0232516,0.0530318,0.0226281,0.0121581,0.00957591,0.0256089,0.0248639,0.0359905,0.0262527,0.00729544,0.0105881,0.0554004,0.0187545,0,0,0,0,0,0.00560649,0.0145751,0,0
6,0,0,0,0,0.0433154,0.0566415,0,0,0,0.0398955,0.00972584,0.0250937,0.0125102,0,0,0.0122211,0,0.0194702,0.00687708,0.049263,0.0238448,0.0288961,0.020799,0.0232954,0.0653865,0.0120169,0.0174369,0.0429924,0.0145832,0.015155,0.0104137,0.0113972,0.0411704,0.02727,0.00931943,0.0051664,0.0349724,0.0132385,0.0203486,0.00571533,0.015669,0,0,0.0429332,0,0.0129956,0.0280044,0.0591697,0.0321141,0.0250111,0.0229453,0.0327887,0.0234954,0.0526641,0.0229761,0.0122671,0.00964164,0.0247495,0,0.0365936,0.0263012,0.00743839,0.0106295,0.0550635,0.0188006,0,0,0,0,0,0,0.0150859,0.0198255,0
7,0,0,0,0,0.0433731,0.0564595,0,0,0,0.0400748,0.00984597,0.0248746,0.0126847,0,0,0.012561,0,0.019535,0.00693582,0.0492744,0.0233569,0.0285713,0.0202394,0.0229371,0.0649572,0.0117487,0.0168069,0.0427509,0.0144006,0.0149872,0.0102663,0.0111818,0.0416042,0.0271122,0.00937102,0.00499815,0.0358103,0.0131405,0.0210439,0.00659976,0.0160195,0,0,0.0431735,0,0.0130188,0.0281565,0.0595936,0.0354995,0.0240938,0.0228684,0.0320089,0.0236625,0.0521865,0.0221972,0.0116714,0.00971333,0.0234714,0,0.0372052,0.0263259,0.00788588,0.0106582,0.0546919,0.0188886,0,0,0,0,0,0.00421528,0.0167134,0.0189523,0
8,0,0,0,0,0.0434008,0.056202,0,0,0,0.0399441,0.00990571,0.0243687,0.0131018,0,0,0.0130591,0,0.0195082,0.00714274,0.0493043,0.0228435,0.0281609,0.0196784,0.0227756,0.0644418,0.0114775,0.0162107,0.0424638,0.0141368,0.0148098,0.00998351,0.0109859,0.0414913,0.0273082,0.009365,0.00490181,0.0353269,0.0130524,0.0199851,0.0078588,0.0164759,0,0,0.0433723,0,0.013043,0.028269,0.0598178,0.0368672,0.0231716,0.0219441,0.0312949,0.0237828,0.0513773,0.0195622,0.0100455,0.0100303,0.0218548,0.0218375,0.0377968,0.0263696,0.0082012,0.0106306,0.0543221,0.0189642,0,0,0,0,0,0.00453808,0.017258,0.0173934,0
