Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,x72,IMU_B,IMU_M,IMU_T
All Timesteps RMSE,0,0,0,0,0.0399818,0.0564417,0.0556468,0.00726891,0.0299208,0.0303238,0,0,0.0154074,0,0.0237936,0.0093956,0.050208,0.0421803,0.0223166,0.0189296,0.0424064,0.0445039,0.01536,0.0240396,0.0156626,0.0513042,0.0150064,0.0246802,0.0125607,0.0138627,0.0729016,0.0114823,0.011798,0.00685392,0.0281233,0.00883933,0.0153551,0.023841,0.0164642,0,0,0.0586929,0,0.017261,0.0424794,0.0609941,0.0265098,0.0189842,0.011084,0.0448942,0.039061,0.00795319,0.0554017,0.0125696,0.0117646,0.0128035,0.0181652,0.0225488,0.0201694,0.0365359,0.0330527,0.020669,0.0189638,0.0561366,0.0109352,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0304308,0.0502251,0.0688297,0.00730588,0.0347465,0.0339303,0,0,0.0150288,0,0.0219065,0.0108819,0.0438223,0.0557318,0.0216072,0.0340463,0.0453359,0.0375843,0.0225451,0.0428731,0.0221134,0.0592711,0.0223794,0.0402722,0.0146274,0.013681,0.100615,0.0125148,0.0122206,0.00712623,0.0304223,0.00885002,0.00331777,0.0227127,0.0113001,0,0,0.057623,0,0.0166077,0.0410697,0.0625376,0.00863714,0.0220018,0.00950274,0.0521223,0.0417972,0.00438873,0.0550248,0.0111697,0.0115738,0.00547849,0.0181028,0.0217785,0.012864,0.0389341,0.0328026,0.0181059,0.0184772,0.0518058,0.00645153,0,0,0,0,0,0,0,0
1,0,0,0,0,0.030877,0.0499682,0.0724314,0.00733252,0.0340254,0.0341107,0,0,0.0145836,0,0.0221969,0.0107318,0.0436377,0.0593887,0.0216315,0.0349183,0.0448041,0.0371069,0.022559,0.0441155,0.0222099,0.0595263,0.0226544,0.0403046,0.0143129,0.0144029,0.106712,0.0119687,0.0122873,0.00709265,0.0302998,0.00878337,0.00282635,0.0226698,0.0116034,0,0,0.0574119,0,0.0165693,0.0405826,0.0623167,0.00927109,0.0216726,0.00923593,0.0508093,0.0416042,0.00327131,0.0553718,0.0111905,0.0114302,0.00445669,0.0181139,0.0212495,0.013156,0.0392056,0.0323254,0.0176896,0.0183526,0.0517486,0.006613,0,0,0,0,0,0,0,0
2,0,0,0,0,0.0311483,0.050015,0.0754397,0.00729572,0.034335,0.0340975,0,0,0.0149541,0,0.0228125,0.0109746,0.0435516,0.0623277,0.0216509,0.0354832,0.0449103,0.0369138,0.0227465,0.0451085,0.0225912,0.0598575,0.0228988,0.0402562,0.0141295,0.0152277,0.11212,0.0118747,0.0124628,0.00731149,0.0300665,0.00864428,0.00231528,0.0225504,0.0116786,0,0,0.0579045,0,0.0166558,0.0405129,0.0622103,0.00966019,0.0217566,0.00873326,0.0504687,0.041558,0.00280921,0.0553305,0.0103248,0.0108957,0.00397941,0.0181869,0.0210758,0.0129354,0.0391969,0.0322844,0.0176377,0.0183738,0.0515804,0.00687722,0,0,0,0,0,0,0,0
3,0,0,0,0,0.0312183,0.0500614,0.0778344,0.00727159,0.0348984,0.0343389,0,0,0.0155045,0,0.0234119,0.0111562,0.0434201,0.0639444,0.0216305,0.035685,0.0451263,0.0368139,0.0229313,0.0458015,0.0229376,0.0599977,0.0228532,0.0404128,0.013891,0.016092,0.11699,0.0119179,0.012655,0.0075645,0.0305085,0.00853607,0.00202196,0.0225666,0.0115577,0,0,0.0583751,0,0.0167031,0.0405751,0.0623754,0,0.0218905,0.00861638,0.0501808,0.0414543,0.00264942,0.0551494,0.00966107,0.0104815,0.00440111,0.0180307,0.0214699,0.0123379,0.0399443,0.0324354,0.0175246,0.0184406,0.0515392,0.00707481,0,0,0,0,0,0,0,0
4,0,0,0,0,0.0311076,0.0501034,0.0811467,0.00722544,0.0351572,0.0345187,0,0,0.0161687,0,0.0237944,0.0113564,0.0432628,0.0642132,0.0215506,0.0356427,0.0453151,0.0366448,0.0230515,0.0461915,0.0230592,0.0600061,0.0226446,0.0406784,0.0136735,0.0169876,0.121314,0.0119688,0.0127647,0.00781589,0.030113,0.00845197,0.00314119,0.0225102,0.0113778,0,0,0.0587245,0,0.0167633,0.0406269,0.0627334,0.00902581,0.0220461,0.00856022,0.0500085,0.0413915,0.00211131,0.0549672,0.00945159,0.00977073,0.00505025,0.0176618,0.021772,0.0126645,0.0387714,0.0325123,0.0174179,0.0184961,0.0517397,0.00725878,0,0,0,0,0,0,0,0
5,0,0,0,0,0.0310522,0.0501687,0.0847502,0.0071492,0.0355763,0.0346773,0,0,0.0167526,0,0.0239887,0.0114899,0.0433073,0.0642626,0.0214872,0.0354706,0.0454605,0.0365583,0.0231499,0.0463768,0.0229381,0.0602476,0.0226401,0.0410647,0.0134415,0.0177719,0.124808,0.0120864,0.0128138,0.00789536,0.0297907,0.00843472,0.00433133,0.0225547,0.0113136,0,0,0.0588465,0,0.0168405,0.0405979,0.0631273,0.00837054,0.0221805,0.00881475,0.0498129,0.0413327,0.00213175,0.0547981,0.00988176,0.0101255,0.0061886,0.0173143,0.0221507,0.0131367,0.0380817,0.0325031,0.0173607,0.0185445,0.0517955,0.0074261,0,0,0,0,0,0,0,0
6,0,0,0,0,0.0311185,0.0503337,0.0878946,0.00705142,0.035911,0.0346363,0,0,0.0172858,0,0.024128,0.0116459,0.0433889,0.0637687,0.0213835,0.0346826,0.045476,0.0364726,0.0230071,0.0458757,0.0227464,0.0602857,0.0224915,0.0412123,0.0133169,0.0183843,0.127205,0.0121442,0.0128098,0.0078613,0.0292706,0.00842226,0.00549554,0.0224685,0.0112802,0,0,0.058746,0,0.0168794,0.040509,0.0630588,0.00780546,0.0222912,0.00914658,0.0492797,0.0413769,0.00175131,0.0545409,0.00997683,0.00982344,0.00751984,0.0169048,0,0.0135115,0.0372361,0.0323912,0.0173582,0.0185253,0.0516131,0.00726003,0,0,0,0,0,0,0,0
7,0,0,0,0,0.0313491,0.0503952,0.0903849,0.00698326,0.0361457,0.0342096,0,0,0.0176392,0,0.0242088,0.0117449,0.0436144,0.0631088,0.0212549,0.0333808,0.0454398,0.0363548,0.0225785,0.0448798,0.0225362,0.0601023,0.02218,0.0410313,0.0132353,0.018867,0.12889,0.0119707,0.0127518,0.00778216,0.0283757,0.00840684,0.00583041,0.0225372,0.0113795,0,0,0.0584187,0,0.0168593,0.0403682,0.0632977,0.00752689,0.0222392,0.00935419,0.0487552,0.0412469,0.00173787,0.0544129,0.00957464,0.00932624,0.00867609,0.0167119,0.0232411,0.0136813,0.0360998,0.0321786,0.0173331,0.0185208,0.051398,0.00707349,0,0,0,0,0,0,0,0
8,0,0,0,0,0.0313915,0.0503668,0.0920994,0.00689502,0.0364644,0.033935,0,0,0.018015,0,0.0242487,0.0118195,0.0439744,0.0624345,0.0212691,0.0318873,0.0455348,0.0360372,0.0221793,0.0437224,0.0222075,0.0599088,0.021674,0.0406563,0.0128904,0.0192604,0.130103,0.0118389,0.0126629,0.0077892,0.0276899,0.00842351,0.00574444,0.022565,0.0113747,0,0,0.0581264,0,0.0168695,0.0403404,0.0634734,0,0.0222222,0.00993104,0.0485675,0.0409329,0.00217096,0.0546054,0.00973865,0.00962013,0.00961665,0.0163392,0.0239512,0.0140341,0.0351357,0.0320572,0.0173138,0.0186351,0.0512792,0.00680797,0,0,0,0,0,0,0,0
