Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,-0.0913239
1,1,-0.0512314
1,2,-0.0428391
1,3,0.00377655
1,4,0.0336456
1,5,-0.00198364
1,6,0.0766754
1,7,-0.00984192
1,8,0.00247955
1,9,-0.0284195
2,0,-0.000152588
2,1,-0.0623703
2,2,-0.0709152
2,3,-0.16201
2,4,-0.10788
2,5,-0.172462
2,6,-0.102768
2,7,-0.0894928
2,8,-0.0595856
2,9,-0.035553
3,0,-0.00305176
3,1,0.0195694
3,2,-0.0210953
3,3,0.00312805
3,4,-0.0146484
3,5,0.0219727
3,6,0.00946045
3,7,0.00274658
3,8,-0.0373077
3,9,-0.115814
4,0,-0.13649
4,1,-0.095787
4,2,-0.121651
4,3,-0.0841141
4,4,-0.0640106
4,5,0.0038147
4,6,-0.00312805
4,7,0.0126266
4,8,0.0660706
4,9,0.0259781
5,0,0.0227737
5,1,0.0276184
5,2,0.030365
5,3,0.0315857
5,4,-0.00656128
5,5,-0.0298691
5,6,-0.0656128
5,7,-0.111313
5,8,-0.0820923
5,9,-0.0683212
6,0,-0.0279999
6,1,-0.0200653
6,2,0.0211334
6,3,0.0421143
6,4,0.0525284
6,5,0.0680923
6,6,0.0533295
6,7,0.0576019
6,8,0.0605392
6,9,0.0603867
7,0,0.025177
7,1,0.00869751
7,2,-0.0444794
7,3,-0.0455856
7,4,-0.09758
7,5,-0.0786209
7,6,-0.016098
7,7,-0.00839233
7,8,0.0395584
7,9,0.0289536
8,0,0.0559998
8,1,0.0854874
8,2,0.0639725
8,3,0.0724411
8,4,0.0495148
8,5,0.07061
8,6,0.0946808
8,7,0.0472641
8,8,0.02285
8,9,-0.0444412
9,0,-0.0734711
9,1,-0.0806808
9,2,-0.0858688
9,3,-0.0278473
9,4,0.000419617
9,5,0.0468445
9,6,0.00827789
9,7,0.0894928
9,8,0.112534
9,9,0.0835037
10,0,0.0725937
10,1,0.0281906
10,2,0.0727081
10,3,0.0320816
10,4,0.0471115
10,5,-0.0228882
10,6,-0.0400543
10,7,-0.03582
10,8,-0.113678
10,9,-0.0203323
