Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,LFHD,
All Timesteps RMSE,0.025779,0.0274325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402274,0.00934377,0.0238493,0.0230959,0,0.0282562,0.0315874,0.0153803,0.0463046,0.0258874,0.0347108,0.027182,0.020642,0.0291756,0.0200805,0.0282895,0.0257859,0.0560505,0.0181,0.0212563,0.0194119,0.0171472,0.0447431,0.0264713,0.0156849,0.00655725,0.0361159,0.0167449,0.0452208,0.0201988,0.026189,0,0,0.030667,0,0.0213073,0.0214887,0.0672523,0.0584171,0.019933,0.0139484,0.0166249,0.0315378,0.00813274,0.0538143,0.0124266,0.00801111,0.0197794,0.0279807,0.0261289,0.026834,0.0434269,0.0265693,0.025088,0.0192587,0.0265347,0.029266,0,0,0,0,0,0
0,0.0280861,0.0335726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150448,0.00918984,0.0270343,0.0181486,0,0.0245451,0.0305246,0.0137484,0.0383452,0.0281022,0.0351456,0.0281412,0.0153599,0.0177672,0.0273593,0.0357591,0.0275103,0.0599007,0.017649,0.0186563,0.0202508,0.0187024,0.0136691,0.0280562,0.0161884,0.00418207,0.0494119,0.0168753,0.0588341,0.0179193,0.0290552,0,0,0.0213768,0,0.0181256,0.0137154,0.0694415,0.0709387,0.0192469,0.0143114,0.0133061,0.045811,0.00740208,0.0503032,0.0138237,0.0065375,0.0226249,0.0333621,0.0336572,0.0314205,0.0554394,0.0253949,0.00469918,0.00617115,0.0318487,0.0280827,0,0,0,0,0,0
1,0.0269601,0.0314236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153675,0.00930603,0.0269479,0.0181861,0,0.0209157,0.0303986,0.0117013,0.0383639,0.027917,0.0351944,0.0279019,0.0153726,0.0161723,0.0272112,0.0354663,0.0273802,0.0598429,0.017627,0.0186607,0.0201716,0.0185596,0.0140462,0.0224065,0.0156198,0.00470214,0.0497032,0.0164454,0.0589067,0.017992,0.0273251,0,0,0.0300271,0,0.018224,0.0193402,0.0694369,0.0709704,0.0192562,0.0143643,0.0133291,0.0410706,0.00739177,0.0502839,0.0139044,0.00654937,0.0227188,0.0336999,0.0337136,0.0314731,0.0556759,0.0303588,0.00532418,0.0078002,0.0299809,0.0278316,0,0,0,0,0,0
2,0.0271079,0.0315172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152869,0.00922283,0.0269569,0.0181553,0,0.0206874,0.0305507,0.0115179,0.0383459,0.0279379,0.0352055,0.0279198,0.015374,0.0163411,0.0272303,0.035479,0.027393,0.0598473,0.017627,0.0186626,0.0201724,0.0185579,0.0140066,0.0222263,0.0158667,0.00465858,0.0499732,0.016412,0.0590922,0.0180034,0.0273472,0,0,0.0301711,0,0.0181923,0.019435,0.0694202,0.0711095,0.0192559,0.0144076,0.0133706,0.0410244,0.00739785,0.0503175,0.0139315,0.00652235,0.022826,0.0337851,0.0338693,0.0315714,0.0559399,0.0304602,0.0053525,0.00786248,0.0300124,0.0278682,0,0,0,0,0,0
3,0.0272094,0.0315878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152771,0.00919786,0.0269678,0.0181195,0,0.0206429,0.0305926,0.0114922,0.0383327,0.0279482,0.0352002,0.0279199,0.0153649,0.0164523,0.0272262,0.0354485,0.0273809,0.0598448,0.0176187,0.018648,0.0201772,0.0185353,0.0139753,0.021982,0.015886,0.00462948,0.0501002,0.0164028,0.0592178,0.0179953,0.0273654,0,0,0.0302481,0,0.0181977,0.0195111,0.0694107,0.0711841,0.0192646,0.0144114,0.0133839,0.0409992,0.00741546,0.050332,0.0139322,0.00651861,0.0228651,0.0337905,0.0339225,0.0316153,0.0560778,0.0305107,0.00536141,0.007979,0.0300162,0.0278722,0,0,0,0,0,0
4,0.0273244,0.0316585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152399,0.00921853,0.0269754,0.0181153,0,0.0207135,0.0305035,0.0116113,0.0383064,0.0279341,0.035203,0.0279197,0.0153475,0.0165617,0.0272139,0.035372,0.0273643,0.05983,0.0176183,0.0186326,0.0201769,0.0185285,0.0139653,0.021922,0.0157301,0.00464831,0.0502008,0.0164079,0.0592889,0.0179838,0.0273761,0,0,0.0303196,0,0.0181973,0.0195889,0.069398,0.0712263,0.0192615,0.0144013,0.0133944,0.0410038,0.00742288,0.0503221,0.0139427,0.00652926,0.0228939,0.0338047,0.0339822,0.0316475,0.0561906,0.0305654,0.0053855,0.00779371,0.030005,0.0278936,0,0,0,0,0,0
5,0.0274419,0.0317153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152534,0.00918465,0.0269653,0.0181148,0,0.0206905,0.0304787,0.0116119,0.0382496,0.0279048,0.035212,0.0279231,0.0153333,0.0167089,0.0272043,0.0353974,0.0273445,0.0597962,0.0176073,0.0186184,0.0201667,0.0185332,0.0139467,0.0218171,0.0157392,0.00468138,0.0502412,0.0164267,0.0592675,0.0179642,0.0273943,0,0,0.0303647,0,0.0181862,0.0196324,0.0694081,0.0712057,0.0192489,0.0144344,0.0134163,0.0410207,0.00745613,0.0503042,0.0139805,0.00655034,0.022875,0.0338669,0.0339633,0.0316284,0.0562116,0.0306077,0.00540784,0.00763032,0.0300219,0.0279189,0,0,0,0,0,0
6,0.0275325,0.0317513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152404,0.00914923,0.0269599,0.0180856,0,0.0206628,0.0304309,0.0115963,0.0382223,0.0278819,0.035227,0.0279225,0.0153455,0.0168828,0.0271952,0.0354248,0.0273273,0.0597726,0.017606,0.0186147,0.0201668,0.0185546,0.0139749,0.021822,0.0157286,0.00468233,0.0503865,0.0164309,0.0593577,0.0179481,0.0274134,0,0,0.0303948,0,0.0181696,0.0196531,0.0694116,0.0712695,0.0192515,0.0144495,0.0134467,0.0409983,0.00747164,0.0503232,0.0140001,0.006553,0.022921,0.0338891,0.034012,0.0316839,0.0563237,0.0306414,0.00541671,0.00764354,0.030045,0.0279557,0,0,0,0,0,0
7,0.0275738,0.0317633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152965,0.00909437,0.0269553,0.0180697,0,0.0205561,0.0304942,0.0114842,0.0382459,0.0278666,0.0352267,0.0279124,0.015344,0.0169755,0.0271826,0.0354388,0.027307,0.0597551,0.017609,0.018603,0.0201745,0.0185744,0.0140236,0.0217644,0.0158619,0.00464044,0.0505221,0.0164348,0.0594588,0.0179197,0.027415,0,0,0.0303986,0,0.0181769,0.0196429,0.0694157,0.0713221,0.0192442,0.0144509,0.0134673,0.0409843,0.0074973,0.0503393,0.0140224,0.00659157,0.0229634,0.0339289,0.0340998,0.0317316,0.0564692,0.0306565,0.00541666,0.00768985,0.0300545,0.0279739,0,0,0,0,0,0
8,0.0275874,0.0317653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015287,0.0090564,0.0269695,0.0180757,0,0.0204913,0.0305256,0.0114116,0.0382917,0.027852,0.0352205,0.0279039,0.0153427,0.0169832,0.0271777,0.03544,0.0272939,0.0597407,0.0176232,0.018594,0.0201922,0.018589,0.0140408,0.0218515,0.0159284,0.00459121,0.0507032,0.0164719,0.0595977,0.0179133,0.0274072,0,0,0.0304031,0,0.0182372,0.0196388,0.0694174,0.0713867,0.0192379,0.0144476,0.0134664,0.04099,0.00752393,0.050352,0.0140521,0.00662549,0.0230118,0.0340035,0.0342063,0.0317899,0.056628,0.0306622,0.00542463,0.00771534,0.0300494,0.0279765,0,0,0,0,0,0
9,0.027612,0.0317948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015331,0.00905679,0.0269712,0.0180799,0,0.0205079,0.0304965,0.0114307,0.038298,0.0278271,0.0352103,0.0278897,0.0153374,0.0169836,0.0271834,0.03541,0.0272918,0.0597179,0.0176271,0.0185855,0.0202044,0.0185966,0.0140699,0.0218974,0.0158851,0.0045515,0.0508928,0.0164723,0.0597129,0.0179261,0.0274095,0,0,0.0304528,0,0.0182319,0.0196196,0.0694238,0.0714511,0.019256,0.0144667,0.0134548,0.0410094,0.00754204,0.0503732,0.0140664,0.00663302,0.0230614,0.034091,0.0343133,0.0318412,0.0567791,0.0306861,0.00540115,0.00773972,0.0300607,0.0279724,0,0,0,0,0,0
10,0.0276568,0.0318438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153501,0.00908426,0.0269702,0.0180813,0,0.0205407,0.0304413,0.0114643,0.0382865,0.0278137,0.0352128,0.0278748,0.0153468,0.0170216,0.0271946,0.035357,0.0273014,0.0597104,0.0176247,0.0185913,0.0202029,0.0186074,0.0141394,0.0219088,0.0158046,0.00450461,0.051065,0.0162774,0.0598106,0.017943,0.0274382,0,0,0.0305763,0,0.0179738,0.0195893,0.0694298,0.0715216,0.0192757,0.014504,0.0134715,0.0409824,0.00756191,0.0503811,0.014078,0.00661479,0.0231076,0.0341667,0.0343858,0.0318693,0.0569201,0.0307594,0.00540633,0.00791051,0.0300957,0.0279995,0,0,0,0,0,0
11,0.0276787,0.0318508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153944,0.00907907,0.0269716,0.0180681,0,0.0205234,0.030479,0.011437,0.0382894,0.0277977,0.0352239,0.0278784,0.0153677,0.0170557,0.0272114,0.0354116,0.0273051,0.0597101,0.0176352,0.0185981,0.0201853,0.0186203,0.0142162,0.0219186,0.015869,0.00444343,0.0512183,0.0163028,0.0599563,0.0179553,0.0274482,0,0,0.0305398,0,0.0179663,0.0195701,0.0694292,0.0716036,0.0192861,0.014493,0.0135049,0.0409765,0.00757894,0.0503768,0.0140851,0.00662026,0.0231265,0.0342447,0.034402,0.0319107,0.0570734,0.0307298,0.00540129,0.00830078,0.0300722,0.0280214,0,0,0,0,0,0
12,0.0276833,0.0318164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153465,0.00906647,0.0269888,0.0180762,0,0.0205195,0.0305159,0.0114346,0.0382893,0.0277873,0.0352292,0.0278885,0.0153846,0.0170794,0.0272086,0.0354535,0.0272917,0.0597073,0.0176761,0.0185921,0.0201919,0.0186346,0.0142759,0.0219317,0.0159073,0.00449528,0.0513991,0.0164998,0.0601762,0.0179619,0.0274323,0,0,0.0304252,0,0.0181943,0.0195944,0.0694113,0.071719,0.0192973,0.01447,0.0135318,0.0410088,0.00759541,0.0503809,0.0140723,0.00662904,0.0231534,0.0343515,0.0344486,0.031971,0.0572642,0.0306246,0.00539448,0.0082207,0.030068,0.0280248,0,0,0,0,0,0
13,0.0276932,0.0317872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153341,0.00906824,0.0269952,0.0180438,0,0.0205246,0.0305123,0.011463,0.0383014,0.0277707,0.0352243,0.0278916,0.0153848,0.0170944,0.0271926,0.0354618,0.027278,0.0597045,0.0177159,0.0185728,0.0202112,0.0186582,0.0143066,0.0219728,0.0158845,0.00451639,0.0516509,0.0165176,0.0601961,0.0179557,0.0274115,0,0,0.0304181,0,0.0182316,0.0196113,0.0694155,0.071781,0.0192955,0.0145125,0.013542,0.0410193,0.00763437,0.0503853,0.0141035,0.00665779,0.0231914,0.0343452,0.0345157,0.032007,0.0574855,0.0305817,0.00542647,0.00762065,0.0301125,0.0280259,0,0,0,0,0,0
14,0.0277139,0.0318043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153981,0.0090753,0.0269871,0.0180619,0,0.0205835,0.0304376,0.0115633,0.0383061,0.0277518,0.035219,0.027887,0.0153701,0.0171293,0.0272002,0.035437,0.0272578,0.0596985,0.0176632,0.0185403,0.0202217,0.0186727,0.0143663,0.0220189,0.0157907,0.00448534,0.051803,0.0164774,0.0602228,0.0179413,0.0274112,0,0,0.0304719,0,0.0181931,0.0196537,0.0694348,0.0717932,0.0192893,0.0145195,0.0135432,0.0410167,0.00763841,0.0503841,0.0140832,0.00669335,0.0232107,0.0343131,0.0345959,0.0320126,0.0576043,0.0306072,0.00545003,0.00746937,0.0301532,0.0280221,0,0,0,0,0,0
