Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LASI,
All Timesteps RMSE,0.011472,0.0110505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522247,0.013384,0.0498626,0,0,0.0555755,0,0.0280407,0.0319601,0.0886836,0.0380935,0.0454789,0.030046,0.0169521,0.0163461,0.0339855,0.0326494,0.0272723,0.0404019,0.0228803,0.0281418,0.0189786,0.0224468,0.0669709,0.0638805,0.0200374,0.01556,0.0280696,0.0210528,0.0182559,0.0197491,0.0137146,0,0,0.0392359,0,0.0226624,0.0247577,0.0688146,0.0220691,0.0220383,0.016295,0.0209722,0.0244446,0.013411,0.0562884,0.0158815,0.0171859,0.0174833,0.0277068,0.0134305,0.0190777,0.0311449,0.0282808,0.027569,0.0150086,0.0116451,0.0146069,0,0,0,0.0229029,0
0,0.00957491,0.00942824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024185,0.0073747,0.0125969,0,0,0.044016,0,0.0310726,0.0216073,0.0618798,0.0191694,0.042153,0.00929074,0.00754925,0.0141387,0.00459376,0.00538144,0.0124419,0.0399023,0.0163995,0.0134878,0.0104721,0.0119076,0.0327019,0.0299234,0.0189759,0.00545273,0.0329968,0.0230657,0.0229441,0.00394334,0.0141022,0,0,0.00794328,0,0.0178574,0.0199274,0.0680904,0.015599,0.0129918,0.0149137,0.00732686,0.0478646,0.0109596,0.0590717,0.0130837,0.0212726,0.0231258,0.0392997,0.0221061,0.0245859,0.032123,0.013495,0.0370346,0.0312044,0.0121152,0.0100864,0,0,0,0,0
1,0.00936188,0.00960339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234041,0.007249,0.012737,0,0,0.0445511,0,0.0316137,0.0218726,0.0619869,0.0193072,0.0423029,0.00903676,0.00783282,0.0146518,0.00429873,0.00551728,0.0120205,0.0394395,0.0159999,0.0130488,0.0102591,0.0118315,0.0314051,0.0307534,0.0187864,0.00556977,0.0327864,0.0230243,0.0195516,0.00420027,0.0143303,0,0,0.00844635,0,0.0179499,0.0196959,0.0682513,0.0128173,0.0136089,0.0139726,0.00742426,0.0484846,0.010139,0.0589775,0.0123361,0.0208933,0.0221854,0.0387724,0.0203654,0.023776,0.0316343,0.0139578,0.0373573,0.0315889,0.0120465,0.00944037,0,0,0,0,0
2,0.0092494,0.00989139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231811,0.0072278,0.0130288,0,0,0.0449182,0,0.0319095,0.0220546,0.0619327,0.019701,0.0425077,0.00881964,0.00827933,0.0155386,0.00405616,0.00585065,0.011612,0.0392481,0.0157738,0.0128998,0.0101026,0.0117796,0.0307212,0.0311009,0.0187815,0.0056893,0.032502,0.0231472,0.0184106,0.00438218,0.0143293,0,0,0.00904235,0,0.0179846,0.0194217,0.0682748,0.0116272,0.0134801,0.0131087,0.0081354,0.0487836,0.0096422,0.0585481,0.0120992,0.0206359,0.0217177,0.0385773,0.0197294,0.0235855,0.0311363,0.0146308,0.0376407,0.0313548,0.0122282,0.00923181,0,0,0,0,0
3,0.0092609,0.0102411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022995,0.00718408,0.013268,0,0,0.0451565,0,0.0319899,0.0221721,0.0619388,0.0201472,0.0427345,0.00856428,0.00886912,0.0160205,0.00395167,0.00566992,0.0111871,0.0390441,0.0155545,0.0128022,0.00996857,0.0117574,0.0303173,0.0311569,0.0188633,0.00565993,0.0316909,0.0233105,0.0177233,0.00436945,0.0142672,0,0,0.00972066,0,0.0179866,0.0191892,0.0682183,0.0108733,0.0129315,0.0124671,0.00912491,0.0487536,0.00944099,0.0583216,0.011964,0.0202367,0.0213433,0.0383314,0.0193352,0.0233992,0.0310876,0.0155187,0.0381286,0.030947,0.0125075,0.00912346,0,0,0,0.00643681,0
4,0.00924739,0.0106456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233888,0.00712423,0.0133755,0,0,0.0455767,0,0.0319575,0.0222961,0.0620164,0.0209047,0.0428175,0.00801601,0.00938625,0.0162162,0.00375632,0.00476152,0.010816,0.0389513,0.0151535,0.0126107,0.00995055,0.0118849,0.0309467,0.0311547,0.0190005,0.00565116,0.0302083,0.0234975,0.0170449,0.00443451,0.0142006,0,0,0.0104738,0,0.0179644,0.0188825,0.0683132,0.0101107,0.0126991,0.0126346,0.0100485,0.0486965,0.0091539,0.0580439,0.0117502,0.0197433,0.0211312,0.038009,0.0186436,0.0230994,0.0301378,0.0165051,0.0388155,0.0305233,0.0128337,0.00896095,0,0,0,0.00586012,0
5,0.00925912,0.0108248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023615,0.00719531,0.0135924,0,0,0.0458133,0,0.0320317,0.0224366,0.0619616,0.0215939,0.0429111,0.00758479,0.00968934,0.0163464,0.00365196,0.00395028,0.0104648,0.0388873,0.0149488,0.0125781,0.00991547,0.0119484,0.0314497,0.0310663,0.0191673,0.00562487,0.0292782,0.0236641,0.0164819,0.00472547,0.0141635,0,0,0.0112946,0,0.0179964,0.0185918,0.0684026,0.00955627,0.0126172,0.0127753,0.0106433,0.0487141,0.0086774,0.0577178,0.0113141,0.0192554,0.0209838,0.0376697,0.0181152,0.022727,0.0291583,0.0175513,0.0392086,0.0301195,0.0130225,0.00881112,0,0,0,0.00561429,0
6,0.00931263,0.0109691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235889,0.00724309,0.0138977,0,0,0.0459335,0,0.0321017,0.0225886,0.0617761,0.0223456,0.0430221,0.00729751,0.00983951,0.0162552,0.00374972,0.00331333,0.0101137,0.0389019,0.0148827,0.0126889,0.00989222,0.0119539,0.0316265,0.0309358,0.01935,0.00561907,0.0289463,0.0238161,0.016007,0.0050849,0.0140893,0,0,0.0122251,0,0.0181487,0.0183502,0.0684827,0.00910437,0.0125267,0.0129947,0.0110262,0.0486725,0.00810911,0.0574037,0.0107242,0.0186576,0.0199737,0.0373041,0.0177421,0.0222576,0.0284974,0.0185322,0.0393873,0.0297427,0.013181,0.00868528,0,0,0,0.00559647,0
7,0.00939153,0.011159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232882,0.00726179,0.0141117,0,0,0.0459979,0,0.0321967,0.0227278,0.061506,0.0231876,0.0431506,0.00704034,0.00987705,0.0160015,0.00381561,0.0029404,0.00977878,0.0389929,0.0146434,0.0126461,0.00995395,0.012007,0.0315753,0.0307323,0.0196162,0.00561748,0.0282143,0.0240017,0.0156138,0.00544555,0.0139525,0,0,0.0133511,0,0.018387,0.0181151,0.0685283,0.0087903,0.0123814,0.0127494,0.0113386,0.0485816,0.00756526,0.0571918,0.0102663,0.0179144,0.0188955,0.0368959,0.0174789,0.021635,0.0280499,0.0195254,0.0395063,0.0293681,0.0133261,0.00861037,0,0,0,0.0057433,0
8,0.00942473,0.0114068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023045,0.00732211,0.0141889,0,0,0.0461633,0,0.0321855,0.0228684,0.0612058,0.0238493,0.0432952,0.00675955,0.00984265,0.0164629,0.00389132,0.00260316,0.00938331,0.0391156,0.0144494,0.0125957,0.0100484,0.0120809,0.0316219,0.0305625,0.0199002,0.0056125,0.027463,0.0241367,0.0152884,0.00565498,0.0138459,0,0,0.0143817,0,0.0185103,0.0179028,0.0685302,0.0086634,0.0121432,0.0126048,0.0116352,0.0484697,0.00708159,0.0571298,0.010551,0.0171189,0.0180744,0.0364762,0.0170857,0.0210336,0.0276731,0.0203062,0.0394473,0.0289922,0.0135314,0.00849969,0,0,0,0.00602254,0
