Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LFHD,
All Timesteps RMSE,0.00883057,0.0099255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321446,0.0126085,0.0151281,0.0145844,0,0,0.0456425,0.0282583,0.0256668,0.0618618,0.027006,0.0473032,0.0180558,0.0139778,0.0156604,0.0154361,0.0170742,0.015891,0.0393774,0.0137096,0.0144594,0.0081794,0.0208537,0.0401888,0.0438212,0.0167457,0.0134599,0.0275575,0.0210752,0.0162442,0.0172582,0.0116472,0,0,0.0380064,0,0.0197448,0.0242783,0.0679936,0.0194795,0.0161721,0.0155266,0.0156402,0.0267218,0.0129468,0.0577987,0.0157825,0.0164345,0.0145526,0.0301052,0.0101186,0.0189455,0.0330696,0.0280658,0.0230701,0.0146739,0.00896289,0.0125541,0,0,0,0,0
0,0.0076766,0.00464672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257269,0.00920571,0.0115197,0.0089388,0,0,0.055469,0.0282871,0.028698,0.0648039,0.0282787,0.0440537,0.00814148,0.00653311,0.0122705,0.0069211,0.00322377,0.00285593,0.0363026,0.0142007,0.0143185,0.00779833,0.0126707,0.0321401,0.0530664,0.01576,0.0126113,0.0132045,0.022242,0.00621669,0.00489458,0.00997058,0,0,0.0196423,0,0.0215537,0.00862864,0.0692759,0.010206,0.0207371,0.00426692,0.00680536,0.025079,0.00358447,0.0580819,0.00516472,0.00499154,0.00539831,0.0232131,0.00486228,0.00453001,0.0209923,0.0123228,0.0280973,0.017954,0.00705904,0.013394,0,0,0,0,0
1,0.00622465,0.0040166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232436,0.00967873,0.0114215,0.0101075,0,0,0.0546515,0.0281155,0.0280814,0.0652499,0.0266502,0.0446092,0.00780306,0.00801026,0.0102175,0.0075686,0.00335434,0.00316568,0.0358987,0.0130645,0.0132491,0.00714518,0.0125662,0.0280813,0.0516681,0.0152283,0.0123271,0.0121245,0.0221823,0.005883,0.00565742,0.0090302,0,0,0.0203064,0,0.0216198,0.0090965,0.0690626,0.00848129,0.0210863,0.00614065,0.00710079,0.0261269,0.00558568,0.0584504,0.00773919,0.00693289,0.00437825,0.0233417,0.00437469,0.00328619,0.0197534,0.0127583,0.0286867,0.0178256,0.00625896,0.0124426,0,0,0,0,0
2,0.00595264,0.00408065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216562,0.0100624,0.0114956,0.010416,0,0,0.054241,0.0279495,0.0276261,0.0653663,0.0255244,0.0446703,0.00765649,0.00871212,0.00959112,0.00739005,0.00386376,0.00357057,0.0355585,0.0123329,0.0127813,0.00673277,0.012331,0.0255962,0.0508828,0.014825,0.0122795,0.011761,0.021878,0.00638271,0.0059676,0.00858008,0,0,0.0209786,0,0.0213997,0.00923577,0.0687749,0.00801993,0.0212108,0.00753502,0.00739049,0.0265699,0.00714173,0.0589952,0.00959059,0.00863832,0.00397474,0.023449,0.00436481,0.00399603,0.0194064,0.0129945,0.028838,0.0175179,0.0061829,0.0122754,0,0,0,0,0
3,0.00586397,0.00426629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203208,0.0105222,0.011624,0.010361,0,0,0.0537733,0.0277563,0.0271503,0.0652401,0.0246531,0.0446036,0.00755664,0.00893878,0.00928316,0.0079127,0.00462999,0.00393367,0.0352572,0.0118879,0.012646,0.00643124,0.0121751,0.023756,0.0501686,0.0144346,0.0123526,0.0114629,0.0219006,0.00740049,0.0061204,0.00821711,0,0,0.0213845,0,0.021472,0.0093486,0.0684914,0.00807302,0.0215558,0.00860432,0.00765778,0.026912,0.00841614,0.0598325,0.0110727,0.0101565,0.00413048,0.0236131,0.00453878,0.00521455,0.01914,0.0130936,0.0289605,0.0174202,0.00617217,0.0121314,0,0,0,0,0
4,0.00578044,0.0045277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193437,0.0111386,0.0117878,0.0100892,0,0,0.0529153,0.0274842,0.0265301,0.0651135,0.0239879,0.0444839,0.00758561,0.00887655,0.00900884,0.00899173,0.00546112,0.00421425,0.0349848,0.0116244,0.0126459,0.00618111,0.0121682,0.0224854,0.049188,0.0139672,0.0125954,0.0109679,0.022268,0.00865774,0.00624968,0.00790682,0,0,0.0214471,0,0.0218382,0.00934627,0.0682074,0.00841852,0.0221178,0.00947011,0.00789116,0.0272397,0.00945765,0.0608083,0.0122162,0.0114067,0.00480694,0.0239182,0.00477804,0.00658301,0.018837,0.0130794,0.0291809,0.0174756,0.00623472,0.0119272,0,0,0,0,0
5,0.00568308,0.00483095,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185464,0.0117838,0.011987,0.00967361,0,0,0.0519603,0.0272828,0.0259322,0.0650681,0.0234568,0.044315,0.00777534,0.0087015,0.00876963,0.00939924,0.00616164,0.00437583,0.0348226,0.0114301,0.01234,0.00603266,0.0123268,0.0213834,0.0481015,0.0136872,0.0128733,0.0104031,0.0229026,0.0099693,0.00623631,0.00757611,0,0,0.0212284,0,0.0224144,0.00917248,0.0679643,0.00861407,0.0225371,0.0102584,0.00797214,0.0276082,0.0103666,0.0618226,0.013156,0.0124236,0.00573007,0.0243025,0.00502681,0.00776246,0.0186324,0.0129988,0.029513,0.0176926,0.00648363,0.0117522,0,0,0,0,0
6,0.00562852,0.00517755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177655,0.0124187,0.0121486,0.00930655,0,0,0.0507474,0.0271003,0.0254032,0.0649139,0.0229913,0.0442458,0.00794442,0.00869053,0.00866729,0.00944045,0.00653095,0.00438756,0.0347695,0.0112225,0.0118553,0.00591267,0.0126207,0.0203134,0.0469322,0.0135624,0.0130863,0.00952863,0.0233231,0.0111506,0.00619259,0.00721687,0,0,0.021104,0,0.0227533,0.008944,0.0676997,0.00844886,0.0227686,0.0110488,0.00806994,0.0280105,0.0111961,0.062887,0.0139932,0.0132878,0.00663291,0.0248236,0.00527443,0.00882068,0.0179017,0.0128922,0.0296107,0.017778,0.00686768,0.0116968,0,0,0,0,0
7,0.00556632,0.00551651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173487,0.0129286,0.0123035,0.00916397,0,0,0.0494991,0.0268806,0.0250806,0.0647213,0.0225621,0.0442478,0.00808264,0.00897674,0.00867819,0.00934416,0.00663002,0.00436958,0.0347712,0.0110074,0.0114116,0.00584078,0.012987,0.0197372,0.0455579,0.0135461,0.0131128,0.00814507,0.0239246,0.0119976,0.00619317,0.00681623,0,0,0.0208653,0,0.0229389,0.0088167,0.0673213,0.00792474,0.0229906,0.0120106,0.00840701,0.0282973,0.0120356,0.0640527,0.014831,0.0141042,0.00768773,0.0253723,0.00546689,0.00974625,0.0163696,0.0126325,0.0291697,0.017688,0.00728239,0.0117494,0,0,0,0,0
8,0.00744774,0.00565076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170707,0.0127476,0.0125791,0.00942265,0,0,0.0478444,0.0268326,0.0241275,0.0646706,0.0222038,0.0441699,0.00815447,0.00959092,0.00881259,0.00919026,0.00646677,0.00437834,0.0347249,0.0107816,0.0109695,0.00583107,0.0134046,0.0190641,0.0436938,0.0135112,0.0125688,0.0073076,0,0.0125426,0.00621557,0.00522244,0,0,0.0262076,0,0.00513862,0.0227915,0.067036,0.0065188,0.0233421,0.0131664,0.00911176,0.0257104,0.0128304,0.0652301,0.0157221,0.0148652,0.00867522,0.0260336,0.00551201,0.0101755,0.0142097,0.0125563,0.0432024,0.0351817,0.00687786,0.0138646,0,0,0,0,0
9,0.00519636,0.00631776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016922,0.0134193,0.0128625,0.00891244,0,0,0.0451697,0.0262344,0.0225406,0.0643876,0.0219576,0.0437413,0.00823327,0.00901163,0.00904451,0.00886992,0.00618995,0.00434722,0.0349278,0.0107057,0.0107675,0.00569442,0.0134602,0.0189509,0.0413107,0.0133995,0.0127435,0.00508637,0.0245174,0.0127397,0.00617695,0.00599176,0,0,0.0209434,0,0.0235856,0.00895141,0.0665899,0.00595275,0.0231826,0.0146745,0.00862823,0.0286709,0.013744,0.0665335,0.0168158,0.0158338,0.00956534,0.0266593,0.00558759,0.0104541,0.0119968,0.0125826,0.0287933,0.0174134,0.00833954,0.0116417,0,0,0,0,0
10,0.00514709,0.00636915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172203,0.0134066,0.0133417,0.00884771,0,0,0.0432882,0.0261126,0.021363,0.0642247,0.0219565,0.0435207,0.0084064,0.00919975,0.00934312,0.00871881,0.00605316,0.0044461,0.0349593,0.010865,0.011078,0.00574288,0.0133451,0.0193826,0.0395362,0.0134928,0.0124178,0.00454158,0.0241255,0.0126283,0.00602589,0.00542419,0,0,0.0209539,0,0.0230202,0.0090497,0.0662754,0.00570648,0.0232539,0.0163876,0.00891381,0.0288797,0.0145955,0.0676807,0.0180717,0.016935,0.0103245,0.0274355,0.00547851,0.0105571,0.0092047,0.0124793,0.0299664,0.0177376,0.00858198,0.0116888,0,0,0,0,0
