Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LILC,x77,
All Timesteps RMSE,0.013139,0.0105894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392265,0.0268442,0.0185228,0.0293466,0,0,0.0660763,0,0.0429478,0.0407805,0.0682178,0.0290091,0.0219447,0.0205347,0.0168378,0.0198098,0.0246463,0.0370689,0.0400934,0.0153947,0.0178395,0.010761,0.0208426,0.0503241,0.0543822,0.0261934,0.0310515,0.0275502,0.0214155,0.0159812,0.0148114,0.014318,0,0,0.0367056,0,0.0201108,0.0225298,0.0688787,0.0207409,0.0177801,0.0172166,0.0260711,0.0259254,0.0157498,0.0591579,0.0175429,0.0174374,0.0154982,0.0304452,0.0115884,0.0168596,0.0308491,0.0269141,0.0251617,0.0142099,0.0232257,0.0140463,0,0,0,0.0639102,0,0
0,0.00660825,0.00732349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454748,0.00838662,0.0090009,0.0212274,0,0,0.0254752,0,0.0327084,0.0129339,0.0767209,0.00641475,0.0276369,0.0214603,0.0111765,0.0208737,0.0339814,0.0192638,0.0248277,0.00992597,0.0230419,0.0045417,0.0124336,0.0531832,0.0260432,0.00915551,0.00994093,0.0229697,0.0173939,0.0111956,0.0065143,0.00856511,0,0,0.0078304,0,0.0223697,0.00593783,0.0661734,0.00632938,0.00613319,0.00697194,0.0199919,0.0158475,0.00495507,0.0549456,0.00405252,0.00627457,0.00812293,0.0254311,0.00783918,0.00708415,0.0252516,0.011852,0.0165429,0.00428002,0.00767021,0.00725367,0,0,0,0,0,0
1,0.00622475,0.00539971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458965,0.00843109,0.00916616,0.0210729,0,0,0.0248999,0,0.0325514,0.0126858,0.0765516,0.00595753,0.0280166,0.0208569,0.0107002,0.021149,0.0345359,0.0193981,0.0247602,0.00984566,0.0231913,0.00441261,0.0124505,0.0540483,0.0254766,0.00945569,0.00966987,0.0251139,0.0172699,0.011474,0.00627102,0.00826231,0,0,0.00734786,0,0.0224311,0.00618018,0.0661903,0.00651781,0.00645711,0.00551333,0.0194026,0.0156263,0.00439944,0.0558508,0.00335544,0.00475378,0.00703007,0.0258825,0.00765195,0.0062268,0.0276094,0.0114599,0.0160437,0.00444794,0.00737,0.00675561,0,0,0,0,0,0
2,0.00583846,0.00519037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464767,0.00856324,0.00928895,0.020212,0,0,0.0244287,0,0.0324455,0.0123968,0.076201,0.00567023,0.0281116,0.0204213,0.0104018,0.0214519,0.0350126,0.0192403,0.0246818,0.00971202,0.0231834,0.00428038,0.0124718,0.054721,0.0250301,0.00967065,0.00944298,0.0276109,0.0170584,0.011658,0.00631979,0.00791932,0,0,0.00697705,0,0.0223159,0.00648155,0.0663131,0.00648052,0.0068136,0.00431192,0.018992,0.015516,0.00421052,0.0568778,0.00332864,0.00389126,0.00641447,0.0266056,0.00783052,0.0061707,0.0303408,0.0112383,0.0157562,0.00454511,0.00706031,0.00652951,0,0,0,0,0,0
3,0.00549607,0.00524546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470839,0.00874093,0.00942335,0.018938,0,0,0.0240211,0,0.0324088,0.0121113,0.0757997,0.00542357,0.0279555,0.0200458,0.0101291,0.0216849,0.0352883,0.0190369,0.0246769,0.00949676,0.0230611,0.00417278,0.0125114,0.0553056,0.0246597,0.00980196,0.00928069,0.0306606,0.0169399,0.0119553,0.00640317,0.00760809,0,0,0.00661859,0,0.0223148,0.00701664,0.0664428,0.00689477,0.00713039,0.00403522,0.018608,0.0155152,0.00433491,0.0578918,0.00417546,0.00390485,0.00640855,0.0275296,0.00824326,0.00692681,0.0336513,0.0110372,0.0158837,0.00461559,0.00673869,0.00642867,0,0,0,0,0,0
4,0.00525778,0.00424846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472853,0.00872104,0.00955554,0.0180767,0,0,0.0235338,0,0.0322859,0.0117432,0.0754484,0.00537597,0.0274243,0.0198253,0.00991596,0.0217097,0.0350132,0,0.0247364,0.00916233,0.0226317,0.00426326,0.012545,0.0554007,0.0242305,0.00991867,0.00907049,0.0340293,0.0169813,0.0122624,0.00637842,0.00743436,0,0,0.00642893,0,0.0224292,0.00754844,0.0666771,0.00764164,0.00739065,0.00431958,0.0183689,0.0156133,0.00472251,0.0588154,0.0054906,0.00488663,0.00713916,0.0285489,0.00886579,0.00847977,0.0373226,0.0109379,0.0162575,0.00471863,0.00641001,0.00645239,0,0,0,0,0,0
5,0.00496064,0.00465647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480084,0.00858089,0.00974125,0.0175495,0,0,0.0232033,0,0.0321336,0.0115208,0.0751149,0.0053404,0.0272112,0.019549,0.010009,0.021775,0.0349053,0,0.0247973,0.008877,0.0225085,0.00431605,0.0124945,0.056175,0.0240156,0.00998676,0.00891732,0.0376132,0.0170419,0.0124892,0.00638844,0.00729052,0,0,0.00665615,0,0.0224773,0.00817001,0.0668246,0.00869318,0.00755707,0.0048751,0.0181507,0.0155519,0.00533505,0.0596063,0.00683626,0.00633032,0.00849996,0.0295432,0.00961249,0.0105867,0.0411675,0.0110102,0.016156,0.00495402,0.00614349,0.00661316,0,0,0,0,0,0
6,0.00446152,0.00111428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345891,0.00847598,0.0079918,0.00755652,0,0,0.0227845,0,0.031809,0.0112834,0.0661483,0.0090367,0.0153086,0.00713578,0.0109482,0.0155101,0.0259206,0,0.0310909,0.00613778,0.0156158,0.0035371,0.0114484,0.0415519,0.0239104,0.0102971,0.00856036,0.0382206,0.0149482,0.0124572,0.0054236,0.00821167,0,0,0.0111239,0,0.0254588,0.00726287,0.0693758,0.0093098,0.0169467,0.00521939,0.0092469,0.0107837,0.00481543,0.0590095,0.00733573,0.0063847,0.0103352,0.0315539,0.0104772,0.0122716,0.0417435,0.0116026,0.0147525,0.00620233,0.0039463,0.0124393,0,0,0,0.0457331,0,0
7,0.00478871,0.00444609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505839,0.00841848,0.0104761,0.0173517,0,0,0.0225727,0,0.0320028,0.0112226,0.0748668,0.00512709,0.0272319,0.0193698,0.00980233,0.0221799,0.0347962,0.0196307,0.0245478,0.00873039,0.0231201,0.0038746,0.0124106,0.0587956,0.0234599,0.0101307,0.00874375,0.0454506,0.0167117,0.0122,0.00719823,0.00764849,0,0,0.00726995,0,0.022514,0.009147,0.0670028,0.0119393,0.00774435,0.00631978,0.0181824,0.0155077,0.00702619,0.0608872,0.00902152,0.00950648,0.0122318,0.0317093,0.0111595,0.0155925,0.049866,0.0109227,0.0167864,0.00573174,0.00611949,0.00656249,0,0,0,0,0,0
8,0.00460643,0.00441007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513837,0.00850308,0.0108643,0.0170657,0,0,0.0222976,0,0.0320099,0.0110978,0.0747598,0.00512262,0.0269087,0.0191772,0.00993276,0.0220331,0.0342975,0.0198286,0.0243705,0.0086051,0.0231524,0.0038412,0.0123628,0.0598075,0.0233519,0.0100987,0.00870852,0.0493241,0.0167977,0.0120901,0.00721633,0.00761218,0,0,0.00754527,0,0.0227485,0.00957415,0.0671329,0.0136155,0.00786145,0.00708268,0.0180725,0.0153868,0.00787944,0.0613721,0.00992302,0.0110286,0.0141378,0.0325674,0.0119146,0.0179326,0.0541354,0.0107807,0.0174158,0.00645906,0.00570262,0.00670221,0,0,0,0,0,0
9,0.00440994,0.00567996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521125,0.0084722,0.0111585,0.0167304,0,0,0.0222132,0,0.0321183,0.0109702,0.0745988,0.00520712,0.0264376,0.0191191,0.0103617,0.0218924,0.033587,0.0199999,0.024237,0.00838938,0.0229919,0.003873,0.0123323,0.0606324,0.0235286,0.0101195,0.00865535,0.0531507,0.0169988,0.0118348,0.00653593,0.00748265,0,0,0.00769212,0,0.0230165,0.009919,0.0672747,0.0154052,0.00805429,0.00759118,0.0180235,0.0151491,0.00854648,0.0617294,0.0106299,0.0123604,0.0159762,0.0332576,0.0126818,0.0201138,0.0582962,0.0105606,0.0179448,0.00713944,0.00537155,0.00695825,0,0,0,0,0,0
10,0.00423038,0.00622746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530503,0.00848823,0.0113984,0.0162351,0,0,0.0220693,0,0.0322436,0.0108506,0.0745784,0.00529747,0.0260256,0.0190833,0.0106236,0.0218614,0.0328896,0.0202105,0.0241298,0.00809963,0.022741,0.00391868,0.0123501,0.0615333,0.0235778,0.0101321,0.00857959,0.0569345,0.0171478,0.0116274,0.00640142,0.00732661,0,0,0.00789637,0,0.0233472,0.010204,0.0674488,0.0171997,0.00822738,0.00774645,0.0179629,0.0150197,0.00917626,0.0621073,0.0112629,0.0134825,0.0175764,0.0338835,0.0132107,0.0219401,0.0624024,0.0104791,0.0181975,0.00771923,0.00527641,0.00712123,0,0,0,0,0,0
11,0.00406199,0.00620565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538804,0.00864009,0.0116468,0.0156959,0,0,0.0218427,0,0.0323815,0.0106863,0.0746269,0.00547242,0.0256049,0.0190663,0.0107043,0.0218835,0.032222,0.0204005,0.0240774,0.00780945,0.0224286,0.00394261,0.0123972,0.0625225,0.0234692,0.0101519,0.00850601,0.0603227,0.0168698,0.0115649,0.00650192,0.00717626,0,0,0.00815769,0,0.023298,0.0105283,0.0676232,0.0190194,0.00837117,0.00828185,0.0179193,0.014919,0.00999824,0.0624516,0.0118568,0.0143651,0.0189352,0.0343211,0.0135604,0.023457,0.0661833,0.0105299,0.0181058,0.00829041,0.00524104,0.00716325,0,0,0,0,0,0
12,0.00395848,0.00620161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054919,0.00911377,0.0117764,0.0154934,0,0,0.0216787,0,0.0325184,0.0104824,0.0745808,0.00542213,0.0252736,0.0191202,0.0105598,0.0217464,0.0315666,0.0206285,0.0241075,0.00748912,0.0220331,0.00394815,0.012477,0.0636244,0.0234099,0.0100028,0.00839319,0.0628401,0.016631,0.0116681,0.00670535,0.00708686,0,0,0.00829202,0,0.0231392,0.0108626,0.0677189,0.0206246,0.00839748,0.00910568,0.0179148,0.0147926,0.0110701,0.0627432,0.0124417,0.0150238,0.0201278,0.0345804,0.0138197,0.0247852,0.0691491,0.0104611,0.0179439,0.00879834,0.00536269,0.0071072,0,0,0,0,0,0
13,0.0128316,0.00967458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708814,0.011892,0.0149782,0.0326041,0,0,0.0168413,0,0.0302048,0.00749785,0,0.0131417,0.0396038,0.0257663,0.00816504,0.0301021,0.0415955,0.0318845,0.0186563,0.014612,0.0306274,0.0100122,0.0176539,0.0814804,0.0201402,0.0108284,0.00688039,0.0677862,0.0194398,0.0121123,0.00731873,0.0175455,0,0,0.0135311,0,0.0200778,0.0176418,0.0654296,0.0241546,0.00318516,0.00997293,0.022796,0.0226069,0.0138502,0.0632763,0.0133022,0.0178061,0.0228623,0.035296,0.015208,0.0285791,0.0751509,0.0136343,0.019683,0.0122224,0.00740088,0.0106997,0,0,0,0,0,0
14,0.0126472,0.00873006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718681,0.0118531,0.0153,0.0320673,0,0,0.0166449,0,0.0301247,0.00736335,0,0.0133361,0.0393097,0.0255643,0.00787508,0.0299509,0.0408525,0.0320973,0.0189313,0.0144268,0.03023,0.0102272,0.0177882,0.0825452,0.0199257,0.0108071,0.00675536,0.0662772,0.0192733,0.0118969,0.00726558,0.0172805,0,0,0.0134558,0,0.0201543,0.0176412,0.0655291,0.0235318,0.00322288,0.01061,0.0224191,0.0225584,0.0142352,0.0635958,0.0139566,0.018137,0.0239213,0.0354518,0.0156474,0.0294649,0.0733485,0.0135135,0.0195544,0.0120239,0.0075399,0.0104626,0,0,0,0,0,0
15,0.0111984,0.0070375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051785,0.0111732,0.0207135,0.0273217,0,0,0.0176475,0,0.0307066,0.00781053,0,0.0298508,0.0373518,0.0282557,0.00765573,0.0352951,0.0346452,0.0320514,0.0183935,0.0266822,0.0190588,0.0214683,0.0247013,0.0062706,0.0204684,0.0106139,0.00672971,0.0625274,0.0186049,0.0113412,0.00375806,0.0155077,0,0,0.0118777,0,0.0208273,0.0159948,0.0661929,0.0212181,0.00457082,0.0116708,0.0231375,0.0206543,0.0142914,0.0637265,0.014636,0.0182339,0.024572,0.0357565,0.0158157,0.0294961,0.06882,0.0125673,0.018332,0.0108038,0.00702365,0.00916981,0,0,0,0,0,0
16,0.0126037,0.00895171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743861,0.0117218,0.0160394,0.0298465,0,0,0.0170395,0,0.0302709,0.00745022,0,0.0135383,0.0392822,0.0248942,0.0075743,0.0296779,0.0396986,0.0328149,0.0194293,0.0143512,0.0299525,0.0104644,0.0180214,0.0853381,0.0203,0.0109014,0.00636336,0.0597987,0.0193936,0.0105502,0.00657911,0.0169532,0,0,0.0140697,0,0.0203713,0.0175255,0.0654287,0.0204386,0.00292843,0.0125682,0.0215155,0.0223846,0.0153751,0.06438,0.0151327,0.0191833,0.0257296,0.0360801,0.0162539,0.030449,0.0657179,0.0136759,0.018241,0.0110687,0.00753856,0.0102598,0,0,0,0,0,0
17,0.0125204,0.00985856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074977,0.0114197,0.0162987,0.0300569,0,0,0.0172499,0,0.0304944,0.00762149,0,0.0136214,0.0389374,0.0246445,0.00778633,0.0294305,0.0388152,0.0329626,0.0197044,0.014311,0.0297003,0.0106472,0.0181255,0.0860729,0.0206279,0.0108986,0.00626523,0.0553838,0.0191409,0.00978766,0.00664431,0.0166765,0,0,0.0142432,0,0.020207,0.0172748,0.0657393,0.0180943,0.00296925,0.0138441,0.0210093,0.0223077,0.0157115,0.0646958,0.0158014,0.0196174,0.0259323,0.0362072,0.0159085,0.0300472,0.0606715,0.0137495,0.0181325,0.0104855,0.007825,0.0103427,0,0,0,0,0,0
18,0.0126547,0.0101696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753378,0.0112144,0.0166691,0.0312331,0,0,0.0175213,0,0.0306121,0.00779842,0,0.0138396,0.0386845,0.024855,0.00813063,0.0294811,0.0383181,0.0332182,0.0197935,0.0145054,0.0296232,0.0110331,0.0183035,0.0864473,0.0209543,0.0107982,0.00614653,0.0505029,0.018899,0.00898682,0.00772341,0.016807,0,0,0.0147139,0,0.0199164,0.0173904,0.06608,0.0153202,0,0.0152607,0.0211674,0.0228131,0.0159233,0.0651603,0.0167498,0.0198782,0.0253941,0.0359647,0.0151553,0.0288434,0.0550534,0.0141929,0.0176657,0.0102582,0.00858807,0.0107463,0,0,0,0,0,0
19,0.0125271,0.0102751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757378,0.0111451,0.0167413,0.0307822,0,0,0.0174006,0,0.0306206,0.00775906,0,0.0136072,0.0380412,0.0245711,0.00819249,0.0289061,0.0374429,0.0330563,0.020226,0.0141673,0.0292215,0.0110058,0.0182083,0.0866304,0.0209415,0.010704,0.00603741,0.0461084,0.0189104,0.0082019,0.00699411,0.0162586,0,0,0.0143849,0,0.020006,0.0168644,0.0664389,0.0131156,0.00318433,0.0165733,0.0204122,0.022474,0.0163405,0.0655282,0.0177032,0.0200787,0.0248673,0.0358419,0.0145253,0.0276622,0.0499546,0.0140621,0.0170606,0.00961454,0.00841447,0.0104152,0,0,0,0,0,0
20,0.0126296,0.00977322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765148,0.0109965,0.0168156,0.030587,0,0,0.0172991,0,0.0306023,0.00769712,0,0.0137051,0.0379871,0.0246792,0.00835852,0.0287078,0.0369479,0.0331976,0.0204007,0.014069,0.0290573,0.011078,0.0182568,0.0872374,0.0210235,0.0106537,0.00589367,0.0420819,0.0188291,0.00753556,0.00692885,0.016165,0,0,0.0145896,0,0.01982,0.0167706,0.0666363,0.0110631,0.00322171,0.017791,0.0203508,0.0226138,0.0167471,0.0661089,0.018896,0.0201008,0.0239417,0.035564,0.0137706,0.0261,0.0451709,0.0142987,0.0166356,0.00909188,0.00861046,0.0103383,0,0,0,0,0,0
21,0.0127027,0.00958687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771846,0.0108189,0.0169128,0.0304468,0,0,0.0171757,0,0.030538,0.0076039,0,0.0138659,0.0379243,0.0247741,0.00861936,0.0285247,0.0365198,0.0333336,0.0205424,0.0139836,0.0288624,0.0111061,0.0183436,0.0878978,0.0212163,0.0106223,0.00563627,0.0385556,0.0186794,0.00698985,0.00707201,0.0160892,0,0,0.0146851,0,0.0196179,0.0167408,0.0667685,0.00949285,0.00326525,0.0187799,0.0203463,0.022668,0.0171687,0.0667528,0.0201093,0.019989,0.0229692,0.0353546,0.0131241,0.024544,0.0411104,0.0145173,0.016355,0.00871384,0.00869098,0.0101966,0,0,0,0,0,0
22,0.0127069,0.0099568,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771045,0.0105637,0.016999,0.0302867,0,0,0.017002,0,0.0303881,0.00747143,0,0.0141006,0.0377318,0.0248549,0.00905512,0.0283361,0.0360812,0.0333126,0.0206697,0.0139729,0.0285657,0.0111388,0.0184103,0.088337,0.0214098,0.0105426,0.0052965,0.035772,0.0186425,0.0065581,0.00720517,0.0159505,0,0,0.0145778,0,0.0195075,0.0166119,0.0669215,0.00838349,0.00328946,0.0196276,0.0203662,0.0227053,0.0175859,0.0673962,0.0207213,0.0197702,0.0220757,0.0351817,0.0126023,0.0231841,0.0377294,0.0145858,0.0162908,0.00846209,0.00878362,0.0100802,0,0,0,0,0,0
23,0.0126434,0.0103919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771967,0.0105103,0.0169585,0.0306417,0,0,0.017113,0,0.0305237,0.007508,0,0.0144294,0.0374318,0.0249661,0.00953577,0.0281717,0.0356311,0.0332103,0.0207688,0.0139838,0.0281376,0.0112062,0.0184648,0.0885827,0.021857,0.0104961,0.00508807,0.0334493,0.0186066,0.00624685,0.00733814,0.0157607,0,0,0.0144945,0,0.0193908,0.0164843,0.0671914,0.00762705,0.0034919,0.0201476,0.020429,0.0226729,0.0178751,0.0679493,0.0211153,0.0194159,0.0212866,0.0350428,0.0122027,0.0219666,0.0348941,0.0146201,0.0163734,0.00828477,0.00888284,0.00997122,0,0,0,0,0,0
24,0.012602,0.0105955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774704,0.0104103,0.0168714,0.0310091,0,0,0.0172849,0,0.0304779,0.00756462,0,0.0148161,0.0371586,0.025077,0.00985215,0.0280218,0.0352613,0.0331007,0.0208204,0.0139363,0.0277421,0.0112724,0.018517,0.0888922,0.0222638,0.0103957,0.0049367,0.0315354,0.0185609,0.00598009,0.0074534,0.0155838,0,0,0.0144423,0,0.0192893,0.016362,0.0674212,0.00709355,0.00381086,0.0204359,0.0205463,0.0225317,0.0180776,0.0683339,0.0214613,0.0189687,0.02058,0.0348729,0.0119343,0.0210399,0.0327658,0.0146474,0.0165561,0.00813963,0.00895954,0.00986064,0,0,0,0,0,0
25,0.0126142,0.0105261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780805,0.010396,0.0168189,0.0311963,0,0,0.0175236,0,0.0304081,0.00766743,0,0.0152499,0.0370159,0.0252479,0.0100523,0.0279133,0.0350007,0.0329924,0.0207796,0.0138943,0.0274471,0.0113339,0.0185475,0.0890965,0.0227046,0.010321,0.0047884,0.0299792,0.0185608,0.00573894,0.0074753,0.0154428,0,0,0.0143245,0,0.0192346,0.016291,0.0675606,0.00674683,0.00407201,0.0205854,0.0207688,0.0224204,0.0181634,0.0685642,0.0217674,0.0184973,0.0200276,0.0346687,0.0117818,0.0204407,0.0312407,0.0146869,0.0166325,0.00808288,0.00906501,0.00981111,0,0,0,0,0,0
26,0.012651,0.0103182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786435,0.0103675,0.0167199,0.0312451,0,0,0.0181901,0,0.0302152,0.00803704,0,0.015788,0.0370826,0.0254323,0.0103368,0.0278688,0.0348885,0.0329504,0.020643,0.0138805,0.0273219,0.011406,0.0185656,0.0895156,0.0234875,0.0102676,0.00464874,0.0287722,0.0185776,0.00557634,0.00733906,0.0153672,0,0,0.0143451,0,0.0192049,0.0163453,0.0676748,0.0065978,0.00424594,0.0205023,0.0211042,0.0223501,0.0181425,0.0688112,0.0218621,0.0180092,0.0195814,0.0344504,0.0116834,0.0200968,0.0300142,0.0147942,0.0167313,0.00814071,0.00925504,0.00979904,0,0,0,0,0,0
27,0.0126566,0.0102351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789163,0.0103522,0.0165847,0.0312824,0,0,0.0187396,0,0.029898,0.00836917,0,0.0164263,0.0371809,0.0255766,0.0106945,0.0278204,0.034834,0.0328279,0.0204533,0.0138734,0.0272207,0.0114536,0.0185615,0.089862,0.0241102,0.0101112,0.00472889,0.0277979,0.0185479,0.00548276,0.00709348,0.0152426,0,0,0.0144316,0,0.019093,0.0164388,0.0677877,0.00657006,0.00437993,0.0202395,0.0214242,0.0222068,0.0180512,0.0690793,0.0217791,0.0174612,0.0192794,0.0342657,0.0116296,0.0199665,0.0289842,0.0149223,0.016873,0.00824243,0.00952776,0.00984764,0,0,0,0,0,0
