Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LASI,LILC,LGTR,
All Timesteps RMSE,0.0120411,0.0120036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037342,0.0416275,0.0177926,0,0,0.0514514,0,0.0331038,0.0362638,0.032492,0.0236412,0.0152213,0.0192822,0.0493879,0.0248978,0.0233085,0.049141,0.0193317,0.0177916,0.0104836,0.0230321,0.0492352,0.0471799,0.0220232,0.0341177,0.0257171,0.0211248,0.0162633,0.0213005,0.0118421,0,0,0.0376619,0,0.0211443,0.0232854,0.0710077,0.0192768,0.0221223,0.0215911,0.0223033,0.0250588,0.0161014,0.0543422,0.0204997,0.0200011,0.0195258,0.0330416,0.0175177,0.0190163,0.0285269,0.0285326,0.0849445,0.0142703,0.0144266,0.0121497,0,0,0,0.0375766,0.0487646,0.0632121,0
0,0.0169678,0.00924895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542416,0.0140314,0.0188843,0,0,0.0172543,0,0.0231557,0.0116483,0.0157622,0.0267741,0.0308447,0.0144795,0.0223737,0.0289375,0.0195665,0.0193446,0.0175409,0.0267604,0.0144008,0.0213007,0.0612683,0.0228151,0.0184942,0.00636694,0.00609662,0.023516,0.00757878,0.00868208,0.0197449,0,0,0.013963,0,0.0163513,0.0153469,0.0655507,0.00857762,0.0136473,0.00790507,0.028365,0.0170692,0.00963769,0.0613083,0.0130949,0.0115047,0.00385119,0.0304941,0.0049929,0.00446482,0.00784555,0.012402,0.0239997,0.0126431,0.00945199,0.0114062,0,0,0,0,0,0,0
1,0.0173158,0.00950988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500794,0.014186,0.0173254,0,0,0.0165395,0,0.0228826,0.0114075,0.0175668,0.0271071,0.0288287,0.0134285,0.0226593,0.0292047,0.0198882,0.0190927,0.0174087,0.0257636,0.0141199,0.0215258,0.0570513,0.0215423,0.0184891,0.00647704,0.00473331,0.0231535,0.00784289,0.00819595,0.019486,0,0,0.0139864,0,0.0168102,0.0159507,0.0659207,0.0105401,0.013778,0.00546797,0.0271069,0.0172687,0.00916517,0.0600404,0.0109868,0.0101577,0.00377005,0.0294805,0.0056293,0.0051372,0.00523389,0.0130879,0.0233121,0.0125864,0.0080719,0.0112568,0,0,0,0.0411626,0,0,0
2,0.0178194,0.00988749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462215,0.0144528,0.0162565,0,0,0.0162209,0,0.0224195,0.0115981,0.0186888,0.0269241,0.0286886,0.0140205,0.0226242,0.0289286,0.0199202,0.0194166,0.0171424,0.0246338,0.0138864,0.0215577,0.052866,0.0212415,0.0178838,0.00667923,0.00377591,0.0231162,0.00759815,0.00824145,0.0200558,0,0,0.0144114,0,0.0169572,0.0168726,0.0661864,0.0109326,0.0140096,0.00409885,0.0274238,0.0179725,0.00862896,0.0595416,0.00978488,0.00923143,0.0042206,0.0291156,0.00586782,0.00486023,0.00342725,0.0140947,0.0226973,0.0128299,0.00824452,0.0119844,0,0,0,0.0411343,0,0,0
3,0.00846779,0.00829871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222163,0.0104983,0.0128879,0,0,0.0219915,0,0.0257182,0.0139206,0.0175162,0.0157507,0.0114419,0.0162346,0.0171916,0.0203714,0.0123732,0.0299406,0.00907717,0.011594,0.0083947,0.0180451,0.0268976,0.0247895,0.015923,0.00464637,0.00641965,0.0174742,0.00769612,0.00811959,0.00927092,0,0,0.00922004,0,0.0234492,0.0102577,0.0697713,0.00966997,0.00727567,0.00503646,0.00894306,0.00536798,0.00586299,0.0582115,0.00979727,0.00869121,0.00322942,0.0317975,0.00530105,0.00233013,0.0083692,0.0038766,0.018185,0.00931925,0.00532115,0.00788053,0,0,0,0.014543,0.0683459,0,0
4,0.00839441,0.00826381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018215,0.0102926,0.0123947,0,0,0.0214124,0,0.0257107,0.013396,0.0179753,0.0156363,0.0116224,0.0169319,0.0171115,0.0201506,0.0130154,0.0307223,0.00877066,0.0102043,0.00847646,0.0181198,0.0220315,0.0244638,0.0157401,0.00446915,0.0038621,0.0175854,0.00675971,0.00796753,0.00892124,0,0,0.00867435,0,0.0236726,0.0112456,0.0698392,0.00937184,0.00735643,0.00447032,0.00954286,0.00594943,0.00432886,0.0588095,0.00893646,0.00727506,0.00272054,0.0317165,0.00477944,0.00243074,0.00533894,0.00472267,0.0183127,0.00983445,0.005246,0.00769648,0,0,0,0.0149186,0.0688877,0,0
5,0.0184159,0.0107412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333002,0.0144403,0.0132817,0,0,0.0143312,0,0.0223589,0.0107499,0.0215772,0.0266311,0.0295864,0.0163082,0.0225238,0.0289726,0.0206466,0.0213645,0.0159141,0.0206258,0.0126505,0.0212296,0.038177,0.0205203,0.0175654,0.00706991,0.00599687,0.0234402,0.00512473,0.00845611,0.0217694,0,0,0.0178353,0,0.0173553,0.0203463,0.0664936,0.010284,0.0143547,0.00280038,0.0293378,0.0204758,0.00573486,0.0612407,0.00781027,0.00520924,0.00314153,0.0287506,0.00468773,0.00262863,0.00400947,0.0182667,0.0220931,0.0141891,0.00950781,0.0131862,0,0,0,0.0423462,0,0,0
6,0.0082248,0.00836879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102125,0.0102798,0.0124802,0,0,0.0213037,0,0.026141,0.0131487,0.0183091,0.0152488,0.011121,0.0161267,0.0168702,0.0196722,0.0145568,0.0325075,0.00853052,0.00782485,0.00872017,0.0185688,0.0119613,0.0245783,0.0160822,0.00447651,0.00212434,0.0180405,0.00544975,0.00767466,0.00869987,0,0,0.00912213,0,0.024379,0.0139002,0.0698735,0.00904391,0.00669511,0.00441585,0.00995383,0.00720313,0.002784,0.0598841,0.00815788,0.00605076,0.00241877,0.0312703,0.00388954,0.00431221,0.00162855,0.00731001,0.0185949,0.0114668,0.00521617,0.00772669,0,0,0,0.0160327,0.0698459,0,0
7,0.00837731,0.00863018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100966,0.010344,0.0131841,0,0,0.0211121,0,0.025838,0.0129223,0.018469,0.0146556,0.0108235,0.0147952,0.0162546,0.0190739,0.0150841,0.0335852,0.00859652,0.0074108,0.00871837,0.0186785,0.00990777,0.0245871,0.0163406,0.00458415,0.00246342,0.0183304,0.00529618,0.00734385,0.00852603,0,0,0.00940233,0,0.0245422,0.0150056,0.0700051,0.00887234,0.005623,0.00475013,0.00969958,0.00779528,0.00285108,0.0600172,0.00827509,0.00583519,0.00289257,0.03114,0.00400095,0.00493942,0.00166934,0.00834981,0.0191015,0.0122435,0.00547268,0.00760978,0,0,0,0.0164181,0.0697315,0,0
8,0.00842755,0.00879974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132878,0.0105639,0.0145042,0,0,0.0204988,0,0.0256247,0.0125741,0.0188948,0.0139148,0.0104951,0.0143007,0.0155965,0.0183867,0.0154665,0.0345083,0.00889378,0.00791806,0.00880928,0.0187977,0.0116939,0.0243776,0.0164985,0.00468928,0.00314558,0.0186511,0.0052273,0.00719503,0.00812847,0,0,0.00981774,0,0.0246041,0.0160097,0.0701644,0.00867454,0.00497896,0.0052058,0.00955935,0.00849099,0.00327057,0.0600092,0.00869989,0.00581321,0.00341762,0.0313553,0.00454945,0.0052708,0.00233464,0.00926184,0.0197511,0.0128807,0.00574488,0.00711683,0,0,0,0.0171043,0.069614,0,0
