Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LTHI,,LEAR
All Timesteps RMSE,0.0165161,0.0131382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383109,0.0120824,0.0188924,0.0323503,0,0.0207628,0,0.0295949,0.0133182,0.0473771,0.0256072,0.0285524,0.0259217,0.0218962,0.0153434,0.0280115,0.0270159,0.0530043,0.0185374,0.0210691,0.0137221,0.0201045,0.0486519,0.02012,0.0132902,0.00931741,0.0301701,0.0202683,0.0237177,0.020801,0.0227434,0,0,0.0597917,0,0.0221089,0.0364175,0.0672861,0.0342858,0.0257574,0.0190883,0.0200221,0.0215296,0.0156433,0.0596594,0.0192382,0.0214303,0.0197269,0.0236351,0.0191742,0.0237227,0.0361568,0.0377478,0.025906,0.0177336,0.0148186,0.027343,0,0,0,0.0218213,0,0
0,0.0163872,0.00364105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197796,0.00828253,0.0193548,0.0279991,0,0.0310168,0,0.0342972,0.0190134,0.0544431,0.0211223,0.0335147,0.0085873,0.0180822,0.00779898,0.0131245,0.0128493,0.0444893,0.0175963,0.0196333,0.0138892,0.0163207,0.0208835,0.0279683,0.0119996,0.00993122,0.0357629,0.0161669,0.0312609,0.0164507,0.0255707,0,0,0.0675914,0,0.0218792,0.0430639,0.0717973,0.0282077,0.0244266,0.0214097,0.0152743,0.0132257,0.0112004,0.0485649,0.0178787,0.0119772,0.0295657,0.0289679,0.0273236,0.0283919,0.0355903,0.0418959,0.00657192,0.0179884,0.00936735,0.0295816,0,0,0,0,0,0
1,0.0164802,0.00328688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020331,0.0084348,0.0190394,0.0275937,0,0.03037,0,0.0346911,0.0184314,0.0547396,0.0206746,0.0339446,0.00814212,0.0185215,0.00750319,0.0124639,0.012839,0.0441765,0.0175466,0.0192641,0.0138299,0.0162552,0.0219265,0.027655,0.011516,0.00957559,0.0361164,0.0159066,0.0317103,0.0165747,0.0257135,0,0,0.0637663,0,0.0221628,0.0404498,0.0716833,0.0283608,0.0243979,0.0218221,0.0155967,0.013617,0.0120623,0.0484989,0.0184988,0.0133338,0.0302397,0.0291788,0.0279415,0.0292253,0.0358239,0.0400113,0.00666479,0.0166275,0.0093895,0.0295899,0,0,0,0.00902859,0,0
2,0.0169411,0.00273465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211048,0.00847838,0.0192824,0,0,0.0299221,0,0.0348182,0.018244,0.0547944,0.0208952,0.0340802,0.00835159,0.020264,0.00730984,0.012047,0,0.0441026,0.0178962,0.0195299,0.0139765,0.016233,0.0227211,0.0276413,0.0113746,0.00935323,0.0303427,0.0157824,0.0235594,0.0171152,0.0264885,0,0,0.0645202,0,0.0227366,0.0413886,0.0710228,0.0187864,0.024597,0.0198615,0.0168589,0.0148758,0.0132335,0.0491541,0.0175718,0.0151313,0.0252658,0.0251821,0.0211577,0.0240902,0.0297118,0.041355,0.00667028,0.0172046,0.00954272,0.0302713,0,0,0,0.00868341,0,0
3,0.0169763,0.0022731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215567,0.00837896,0.0190976,0.0289746,0,0.0291828,0,0.0348879,0.0176193,0.0550323,0.0206855,0.0344124,0.0080801,0.0210272,0.00712582,0.0115703,0.0127906,0.0434295,0.0175931,0.0193299,0.0138292,0.0160325,0.0234218,0.0272276,0.0109221,0.0089966,0.0345646,0.0159613,0.0287811,0.0168899,0.026604,0,0,0.0644414,0,0.0234122,0.0412869,0.0715647,0.026142,0.0249748,0.017997,0.0173647,0.0153315,0.0119695,0.0491589,0.0157793,0.012818,0.0243633,0.0279461,0.0227326,0.0233017,0.0344004,0.0414798,0.00733354,0.016929,0.00936606,0.0303568,0,0,0,0.00820883,0,0
4,0.016506,0.00224619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234027,0.0083292,0.0192671,0.0266545,0,0.0293076,0,0.035474,0.0176695,0.0556637,0.0209166,0.0344438,0.0079448,0.0191159,0.00703904,0.0104888,0.0129222,0.0430181,0.0174577,0.0192315,0.0134982,0.0155312,0.0258356,0.0274076,0.0105178,0.0091119,0.035263,0.0158169,0.0299644,0.0168712,0.0258732,0,0,0.06505,0,0.0239484,0.0418312,0.0716802,0.0276422,0.0254866,0.0180365,0.0166513,0.0160069,0.0117459,0.0489806,0.0157434,0.0126928,0.0242898,0.0283054,0.0231842,0.0234154,0.0352095,0.0422676,0.00780709,0.017077,0.00892205,0.0295608,0,0,0,0.00738133,0,0
5,0.0148563,0.00591616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259388,0.00913695,0.0183907,0,0,0.0258822,0,0.0340125,0.0154438,0.0585281,0.0201479,0,0.00646572,0.0279214,0.004103,0.00740533,0,0.0403863,0.0152984,0.016983,0.0108851,0.0136966,0.0291839,0.0252398,0.0111966,0.00740699,0.0267025,0.0165581,0.0284079,0.0345614,0.0243176,0,0,0.0647303,0,0.0205448,0.0406151,0.068631,0.031123,0,0.0173417,0.0333961,0.0149128,0.00936388,0.050753,0.0156406,0.00853347,0.0204702,0.0254283,0.0203236,0.0195751,0.0285812,0.041946,0.00632073,0.0145992,0.0132163,0.0306999,0,0,0,0.00545543,0,0
6,0.0139135,0.00267196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238034,0.00794936,0.0167001,0,0,0.0286008,0,0.0357793,0.0176673,0.0616365,0.0188225,0,0.00644651,0.0241825,0.00555867,0.0048577,0,0.0365266,0.012368,0.0137346,0.00804005,0.012916,0.0261833,0.0271578,0.0102087,0.00916596,0.0357902,0.0157918,0.031307,0.0216056,0.0217885,0,0,0.0655923,0,0.021759,0.0417485,0.0694287,0.0292163,0.0205319,0.0187671,0.0176193,0.0164676,0.0125138,0.051485,0.0165974,0.0142948,0.0251775,0.0262777,0.0240591,0.0244805,0.03565,0.0434741,0.0078027,0.0154408,0.00915469,0.0275031,0,0,0,0.00597524,0,0
7,0.0113982,0.0141197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344103,0.00776652,0.0214832,0,0,0.0269137,0,0.0362039,0.0177171,0.0651147,0.0227541,0.0512898,0.00989413,0.042657,0.00619154,0.00428877,0.0160599,0.0396133,0.0135196,0.015753,0.00974307,0.0127293,0.0382739,0.0248368,0.00990041,0.0091191,0.043099,0.0151067,0.0473315,0.0313896,0.0105295,0,0,0.0651496,0,0.0242587,0.0422838,0.0667212,0.0610814,0.0276282,0.022302,0.0318127,0.0137002,0.00432032,0.0507264,0.0195356,0.00807105,0.0301218,0.0330608,0.0345051,0.0350095,0.0566916,0.0420738,0.00985348,0.0168049,0.0200463,0.0085376,0,0,0,0.00867041,0,0
8,0.0126322,0.0108528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397209,0.00895173,0.0215313,0,0,0.023546,0,0.0334635,0.0152051,0.0641901,0.021999,0.0511027,0.00882143,0.0354987,0.00627697,0.00394939,0,0.0388704,0.0130429,0.0162516,0.00914409,0.0116478,0.0452844,0.0231668,0.0117197,0.00622809,0.0475828,0.0151714,0.0460981,0.0300248,0.0128728,0,0,0.0644851,0,0.0231727,0.0413287,0,0.0639617,0.0286311,0.0222893,0.0206443,0.0128671,0.0117193,0.0401537,0.0217884,0.00806926,0.0235747,0.0351549,0.030039,0.0312332,0.0642178,0.0414399,0.0104095,0.0157113,0.0162908,0.0105251,0,0,0,0.00606682,0,0
