Timestep,C7,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,CLAV
All Timesteps RMSE,0.0174096,0.0477759,0.0113953,0.0261319,0.00947966,0,0,0.0214623,0,0.0245938,0.0132006,0.0411638,0.0308285,0.0190892,0.020811,0.0220111,0.0167695,0.0165628,0.0245248,0.0182535,0.0572724,0.0180218,0.0259699,0.0153746,0.0146085,0.0605485,0.0163131,0.011015,0.0069746,0.0277571,0.018595,0.0155571,0.0101323,0.0108676,0,0,0.0271013,0,0.0176256,0.0172366,0.0616202,0.0224366,0.0212173,0.0108523,0.0149885,0.0162405,0.00957483,0.0513359,0.0111804,0.0124262,0.0129936,0.0150725,0.0104328,0.0153991,0.0348726,0.0169268,0.00918364,0.00708372,0.0228212,0.00833765,0,0,0,0,0,0,0,0,0.0230268
0,0.0227952,0.0235208,0.0109933,0.0174966,0.00593262,0,0,0.0179318,0,0.0225863,0.0146964,0.0382242,0.0251659,0.0202053,0.00615042,0.0208588,0.0250704,0.00354539,0.00710946,0.00367041,0.0483014,0.0134343,0.0127749,0.0141272,0.0158787,0.0285069,0.0160987,0.0111128,0.0085088,0.015499,0.0159884,0.0157366,0.00924636,0.0137371,0,0,0.0408183,0,0.0203809,0.0240028,0.0608359,0.0171688,0.0188726,0.0125182,0.0184479,0.0180967,0.0125848,0.0512644,0.0111954,0.0132894,0.00960049,0.0177001,0.0103596,0.0111175,0.0135831,0.0223953,0.0103579,0.00995455,0.0288627,0.00959732,0,0,0,0,0,0,0,0,0
1,0.0221899,0.0186462,0.0108452,0.017786,0.00419189,0,0,0.0187907,0,0.0227226,0.014807,0.0381441,0.0257482,0.0200338,0.00572948,0.0206695,0.0245826,0.00392516,0.00717897,0.00376068,0.0486333,0.0128608,0.0124379,0.013953,0.0148951,0.0223083,0.0167251,0.0110926,0.00867253,0.0128487,0.0158586,0.0134575,0.00728012,0.0135776,0,0,0.0404417,0,0.02064,0.0236939,0.0593895,0.014498,0.0188851,0.0132307,0.0173016,0.018294,0.0108641,0.0511016,0.0121875,0.0112794,0.0102503,0.01785,0.0117354,0.0108698,0.0132034,0.0219503,0.0103235,0.00992309,0.0285065,0.00916593,0,0,0,0,0,0,0,0,0
2,0.0212742,0.0154916,0.0106223,0.0194922,0.00406255,0,0,0.0200415,0,0.0228095,0.015044,0.037981,0.0270376,0.0201862,0.00588362,0.0207328,0.0242657,0.00490972,0.00785213,0.00520104,0.0497654,0.0123939,0.0126232,0.0141863,0.014599,0.015493,0.0176575,0.011035,0.00894582,0.0145592,0.0157979,0.012045,0.00645008,0.0127729,0,0,0.0402687,0,0.0207508,0.0234923,0.0596503,0.0138373,0.0197716,0.0137425,0.0170533,0.017996,0.0105105,0.0507784,0.0135667,0.0113198,0.0123305,0.0172247,0.0123507,0.0131265,0.0154835,0.0214582,0.0104113,0.00978364,0.028267,0.00809092,0,0,0,0,0,0,0,0,0
3,0.0203241,0.0154788,0.0104496,0.0226222,0.00470203,0,0,0.0213493,0,0.0229588,0.0153678,0.0377553,0.0284546,0.0206617,0.00717931,0.0209122,0.0240599,0.00607199,0.00881649,0.00786022,0.0511925,0.0123188,0.0141453,0.0145847,0.0144192,0.00742095,0.0186,0.0109758,0.00907175,0.0179115,0.0157218,0.0111015,0.00616477,0.0118035,0,0,0.0399507,0,0.0207503,0.0232798,0.0608125,0.0135101,0.0210423,0.0140848,0.0171456,0.0175289,0.0104201,0.0505976,0.0141532,0.0118307,0.0141739,0.0162017,0.0120383,0.0149688,0.0187644,0.021065,0.0106183,0.00963922,0.0278272,0.00703434,0,0,0,0,0,0,0,0,0
4,0.0170758,0.0194357,0.0104977,0.0266814,0.00576861,0,0,0.0217197,0,0.0229795,0.0152195,0.0374639,0.0299653,0.0214739,0.00919953,0.0208175,0.0224883,0.00715127,0.0100936,0.0106021,0.0526854,0.0128371,0.0172737,0.0151659,0.0141249,0.00382838,0.0191013,0.0108753,0.00877184,0.0209651,0.0157365,0.00960154,0.00600348,0.00888294,0,0,0.0401333,0,0.0207767,0.023482,0.0616767,0.0118205,0.0222211,0.0138976,0.0170764,0.0155169,0.00944129,0.0503482,0.0133849,0.0113388,0.0146548,0.0154769,0.0112754,0.0148772,0.022187,0.0226621,0.0106382,0.00958802,0.025531,0.00555724,0,0,0,0,0,0,0,0,0.025344
5,0.0163636,0.0258372,0.0105574,0.0306373,0.00730763,0,0,0.0218981,0,0.0229761,0.0149314,0.0371228,0.0306465,0.0219213,0.0112004,0.020763,0.0219371,0.00803484,0.0116568,0.0128656,0.054422,0.0140776,0.0215553,0.015959,0.0138567,0.0120733,0.0190845,0.0108005,0.00855483,0.0235456,0.0159701,0.00710654,0.00572215,0.00814256,0,0,0.0393809,0,0.0207768,0.0229768,0.0620592,0.00981093,0.0220339,0.0126839,0.0168778,0.0147268,0.00743148,0.0499464,0.0116032,0.00925683,0.0132588,0.0149753,0.0100385,0.0126644,0.0263197,0.0221944,0.0108983,0.00916728,0.0245016,0.00555921,0,0,0,0,0,0,0,0,0.024513
6,0.0159906,0.0329532,0.0107204,0.0338544,0.00904753,0,0,0.0219554,0,0.0229901,0.0145721,0.0368958,0.0302924,0.0222032,0.0129812,0.0210805,0.0212996,0.00884297,0.0137295,0.0145943,0.0561666,0.015515,0.0260245,0.0167647,0.0133991,0.0213041,0.0187625,0.0107318,0.00834747,0.025306,0.0162602,0.00472072,0.00608878,0.00772663,0,0,0.0385972,0,0.0207344,0.0223392,0.0623544,0.011016,0.0218498,0.0113524,0.0173204,0.0140064,0.00603209,0.0490975,0.00948601,0.00724561,0.0109444,0.0142941,0.00844983,0.009523,0.0308184,0.0216294,0.0114444,0.00863751,0.0237701,0.00563911,0,0,0,0,0,0,0,0,0.0240524
7,0.0155389,0.0395745,0.0110194,0.0358932,0.0095138,0,0,0.0214585,0,0.0229554,0.0139389,0.0366195,0.0291325,0.0222595,0.0149164,0.0215426,0.0201781,0.00998288,0.0163832,0.016375,0.0580161,0.0168166,0.0296384,0.0172914,0.0128963,0.0312686,0.0179873,0.0106545,0.00802377,0.0266319,0.0165897,0.00343919,0.00675053,0.00733571,0,0,0.0376823,0,0.0204515,0.0216269,0.062605,0.0130986,0.0217311,0.0104591,0.018145,0.0133339,0.00611899,0.0481342,0.0087069,0.00682919,0.00908078,0.0135128,0.00744351,0.00715462,0.0346557,0.0210854,0.0123348,0.0079653,0.0231285,0.00541264,0,0,0,0,0,0,0,0,0.023519
8,0.0151551,0.045114,0.0114328,0.0367554,0.00972745,0,0,0.0206658,0,0.0228943,0.013167,0.0361361,0.0278778,0.0222228,0.0168662,0.0221077,0.0190735,0.0112387,0.0192553,0.0180378,0.0598154,0.0177103,0.0321345,0.0175046,0.0121928,0.0410852,0.017048,0.0105863,0.00767912,0.0270372,0.0169925,0.00307942,0.00740148,0.00700228,0,0,0.0368521,0,0.0201365,0.0209368,0.0627943,0.0141282,0.0215704,0.0100177,0.0190917,0.0127898,0.0068302,0.0476095,0.00896893,0.00725252,0.00798369,0.0129308,0.0072506,0.00603073,0.0368302,0.0205106,0.013482,0.00734807,0.0226519,0.004924,0,0,0,0,0,0,0,0,0.0229306
