Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,LHEE
All Timesteps RMSE,0.0127689,0.0267885,0.0467113,0.0117471,0.0249272,0.0256047,0,0,0.0233831,0,0.0240829,0.0119709,0.0436141,0.0207966,0.0199463,0.0439365,0.0201436,0.0161882,0.0233132,0.0162279,0.0511415,0.0171338,0.0239138,0.0148453,0.0155835,0.0583391,0.0209762,0.0107039,0.00741374,0.0300405,0.0157429,0.0190233,0.0287235,0.0128514,0,0,0.0386607,0,0.0200721,0.024488,0.0586291,0.0254351,0.0175879,0.00944893,0.0438109,0.0156198,0.00948319,0.0522815,0.0101436,0.0124611,0.0121746,0.014335,0.0094882,0.0155632,0.0379614,0.0231984,0.0109065,0.0111137,0.0331143,0.0194434,0,0,0,0,0,0,0,0.0295763
0,0.00948724,0.0316276,0.0220068,0.0131981,0.0150776,0.0204222,0,0,0.0175737,0,0.0220902,0.0122897,0.0443457,0.0178459,0.0181982,0.0422255,0.0175417,0.00789573,0.00960513,0.0155204,0.0397672,0.0108232,0.00929504,0.0125488,0.0150006,0.0215713,0.0175785,0.0104624,0.00770761,0.0464961,0.0127422,0.032239,0.029211,0.00415693,0,0,0.0488056,0,0.0240021,0.0293382,0.0573213,0.0357776,0.0170651,0.0155825,0.044081,0.01794,0.020493,0.0548059,0.0222917,0.0227634,0.0158244,0.0160805,0.0166334,0.0160639,0.0456151,0.0245135,0.00765098,0.0150454,0.0374932,0.0125534,0,0,0,0,0,0,0,0
1,0.010109,0.0318234,0.0214858,0.0127862,0,0.0198996,0,0,0.0182746,0,0.0220501,0.0123492,0.0441831,0.0173953,0.0172489,0.0422367,0.0182165,0.00810918,0.0102226,0.0143711,0.0393984,0.0110264,0.0100104,0.0128179,0.0136686,0.0206527,0.0180796,0.0104666,0.00776976,0.0384992,0.0122112,0.0275812,0.0291915,0.00463135,0,0,0.0483656,0,0.0244634,0.0288794,0.0572202,0.03206,0.017098,0.013808,0.0440134,0.0181385,0.017623,0.0539721,0.0186968,0.017706,0.0135619,0.0142728,0.0140001,0.0124598,0.0389271,0.0244991,0.00789869,0.0146562,0.0375394,0.0118463,0,0,0,0,0,0,0,0
2,0.0106396,0.0321959,0.0200225,0.0125736,0.0130513,0.019881,0,0,0.0188286,0,0.0220911,0.0126596,0.043879,0.0174862,0.0164694,0.0422293,0.018861,0.00789039,0.0100416,0.0132277,0.0395135,0.0110148,0.00988357,0.0123031,0.0134232,0.0180477,0.0185863,0.0104502,0.00781615,0.0262143,0.0122188,0.018221,0.0291269,0.00490339,0,0,0.0477446,0,0.0248103,0.0283914,0.0572592,0.0219089,0.0172136,0.0125871,0.0441326,0.0183587,0.0151036,0.0530214,0.0157104,0.0139606,0.0103732,0.0127526,0.00854252,0.00833579,0.0268456,0.0241542,0.00814981,0.0145568,0.0380137,0.0112312,0,0,0,0,0,0,0,0
3,0.011213,0.0326592,0.0206305,0.012295,0.0127856,0.0199996,0,0,0.0194289,0,0.0220917,0.012917,0.0435126,0.0176643,0.0155335,0.0422034,0.019511,0.00755752,0.00928396,0.0118096,0.0398318,0.0112267,0.0101981,0.012594,0.0132808,0.0172712,0.0190053,0.0104408,0.00785551,0.0164727,0.0123147,0.0104514,0.0288386,0.0050333,0,0,0.0471114,0,0.0250745,0.0279539,0.0579589,0.0134742,0.0172804,0.0116399,0.0444268,0.0185632,0.0127362,0.0523418,0.0130047,0.0108358,0.00759883,0.0128433,0.00411009,0.00536311,0.0166352,0.0236775,0.00828185,0.0145328,0.0385268,0.0106384,0,0,0,0,0,0,0,0
4,0.0116321,0.0331216,0.0218908,0.0121257,0.0131071,0.0200819,0,0,0.0199802,0,0.0221868,0.0131152,0.043122,0.0178366,0.0144249,0.0421262,0.0201619,0.00749222,0.00833565,0.0104671,0.0402564,0.0114186,0.0105753,0.0130255,0.0133186,0.0172941,0.0192843,0.0104785,0.00784122,0.0171928,0.0122635,0.0106125,0.0283497,0.00514507,0,0,0.0464945,0,0.0252454,0.0275125,0.0583154,0.014738,0.017298,0.0107707,0.0448264,0.0186856,0.010668,0.0518817,0.0108746,0.00819839,0.00653534,0.0131035,0.00415236,0.00435609,0.0186947,0.0232399,0.00845052,0.0144427,0.0390175,0.010182,0,0,0,0,0,0,0,0
5,0.0118944,0.0335953,0.023857,0.0120238,0.0142806,0.0202055,0,0,0.0205154,0,0.0223149,0.0132873,0.0426535,0.0180174,0.0133169,0.04216,0.0207204,0.00685481,0.00753024,0.00900179,0.0406974,0.0117213,0.0113657,0.0135759,0.0134389,0.0183108,0.0196037,0.010511,0.0079262,0.0181687,0.0122211,0.0120256,0.0278654,0.00528585,0,0,0.0459311,0,0.0253562,0.0270731,0.058307,0.0151041,0.0173043,0.0101241,0.0454093,0.0186831,0.00880988,0.051764,0.00912305,0.00593909,0.00509063,0.0139648,0.00431208,0.00342535,0.0215594,0.0229268,0.00890691,0.0142134,0.0392012,0.00997984,0,0,0,0,0,0,0,0
6,0.0122023,0.0341697,0.024583,0.0118828,0.0141463,0.0207517,0,0,0.0211524,0,0.0224262,0.0134085,0.0421627,0.0183059,0.0120481,0.0423543,0.0212403,0.0059288,0.00686567,0.00725272,0.0412722,0.0115664,0.0118194,0.0130128,0.0138606,0.0179667,0.0200158,0.010551,0.00812624,0.0165106,0.0122719,0.0127,0.0274895,0.00565335,0,0,0.045386,0,0.0254732,0.0266507,0.0581077,0.012324,0.0174182,0.00990673,0.0459218,0.01868,0.00710559,0.0520679,0.00810406,0.00413165,0.00427145,0.0151608,0.00553556,0.00338908,0.0214865,0.0225822,0.0093484,0.0140989,0.0393908,0.00993619,0,0,0,0,0,0,0,0.0259314
7,0.0126574,0.0346916,0.0285339,0.0116928,0.0165702,0.0216259,0,0,0.0219126,0,0.022509,0.0135549,0.041704,0.0184793,0.0112274,0.0426196,0.0216699,0.00521763,0.00642506,0.00556355,0.0419479,0.011906,0.0134066,0.0136505,0.0141256,0.0218571,0.0204836,0.0105935,0.00839782,0.0140348,0.0123005,0.0106721,0.0272783,0.00634511,0,0,0.0448924,0,0.0255175,0.0262578,0.0580465,0.00814599,0.0175567,0.00996736,0.0461636,0.0186928,0.00585771,0.0525369,0.00851409,0.0035015,0.00542699,0.0157897,0.00731097,0.0050002,0.0197273,0.0222705,0.00963046,0.0140483,0.039629,0.00991193,0,0,0,0,0,0,0,0.0277442
8,0.0133947,0.0347297,0.0333314,0.0114574,0.0192447,0.0223229,0,0,0.0227036,0,0.0224516,0.0137669,0.0413456,0.018581,0.0107562,0.0427794,0.0220587,0.00470392,0.00668479,0.00428747,0.0428804,0.0124547,0.0151485,0.0143678,0.0144778,0.0268288,0.0207336,0.0105643,0.00862958,0.0143799,0.0123584,0.00809722,0.0272347,0.00730683,0,0,0.044339,0,0.0255067,0.0258691,0.058221,0.00579988,0.0177678,0.0100161,0.0462026,0.0186363,0.00559774,0.0528229,0.0102122,0.0045928,0.0074119,0.0155307,0.00814873,0.00709388,0.0197974,0.0218595,0.00984752,0.0138975,0.039646,0.00973206,0,0,0,0,0,0,0,0.0289266
