Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70
All Timesteps RMSE,0.0165228,0.0250304,0.0433352,0.0108903,0.0241698,0.00570492,0,0,0.0239532,0,0.0248561,0.013599,0.0387865,0.0295127,0.0159917,0.0213463,0.0254372,0.0146267,0.0176977,0.0237098,0.0190584,0.0585234,0.0188467,0.0245163,0.0163187,0.0160976,0.0553005,0.0193884,0.0109624,0.00802671,0.0294907,0.0157105,0.0169744,0.00761344,0.0172544,0,0,0.0366585,0,0.0200396,0.0246204,0.0574827,0.0247277,0.0229578,0.0102372,0.0256146,0.0248982,0.01111,0.0563062,0.0108659,0.0151442,0.0145601,0.013671,0.0109203,0.018807,0.0375166,0.0171374,0.0101597,0.0117288,0.0262344,0.00932076,0,0,0,0,0,0,0,0,0,0
0,0.0132761,0.025504,0.0660315,0.010967,0.0295905,0.0023057,0,0,0.0241338,0,0.0235555,0.0146103,0.033905,0.0400138,0.017348,0.0342901,0.0248572,0.0163866,0.0228156,0.0437058,0.0250037,0.0688941,0.026035,0.0391225,0.0197712,0.0108746,0.0907041,0.0188785,0.0109241,0.00874147,0.0145418,0.0146064,0.00243066,0.00710844,0.0152743,0,0,0.0446871,0,0.0217195,0.0271821,0.0598844,0.0063961,0.0231412,0.00578681,0.0278781,0.0207269,0.00443938,0.0538183,0.00795944,0.00510144,0.0086515,0.012667,0.00943744,0.0100848,0.0190147,0.0189232,0.00862779,0.0107858,0.026977,0.00624264,0,0,0,0,0,0,0,0,0,0
1,0.0139444,0.0260647,0.0704499,0.0109434,0.0310686,0.00330505,0,0,0.0239498,0,0.0237061,0.0143216,0.0337152,0.0423384,0.0176238,0.0346699,0.0248217,0.0159133,0.0234937,0.0452547,0.0246816,0.0690012,0.026524,0.0403879,0.0194093,0.0119395,0.0964887,0.018191,0.0108524,0.00858054,0.0142133,0.014657,0.00214868,0.0059577,0.0165094,0,0,0.0442342,0,0.0212046,0.0271214,0.0594166,0.0056142,0.0234457,0.00589275,0.0273573,0.02278,0.0044293,0.0540406,0.00784649,0.00483656,0.00885742,0.0122744,0.00911171,0.00987592,0.0192601,0.0179599,0.00668248,0.0112881,0.0273103,0.00676773,0,0,0,0,0,0,0,0,0,0
2,0.0141036,0.0262232,0.074971,0.0109243,0.0327914,0.00349975,0,0,0.0242283,0,0.02395,0.0140597,0.0338313,0.044645,0.0173853,0.0351178,0.0252953,0.0156967,0.0242324,0.0465874,0.0245607,0.0692944,0.0271051,0.0419473,0.0195078,0.0129197,0.101717,0.0183708,0.0108087,0.00843865,0.0134757,0.0149898,0.00240286,0.00567238,0.0167451,0,0,0.0441504,0,0.0207933,0.0273039,0.0594082,0.00525323,0.0236651,0.00601501,0.0272006,0.0235183,0.00434609,0.0542441,0.0074976,0.00447783,0.00912406,0.0118561,0.00923343,0.0097833,0.0184615,0.0181054,0.00491203,0.0119149,0.0275073,0.00724022,0,0,0,0,0,0,0,0,0,0
3,0.014247,0.0262713,0.0791891,0.0107149,0.034418,0.00333722,0,0,0.0247208,0,0.0241306,0.0138722,0.0338457,0.0464719,0.0170559,0.0353348,0.0257573,0.0155986,0.0248132,0.0474425,0.0243188,0.0694807,0.0275886,0.0434241,0.0196799,0.0137711,0.10669,0.018864,0.0108383,0.00828142,0.0128049,0.0153238,0.0028087,0.00566734,0.0168288,0,0,0.0437857,0,0.0202765,0.0274419,0.0592648,0.00526422,0.0238432,0.00624796,0.0269812,0.0239076,0.00428567,0.0542955,0.00702214,0.00423646,0.0093899,0.01133,0.00953075,0.00974864,0.0176662,0.0181305,0.00412399,0.0124107,0.0275868,0.00742543,0,0,0,0,0,0,0,0,0,0
4,0.0144269,0.0264054,0.0831035,0.0105657,0.0358982,0.00305779,0,0,0.0251662,0,0.0242446,0.0137421,0.0339926,0.0477835,0.0167348,0.0351826,0.0261324,0.015517,0.0251487,0.0477483,0.0240835,0.0695395,0.0280517,0.0446251,0.019926,0.0145309,0.111166,0.0192631,0.0108342,0.00813729,0.0123045,0.0155886,0.0032347,0.00579464,0.0170119,0,0,0.0431657,0,0.019643,0.0275157,0.058978,0.00575697,0.0239151,0.0065364,0.0266837,0.0243792,0.00435708,0.0543146,0.00667339,0.00428221,0.00974941,0.0107488,0.00983983,0.0098648,0.0171812,0.0178966,0.0048424,0.0128399,0.0275565,0.007487,0,0,0,0,0,0,0,0,0,0
5,0.0147847,0.0266398,0.0860147,0.0104877,0.0370304,0.0030318,0,0,0.0255073,0,0.0243239,0.0136671,0.0340065,0.0489312,0.016354,0.0347254,0.0263788,0.0154472,0.0252968,0.0476236,0.0239355,0.0694592,0.0283148,0.0455435,0.02019,0.0151024,0.114644,0.0193941,0.0108296,0.00802011,0.0120951,0.015854,0.00364686,0.00585626,0.0171611,0,0,0.0416581,0,0.0190063,0.0269776,0.0588663,0.00665996,0.0238859,0.00679134,0.0262884,0.0250094,0.00456491,0.0546044,0.00650704,0.00454948,0.0103118,0.0103321,0.0102242,0.0103324,0.0167343,0.0171012,0.00622656,0.0131458,0.0274728,0.00743576,0,0,0,0,0,0,0,0,0,0
6,0.0152674,0.026864,0.0882224,0.0104029,0.0378002,0.00295442,0,0,0.0257394,0,0.0243876,0.0136411,0.0337262,0.0497175,0.0160216,0.0339884,0.0266275,0.0153514,0.02533,0.0471243,0.0237569,0.0692347,0.0282112,0.0460206,0.0202379,0.0155416,0.117385,0.0194582,0.0108284,0.0079493,0.0117931,0.0160742,0.00396267,0.00586974,0.0173118,0,0,0.0398787,0,0.0184385,0.0263146,0.0588067,0.00708655,0.0238008,0.00704827,0.0258624,0.0256441,0.00485035,0.0550578,0.00644557,0.00486414,0.0108314,0.00998778,0.0106149,0.0108682,0.0159912,0.0161114,0.00756549,0.0133864,0.0274013,0.00742241,0,0,0,0,0,0,0,0,0,0
7,0.0158396,0.0271883,0.0900436,0.0105099,0.0380915,0.00267316,0,0,0.0260104,0,0.0245147,0.0137457,0.033465,0.0502259,0.0158174,0.0328626,0.0270161,0.0153741,0.0251639,0.0459317,0.0234779,0.0688937,0.0277689,0.0458992,0.0201375,0.0158777,0.119323,0.0195371,0.0107697,0.00797625,0.0113201,0.0162842,0.0041718,0.00593081,0.0173643,0,0,0.0377419,0,0.0179442,0.025401,0.0586149,0.0077746,0.0237083,0.00736694,0.0255347,0.0262719,0.00528911,0.0553139,0.00634795,0.00510928,0.0114077,0.00975519,0.0109611,0.01142,0.0151267,0.0150193,0.0086308,0.0134182,0.0274655,0.00736955,0,0,0,0,0,0,0,0,0,0
8,0.0165101,0.0275605,0.0914696,0.010617,0.0381299,0.00271777,0,0,0.026392,0,0.0246503,0.0140052,0.0335513,0.0503665,0.0156399,0.0313265,0.0274746,0.0155128,0.024755,0.0439503,0.0231886,0.0684918,0.0269438,0.0451946,0.0198499,0.0161408,0.12061,0.0196089,0.0106933,0.00809126,0.0106887,0.0164845,0.00440902,0.00609231,0.0173003,0,0,0.0355671,0,0.0175782,0.0243931,0.058459,0.00849024,0.0236273,0.00760665,0.0253548,0.0267862,0.00575828,0.0554825,0.00639495,0.00531826,0.0118803,0.00958203,0.0110867,0.0119089,0.0140707,0.0140512,0.00935497,0.0131913,0.0274511,0.00717881,0,0,0,0,0,0,0,0,0,0
