Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,LGTR,LTHII
All Timesteps RMSE,0.00301609,0.00293776,0.0421714,0.015014,0.0231779,0.00498813,0,0,0.00658754,0,0.0226585,0.00267835,0.0254118,0.0258305,0.0180271,0.00390504,0.00355864,0.0148217,0.0166233,0.0490717,0.0127175,0.0145951,0.0129011,0.0200136,0.0487898,0.00513936,0.00956071,0.00170189,0.0335918,0.0198906,0.021374,0.00642258,0.00416605,0,0,0.0128114,0,0.0187686,0.0057786,0.0655969,0.0294266,0.0258982,0.01733,0.00693672,0.0054973,0.0138065,0.0500896,0.0153873,0.0185231,0.0186678,0.0193237,0.0133349,0.0214802,0.0386097,0.00901107,0.00586585,0.00282518,0.0035944,0.00368626,0,0,0,0,0,0,0,0,0,0,0.0461406,0.0190613
0,0.00453742,0.00559174,0.0305905,0.0148766,0.01442,0.00519452,0,0,0.00551065,0,0.0227804,0.00195468,0.00689306,0.0260209,0.0202258,0.0077334,0.00975094,0.00937669,0.0155899,0.0474818,0.0133285,0.0109775,0.00991492,0.0247655,0.0375156,0.0067048,0.0096122,0.00123878,0.00859038,0.0224155,0.00867749,0.0152416,0.00429625,0,0,0.00881467,0,0.0183522,0.00754513,0.0643616,0.0226908,0.0277162,0.0189857,0.00202007,0.00922627,0.00972273,0.0488793,0.0147324,0.0170728,0.0250901,0.00544147,0.0169655,0.0265946,0.0165607,0.00439134,0.00312499,0.00363563,0.00676839,0.00521907,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00339054,0.0034025,0.02782,0.0147364,0.0186476,0.00617466,0,0,0.00529186,0,0.0227262,0.00167443,0.0138009,0.0270188,0.0220495,0.00741334,0.00752972,0.012312,0.0190276,0.0458151,0.0105575,0.00843821,0.00955936,0.0213964,0.0299426,0.00578461,0.00952561,0.00117726,0.0147669,0.0222468,0.004923,0.0135439,0.00423142,0,0,0.00915929,0,0.0183449,0.00755249,0.0629567,0.0175175,0.028331,0.0123229,0.00154916,0.00821323,0.0056551,0.0498188,0.00880558,0.0132694,0.0198831,0.00754878,0.0138957,0.0222775,0.0199916,0.00575769,0.00278269,0.00360155,0.00649491,0.00495165,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00407815,0.00220074,0.0318819,0.0142529,0.0157627,0.00501717,0,0,0.00732663,0,0.0230502,0.00221912,0.0070936,0.0199174,0.0178138,0.00266943,0.00756854,0.010603,0.0152492,0.049877,0.00509907,0.00666537,0.00788761,0.0191572,0.0356958,0.00702997,0.009588,0.00136056,0.0265906,0.0215401,0.0142571,0.00687681,0.00525678,0,0,0.00464862,0,0.0185038,0.00446507,0.0681199,0.00825366,0.026701,0.00895505,0.00197243,0.00547253,0.00620286,0.0462984,0.00828125,0.0105417,0.0123954,0.0148483,0.0110895,0.0129426,0.0279728,0.00347923,0.00154344,0.00224254,0.00573576,0.00438303,0,0,0,0,0,0,0,0,0,0,0.0468117,0
3,0.0039918,0.00285047,0.0190387,0.014937,0.0184491,0.00791002,0,0,0.00503576,0,0.0229253,0.0013339,0.0192752,0.0262933,0.0186428,0.00576999,0.00706656,0.0148993,0.0201826,0.0423261,0.0061292,0.00531495,0.0106223,0.0192285,0.0174933,0.00524634,0.00960078,0.00105608,0.020777,0.0221598,0.0137852,0.00635378,0.00459093,0,0,0.0108652,0,0.0184898,0.00766035,0.0690588,0.00625824,0.0260965,0.0111534,0.0012459,0.00838183,0.00475514,0.0450424,0.00942821,0.00655689,0.0139255,0.0146599,0.0112788,0.0124338,0.0226304,0.00745194,0.00263971,0.00351908,0.00746066,0.00513384,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00426889,0.00272832,0.0116391,0.0147567,0.0165267,0.00856215,0,0,0.00495838,0,0.0231471,0.00109634,0.0195274,0.0271276,0.0151154,0.00579405,0.00709037,0.0145554,0.0188879,0.0402569,0.00513176,0.0041464,0.0110915,0.0188112,0.0077425,0.00530807,0.00979743,0.000989915,0.0198996,0.0220887,0.0119778,0.00590169,0.00485534,0,0,0.0110795,0,0.0185287,0.00750503,0.0691607,0.00387096,0.0260579,0.0126954,0.00163363,0.00839131,0.0057801,0.0447009,0.0108675,0.0079823,0.0147008,0.0138074,0.010459,0.013085,0.0222954,0.00753714,0.00261866,0.00334563,0.00729176,0.00554514,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0043124,0.00290822,0.00643022,0.0146501,0.0138415,0.00872864,0,0,0.0061878,0,0.0230743,0.00199526,0.0180149,0.027702,0.0100091,0.00570137,0.00693515,0.0132703,0.0158304,0.0388174,0.00606207,0.00374884,0.0116418,0.018756,0.00325909,0.00626308,0.00978151,0.00123634,0.0229153,0.022053,0.00827428,0.00480197,0.00494609,0,0,0.0117903,0,0.0186485,0.00776372,0.0684726,0.00492821,0.0251796,0.0107336,0.00191925,0.00869583,0.00656987,0.0447178,0.00938467,0.0107192,0.0139272,0.0138471,0.00893063,0.0141672,0.0259797,0.00812136,0.00260789,0.00329722,0.00757636,0.00578918,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00394966,0.00236133,0.0169456,0.013781,0.0109235,0.00377703,0,0,0.00906531,0,0.0234524,0.00357433,0.0081489,0.0218622,0.0142788,0.0028247,0.00673759,0.00967923,0.013318,0.0447934,0.0111456,0.0120964,0.00926711,0.0170048,0.0167732,0.00873072,0.00989812,0.00182151,0.0235063,0.0212971,0.0106784,0.00573795,0.00503263,0,0,0.00717853,0,0.018739,0.00448674,0.069522,0.00197005,0.0256249,0.0166552,0.00227891,0.00590934,0.00962891,0.0449038,0.0145355,0.0137476,0.0176886,0.0122103,0.0109691,0.016115,0.0264797,0.00524332,0.00243854,0.00185739,0.00617619,0.00434832,0,0,0,0,0,0,0,0,0,0,0.0504385,0
7,0.00383256,0.00337503,0.0147252,0.0135564,0.0105437,0.00380996,0,0,0.00934624,0,0.0235295,0.00371162,0.0102401,0.0218787,0.0182348,0.00223001,0.00632306,0.0115711,0.016325,0.0446046,0.0133036,0.0137297,0.00909271,0.0166746,0.0131163,0.0087323,0.00997866,0.00186689,0.0240886,0.0211222,0.0107763,0.00509649,0.00463184,0,0,0.00782755,0,0.0187195,0.00448347,0.069654,0.00319582,0.0252712,0.0177401,0.00268856,0.00619701,0.0106983,0.04444,0.015633,0.0151367,0.0191547,0.0123699,0.0125689,0.0177128,0.026511,0.00555273,0.00264396,0.00165988,0.00385657,0.00436598,0,0,0,0,0,0,0,0,0,0,0.0507803,0
8,0.00368723,0.00405132,0.0142294,0.0132595,0.010793,0.00404299,0,0,0.00929106,0,0.0236614,0.00360619,0.0129463,0.0229449,0.0225791,0.0018531,0.0060102,0.0148062,0.0204684,0.0451225,0.0150051,0.0152002,0.0086425,0.0162239,0.0106126,0.008596,0.0101138,0.00186496,0.0246239,0.0210065,0.010948,0.00426198,0.00427032,0,0,0.00853109,0,0.0188058,0.00460904,0.0697026,0.00637698,0.0247186,0.0185755,0.0030442,0.00654079,0.0117929,0.0439016,0.0165392,0.0163081,0.0202368,0.0127017,0.0136907,0.0189157,0.0269102,0.00596509,0.00309597,0.00147362,0.00358568,0.00437812,0,0,0,0,0,0,0,0,0,0,0.0510821,0
9,0.00406921,0.0038434,0.00860516,0.0134617,0.0099094,0.00433447,0,0,0.00834648,0,0.0240425,0.00264772,0.0136391,0.023919,0.0239511,0.00170771,0.00593948,0.017573,0.0224069,0.0466526,0.0173145,0.0165178,0.00897684,0.0121684,0.0126835,0.00731207,0.0101556,0.00122125,0.0252962,0.0210675,0.0103378,0.00385238,0.00470959,0,0,0.00857604,0,0.0185114,0.00434235,0.069612,0.00607464,0.0243767,0.0191884,0.00343159,0.00694075,0.0130777,0.0433273,0.0171609,0.0175542,0.0209,0.0128454,0.014158,0.019862,0.0274515,0.00604498,0.0030758,0.00141305,0.00387918,0.00493895,0,0,0,0,0,0,0,0,0,0,0.0508302,0
