Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,LGTR
All Timesteps RMSE,0.0202146,0.0314949,0.0457392,0.0128961,0.0242592,0.0160952,0,0,0.0207735,0,0.0235988,0.0118367,0.0294571,0.0216045,0.0216292,0.0353352,0.0225151,0.0166413,0.0242816,0.0182865,0.0563025,0.0176386,0.024274,0.0158174,0.0163608,0.0570485,0.0139434,0.0101002,0.00841049,0.0254198,0.0159921,0.0144894,0.0133593,0.00775104,0,0,0.0397653,0,0.0195328,0.0262447,0.0528252,0.0231333,0.0210001,0.016487,0.0298428,0.0192456,0.0147251,0.0597691,0.0170263,0.0161381,0.012855,0.0102098,0.0110573,0.0153729,0.0327712,0.0252534,0.00872638,0.0112783,0.033034,0.00743364,0,0,0,0,0,0,0.0383621
0,0.0163457,0.0251397,0.0195546,0.0129811,0.00752748,0.0195501,0,0,0.0177309,0,0.0229684,0.0108205,0.00576676,0.0226549,0.0055842,0.0332294,0.0156841,0.00744059,0.00478274,0.00601597,0.0483437,0.0116022,0.0108731,0.0128853,0.0123349,0.0255373,0.0109564,0.0111611,0.00595,0.0137201,0.0205716,0.0213095,0.0100449,0.0051846,0,0,0.020146,0,0.0163112,0.0135387,0.0507694,0.016879,0.0227073,0.016719,0.0268141,0.0117246,0.0141143,0.0615863,0.0179058,0.0180461,0.00789572,0.0113037,0.00901663,0.015641,0.00490365,0.0161332,0.00423034,0.0064824,0.0275166,0.00639537,0,0,0,0,0,0,0
1,0.0190734,0.0282246,0.0280805,0.0125948,0.0059409,0.011352,0,0,0.0187965,0,0.0235705,0.011531,0.011054,0.0190525,0.0135496,0.0351073,0.0192011,0.0117644,0.0132887,0.0112059,0.054675,0.0147287,0.0151723,0.0135927,0.0137697,0.0398779,0.0112532,0.0111149,0.00633286,0.0139715,0.0197444,0.0193124,0.00910488,0.00568053,0,0,0.0260855,0,0.0169563,0.0169414,0.0505348,0.0142489,0.0227769,0.0182461,0.0252681,0.0142108,0.0158554,0.0637043,0.0195018,0.0195111,0.00714877,0.0107114,0.00846583,0.0144785,0.00432822,0.0190204,0.00431045,0.00737057,0.0291461,0.00725756,0,0,0,0,0,0,0.0420401
2,0.01848,0.0292628,0.029994,0.0128152,0.00546115,0.0139862,0,0,0.0186779,0,0.0235149,0.0115562,0.0118027,0.0199474,0.014387,0.0372442,0.0198928,0.0127773,0.0148544,0.0117217,0.0550068,0.0142131,0.0151554,0.0131742,0.0134532,0.0429562,0.0110518,0.0110173,0.00633667,0.0135502,0.0197593,0.0162911,0.0116842,0.00430711,0,0,0.0266391,0,0.0171025,0.0170957,0.0503376,0.0129397,0.0219566,0.0188708,0.0278585,0.0139586,0.0165396,0.0644238,0.02021,0.0206817,0.00556212,0.0113859,0.00698751,0.013314,0.00689186,0.0191221,0.00355089,0.006967,0.0307761,0.0061987,0,0,0,0,0,0,0.0415099
3,0.0179849,0.0294653,0.0315643,0.0128717,0.0055043,0.0155608,0,0,0.0185456,0,0.0234328,0.0115002,0.0121063,0.0215213,0.0148744,0.0384834,0.0201291,0.0133273,0.0158686,0.0118602,0.055206,0.0136082,0.015008,0.0127346,0.0130977,0.0451641,0.0110019,0.0109195,0.0063621,0.0143438,0.0197662,0.0133182,0.0132501,0.00384994,0,0,0.0271529,0,0.0172539,0.0171716,0.0501562,0.0133247,0.021668,0.0195418,0.0294162,0.0138394,0.0172305,0.0650883,0.0208598,0.0218878,0.00426798,0.0120826,0.0061656,0.0122215,0.0102579,0.0193689,0.00337591,0.00657544,0.0317863,0.00591561,0,0,0,0,0,0,0.0413451
4,0.0179523,0.0263221,0.0132641,0.0129023,0.00819077,0.00946352,0,0,0.0185588,0,0.0233502,0.0114114,0.0149035,0.0226427,0.0186554,0.0284284,0.0214302,0.0132979,0.0173701,0.0127271,0.0553068,0.0149849,0.0174285,0.0146966,0.0167667,0.0164954,0.0110541,0.0108018,0.00634201,0.0160205,0.0205924,0.00776185,0.00472328,0.00567106,0,0,0.0230145,0,0.0168189,0.0142345,0.0517015,0.0178893,0.0266599,0.0247494,0.020036,0.0117954,0.0189114,0.0661755,0.025806,0.0248348,0.00431086,0.0154715,0.00571387,0.0108089,0.0134942,0.0175106,0.0032732,0.00526858,0.0268399,0.00719958,0,0,0,0,0,0,0.0430101
5,0.0168595,0.0287516,0.0327605,0.0129936,0.00678583,0.0154951,0,0,0.0182498,0,0.023226,0.0112396,0.0112773,0.0206512,0.0156339,0.0377074,0.0202657,0.0133773,0.0177642,0.0117244,0.0553665,0.0132079,0.0153246,0.0121041,0.012597,0.0460995,0.0108875,0.0107718,0.00629359,0.0158409,0.0193803,0.00830026,0.0126749,0.00419413,0,0,0.0291487,0,0.0176445,0.0179214,0.0501914,0.0182282,0.021358,0.0202145,0.0285499,0.0149602,0.0182276,0.0658391,0.0216157,0.0237248,0.00327629,0.0134123,0.00536865,0.011166,0.0166901,0.0218136,0.00421604,0.00649629,0.0313879,0.00470154,0,0,0,0,0,0,0.0408226
6,0.0166412,0.0290112,0.03227,0.0128237,0.00690535,0.0158315,0,0,0.0186671,0,0.0232298,0.011439,0.0109509,0.0202209,0.0159332,0.0382155,0.0197571,0.0129972,0.0180914,0.0115227,0.0552748,0.0134741,0.0154859,0.0120397,0.0123099,0.0453913,0.011383,0.0107455,0.00633578,0.0169275,0.0191252,0.0066027,0.0132251,0.00427828,0,0,0.0301603,0,0.0178778,0.0184639,0.0501905,0.0205121,0.0212735,0.0202626,0.0292587,0.0152718,0.0185602,0.0661148,0.0219136,0.0243119,0.00323002,0.0140248,0.00487331,0.0113107,0.0203009,0.0226027,0.00502145,0.00662156,0.0317315,0.00440506,0,0,0,0,0,0,0.0409537
7,0.0167887,0.0291975,0.0309902,0.0127382,0.00639821,0.0151957,0,0,0.0190006,0,0.0232738,0.0114962,0.0109234,0.0201612,0.0160006,0.0377547,0.0192864,0.0125225,0.0179515,0.0111969,0.0552784,0.0138307,0.0155066,0.0121681,0.0120134,0.0440978,0.0116959,0.0106884,0.0062938,0.0178186,0.0188347,0.00596868,0.0133787,0.00424354,0,0,0.0312619,0,0.0180226,0.0192072,0.0499592,0.022204,0.0210502,0.0203324,0.029013,0.0153286,0.0189397,0.0664555,0.0223448,0.0250551,0.00337813,0.0146113,0.00430098,0.0120139,0.0234963,0.023276,0.00597881,0.00690506,0.0316491,0.00387192,0,0,0,0,0,0,0.0412846
8,0.0171091,0.0292308,0.0294752,0.0127225,0.0056101,0.0134633,0,0,0.0190455,0,0.0233789,0.0113791,0.0111974,0.0204335,0.0161585,0.0358751,0.0193194,0.0123407,0.0180002,0.0111639,0.0552798,0.0142957,0.0154873,0.0124514,0.0119374,0.0425834,0.0116516,0.0107391,0.00619338,0.0184192,0.0186336,0.00641574,0.0126357,0.0043016,0,0,0.0318592,0,0.0181081,0.0197046,0.0497605,0.0234697,0.0208697,0.0203635,0.0277309,0.0152997,0.0193917,0.0668727,0.0228123,0.0256724,0.00390675,0.0152734,0.00353819,0.013219,0.0261925,0.0236104,0.00660128,0.0070886,0.0310176,0.00331325,0,0,0,0,0,0,0.0413668
