Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66
All Timesteps RMSE,0.00327435,0.00295119,0.0367308,0.0154317,0.0199622,0.00796265,0,0,0.00910099,0,0.0230024,0.00398245,0.0459782,0.0268586,0.0254644,0.0174935,0.00435365,0.00409129,0.0141155,0.0212966,0.0150164,0.0513235,0.0129629,0.0163599,0.00977256,0.0227409,0.0449394,0.00685395,0.00950017,0.00169893,0.0285733,0.0204591,0.0154591,0.00567244,0.00436743,0,0,0.0119025,0,0.0188798,0.00548171,0.0641619,0.0239895,0.0249524,0.00971771,0.00885425,0.00707151,0.0101787,0.049619,0.00949812,0.0140488,0.0155119,0.0200943,0.0109136,0.0187709,0.0341269,0.0103558,0.00779732,0.00337603,0.0037868,0.00422071,0,0,0,0,0,0
0,0.00688736,0.0026978,0.013158,0.0147743,0.0149382,0.00577108,0,0,0.00341431,0,0.021115,0.00336738,0.0403905,0.00858673,0.0290713,0.00721546,0.00263326,0.00178609,0.00424489,0.00857475,0.0124322,0.0539239,0.00848703,0.0144247,0.00358239,0.022136,0.0186736,0.00457288,0.00804921,0.0022479,0.00877683,0.0210667,0.0081106,0.00209992,0.0048328,0,0,0.0124556,0,0.0185437,0.00410399,0.0651646,0.0129078,0.0242302,0.00450476,0.00316824,0.00670849,0.0058708,0.0467236,0.00798224,0.00841152,0.00513886,0.0199718,0.00265547,0.00728848,0.00759239,0.00981733,0.00471563,0.00086604,0.00350899,0.00394951,0,0,0,0,0,0
1,0.00473269,0.00176619,0.0171639,0.0149711,0.0146503,0.00719334,0,0,0.00361477,0,0.0211947,0.00324622,0.04066,0.00729782,0.029372,0.00797511,0.00317396,0.00195772,0.00368543,0.0112099,0.0123041,0.0549412,0.010575,0.0172925,0.00235888,0.0245478,0.0176357,0.00450033,0.00809766,0.00208842,0.010687,0.0209962,0.00801285,0.00154646,0.00267516,0,0,0.0121648,0,0.0187485,0.0037925,0.0648932,0.0119864,0.0248014,0.00397974,0.00329128,0.00445373,0.00458863,0.0463679,0.00595759,0.00675601,0.00381646,0.0193108,0.00118631,0.00485575,0.0117769,0.00881652,0.00535412,0.000865803,0.00263225,0.00243647,0,0,0,0,0,0
2,0.00430311,0.00252985,0.0198806,0.0152324,0.013691,0.00856736,0,0,0.00408684,0,0.0213383,0.00328974,0.040797,0.0117682,0.0294553,0.00923583,0.00415063,0.00227896,0.0050621,0.0145002,0.0120489,0.0563484,0.0113089,0.0187455,0.00361505,0.0266006,0.0193054,0.00472673,0.00818699,0.00198176,0.0118509,0.0210227,0.00824971,0.00228754,0.00202008,0,0,0.0118157,0,0.018854,0.00344632,0.0648998,0.0116364,0.0245935,0.00342972,0.00413738,0.00386505,0.00445216,0.0464628,0.00479336,0.00592143,0.00319394,0.0191058,0.000897519,0.0036903,0.014036,0.00828145,0.00598991,0.00110412,0.00287545,0.00260642,0,0,0,0,0,0
3,0.00370257,0.00276971,0.0214889,0.0155205,0.012264,0.00955492,0,0,0.00478219,0,0.0215319,0.00343649,0.0408925,0.0173248,0.0295532,0.0107573,0.00480498,0.00245597,0.00735374,0.018019,0.0118338,0.0577907,0.0118468,0.0191448,0.00565383,0.0282433,0.0221297,0.00486346,0.00831925,0.00190741,0.0120969,0.0211783,0.00864814,0.00268293,0.00142654,0,0,0.0112241,0,0.0189434,0.00304222,0.0649889,0.0114955,0.0241413,0.00283875,0.004972,0.00350959,0.00435953,0.0469388,0.00425602,0.00562532,0.00295301,0.0192205,0.0012551,0.0031922,0.0148531,0.00779885,0.00712765,0.00139882,0.00293779,0.00298845,0,0,0,0,0,0
4,0.00278362,0.00264341,0.0231048,0.0158065,0.0112442,0.0102396,0,0,0.0050245,0,0.0216706,0.00344432,0.0409832,0.0231935,0.0297291,0.0125265,0.00508692,0.00281115,0.00977892,0.0214285,0.0114693,0.0590866,0.0124707,0.0190228,0.00750776,0.0293473,0.0253685,0.00461117,0.00856803,0.0018309,0.0115712,0.0210857,0.00996344,0.00294868,0.000647452,0,0,0.0102355,0,0.0192237,0.00241323,0.0648704,0.0117429,0.023732,0.00196171,0.00545892,0.00301584,0.00396108,0.0476329,0.00378084,0.00514417,0.00243938,0.0193777,0.00147702,0.00253192,0.0140887,0.00709598,0.00817383,0.00170925,0.00272748,0.00340796,0,0,0,0,0,0
5,0.00250596,0.00251896,0.024676,0.0159056,0.0113133,0.0108245,0,0,0.00918878,0,0.0217703,0.00533726,0.0407558,0.0289531,0.0297955,0.0143417,0.00514002,0.00317412,0.0119832,0.0247559,0.0109279,0.0600239,0.0127256,0.0183503,0.00918997,0.0302256,0.029661,0.00679352,0.00859641,0.00193774,0.0120426,0.0215023,0.011322,0.00316955,0.000763803,0,0,0.00917336,0,0.0189719,0.00217784,0.0645461,0.0128287,0.0232163,0.00191456,0.0058025,0.00288399,0.00383352,0.047801,0.0040685,0.00511566,0.00302573,0.0194896,0.00206977,0.00308859,0.0145472,0.00690914,0.00850975,0.0018977,0.00264921,0.00396758,0,0,0,0,0,0
6,0.00228921,0.00245566,0.0271316,0.0160539,0.0123409,0.0112466,0,0,0.0100015,0,0.0218554,0.00558154,0.0408099,0.0351607,0.029866,0.0160954,0.00500523,0.00346278,0.013824,0.0279649,0.0104004,0.0605515,0.0130304,0.0179703,0.0104545,0.0305768,0.0338513,0.0069623,0.00868772,0.0018674,0.0123679,0.0215014,0.0122838,0.00326568,0.000953511,0,0,0.00829216,0,0.0189422,0.00204429,0.0639637,0.013854,0.022627,0.0018439,0.00583772,0.0028338,0.00360266,0.0480346,0.00409692,0.00490484,0.00325897,0.0195409,0.00246663,0.00343747,0.0143053,0.00680578,0.00857109,0.00212245,0.00241672,0.00437685,0,0,0,0,0,0
7,0.00221166,0.00231313,0.0297192,0.0160924,0.0132417,0.0105529,0,0,0.0104346,0,0.0219618,0.00568393,0.0411707,0.0411149,0.0299876,0.0178605,0.00490469,0.00347636,0.01535,0.0311008,0.0100316,0.0608742,0.013421,0.0179962,0.0111916,0.0306699,0.0384404,0.00724868,0.00876525,0.00179322,0.0123703,0.0213919,0.0127166,0.0033033,0.000938552,0,0,0.00762331,0,0.0189333,0.00195477,0.0642384,0.0142392,0.0225326,0.00162621,0.00579302,0.0031017,0.00323156,0.0484063,0.00379292,0.00458812,0.00341625,0.0196984,0.00252715,0.00379264,0.0136412,0.0071599,0.00863778,0.00217793,0.0023035,0.00443014,0,0,0,0,0,0
8,0.00216915,0.00209403,0.0319369,0.0160152,0.0141736,0.0117725,0,0,0.0104196,0,0.022124,0.00567823,0.0417839,0.0459324,0.0300802,0.019464,0.00478488,0.00334012,0.01648,0.0339187,0.00990951,0.0612658,0.0136129,0.0184126,0.0112605,0.0308182,0.0437294,0.0074811,0.00889971,0.00156173,0.0121176,0.0212292,0.0132514,0.00340247,0.000765153,0,0,0.00704232,0,0.0188993,0.00173691,0.0646383,0.0146174,0.0226159,0.00161569,0.00567235,0.00362169,0.0029424,0.0484015,0.00343473,0.0042288,0.00367752,0.0196338,0.00252656,0.0043123,0.0123847,0.00765266,0.0082012,0.0021013,0.00233583,0.00404764,0,0,0,0,0,0
9,0.00222923,0.00194074,0.0339434,0.0156855,0.0151573,0.0128099,0,0,0.0102208,0,0.022321,0.00562938,0.0424427,0.0491496,0.0301577,0.0208864,0.00455299,0.00309477,0.0174297,0.0365908,0.0100169,0.0617659,0.014515,0.0193094,0.01138,0.0311329,0.0494474,0.00753611,0.00908964,0.00132576,0.0117416,0.0211012,0.0136586,0.00325696,0.000598822,0,0,0.00684412,0,0.0189151,0.00150476,0.0649358,0.0149613,0.0226118,0.00193909,0.00553077,0.0044171,0.00282024,0.0481211,0.0032782,0.00394249,0.00415092,0.0193284,0.0025094,0.00487199,0.011137,0.00819529,0.00715648,0.00201597,0.0025287,0.00331048,0,0,0,0,0,0
10,0.00234041,0.0018571,0.036231,0.0154572,0.0158028,0.0129483,0,0,0.0100262,0,0.0225259,0.00549743,0.0429979,0.0507453,0.0302001,0.0220755,0.00430525,0.00279625,0.0182221,0.0386258,0.0101897,0.0622917,0.0159769,0.0207536,0.0117285,0.0317094,0.055534,0.00754217,0.00922697,0.00119598,0.011171,0.0209976,0.0133876,0.00295721,0.000611798,0,0,0.00701074,0,0.0189378,0.00149534,0.065048,0.014487,0.0226697,0.00207391,0.00558707,0.00525952,0.00304769,0.0479753,0.00364123,0.00402147,0.00430285,0.0190611,0.00228494,0.00505826,0.0101176,0.00882027,0.00614397,0.00197141,0.00255859,0.00248649,0,0,0,0,0,0
11,0.00227732,0.00165677,0.0392071,0.015296,0.015596,0.0127252,0,0,0.00976898,0,0.0227018,0.00522937,0.0433319,0.0509512,0.0301004,0.0230981,0.00414878,0.00248885,0.0189053,0.0400688,0.0103009,0.062674,0.017677,0.0226277,0.0119443,0.0325518,0.0617635,0.00739433,0.00930749,0.00113225,0.0105484,0.020885,0.0130147,0.00268496,0.000626636,0,0,0.00768807,0,0.0188133,0.00213839,0.0651297,0.014063,0.022849,0.00226007,0.00577179,0.00612158,0.00328256,0.0479638,0.00359416,0.00392575,0.00457379,0.0187814,0.00211284,0.00541113,0.00901297,0.0100106,0.00554611,0.00169092,0.00245186,0.00188681,0,0,0,0,0,0
12,0.00190403,0.00166802,0.0436126,0.0152144,0.0152507,0.0123366,0,0,0.00914463,0,0.0228655,0.00475553,0.0434404,0.0503918,0.0299171,0.0237218,0.00398324,0.00220659,0.0193735,0.0409979,0.0103068,0.0628597,0.0193917,0.0246287,0.011991,0.0334481,0.0678497,0.00709103,0.00938459,0.00113527,0.0100949,0.0208662,0.0126134,0.00240811,0.00068347,0,0,0.0131968,0,0.0185704,0.00668304,0.0653048,0.0136751,0.023029,0.00255624,0.00588064,0.00899468,0.00283134,0.04792,0.00332467,0.0037515,0.00501673,0.0184228,0.00200324,0.00572404,0.00821959,0.0164479,0.0024576,0.00102252,0.00260017,0.0016144,0,0,0,0,0,0
13,0.00194379,0.00147767,0.0480823,0.0151432,0.0151438,0.0113093,0,0,0.0099528,0,0.0229039,0.00510013,0.0434671,0.0490589,0.0295947,0.0237912,0.00381291,0.00197395,0.0196203,0.0413209,0.0102888,0.0629761,0.0207267,0.0264943,0.0119632,0.0342851,0.0733207,0.00773837,0.00943023,0.00118681,0.00976949,0.0206978,0.0124511,0.00214525,0.000565663,0,0,0.00753547,0,0.0188569,0.00286053,0.0652643,0.0135043,0.0232217,0.00314423,0.00616188,0.00675644,0.00280065,0.0479395,0.00307545,0.00388941,0.00535189,0.0179443,0.00204205,0.00595429,0.00736566,0.0102999,0.00267821,0.00127322,0.00209445,0.00164249,0,0,0,0,0,0
14,0.0018073,0.00153588,0.051917,0.0152735,0.0152512,0.00983075,0,0,0.0102333,0,0.0229471,0.005261,0.0434321,0.0470321,0.0291886,0.0232778,0.00365352,0.00173033,0.0196395,0.0409674,0.0102641,0.0630167,0.0218792,0.0281019,0.011819,0.0349486,0.0780188,0.00795211,0.00943675,0.00131797,0.00909224,0.0206786,0.011672,0.00203419,0.0005285,0,0,0.0067817,0,0.0190469,0.00274332,0.0649894,0.01311,0.0233384,0.00322147,0.00671251,0.00662528,0.00302111,0.0481741,0.00309116,0.00441472,0.00561213,0.0176257,0.00215219,0.00601627,0.00660818,0.0096531,0.00116604,0.00135964,0.00191042,0.00185294,0,0,0,0,0,0
