Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,Luggage:LBR,,,Luggage:LMR,,,Luggage:LML,,,Luggage:LBL,,,Luggage:LTL,,,Luggage:LTR,,,Luggage:IMU_M,,,Luggage:IMU_L,,,Luggage:IMU_R,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
6017,0,1015.276794,-561.576965,1679.155640,,,,1026.127441,-737.354431,1698.729492,1127.728027,-720.029236,1689.421021,995.685547,-656.701172,1568.191162,1126.919312,-652.309570,1555.251099,1067.443726,-837.084778,1496.498047,1070.221802,-896.669861,1357.066650,1047.979858,-667.059204,1428.687012,,,,1177.884888,-877.542542,1407.361816,864.061462,-782.596313,1453.158691,809.510071,-849.163940,1259.510010,798.795654,-888.795654,1157.769287,,,,737.325256,-872.060913,1027.399414,709.834900,-803.424500,929.085388,753.304260,-872.020203,908.192749,650.547607,-853.625549,809.348999,723.104797,-870.975464,834.103821,1268.180786,-742.137695,1451.102539,1308.421997,-805.343750,1283.209961,1330.306519,-828.173584,1146.749390,,,,1363.378174,-790.230408,1032.251099,1322.277832,-725.826904,893.437683,1383.688721,-778.689819,889.249390,1364.758545,-705.185425,764.914429,1391.272583,-774.093628,810.926086,912.622009,-713.552551,1030.934937,1128.598511,-674.675476,1039.078491,977.926392,-882.086792,1068.217285,1127.549194,-868.649719,1063.282715,889.049438,-801.848267,1056.390137,1184.806885,-760.216064,1064.970459,862.782654,-805.183777,935.592773,862.126648,-755.924927,673.715271,855.789551,-700.763611,609.273254,889.553467,-764.620850,554.476257,898.797119,-817.774292,621.185730,879.913330,-740.851135,495.177002,,,,879.929626,-894.458923,391.534210,887.180481,-907.224487,327.963654,910.562927,-993.239746,351.724701,909.775879,-978.451233,408.859406,938.516846,-1089.838623,265.730560,,,,1003.639099,-1144.956299,306.097321,983.224731,-1033.065186,56.493019,1222.379517,-774.648682,975.971924,,,,1199.754272,-735.370544,679.469055,1180.411377,-653.530945,652.723083,1172.090332,-688.403564,574.762634,1185.489258,-765.942688,601.876648,1168.470581,-686.514038,524.297668,,,,1185.002197,-730.165039,341.588226,1156.161499,-674.514282,275.243622,1163.206177,-721.238953,240.445160,1179.963623,-778.271301,306.544830,1132.471680,-747.331604,90.899330,,,,,,,1068.148315,-543.027283,46.088165,1139.601562,-580.757751,44.044357,,,,,,,531.327332,-1128.455933,347.347076,530.166016,-1299.127197,140.916077,618.617188,-825.786621,771.520569,776.914185,-837.146423,781.179382,722.431091,-1055.666626,496.648621,681.326782,-1051.608521,491.861542,756.977295,-1038.690186,486.099976
6018,0,1014.125732,-552.027771,1679.949585,,,,1026.866577,-726.775879,1700.222778,1128.377319,-708.929504,1690.819214,995.994751,-646.642761,1569.465576,1127.174072,-641.633057,1556.487183,1068.506592,-826.704895,1497.575195,1071.293823,-886.035828,1357.941040,1048.051392,-656.710205,1430.252319,,,,1179.055176,-866.446350,1408.284912,864.681885,-772.722778,1454.634521,810.130920,-838.647644,1260.679199,799.513672,-878.611023,1159.284668,,,,737.960693,-861.316895,1028.521240,709.943054,-792.849854,930.397522,753.964844,-861.089783,909.434631,651.030212,-843.044312,810.447998,723.743774,-860.226196,835.472717,1268.601196,-730.662537,1452.215210,1309.433472,-792.780212,1284.085449,1331.669556,-814.903076,1147.538818,,,,1364.220215,-776.067139,1033.258179,1322.551270,-710.994324,895.222839,1384.366943,-763.336182,890.301880,1365.150269,-688.496216,766.852234,1391.870483,-757.885864,812.023010,913.154480,-702.084900,1032.714355,1129.039062,-663.538330,1040.266357,978.114075,-870.580566,1069.614014,1127.760132,-857.393738,1064.591553,889.574097,-790.482483,1058.205566,1185.790649,-752.417175,1067.070190,862.810730,-792.980042,937.423340,861.427246,-738.711060,676.531372,854.187927,-682.107727,612.930542,888.961426,-744.452942,557.203430,899.010376,-798.831421,622.678345,878.901733,-719.972107,498.799805,,,,879.655273,-873.340942,396.158600,886.313110,-885.653870,332.114258,910.295227,-970.851685,354.536926,909.877441,-956.854736,412.224609,938.159485,-1067.028931,268.137238,,,,1002.788452,-1123.824829,306.233856,981.142761,-1005.331055,60.141327,1222.639893,-763.978149,976.621826,,,,1200.215942,-727.422180,679.640869,1180.271484,-647.758240,652.218323,1172.995117,-680.098450,574.637451,1186.203613,-759.192261,602.678162,1168.795532,-680.899109,523.863403,,,,1185.374268,-726.546082,341.848511,1155.894409,-672.180542,274.962830,1163.249146,-718.914612,240.514999,1180.187012,-775.130432,307.190338,1132.803467,-746.934937,91.669830,,,,,,,1068.270752,-542.828735,45.706078,1139.673584,-580.596619,43.832672,,,,,,,532.179871,-1115.895508,347.805878,530.615845,-1286.344238,140.938034,619.017273,-815.055115,772.784058,777.278870,-826.593201,782.442139,723.389038,-1044.049438,497.430786,682.574341,-1039.767334,492.486420,757.730164,-1026.900757,486.651062
6019,0,1014.291382,-540.923828,1681.051880,,,,1027.536133,-716.284363,1701.747070,1128.913696,-697.830505,1692.277100,996.163818,-636.883606,1570.793945,1127.305054,-631.029663,1557.787109,1069.418823,-816.590088,1499.121216,1072.129761,-875.392334,1358.963013,1048.195068,-646.313293,1431.845703,1045.355347,-628.958801,1330.581665,1180.052856,-855.523926,1409.349854,865.223206,-763.030212,1456.069092,810.843689,-828.486328,1261.881104,800.584900,-867.729614,1159.984131,,,,738.570618,-851.203735,1029.730347,710.129517,-782.667786,931.713501,754.671387,-850.561279,910.553955,651.528442,-832.972900,811.597656,724.388672,-849.827332,836.542480,1269.023315,-719.429199,1453.498413,1310.367554,-780.299500,1285.009888,1332.873291,-801.686218,1148.320923,,,,1365.044800,-762.043518,1034.472168,1322.543945,-696.401245,896.652466,1384.940796,-747.724548,891.500061,1365.417236,-671.842468,768.911987,1392.434937,-741.695862,813.279968,913.997620,-690.222961,1034.574341,1129.712280,-652.750122,1041.506470,978.274475,-859.085754,1071.114136,1127.969360,-846.194092,1065.743164,890.311890,-779.189880,1060.237427,1186.128174,-740.732056,1067.914062,862.728516,-780.675598,939.521545,860.642822,-721.588318,679.668152,852.913879,-663.628662,617.304688,888.168701,-724.578796,560.251282,898.788147,-780.129333,624.632507,877.699585,-698.145630,502.352051,,,,879.322754,-851.593018,399.526917,885.793762,-862.806824,335.671234,909.839355,-948.866577,357.140839,910.049255,-935.196472,414.441071,937.024719,-1043.603882,268.687622,,,,1001.820312,-1102.177979,305.331329,979.261169,-977.424072,62.145798,1222.826050,-753.377319,977.097473,,,,1200.522949,-719.711670,679.938721,1180.905396,-639.496460,651.287354,1173.298828,-673.809326,574.601624,1186.489136,-752.337036,603.245544,1169.088379,-675.594604,523.201477,,,,1185.318726,-723.909668,341.769165,1156.284180,-669.732422,274.346375,1163.357910,-717.282654,240.543686,1180.036865,-772.830994,307.846924,1132.668701,-746.466675,91.993011,,,,,,,1068.399536,-542.596191,45.281254,1139.730225,-580.454468,43.584221,,,,,,,532.806396,-1103.537476,348.169464,531.094788,-1273.844604,141.168518,619.555359,-804.533691,774.047974,777.779419,-815.977234,783.547241,723.838318,-1031.859375,497.012756,682.917908,-1027.811279,492.461273,758.386353,-1014.966125,486.651672
6020,0,1013.793823,-530.698242,1681.949951,,,,1028.180542,-705.923706,1703.362549,1129.439331,-686.752686,1693.832031,996.140076,-627.268616,1572.151123,1127.369263,-620.501038,1559.177246,1070.041260,-806.322632,1500.432251,1072.823608,-864.777344,1360.130249,1048.432617,-635.957825,1433.567139,1045.445557,-618.404663,1332.489136,1180.830444,-844.667236,1410.365234,865.729553,-753.285034,1457.392334,811.519287,-818.549988,1263.098755,801.476868,-858.176636,1161.242554,,,,739.374084,-841.207581,1030.808350,710.411011,-772.795532,932.970215,755.408813,-840.338013,911.677795,652.203369,-822.999084,812.482178,725.147217,-839.628540,837.547974,1269.469971,-708.083252,1454.703491,1311.204224,-767.940674,1286.007690,1333.879517,-788.458374,1149.182129,,,,1365.533691,-747.757996,1035.591431,1322.797485,-681.136047,898.384338,1385.427856,-732.255676,892.855286,1365.551880,-655.448792,771.048157,1392.954102,-725.440002,814.722534,914.822144,-678.532654,1036.473389,1130.853516,-642.258606,1042.952148,978.445129,-847.465515,1072.771973,1128.148560,-835.045044,1066.785522,889.277771,-763.746826,1061.327637,1186.669067,-729.851685,1068.811890,862.517578,-768.444885,941.916565,859.807495,-704.744507,683.213867,851.842346,-645.382263,621.970764,887.245667,-705.193298,563.751343,898.210266,-762.408264,627.196655,876.924561,-677.530029,506.337952,,,,879.635254,-829.746826,401.426575,884.513916,-840.508118,337.933563,909.145325,-926.212646,358.022430,909.938171,-913.508606,415.476898,936.287415,-1020.575073,268.454773,,,,1000.832458,-1079.305908,303.645752,977.160522,-949.159790,63.335621,1223.083374,-742.930786,977.544067,,,,1200.647095,-712.341248,680.296265,1181.102295,-632.029114,650.686768,1173.457642,-667.948547,574.195129,1186.443604,-745.854187,603.987366,1169.213135,-670.950012,522.952393,,,,1185.216309,-722.003296,342.077820,1156.769775,-668.378052,274.120850,1163.432861,-715.997681,240.621887,1179.302979,-771.360657,309.002472,1132.342285,-746.101746,92.264214,,,,,,,1068.413330,-542.340332,44.718983,1139.642822,-580.249939,43.237747,,,,,,,533.527405,-1091.243042,348.461395,531.713745,-1261.274902,141.424423,620.128845,-794.381775,775.308655,778.800293,-807.297729,784.739807,724.958435,-1019.796631,497.358521,684.165100,-1015.682922,493.009583,759.382690,-1002.811890,486.747803
6021,0,1013.403320,-519.990662,1683.138794,,,,1028.785645,-695.757080,1704.878540,1129.854736,-675.698547,1695.333374,996.103699,-617.570862,1573.591187,1127.303223,-609.941772,1560.554321,1070.334473,-795.797974,1501.347534,1073.428589,-854.253235,1361.276123,1048.536377,-625.448303,1435.252808,1045.942505,-607.875244,1334.931885,1181.463257,-833.954407,1411.391357,866.054260,-743.507568,1458.630737,812.164062,-808.938660,1264.302490,802.497192,-847.994202,1162.170898,,,,739.989319,-831.793579,1032.129761,710.942810,-762.991943,934.130798,756.277710,-830.336060,912.730652,652.924622,-813.220032,813.369690,725.999817,-829.476013,838.381714,1269.767090,-697.315674,1456.109741,1311.925537,-755.737305,1287.077881,1334.748779,-775.411560,1150.092407,,,,1366.075562,-733.698914,1036.902954,1322.836792,-666.159241,900.355347,1385.888550,-716.759277,894.315857,1365.763062,-638.864441,773.300049,1393.490356,-709.167480,816.340820,915.873291,-666.643127,1038.509399,1132.846436,-630.436340,1044.246460,978.646484,-835.924133,1074.355835,1128.341919,-823.808472,1067.745972,889.715454,-752.049988,1063.352905,1187.215820,-718.799377,1069.507446,862.233826,-756.237427,944.370544,858.793274,-687.246460,686.949280,850.701050,-627.081726,626.219604,886.106873,-685.827698,566.783875,896.869263,-743.467834,629.738159,876.079956,-657.083130,510.223022,,,,878.884216,-808.261841,403.047668,883.345886,-817.480774,339.203613,908.298401,-903.253052,357.806427,909.476318,-891.830017,415.501282,934.962097,-997.035400,266.205353,,,,999.925903,-1056.852661,300.366302,974.815308,-919.895142,63.739426,1223.351929,-732.643494,977.900818,,,,1200.633423,-705.373962,680.529602,1181.118530,-624.834839,649.664673,1173.278809,-662.285339,573.809692,1186.300293,-740.082031,604.843750,1169.408203,-666.585632,522.518311,,,,1185.567993,-720.213562,342.427765,1157.310059,-666.928345,273.894440,1163.513794,-714.937805,240.781738,1178.445923,-769.697815,309.621338,1132.179321,-745.922791,92.568970,,,,,,,1068.494751,-542.037231,44.317989,1139.655884,-580.030884,42.905338,,,,,,,534.262634,-1078.875000,348.748322,532.318115,-1248.764648,141.558105,620.865479,-784.229614,776.491821,779.505615,-796.650635,785.512695,726.068542,-1008.019470,497.670868,684.746094,-1003.602051,492.584564,760.385315,-990.661621,486.927155
6022,0,1011.950623,-510.801331,1684.060303,,,,1029.298218,-685.646057,1706.382080,1130.230225,-664.732239,1696.783813,995.919922,-608.075745,1574.984375,1127.142944,-599.369202,1561.867798,1070.837402,-785.749390,1502.559937,1073.957764,-843.749329,1362.254517,1048.718750,-615.009460,1436.867065,1046.087769,-597.235046,1336.015015,1181.956299,-823.304626,1412.383911,866.404114,-733.601257,1459.730591,812.790894,-799.431519,1265.515137,803.386719,-837.990356,1163.095703,,,,740.882935,-821.807129,1032.886597,711.473999,-753.493286,935.204956,757.235474,-820.559082,913.723083,653.888123,-803.158691,814.077332,727.029114,-819.532898,839.284607,1270.064941,-686.616699,1457.614014,1312.528442,-743.682495,1288.211060,1335.408203,-762.462830,1151.065430,,,,1366.184937,-719.305664,1037.994507,1322.925415,-650.948242,902.415771,1386.022217,-700.610596,895.846375,1365.659546,-621.948792,775.474976,1393.896851,-692.848267,818.129272,916.458679,-654.997437,1040.338501,1134.305786,-621.044983,1045.663452,978.873108,-824.496033,1075.920166,1128.504883,-812.565308,1068.752686,890.185547,-740.469910,1065.369019,1187.663574,-707.666138,1070.195190,861.847717,-743.902466,946.891785,857.725464,-670.233765,690.488831,850.194275,-609.617065,631.145874,884.887146,-667.059204,570.343811,895.175537,-726.030640,632.271851,875.339172,-637.139709,514.085266,,,,877.177429,-786.497070,403.899536,882.088196,-794.552246,339.724762,906.970276,-881.040710,356.789856,908.575684,-870.101929,414.568207,933.473999,-972.786987,263.341339,,,,998.679993,-1033.840576,295.363922,972.153870,-889.425842,63.448578,1223.650391,-723.778320,978.747986,908.543152,-941.022156,99.505875,1200.372070,-698.755676,680.723938,1181.430298,-618.714294,648.850586,1173.325806,-657.268982,573.477234,1185.899658,-734.631775,605.734802,1169.659912,-662.373596,522.178406,,,,1185.479980,-718.197205,342.752350,1157.700562,-665.200134,273.475403,1163.299927,-713.644775,241.205734,1177.931030,-767.913147,310.322998,1131.741577,-745.376892,92.945061,,,,,,,1068.519043,-541.784912,43.923393,1139.613281,-579.811157,42.531212,,,,,,,534.779358,-1066.492676,348.714264,532.792358,-1236.242065,141.547318,621.725891,-773.850098,777.371704,780.119934,-785.415222,786.146057,726.586426,-995.373535,496.999695,685.794128,-991.194763,492.647766,761.073547,-978.434448,486.792511
6023,0,1011.371948,-500.125946,1685.452759,1121.565552,-500.576965,1682.547607,1029.742188,-675.647705,1707.832153,1130.508911,-653.814819,1698.112671,995.667664,-598.465698,1576.242676,1126.888428,-588.834167,1563.171265,1071.347534,-775.786804,1503.831299,1074.473145,-833.311096,1363.124512,1048.820557,-604.682068,1438.339722,1046.352539,-586.519226,1337.758911,1182.424805,-812.747925,1413.451416,866.649109,-723.761230,1460.806396,813.447144,-790.064331,1266.593506,804.180847,-828.227905,1163.933716,,,,741.579102,-812.322876,1033.837891,712.277100,-743.797302,936.146362,758.097717,-810.768188,914.655457,654.878174,-793.127625,814.724243,728.023376,-809.540100,839.911743,1270.308228,-676.124817,1459.210205,1313.051270,-731.870422,1289.458984,1335.937134,-749.772705,1152.133179,,,,1366.647461,-705.587708,1039.686768,1323.093750,-634.194336,904.414612,1386.192261,-684.899963,897.555603,1366.133179,-605.849304,778.318298,1394.243774,-676.469055,820.023254,917.002258,-643.633606,1042.231323,1135.667847,-611.062927,1046.642700,979.069214,-813.113892,1077.426758,1128.592163,-801.416382,1069.721313,890.639465,-728.680542,1067.120117,1188.018677,-696.701355,1070.848022,861.429504,-731.785034,949.365356,856.527771,-653.346191,693.842712,849.677307,-592.140625,635.995239,883.325867,-648.949585,574.132263,893.123352,-708.684448,634.772034,874.901428,-617.698547,517.948486,,,,876.139465,-764.534973,403.979736,881.023315,-771.530273,339.754364,905.803650,-858.381531,355.179932,907.365173,-848.334290,412.817688,931.975098,-948.061768,259.521332,,,,997.379272,-1010.505188,288.965088,969.527283,-857.493774,63.100769,1223.622437,-713.523071,978.400330,906.117432,-910.709595,97.218422,1200.106323,-692.528076,681.106445,1181.184082,-612.027588,647.267517,1173.514526,-652.409424,572.983521,1185.401489,-729.434814,606.700745,1169.929810,-658.181152,521.820801,,,,1185.703857,-715.770874,343.005859,1157.760986,-663.309021,273.427124,1163.398560,-711.873657,241.270386,1178.049072,-765.847778,311.071320,1131.606934,-744.896606,93.266747,,,,,,,1068.594116,-541.467224,43.510654,1139.497803,-579.487610,41.989300,,,,,,,535.577087,-1053.337891,348.488037,533.323792,-1223.522949,141.623093,622.785522,-763.391846,778.261047,781.084900,-775.048706,786.866577,727.380127,-983.434692,497.032135,686.119690,-978.971313,492.063904,761.734924,-966.174988,486.560120
6024,0,1009.649414,-491.120697,1686.330200,1120.166748,-489.646637,1683.766113,1030.099976,-665.733459,1709.203003,1130.649780,-643.022705,1699.483398,995.254517,-588.853088,1577.562134,1126.539795,-578.209351,1564.462280,1071.597534,-765.529175,1504.784546,1074.904053,-822.742554,1363.894897,1049.147949,-593.454041,1439.962891,1046.552002,-575.817261,1339.386841,1182.803711,-802.146545,1414.449829,866.886780,-714.067078,1461.753052,813.969299,-780.784180,1267.708130,804.840088,-818.708313,1164.926514,,,,742.490601,-802.595154,1034.603516,713.181763,-734.160767,937.016357,759.141663,-801.056213,915.467407,655.859558,-782.807373,815.188599,729.012695,-799.349304,840.442078,1270.509521,-665.678406,1460.867065,1313.427734,-720.181763,1290.731201,1336.315308,-737.157043,1153.253418,,,,1366.833618,-691.697632,1041.187500,1322.799683,-619.554077,906.640076,1386.280151,-669.244324,899.372437,1365.985229,-589.278442,780.833984,1394.473389,-660.101379,822.158020,917.523376,-632.049622,1043.973022,1136.567383,-599.341858,1047.715576,979.216370,-801.770874,1078.721558,1128.659912,-790.352844,1070.598999,890.899963,-717.204346,1068.862671,1188.486694,-685.930176,1071.396118,861.077515,-718.976868,951.450134,855.498779,-636.914062,697.513550,849.459229,-574.701599,640.814697,881.977539,-630.986511,577.803284,890.601135,-691.832642,636.801819,874.375549,-598.295349,521.719604,,,,874.695190,-743.343140,403.860931,880.046875,-747.935608,339.154175,904.463684,-834.919922,352.243164,905.966797,-826.813354,410.515259,930.337769,-922.719116,254.670853,,,,995.743103,-986.758240,280.839783,966.215393,-825.004578,61.990726,1223.676880,-702.732910,978.547424,903.269958,-879.023987,94.623787,1199.900146,-686.565735,681.568237,1181.858032,-607.319214,647.132019,1173.789673,-647.839355,573.016357,1184.928589,-724.369873,607.841370,1170.266479,-654.239014,521.785706,,,,1185.802368,-713.089294,343.419373,1158.013062,-660.828064,273.484375,1163.551270,-710.078369,241.641983,1178.275146,-763.362915,311.746796,1131.545288,-744.337219,93.657631,,,,,,,1068.805542,-541.062683,43.248306,1139.793457,-579.322388,42.227535,,,,,,,535.943542,-1040.917603,348.620209,533.794434,-1211.032471,141.833939,623.910156,-752.693176,778.906799,782.095032,-764.481934,787.483459,727.828857,-970.881897,496.387665,687.048767,-966.540222,491.974091,762.401306,-953.743713,486.151489
6025,0,1009.031677,-480.574921,1687.380615,1118.750488,-478.829529,1684.636108,1030.292114,-655.694031,1710.573364,1130.653320,-632.223511,1700.788940,994.149658,-579.868286,1578.843384,1126.115723,-567.566162,1565.716675,1071.733765,-755.162903,1505.703491,1075.350220,-812.151001,1364.646973,1048.794678,-583.406372,1440.925293,1046.607056,-565.169739,1340.925537,1183.137207,-791.462097,1415.361694,867.040405,-704.211548,1462.662109,814.561462,-771.361267,1268.613037,805.372498,-809.052246,1165.613159,,,,743.272034,-792.833130,1035.274902,714.614014,-724.092590,937.949890,759.943115,-791.112488,916.171753,656.963257,-772.086487,815.718323,729.937988,-789.028198,840.793762,1270.606934,-655.273621,1462.515137,1313.727661,-708.666565,1291.991577,1336.607666,-724.722107,1154.422119,,,,1366.981079,-677.875916,1042.756470,1323.054810,-604.569153,909.385254,1386.246582,-653.583374,901.322632,1365.431396,-572.814758,783.399414,1394.526123,-643.546082,824.294861,917.943298,-620.652588,1045.641724,1136.607666,-588.724548,1047.983643,979.282349,-790.544800,1079.929810,1128.617920,-779.352966,1071.470703,891.204773,-705.756226,1070.360229,1188.593262,-675.043945,1072.079590,860.265625,-707.529968,953.826355,854.535095,-621.009521,701.316406,850.803711,-557.138245,645.515076,880.394043,-613.460205,581.216919,888.003113,-675.889160,639.148804,874.028442,-579.153809,525.268921,,,,873.975708,-720.734863,402.738892,879.248047,-724.736267,338.387360,903.289368,-812.091125,349.493378,904.530823,-805.477356,407.498077,928.674500,-896.971741,249.089233,,,,994.008057,-962.708984,271.786377,963.468079,-790.934082,60.659000,1223.923950,-693.510132,979.259827,900.043945,-845.760742,91.575462,1199.747559,-680.441956,681.947815,1182.337402,-601.407288,646.145874,1174.296143,-643.167786,572.766846,1184.718628,-719.464111,609.045105,1170.668091,-650.375549,521.750610,,,,1185.757324,-710.576355,343.782166,1158.099854,-658.719421,273.235992,1163.536743,-708.349792,242.138351,1178.345215,-760.974915,312.650452,1131.533691,-743.739014,94.256653,,,,,,,1068.806152,-540.985596,42.798916,1139.741821,-579.076721,41.840454,,,,,,,536.656494,-1028.163086,348.456390,534.219177,-1198.497314,141.867874,624.964600,-741.905334,779.573853,783.507690,-753.935608,787.896606,728.791565,-958.430298,496.329285,687.365723,-953.946228,491.099487,763.095032,-941.065918,485.820526
