Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0.0166366,0.0113164,0,0,0,0.0433371,0.016153,0.0252662,0.0110888,0,0,0,0,0.00990049,0,0.0190472,0.0067439,0.0451987,0.0262595,0.022139,0.0118423,0,0,0.0128472,0.0112044,0.0125194,0.0173986,0.0119183,0.0492694,0.0144125,0.0214146,0.0125826,0.0112691,0,0.0521166,0,0.00786396,0.00931578,0.00532206,0.0234587,0.0125842,0.0117024,0.0120957,0.0262792,0,0,0.0127325,0,0.0103405,0.00865157,0.0584058,0.0193562,0.0265624,0.00728277,0.00994157,0.0182465,0.00858767,0.0516462,0.00851537,0.0121634,0.0122982,0.0168018,0.00706956,0.0155023,0.0301791,0.00918052,0.00607044,0.00411211,0.0145263,0.019783,0,0,0,0
0,0.0133971,0.0076759,0,0,0,0.00837873,0.0163314,0.0106999,0.0102178,0,0,0,0,0.0107535,0,0.0182599,0.0054982,0.0474603,0.0103429,0.020422,0.00897501,0,0,0.00918024,0.00728209,0.0182034,0.0201337,0.0197609,0.0487593,0.0103014,0.0124048,0.00966517,0.00836183,0,0.0122874,0,0.00741097,0.00892144,0.00446135,0.0158324,0.0134721,0.0184292,0.0131723,0.0255865,0,0,0.00620858,0,0.00969355,0.00469842,0.056888,0.0224924,0.0263095,0.00424023,0.0129945,0.0165532,0.00486452,0.0508944,0.00444639,0.00379966,0.0094206,0.0113803,0.0109373,0.010375,0.0281554,0.00718987,0.00179961,0.00361649,0.0114539,0.0166975,0,0,0,0
1,0.0131478,0.00813325,0,0,0,0.00715399,0.0162264,0.0113655,0.0103186,0,0,0,0,0.0109074,0,0.0183451,0.00559427,0.0475048,0.0135591,0.0206134,0.0101099,0,0,0.0091414,0.00727579,0.01681,0.0173074,0.0164327,0.0480245,0.0109234,0.012762,0.00979721,0.00805476,0,0.0118095,0,0.00755562,0.00890036,0.00437479,0.0162253,0.013181,0.0189729,0.0118433,0.0253413,0,0,0.00492942,0,0.00981497,0.00433802,0.0570579,0.019454,0.0266006,0.00479747,0.0130254,0.0163461,0.00600017,0.0514515,0.00563884,0.00583464,0.00870722,0.0111617,0.0103167,0.00917975,0.0278555,0.0066781,0.00208641,0.00349827,0.0124216,0.0161429,0,0,0,0
2,0.0130573,0.00863142,0,0,0,0.00686933,0.0161873,0.0120478,0.0103186,0,0,0,0,0.0108936,0,0.0184783,0.00564063,0.0477766,0.0154316,0.0206033,0.0103529,0,0,0.00893119,0.00760111,0.0137168,0.0134913,0.0138947,0.0468414,0.010661,0.0126087,0.0097684,0.00846284,0,0.0124966,0,0.00770052,0.00890477,0.00429291,0.0160119,0.0130421,0.0193133,0.0104346,0.0254121,0,0,0.0039353,0,0.00990311,0.00425113,0.0571277,0.0173098,0.0268755,0.00569373,0.0131017,0.0164799,0.00714963,0.0523795,0.00705634,0.00772803,0.00805179,0.0112241,0.00970078,0.00874176,0.027372,0.00622443,0.00208401,0.00339028,0.0135319,0.0160582,0,0,0,0
3,0.0130659,0.0091035,0,0,0,0.00737379,0.0162158,0.0119366,0.0103366,0,0,0,0,0.010717,0,0.0186138,0.0056561,0.048054,0.0157512,0.0203277,0.00999798,0,0,0.00869216,0.00800152,0.0101426,0.00987527,0.0121735,0.0454966,0.0102148,0.0124459,0.00963968,0.00901748,0,0.0137152,0,0.0078201,0.00892758,0.0042386,0.015384,0.0130157,0.0189673,0.00922342,0.0256795,0,0,0.00336142,0,0.00992908,0.00413515,0.0570179,0.016109,0.0271658,0.00668644,0.0132346,0.0168636,0.00837491,0.0534475,0.0083309,0.00948802,0.00734318,0.0115793,0.00914867,0.00837775,0.0268022,0.00594546,0.00187408,0.00328385,0.0145901,0.016228,0,0,0,0
4,0.0131341,0.00955501,0,0,0,0.00881182,0.0162673,0.0113461,0.0102735,0,0,0,0,0.0104699,0,0.0187767,0.00567904,0.0483105,0.0149231,0.019991,0.00939998,0,0,0.00840425,0.00838073,0.00862427,0.00844533,0.0113329,0.0444383,0.0098363,0.0125161,0.00968592,0.00940569,0,0.0154107,0,0.00786517,0.00897112,0.00420533,0.0145342,0.0130935,0.0182047,0.00825067,0.0260535,0,0,0.00324722,0,0.00990842,0.00397509,0.0566648,0.0160599,0.0274608,0.00762336,0.0132301,0.0173933,0.00960835,0.0544194,0.00938236,0.0110979,0.00640379,0.0122806,0.00856612,0.00766393,0.025935,0.00589418,0.0016369,0.00316523,0.0154082,0.0164603,0,0,0,0
5,0.0132876,0.00991996,0,0,0,0.0107388,0.0163325,0.0106725,0.0100076,0,0,0,0,0.0102207,0,0.0189092,0.00578261,0.0486646,0.0136745,0.019651,0.00877134,0,0,0.00814593,0.00876812,0.00883911,0.00852187,0.0113081,0.044166,0.00954618,0.0126981,0.0098148,0.00965072,0,0.0172842,0,0.00795239,0.0089867,0.00420882,0.0133418,0.013318,0.0173657,0.00739464,0.0264597,0,0,0.00330057,0,0.00988332,0.00371833,0.0561595,0.0175183,0.0276758,0.00832898,0.0130001,0.0180383,0.0107994,0.0551712,0.010303,0.0124924,0.00535255,0.0131269,0.00805597,0.00653998,0.0243488,0.00612349,0.00151079,0.00286406,0.0158358,0.0166819,0,0,0,0
6,0.0134472,0.0102367,0,0,0,0.0128478,0.0164207,0.0100843,0.00949343,0,0,0,0,0.0100391,0,0.019006,0.00605629,0.0489889,0.0123853,0.019279,0.00857261,0,0,0.00801254,0.00918613,0.00977731,0.00898259,0.0114091,0.0443214,0.00918448,0.012698,0.00973714,0.00978468,0,0.0192376,0,0.00807542,0.00899799,0.00426996,0.012468,0.0135303,0.0164101,0.00656637,0.0268159,0,0,0.00340738,0,0.00980364,0.00346247,0.0557346,0.0199622,0.0278263,0.00865716,0.0125096,0.0186786,0.0117192,0.055852,0.0108799,0.0135774,0.00439343,0.0139397,0.00782218,0.00531425,0.0218225,0.0064765,0.00152548,0.00269246,0.015894,0.0168623,0,0,0,0
7,0.0136077,0.0105346,0,0,0,0.0153209,0.0165322,0.00986794,0.00902765,0,0,0,0,0.0101388,0,0.0191365,0.00645964,0.0490101,0.011519,0.018877,0.00869856,0,0,0.00804115,0.0096681,0.0108811,0.00982162,0.0114086,0.0446995,0.00901629,0.0127432,0.00963873,0.00967032,0,0.0215656,0,0.00811482,0.00903032,0.00436488,0.0126842,0.013764,0.0154969,0.00595356,0.0270636,0,0,0.00363921,0,0.00973072,0.0033329,0.0554837,0.0225043,0.0279431,0.00871921,0.0118473,0.0191542,0.0123579,0.0564053,0.0111928,0.0143846,0.00366419,0.0147193,0.00774064,0.00431881,0.0182277,0.00681099,0.00179447,0.00277531,0.0156103,0.017052,0,0,0,0
8,0.0136923,0.0106706,0,0,0,0.0178503,0.0166637,0.00993418,0.00862809,0,0,0,0,0.010383,0,0.0193134,0.00681852,0.0487829,0.011411,0.0184798,0.0089115,0,0,0.00813396,0.0101947,0.0117764,0.0110935,0.0112905,0.0451747,0.0095488,0.0131569,0.00961946,0.00923206,0,0.0241366,0,0.00812816,0.00908054,0.00450338,0.0142101,0.0139838,0.0151976,0.00560724,0.027153,0,0,0.00382148,0,0.00967779,0.00321194,0.0553036,0.0243139,0.0280254,0.0086136,0.0111486,0.019459,0.0128748,0.0565806,0.0112628,0.0151497,0.0032257,0.0153156,0.00764329,0.00368982,0.0159249,0.00730145,0.00230083,0.00285446,0.0152687,0.0172353,0,0,0,0
