Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,STRN,LBR
All Timesteps RMSE,0.0138038,0.013343,0,0,0,0.0487051,0.016756,0.0244256,0.0262465,0,0,0,0.014877,0,0.0177871,0.006453,0.0395949,0.0280984,0.0261312,0.0217362,0,0,0.037767,0.0111715,0.0181124,0.0282573,0.0175798,0.0555707,0.020666,0.0294127,0.0160242,0.016253,0,0.0616283,0,0.0129559,0.0088068,0.0047036,0.0211388,0.0138487,0.0116315,0.030905,0.0149452,0,0,0.0123226,0,0.0103786,0.00655786,0.0539365,0.0189385,0.0242549,0.00808997,0.035273,0.00835269,0.00949013,0.0551242,0.0102253,0.0107208,0.0100201,0.0150115,0.00698137,0.0126967,0.0279513,0.00725585,0.00868762,0.00416945,0.0178151,0,0,0,0.0184631,0
0,0.0147363,0.0149795,0,0,0,0.0148092,0.0173253,0.014989,0.0257617,0,0,0,0.0236852,0,0.0163149,0.0108354,0.0409396,0.00651321,0.0307036,0.0188921,0,0,0.0415882,0.0133564,0.0223099,0.0288864,0.0226852,0.0549785,0.0176729,0.0205738,0.0166721,0.0160841,0,0.0209005,0,0.0173964,0.00817639,0.00641054,0.00947906,0.011534,0.0111552,0.0258184,0.0130385,0,0,0.00983456,0,0.00973831,0.00307783,0.055704,0.0163298,0.0213849,0.00539308,0.0316789,0.0167276,0.00266502,0.0504355,0.00203512,0.00281281,0.00998558,0.0113544,0.00841571,0.00946107,0.017334,0.0124488,0.00602065,0.00538753,0.0207435,0,0,0,0,0
1,0.0148663,0.0143484,0,0,0,0.0204023,0.0171317,0.0126489,0.024879,0,0,0,0.0238801,0,0.0161927,0.0109052,0.0417002,0,0.0291132,0.0192416,0,0,0.0401551,0.0130725,0.0228385,0.030041,0.0220211,0.0554945,0.0182368,0.0217269,0.0158445,0.0146501,0,0.0271966,0,0.0175939,0.00820437,0.00634206,0.0110342,0.0114303,0.0117211,0.0266536,0.012687,0,0,0.00964257,0,0.00985964,0.00311747,0.0555743,0.0137711,0.0215101,0.00495399,0.0312512,0.0162372,0.00392024,0.051135,0.00210188,0.00359985,0.00979447,0.0114173,0.00787548,0.00911706,0.0171126,0.0116723,0.00603487,0.00531294,0.0200801,0,0,0,0,0
2,0.0147608,0.0131364,0,0,0,0.0209437,0.0172007,0.0114515,0.024762,0,0,0,0.0250158,0,0.0160612,0.0112466,0.0429692,0.0110998,0.0263196,0.0205732,0,0,0.0411019,0.0129262,0.0240931,0.0305917,0.0221655,0.0565054,0.0190433,0.022707,0.0157779,0.0150831,0,0.0282714,0,0.0187416,0.00803335,0.00662329,0.0109821,0.0114777,0.0128786,0.0286966,0.0124214,0,0,0.0090348,0,0.010062,0.00311362,0.055297,0.0120044,0,0.00434246,0.032559,0.0158461,0.00596031,0.0515134,0.00280981,0.00604855,0.00956499,0.0116202,0.00724685,0.00965692,0.0160352,0.010646,0.00626411,0.00522177,0.0210001,0,0,0,0,0
3,0.0149611,0.0133384,0,0,0,0.022843,0.0168711,0.011308,0.0246796,0,0,0,0.0241948,0,0.0161289,0.0109586,0.0424792,0,0.0277861,0.0196143,0,0,0.0393297,0.0131141,0.020633,0.0265928,0.019758,0.0551704,0.0185403,0.022463,0.0154709,0.0147825,0,0.0317585,0,0.0182426,0.00826121,0.00648688,0.0120224,0.0115411,0.014281,0.0292315,0.0128005,0,0,0.00824737,0,0.0101441,0.00289582,0.0555375,0.0105955,0.0221027,0.00518684,0.031529,0.0151018,0.00581957,0.0528229,0.00477669,0.00598552,0.00974886,0.0109885,0.00752602,0.0105875,0.0184955,0.00973669,0.00588006,0.00502619,0.0202339,0,0,0,0.0178748,0
4,0.0119218,0.0101624,0,0,0,0.0251243,0.0161455,0.0121849,0.0265405,0,0,0,0.0203613,0,0.0159499,0.00845138,0.0424734,0,0.0283404,0.019771,0,0,0.0404125,0.00902444,0.0182047,0.0236887,0.0190456,0.0549007,0.0191751,0.0231819,0.0163835,0.016021,0,0.0356509,0,0.0137657,0.00844645,0.00554821,0.0128037,0.011665,0.0145002,0.0306156,0.0125848,0,0,0.00771269,0,0.00986876,0.00154336,0.0542302,0.00887629,0.0221463,0.00666633,0.032377,0.0129378,0.006934,0.0544538,0.00707182,0.00743117,0.0104486,0.0102972,0.00772973,0.0125388,0.0173699,0.00885442,0.00528275,0.00430283,0.0204639,0,0,0,0,0
5,0.0146322,0.0125025,0,0,0,0.0259432,0.0168837,0.0123122,0.0251979,0,0,0,0.0244754,0,0.0162178,0.0110785,0.0426322,0,0.0270591,0.0184664,0,0,0.0391628,0.0132924,0.0140246,0.0193518,0.0174882,0.0536557,0.0188145,0.0224547,0.016074,0.0158829,0,0.0369353,0,0.0186666,0.00830146,0.00663185,0.012531,0.0115223,0.0135161,0.0313876,0.0127389,0,0,0.00655465,0,0.0100208,0.00249781,0.0546806,0.00416261,0.0230206,0.00682316,0.0313734,0.0145976,0.00744271,0.0546796,0.00775652,0.00848752,0.00932805,0.0109457,0.0069119,0.0114476,0.0186309,0.00889998,0.00508123,0.00460539,0.0200449,0,0,0,0.0161618,0
6,0.0121913,0.00876946,0,0,0,0.0288625,0.0160816,0.0122876,0.0268142,0,0,0,0.0205218,0,0.016126,0.00866963,0.0426173,0.0176053,0.0278163,0.0183401,0,0,0.0400652,0.01088,0.0125004,0.0179723,0.0165258,0.0533943,0.019286,0.0228915,0.0164186,0.0165556,0,0.0403123,0,0.0136549,0.00851654,0.00566287,0.0124549,0.011647,0,0.0319274,0.012605,0,0,0.0061592,0,0.00999836,0.00233997,0.0524462,0.00232312,0.0225109,0.00878698,0.0316665,0.0134349,0.00890328,0.0566398,0.00999914,0.00974192,0.00959905,0.0105321,0.0069708,0.0125224,0.0170964,0.0087652,0.00454052,0.00437702,0.0201919,0,0,0,0.0158778,0
7,0.0121884,0.00872052,0,0,0,0.0304953,0.0160307,0.0116988,0.0266471,0,0,0,0.0207687,0,0.0162498,0.00908225,0.0426515,0.017791,0.0274516,0.0177738,0,0,0.0397763,0.0103767,0.012586,0.0179851,0.015879,0.0531902,0.0188224,0.0227214,0.0164611,0.0164745,0,0.0423106,0,0.014117,0.00859333,0.00584922,0.0124344,0.0118538,0.0128298,0.0322473,0.0129151,0,0,0.00488993,0,0.00978419,0.00168548,0.0517281,0.00447775,0.0226619,0.00958476,0.0315856,0.0131289,0.010198,0.057836,0.0115721,0.0114103,0.00821862,0.0115713,0.00575102,0.0112033,0.0177237,0.00847144,0.00361469,0.00402824,0.0200959,0,0,0,0.0154047,0
8,0.0121995,0.00848532,0,0,0,0.0320631,0.0159761,0.0106113,0.026367,0,0,0,0.0213086,0,0.0164865,0.00972796,0.0427213,0.017246,0.0269902,0.017344,0,0,0.0393037,0.00987859,0.0138607,0.0194828,0.0155369,0.0532287,0.0184509,0.0226469,0.0160567,0.016151,0,0.0440445,0,0.0146909,0.00867508,0.0061816,0.0113218,0.0122077,0.0111687,0.0328051,0.013426,0,0,0.00398679,0,0.00970871,0.00131258,0.0514437,0.0100463,0.02294,0.0100835,0.0316936,0.0125094,0.0112063,0.0589404,0.0123507,0.0126519,0.00673702,0.0124425,0.00485994,0.00953222,0.0157282,0.00820901,0.00274346,0.00374511,0.0205789,0,0,0,0.015165,0
