Timestep,,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LTIB
All Timesteps RMSE,0,0.0203779,0.0223897,0,0,0,0.0441175,0.0136401,0.0225664,0.00874437,0,0,0,0,0.0170668,0,0.0194105,0.00496909,0.0402795,0.0264096,0.0200729,0.0228641,0,0,0.0210721,0.0122455,0.0183175,0.0232875,0.019304,0.0534292,0.0382862,0.0581012,0.0145542,0,0.0493643,0,0.00806837,0.00940499,0.00376569,0.0228217,0.00857868,0.0119416,0.0097009,0.0191732,0,0,0.0267944,0,0.0156468,0.0209607,0.0525908,0.0209506,0.0240389,0.0128331,0.0216404,0.0207195,0.0112206,0.0546131,0.0128276,0.0129388,0.0118886,0.0126855,0.00824688,0.014496,0.0299157,0.0120118,0.00802756,0.0106467,0.0223441,0.0124161,0,0,0,0.0200064
0,0,0.0175135,0.0183755,0,0,0,0.0398172,0.0140089,0.0132575,0.00962029,0,0,0,0,0.0132095,0,0.0196351,0.00385614,0.038346,0.0356951,0.0196101,0.022015,0,0,0.0189536,0.00674936,0.0180041,0.0287867,0.0189686,0.0624404,0.0675372,0.0102407,0.0207145,0,0.0585999,0,0.00654121,0.00956152,0.0026508,0.0125511,0.00917777,0.00926631,0.0036113,0.0168037,0,0,0.0270169,0,0.0119479,0.0203289,0.0535682,0.0163558,0.0254231,0.0166957,0.0183937,0.0207297,0.0067018,0.0530812,0.0117265,0.0135378,0.0171578,0.011458,0.0105589,0.0195293,0.0143768,0.0117275,0.00658386,0.00832852,0.0186431,0.0113525,0,0,0,0
1,0,0.018886,0.0191065,0,0,0,0.0442635,0.0141229,0.0126914,0.010665,0,0,0,0,0.012215,0,0.0194707,0.00373825,0.0383558,0.0300968,0.01993,0.0216296,0,0,0.0194662,0.00730515,0.0176865,0.0278488,0.0183241,0.0619298,0.0662782,0.00870453,0.0166117,0,0.062134,0,0.00595667,0.00945055,0.00243967,0.0117573,0.00932198,0.00943599,0.00454598,0.018696,0,0,0.025683,0,0.0118251,0.0194973,0.0533052,0.0158246,0.0256586,0.0164253,0.0189872,0.0227332,0.00659739,0.0528699,0.011402,0.0128588,0.0168024,0.011439,0.0103863,0.0187699,0.0136295,0.0104851,0.00651718,0.00796742,0.0194816,0.0126618,0,0,0,0
2,0,0.0192607,0.0185522,0,0,0,0.0362791,0.0143376,0.00814729,0.0117201,0,0,0,0,0.0111702,0,0.0192602,0.00366396,0.0390428,0.0325496,0.0203011,0.0202692,0,0,0.0187759,0.00703401,0.0166511,0.0270774,0.0163646,0.0611436,0.0658386,0.00827034,0,0,0.0509348,0,0.00524661,0.00927048,0.00229701,0.0119727,0.00967846,0.00925244,0.00501838,0.0196661,0,0,0.0233135,0,0.0114741,0.0181029,0.0534077,0.0156657,0.025299,0.0162164,0.0188158,0.0232953,0.00648651,0.0524847,0.011075,0.0126419,0.0166179,0.011482,0.0102451,0.0184041,0.0141157,0.00932896,0.00627922,0.00732,0.0188617,0.0138112,0,0,0,0
3,0,0.0194355,0.0195468,0,0,0,0.047311,0.0142872,0.0158713,0.0103746,0,0,0,0,0.0120149,0,0.0193097,0.00356866,0.0382705,0,0.0195268,0.0203696,0,0,0.0209641,0.00734922,0.0159349,0.0243141,0.0165713,0.0608229,0.0631808,0.0103619,0.00961714,0,0.062683,0,0.00552081,0.00923528,0.00219489,0.0119677,0.00957668,0.00936414,0.00426185,0.0194717,0,0,0.023785,0,0.0115375,0.0184946,0.0531019,0.0161666,0.0252277,0.0163114,0.0198758,0.0240739,0.00666709,0.0526137,0.010991,0.0126261,0.0169026,0.0111296,0.0105496,0.0186334,0.0145473,0.00980437,0.0065933,0.00750529,0.0200965,0.0131202,0,0,0,0
4,0,0.0195803,0.0200474,0,0,0,0.0460433,0.0144382,0.0168659,0.00996806,0,0,0,0,0.0121605,0,0.0192213,0.00344276,0.0379149,0.0176629,0.0185748,0.0198239,0,0,0.0228435,0.00761521,0.014669,0.0215438,0.0159359,0.0605022,0.0614362,0.0115969,0.00745318,0,0.0590015,0,0.00542287,0.00912503,0.00206248,0.0121611,0.00971942,0.00937974,0.00380197,0.0192528,0,0,0.0231212,0,0.0114076,0.0180391,0.052998,0.0162443,0.0249792,0.0164293,0.0208923,0.0245248,0.00695261,0.052588,0.0109932,0.0125964,0.0169245,0.0110282,0.0105494,0.0186368,0.0148184,0.00969865,0.00658327,0.00732672,0.0207561,0.0130173,0,0,0,0
5,0,0.0197303,0.0203529,0,0,0,0.0448375,0.0145339,0.019084,0.00948077,0,0,0,0,0.0120795,0,0.0191562,0.00335317,0.0380781,0.0144663,0.0190039,0.0192208,0,0,0.0233715,0.00755148,0.0137788,0.0193943,0.015111,0.0597963,0.0597928,0.0137672,0.00612666,0,0.0554591,0,0.00509145,0.00903036,0.00198942,0.0124598,0.0098883,0.00938258,0.003755,0.0193297,0,0,0.0223198,0,0.0112813,0.0174986,0.0529441,0.0164746,0.024959,0.0164223,0.0210431,0.0248289,0.00725873,0.0524896,0.0108901,0.0125533,0.016946,0.0109606,0.0105702,0.0187287,0.0152415,0.00960133,0.00646698,0.00710522,0.0209792,0.0129116,0,0,0,0
6,0,0.019747,0.0204066,0,0,0,0.042283,0.0144597,0.0203749,0.00896719,0,0,0,0,0.0120669,0,0.019116,0.00322783,0.0385048,0.0134716,0.0196197,0.0186557,0,0,0.0230327,0.00796291,0.0131732,0.0179177,0.0141947,0.0588846,0.0581725,0.0156574,0.00680816,0,0.0509232,0,0.00500825,0.00898714,0.00193459,0.0130683,0.0100623,0.00941707,0.00362332,0.0196307,0,0,0.0215438,0,0.011171,0.0169612,0.0528843,0.0169293,0.0249971,0.0163439,0.020616,0.0250221,0.0072926,0.0523495,0.0107017,0.0126061,0.0169524,0.0108824,0.010656,0.0188307,0.0161434,0.00960762,0.00632484,0.00690806,0.0209863,0.0128261,0,0,0,0
7,0,0.0199026,0.0205176,0,0,0,0.0389262,0.0143915,0.0209937,0.0085559,0,0,0,0,0.0120069,0,0.0190408,0.00304809,0.0390299,0.013332,0.0200768,0.0185392,0,0,0.0225974,0.00760572,0.012982,0.0171958,0.0140498,0.0579416,0.0567355,0.0172635,0.00829842,0,0.045755,0,0.00486904,0.00897614,0.00193409,0.0137637,0.0102282,0.00937513,0.00424883,0.0198446,0,0,0.0207397,0,0.0110351,0.0164226,0.0529083,0.0175288,0.0249275,0.0163022,0.0201404,0.0251489,0.00733914,0.0521514,0.0105615,0.0127995,0.0170784,0.0108061,0.0107702,0.0190984,0.0172878,0.00967253,0.00616553,0.00671979,0.0209505,0.0127197,0,0,0,0
8,0,0.0200196,0.0204602,0,0,0,0.035747,0.0143408,0.0211601,0.00858854,0,0,0,0,0.0119346,0,0.0189379,0.00288002,0.0394838,0.0133529,0.0205724,0.0192731,0,0,0.0224749,0.00767865,0.0133892,0.0176471,0.0147782,0.0572605,0.0556329,0.0182015,0.0102873,0,0.0410749,0,0.00483034,0.00900245,0.0019826,0.0143272,0.0104105,0.00931574,0.00327236,0.0200397,0,0,0.0197713,0,0.0108656,0.0157644,0.0529689,0.0179083,0.024699,0.016285,0.0199949,0.0252126,0.0074288,0.0519368,0.0105347,0.01283,0.0170821,0.010891,0.0107753,0.0192021,0.018289,0.00966925,0.0060074,0.00646761,0.0208617,0.0128077,0,0,0,0
9,0,0.0201043,0.0203773,0,0,0,0.0327692,0.0142781,0.0209065,0.00879096,0,0,0,0,0.0119704,0,0.0188523,0.00281852,0.0399546,0.0135769,0.0209796,0.0209201,0,0,0.0224263,0.00818945,0.0144964,0.0191354,0.0162022,0.0566682,0.0548995,0.0186978,0.012306,0,0.0367132,0,0.00485574,0.00902281,0.00206281,0.0146746,0.0105957,0.00919756,0.00293658,0.0203341,0,0,0.0187291,0,0.0107094,0.0150208,0.0530811,0.0180998,0.0244365,0.0162767,0.0200092,0.0252909,0.00754174,0.0517469,0.0105198,0.0128136,0.0170233,0.0109998,0.0107239,0.0192139,0.0191597,0.00968001,0.00591779,0.00619328,0.0205944,0.0130624,0,0,0,0
10,0,0.0201121,0.0201819,0,0,0,0.0300618,0.0142327,0.0205153,0.0090556,0,0,0,0,0.012258,0,0.0187616,0.00288018,0.0404022,0.0142618,0.0212815,0.0235366,0,0,0.0224236,0.00929942,0.0163801,0.021775,0.0184552,0.0559576,0.0544639,0.0191907,0.013947,0,0.0328954,0,0.00509641,0.00902889,0.00220133,0.0151117,0.0107998,0.00899536,0.00299688,0.0206815,0,0,0.0177407,0,0.0106113,0.0142502,0.0531748,0.0182973,0.0241688,0.0162646,0.0201319,0.0254228,0.00765476,0.0514935,0.0104864,0.0128512,0.0169822,0.011096,0.0106646,0.0192591,0.0200194,0.00971708,0.00597732,0.0059387,0.0203681,0.013432,0,0,0,0
11,0,0.0201714,0.0200332,0,0,0,0.0277618,0.0142041,0.0201653,0.00941365,0,0,0,0,0.0122233,0,0.0187197,0.00292021,0.0407281,0.0157709,0.0216134,0.0266878,0,0,0.0224616,0.00990378,0.0190729,0.0253592,0.0211245,0.0556083,0.0543136,0.019464,0.0152874,0,0.0301389,0,0.0051725,0.00904561,0.00230178,0.015535,0.0109907,0.00874722,0.00324259,0.0209897,0,0,0.0166499,0,0.0104725,0.0133313,0.0532426,0.0184728,0.023894,0.0162136,0.0203313,0.0255411,0.00773164,0.0512174,0.0104275,0.0129076,0.0169497,0.0111888,0.0106052,0.0192667,0.020786,0.00977548,0.00577403,0.00571221,0.0200641,0.0138499,0,0,0,0
12,0,0.0202322,0.0198513,0,0,0,0.0261484,0.0142603,0.0202571,0.00983148,0,0,0,0,0.0121665,0,0.0187404,0.00306739,0.0409415,0.0180766,0.0218551,0.0299063,0,0,0.022422,0.0100765,0.0221753,0.0292427,0.0240177,0.0556793,0.0547068,0.0195441,0.0162881,0,0.0283964,0,0.00521587,0.00908755,0.00240712,0.0159303,0.0111671,0.00852433,0.00355502,0.0213149,0,0,0.0153566,0,0.0102887,0.0123016,0.0533016,0.0186632,0.0236552,0.0161791,0.0205421,0.0255922,0.00779049,0.0509443,0.0103922,0.0128904,0.0169463,0.0112406,0.0105945,0.0192642,0.021559,0.00985498,0.00515443,0.00556116,0.0195528,0.0143283,0,0,0,0
13,0,0.0202868,0.0197019,0,0,0,0.0258712,0.0144267,0.0238897,0.0102751,0,0,0,0,0.0120777,0,0.0186017,0.00348141,0.0411275,0.0242139,0.0221055,0.0324499,0,0,0.0223386,0.0101074,0.0251627,0.0324787,0.0265804,0.0559975,0.0542196,0.0211141,0.0167241,0,0.0314052,0,0.00562185,0.00911179,0.00258664,0.0163613,0.0113417,0.00841104,0.00381505,0.021634,0,0,0.0145131,0,0.0101291,0.0118147,0.0533273,0.0189645,0.0234762,0.0161451,0.0207314,0.0256925,0.00790325,0.050654,0.0102365,0.0128642,0.0169729,0.0112229,0.0106073,0.0192403,0.0223036,0.00995422,0.00504308,0.00542518,0.0192864,0.0147702,0,0,0,0
