Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBL
All Timesteps RMSE,0.0161011,0.0144143,0,0,0,0.030196,0.0162568,0.0183684,0.00472056,0,0,0,0.0115024,0,0.0183083,0.00891342,0.0434034,0.0253074,0.0205915,0.0162191,0,0,0.00354279,0.0186028,0.0130406,0.018423,0.0138226,0.050594,0.0105386,0.0138571,0.00849589,0.0169658,0,0.0360829,0,0.0109516,0.00871355,0.0038165,0.0256814,0.0109219,0.0113588,0.00524326,0.0129762,0,0,0.0115652,0,0.0122734,0.00631006,0.0614424,0.0195392,0.022709,0.00717782,0.00414232,0.0110466,0.00709296,0.0474165,0.00686055,0.0098174,0.0114485,0.0190612,0.00598466,0.0142058,0.0334091,0.00904992,0.00560441,0.00379967,0.0123565,0.0126265,0,0,0,0
0,0.00466089,0.00448403,0,0,0,0.00962229,0.0136539,0.0127378,0.00641409,0,0,0,0.0161028,0,0.0187063,0.00960481,0.0483322,0.0176647,0.0196654,0.00553247,0,0,0.00545429,0.00738383,0.00884119,0.0100676,0.00896317,0.0430674,0.00231532,0.0100491,0.00626478,0.0131429,0,0.0102379,0,0.00825757,0.0101555,0.00437998,0.0152825,0.0081903,0.0204946,0.00516742,0.00511749,0,0,0.0078575,0,0.0143991,0.00770914,0.0610518,0.0182296,0.0229524,0.00542234,0.00418281,0.00889395,0.00492197,0.0494018,0.0041158,0.00531764,0.00714635,0.0131582,0.00853551,0.0081745,0.0267637,0.00726379,0.00903833,0.00683692,0.00683535,0.00609816,0,0,0,0
1,0.00505781,0.00442445,0,0,0,0.00799533,0.0136096,0.0120942,0.00438879,0,0,0,0.0154029,0,0.0186946,0.00965142,0.0489878,0.0167193,0.0192839,0.00489091,0,0,0.00471783,0.00760639,0.00936698,0.00932052,0.00880123,0.0430702,0.0027973,0.0103244,0.00648382,0.0130442,0,0.00844935,0,0.00710757,0.0100548,0.00436396,0.0129215,0.00804635,0.0191168,0.00639084,0.00471073,0,0,0.00603191,0,0.0139923,0.00658263,0.0601982,0.0169848,0.0235116,0.00557986,0.00395133,0.00843967,0.00543515,0.0500332,0.00444962,0.0062034,0.00650651,0.0135679,0.00782422,0.00752268,0.0248444,0.00586519,0.00866332,0.00646247,0.00622453,0.00628041,0,0,0,0
2,0.00529429,0.00467849,0,0,0,0.00818803,0.0135951,0.011618,0.00366935,0,0,0,0.0151363,0,0.0186398,0.00982288,0.0493096,0.0153661,0.019011,0.00446173,0,0,0.00432111,0.00795221,0.00873355,0.00768143,0.00795117,0.0433497,0.00341534,0.0111113,0.00639545,0.0124321,0,0.00821451,0,0.00619532,0.00995434,0.00441315,0.0115509,0.00810427,0.0177305,0.00718294,0.00411151,0,0,0.00481353,0,0.0137114,0.00591578,0.0596801,0.0183266,0.0236953,0.00578941,0.00418332,0.00807216,0.00603577,0.0506851,0.00510063,0.00700588,0.00564376,0.0140206,0.00752974,0.00664129,0.0215844,0.00488193,0.0081482,0.00609751,0.00603151,0.00646874,0,0,0,0
3,0.00574038,0.00468601,0,0,0,0.00859741,0.0137343,0.0110311,0.00346571,0,0,0,0.0124766,0,0.018111,0.00733792,0.0493526,0.0133805,0.0187831,0.00453072,0,0,0.00369697,0.00801192,0.0074132,0.00559429,0.00651148,0.0439337,0.00404226,0.011671,0.00607431,0.0117392,0,0.00909248,0,0.00454376,0.00959565,0.00385181,0.00886791,0.00830978,0.0163597,0.00735295,0.00396739,0,0,0.00414245,0,0.0135118,0.00540099,0.0593025,0.020657,0.0238821,0.00602995,0.00454303,0.00761977,0.0066857,0.051421,0.00584757,0.00792187,0.00494788,0.0145024,0.00730574,0.00582824,0.0184363,0.00467403,0.00748027,0.00569247,0.00548479,0.00692611,0,0,0,0
4,0.00610019,0.00493587,0,0,0,0.00888704,0.0137333,0.0101482,0.0032497,0,0,0,0.0116192,0,0.018053,0.00699179,0.0490534,0.011056,0.0185606,0.00462358,0,0,0.00318252,0.00812013,0.00602377,0.00392041,0.00499621,0.0446489,0.00429772,0.0114405,0.00560582,0.0114056,0,0.00967535,0,0.00388629,0.00954045,0.00364323,0.00779956,0.00855551,0.0157211,0.00707402,0.0038218,0,0,0.00360519,0,0.0133109,0.00497687,0.0590712,0.0218801,0.024129,0.00616813,0.00466793,0.00736484,0.00740739,0.0518404,0.00616136,0.00900044,0.0042677,0.0150575,0.00691201,0.00507261,0.0144769,0.00456745,0.00680967,0.00518762,0.00525843,0.00728582,0,0,0,0
5,0.0062497,0.00498058,0,0,0,0.00908312,0.0137204,0.00910402,0.0033265,0,0,0,0.0109665,0,0.0180824,0.00675423,0.0485843,0.00897066,0.0183628,0.00457599,0,0,0.00291749,0.00808938,0.00488337,0.00305058,0.00412575,0.0451966,0.00421322,0.010567,0.00496125,0.0115141,0,0.00994505,0,0.00360004,0.00954469,0.00339491,0.00906768,0.00871711,0.015467,0.00674875,0.00389991,0,0,0.00349363,0,0.0130801,0.00467062,0.0588956,0.021825,0.0242202,0.00624444,0.00470203,0.0072404,0.00836928,0.0519054,0.00647622,0.0104265,0.00342863,0.0156471,0.00664966,0.00445143,0.0123664,0.00465842,0.0061308,0.0047645,0.00506085,0.00753709,0,0,0,0
6,0.00606621,0.00471118,0,0,0,0.00935551,0.0137354,0.0084358,0.0036287,0,0,0,0.0107304,0,0.0181917,0.00676499,0.0482911,0.00750526,0.0182897,0.00429465,0,0,0.00290445,0.00783483,0.00399909,0.00273177,0.00362206,0.0455701,0.0039666,0.00940281,0.00414765,0.0118291,0,0.0101761,0,0.00357543,0.0095562,0.00330043,0.0108928,0.00880147,0.0149454,0.00659169,0.00400995,0,0,0.00398962,0,0.0129968,0.00471327,0.0590766,0.0202313,0.0242712,0.00606241,0.00460834,0.00722741,0.00931531,0.0519837,0.00680731,0.0118333,0.00274405,0.0163532,0.00661726,0.00385704,0.0116245,0.0050623,0.00558359,0.0045053,0.0047284,0.00748302,0,0,0,0
7,0.00594414,0.00437601,0,0,0,0.0102305,0.0137635,0.00814392,0.00394661,0,0,0,0.010877,0,0.0182641,0.00677928,0.048214,0.00653317,0.0183571,0.00400001,0,0,0.00292007,0.00759745,0.00327324,0.00291498,0.00321684,0.0457119,0.00397252,0.00863894,0.0034724,0.0121411,0,0.0105723,0,0.00376628,0.00951634,0.00332856,0.0117894,0.00882153,0.0143044,0.00653083,0.00447378,0,0,0.00438736,0,0.0130711,0.00481739,0.0593861,0.0176306,0.0242393,0.00574942,0.00446277,0.00777484,0.0101289,0.0523421,0.00705156,0.0133191,0.00263567,0.0170041,0.00630694,0.00331155,0.0129664,0.00584026,0.00548321,0.00437603,0.00423284,0.00741482,0,0,0,0
8,0.00546066,0.00413362,0,0,0,0.01074,0.0137467,0.00806493,0.00431646,0,0,0,0.0108716,0,0.0183058,0.00650061,0.0483076,0.00607398,0.0184999,0.003946,0,0,0.00292497,0.00727291,0.00306379,0.00367231,0.00314354,0.0456681,0.00416366,0.00859418,0.00325023,0.0122006,0,0.0118334,0,0.0038249,0.00949648,0.00328258,0.0134225,0.00882139,0.0132958,0.00676766,0.0042281,0,0,0.00510881,0,0.0130971,0.00498725,0.0593329,0.0143446,0.0240742,0.00530859,0.00429094,0.00775961,0.010745,0.0526005,0.00714948,0.0147005,0.00316747,0.0176187,0.00579508,0.00289094,0.0131766,0.00649615,0.0055101,0.00412896,0.00412664,0.00687927,0,0,0,0
