Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,L5FT,RFHD,RHEE,LMR,LBR
All Timesteps RMSE,0.0146658,0.0114622,0,0,0,0.0142942,0.0500573,0.00490793,0,0,0,0.0107335,0,0.0194651,0.00506015,0.0433985,0.0262149,0.0197803,0.0156419,0,0.00305062,0.0152953,0.0128676,0.017707,0.0141361,0.0522091,0.0110065,0.0138768,0.00983962,0.0189559,0,0.0349083,0,0.0112984,0.00957948,0.00320167,0.024015,0.0108208,0.0127106,0.00563402,0.0128518,0,0,0.0112931,0.01257,0.00556251,0.0616998,0.0234263,0.00694714,0.00490569,0.00969001,0.00732358,0.0471009,0.00690124,0.0105232,0.0132287,0.0203586,0.00678785,0.0171031,0.0309559,0.00896469,0.00489266,0.00274424,0.00940979,0.0125716,0,0,0,0.0277768,0,0.0219057,0,0
0,0.0245886,0.0187971,0,0,0,0.0148059,0.0153059,0.00560005,0,0,0,0.0148305,0,0.018843,0.00555527,0.0397432,0.0405407,0.0202532,0.0214958,0,0.00391291,0.0272337,0.0212168,0.0388692,0.0113823,0.0638469,0.0241101,0.0261572,0.0121636,0.0301135,0,0.06364,0,0.017767,0.00917183,0.00378852,0.00937085,0.00971561,0.0153857,0.00673038,0.0179071,0,0,0.01315,0.0133758,0.0081705,0.0638141,0.0255285,0.00241043,0.00413501,0.0111253,0.00459709,0.0447155,0.00645241,0.00737313,0.00824893,0.0209184,0.00371606,0.0134646,0.0110257,0.0111878,0.00283944,0.00319659,0.0122853,0.0188459,0,0,0,0,0,0,0,0
1,0.0246032,0.0189408,0,0,0,0.014657,0.0149971,0.00633788,0,0,0,0.0151342,0,0.0189836,0.00580744,0.0398605,0.0396774,0.0194366,0.020857,0,0.00315487,0.027572,0.0207108,0.0386072,0.0108919,0.0629772,0.0237955,0.02688,0.0121185,0.0302578,0,0.0652326,0,0.0178499,0.00919387,0.00389758,0.00854405,0.00966316,0.0141217,0.00667763,0.0180927,0,0,0.0127661,0.0133594,0.00790022,0.0633926,0.0256166,0.00222918,0.00365645,0.0107251,0.00417337,0.0449558,0.00569021,0.00645921,0.00693234,0.0207504,0.0026765,0.0110002,0.0106394,0.010819,0.00283426,0.00324068,0.0127906,0.0189257,0,0,0,0,0,0,0,0
2,0.0246949,0.0190329,0,0,0,0.0145418,0.0145406,0.00622121,0,0,0,0.015131,0,0.0190719,0.00604734,0.040003,0.0379122,0.0191582,0.0195813,0,0.00290081,0.0280018,0.0198064,0.0375587,0.0105008,0.0623971,0.0237193,0.0269495,0.0118653,0.0301183,0,0.0662306,0,0.0181778,0.00921065,0.00393742,0.00757382,0.00970888,0.0136541,0.00654744,0.0183292,0,0,0.0127394,0.0134314,0.00789594,0.0635357,0.0256797,0.00205899,0.00334057,0.0106152,0.0039184,0.0452942,0.0051893,0.00615947,0.00685641,0.0205556,0.00252708,0.0103069,0.00968873,0.0106889,0.0030786,0.00325659,0.0132105,0.0190322,0,0,0,0,0,0,0,0
3,0.0252348,0.0192609,0,0,0,0.0144669,0.0156598,0.00607942,0,0,0,0.0149468,0,0.0190755,0.0061967,0.0405788,0.0412308,0.0191752,0.0195286,0,0.00296453,0.0285061,0.0198826,0.0380217,0.0106274,0.0617364,0.0231173,0.0258527,0.0117485,0.0304439,0,0.065335,0,0.0185429,0.00920071,0.0039358,0.006782,0.00982978,0.0136164,0.00575193,0.0186989,0,0,0.0127317,0.013453,0.00792313,0.0638085,0.0257013,0.00184797,0.00315151,0.0108436,0.00375259,0.045672,0.00487061,0.006008,0.00720338,0.0203551,0.00266855,0.0105413,0.00867194,0.0107201,0.00306067,0.00316352,0.013362,0.0192793,0,0,0,0.045175,0,0,0,0
4,0.0259199,0.0193508,0,0,0,0.0143668,0.0148981,0.00553119,0,0,0,0.0148097,0,0.0191018,0.0063508,0.0404393,0.0378805,0.01902,0.0167543,0,0.00278041,0.0291236,0.0182965,0.0350374,0.00964732,0.061394,0.0226744,0.0250907,0.0114359,0.0297563,0,0.0657261,0,0.018957,0.00921159,0.00389426,0.00643633,0.00983771,0.0140391,0.00531168,0.0191349,0,0,0.0126224,0.0132444,0.00804329,0.0635772,0.0257375,0.00179475,0.00281606,0.0111398,0.00376336,0.0459429,0.00474375,0.00599237,0.00790414,0.0203042,0.00310811,0.0115374,0.00804163,0.0107539,0.00276015,0.00312614,0.0134777,0.0196368,0,0,0,0.0465262,0,0,0,0
5,0.026545,0.0193428,0,0,0,0.0142298,0.0144804,0.00509331,0,0,0,0.0147709,0,0.019198,0.00656603,0.0401748,0.0336688,0.0188262,0.0132832,0,0.00252231,0.0299479,0.0161894,0.0306938,0.00860549,0.0611668,0.0219812,0.0239757,0.0111874,0.0289692,0,0.0660197,0,0.0194559,0.00927205,0.00388721,0.0066094,0.00992235,0.0148611,0.00547794,0.0196993,0,0,0.0125391,0.0131036,0.00828157,0.0632659,0.0257449,0.00183694,0.00261123,0.0115967,0.00372132,0.0457096,0.00458778,0.00601334,0.00871787,0.0202688,0.00360157,0.0128908,0.00810465,0.0109122,0.0029532,0.0031214,0.0136959,0.0201448,0,0,0,0.0481213,0,0,0,0
6,0.0268909,0.0195568,0,0,0,0.014048,0.0147618,0.00482398,0,0,0,0.0148188,0,0.0193287,0.00687796,0.0399545,0.0282435,0.0186352,0.00897422,0,0.00223037,0.0306437,0.013396,0.0245636,0.00777019,0.0609212,0.0207982,0.0225194,0.0110931,0.0281928,0,0.0659543,0,0.0199617,0.00936752,0.00390874,0.00659737,0.0100171,0.0152851,0.00530935,0.0202496,0,0,0.0125222,0.0129576,0.0086279,0.0634151,0.0258169,0.0020009,0.00249833,0.0119685,0.00368789,0.0456751,0.00437057,0.00642781,0.00967416,0.0201478,0.00421553,0.014465,0.00847694,0.0111244,0.00311676,0.00310944,0.0138935,0.0206746,0,0,0,0.050054,0,0,0,0
7,0.0283266,0.0213855,0,0,0,0.0141263,0.0161984,0.00418896,0,0,0,0.0140256,0,0.0190195,0.00597788,0.039543,0.0224238,0.0184368,0.00446167,0,0.00208166,0.0316673,0.0102091,0.0176773,0.00756533,0.0607617,0.019443,0.020519,0.010942,0.0275957,0,0.0651808,0,0.0200619,0.00914113,0.00344026,0.00664218,0.0101183,0.0153911,0.00516095,0.0213734,0,0,0.0130873,0.0128519,0.00697252,0.0635778,0.0261167,0.00222878,0.00254906,0.0134971,0.00377238,0.0455515,0.0040643,0.00704176,0.0109508,0.0200942,0.00500553,0.0161748,0.00894552,0.0124791,0.00130211,0.00298111,0.0151532,0.0212482,0,0,0,0.0516376,0,0,0,0
8,0.0282484,0.0213135,0,0,0,0.0140879,0.0192314,0.00369696,0,0,0,0.0134074,0,0.0190056,0.00584461,0.0380537,0.0152129,0.0185574,0.0157864,0,0.00251251,0.0312755,0.00860608,0.00592431,0.0165179,0.062892,0.0166055,0.0124136,0.00953214,0.0268986,0,0.0578366,0,0.0196695,0.00915906,0.00317894,0.00738775,0.0106083,0.0157897,0.00604767,0.0213476,0,0,0.0119032,0.0128134,0.00655313,0.0636551,0.0268301,0.00239517,0.00326106,0.0138863,0.00382389,0.0453908,0.00406408,0.00750836,0.0122771,0.0198581,0.00599364,0.0179098,0.0108394,0.0121222,0.00122612,0.00273053,0.0155073,0.0210701,0,0,0,0.0492933,0,0,0,0
