Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,
All Timesteps RMSE,0.0114779,0.00946689,0,0,0,0.0369193,0.0160852,0.0229325,0.00425756,0,0,0,0,0.0104537,0,0.0193457,0.00539904,0.0436373,0.0273095,0.018549,0.0187024,0,0,0.00381829,0.0150791,0.0153773,0.0176353,0.0172396,0.0517789,0.0117479,0.0405304,0.0142345,0.0163405,0,0.045733,0,0.00954322,0.00951857,0.00280143,0.0266094,0.012134,0.0144794,0.00559566,0.0118363,0,0,0.00981252,0,0.0115118,0.0039388,0.0621718,0.024415,0.0240377,0.00999758,0.003546,0.0104094,0.00721361,0.0469088,0.00781426,0.00966659,0.0139305,0.0207079,0.00754229,0.0167898,0.034762,0.00744258,0.00504453,0.00277613,0.00930122,0.0096486,0,0,0,0
0,0.0119797,0.00405024,0,0,0,0.0161972,0.0157737,0.00560574,0.00156149,0,0,0,0,0.0223329,0,0.0185706,0.00652937,0.0454619,0.0161604,0.0191766,0.0249722,0,0,0.00334673,0.0136104,0.00993977,0.0115223,0.0202528,0.0421058,0.0152194,0.0128546,0.0129327,0.0192336,0,0.0179184,0,0.0171266,0.0097693,0.00152027,0.0142895,0.0116669,0.0095632,0.00310069,0.0141928,0,0,0.00712551,0,0.0123045,0.0022607,0.0631698,0.0148516,0.0218687,0.0144134,0.00583483,0.00912912,0.00711965,0.0462131,0.00920598,0.0069457,0.00736566,0.0187453,0.00527548,0.0101349,0.0141258,0.00644607,0.0016266,0.000844289,0.00174561,0.0108502,0,0,0,0
1,0.0116907,0.00373281,0,0,0,0.0139754,0.0158652,0.00504654,0.00161617,0,0,0,0,0.0222314,0,0.0188032,0.00630051,0.0458932,0.0158621,0.0177985,0.0241583,0,0,0.00380868,0.0133525,0.0102693,0.011288,0.0202537,0.041397,0.0149905,0.012929,0.0125848,0.0189754,0,0.01611,0,0.0168924,0.00985832,0.00215069,0.0108507,0.0117663,0.0110117,0.00403167,0.0140614,0,0,0.00665466,0,0.0123135,0.0018383,0.0627495,0.016517,0.0220589,0.0143334,0.00539824,0.00933009,0.0077928,0.0464185,0.00878367,0.00666547,0.00777431,0.0182664,0.00449553,0.00961425,0.00829813,0.00609584,0.00206437,0.00140549,0.00131938,0.0109143,0,0,0,0
2,0.011824,0.00420513,0,0,0,0.015548,0.0158384,0.0141739,0.00250755,0,0,0,0,0.0218121,0,0.0189595,0.00607014,0.0458992,0.0318762,0.016629,0.0350455,0,0,0.00487628,0.0133278,0.00932953,0.0158497,0.0275088,0.0428427,0.02466,0.0191019,0.0224354,0,0,0.0236417,0,0.0167109,0.0099672,0.00277416,0.00588572,0.0118529,0.0100919,0.00484542,0.013986,0,0,0.00727234,0,0.0124087,0.00213186,0.0625081,0.0154467,0.0224504,0.0138996,0.00546604,0.00940792,0.00904541,0.0467434,0.00887543,0.0071987,0.0093942,0.0187906,0.00348121,0.00938078,0.00402839,0.00634337,0.00253919,0.00164131,0.00188592,0.0111944,0,0,0,0
3,0.0109979,0.0036826,0,0,0,0.0135665,0.0158738,0.00497329,0.00107821,0,0,0,0,0.0223535,0,0.0193469,0.0061212,0.0461002,0.0160739,0.0171173,0.0235022,0,0,0.00452292,0.0127789,0.00997873,0.00909747,0.0194116,0.0407406,0.014478,0.012005,0.0121155,0.0184539,0,0.0158718,0,0.0171099,0.0101609,0.00284813,0.0102186,0.0122938,0.0109302,0.00565222,0.0134298,0,0,0.00737127,0,0.0123611,0.00263784,0.0622226,0.0134162,0.0223476,0.0124866,0.00549452,0.00977745,0.0107072,0.0471395,0.0100136,0.00900313,0.0128314,0.022369,0.0078625,0.0114515,0.0142921,0.00675286,0.00321046,0.00208661,0.000902311,0.0107076,0,0,0,0
4,0.0108147,0.0037005,0,0,0,0.012876,0.0158718,0.00486377,0.00154946,0,0,0,0,0.0227865,0,0.0192698,0.00635225,0.0464413,0.0158087,0.0171728,0.0226777,0,0,0.00419358,0.0129373,0.0099416,0.00829091,0.0188002,0.0400889,0.0139202,0.0105283,0.0115291,0.0181814,0,0.0145002,0,0.0176044,0.0100413,0.00234725,0.022451,0.012458,0.0180554,0.00528942,0.0134418,0,0,0.00773973,0,0.0124176,0.002884,0.0617406,0.0183442,0.0224092,0.0120284,0.00541612,0.0100233,0.0125598,0.0477011,0.0125892,0.011654,0.0159612,0.0260637,0.0129768,0.0146864,0.0261331,0.00726255,0.00351393,0.00235162,0.00083602,0.0109956,0,0,0,0
5,0.0107233,0.00367019,0,0,0,0.0136656,0.0158352,0.00448048,0.00210232,0,0,0,0,0.0225036,0,0.0187427,0.00628078,0.0465007,0.0162176,0.0170461,0.0210901,0,0,0.0038957,0.0131024,0.00927709,0.0067408,0.0177552,0.0397299,0.012976,0.00937996,0,0.0180204,0,0.0151615,0,0.0174895,0.00972007,0.00187088,0.0303129,0.0124691,0.0229181,0.00463982,0.0135205,0,0,0.00734181,0,0.0123606,0.00239914,0.061512,0.0224554,0.0224882,0.0122657,0.00534286,0.00988247,0.0140138,0.0481845,0.0147052,0.0138902,0.0178725,0.0284532,0.0159654,0.0168664,0.0334273,0.00699613,0.00415225,0.00247953,0.000831006,0.0111949,0,0,0,0
6,0.0108772,0.00383463,0,0,0,0.0130977,0.0158929,0.00456324,0.00229242,0,0,0,0,0.0219918,0,0.0183557,0.0061587,0.0462533,0.0167742,0.0167985,0.019251,0,0,0.00391613,0.0133155,0.00892272,0.00560594,0.0165839,0.0397718,0.0122407,0.00899642,0.010892,0.0179495,0,0.0148103,0,0.0169287,0.00947621,0.00175346,0.0328213,0.0124821,0.0241116,0.0043222,0.0136472,0,0,0.00714926,0,0.0123139,0.00209256,0.0616444,0.0237155,0.0225432,0.0127027,0.00536498,0.0096983,0.0145121,0.0483801,0.0150713,0.0144269,0.0182706,0.0289719,0.0165578,0.0172804,0.0358668,0.00688246,0.00427883,0.00248805,0.000951013,0.0113383,0,0,0,0
7,0.011086,0.00393433,0,0,0,0.0119985,0.0160678,0.00460226,0.00238044,0,0,0,0,0.0222115,0,0.0184073,0.00659667,0.0459369,0.0168576,0.0166055,0.0178021,0,0,0.00393658,0.013504,0.00868472,0.00499941,0.0153907,0.0399462,0.0113784,0.00877283,0.010626,0.0175794,0,0.0137229,0,0.0165503,0.0093327,0.00187925,0.0302514,0.0124422,0.0215217,0.00406554,0.0136662,0,0,0.00702826,0,0.0122578,0.00198175,0.0620651,0.0211351,0.0224849,0.01299,0.00543224,0.00945153,0.0139365,0.0480436,0.013795,0.0132174,0.0175078,0.0278343,0.014955,0.0162883,0.0335717,0.00691048,0.00403121,0.00229864,0.00120805,0.0113798,0,0,0,0
8,0.011386,0.00385669,0,0,0,0.0114782,0.0161815,0.0046255,0.00231741,0,0,0,0,0.0224391,0,0.0186434,0.0072245,0.0457022,0.0171471,0.016656,0.0160081,0,0,0.00380024,0.0140229,0.00840582,0.00492097,0.0141871,0.0401927,0.010353,0.00856354,0.0103996,0.0172467,0,0.0132926,0,0.0163039,0.00941388,0.00187334,0.0238986,0.0123461,0.0160214,0.00384535,0.0136647,0,0,0.00676394,0,0.0121151,0.0019664,0.062602,0.0152127,0.0224482,0.0131479,0.00558937,0.00895757,0.0125326,0.0473914,0.0118753,0.0108677,0.0159063,0.025577,0.011713,0.0144471,0.0270929,0.00668692,0.00368814,0.00201208,0.00175274,0.0114473,0,0,0,0
