Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x75,x73,
All Timesteps RMSE,0.00697078,0.00945685,0,0,0,0.0291415,0.0151028,0.0183454,0.00568747,0,0,0,0,0.0110381,0,0.0198042,0.00691264,0.0435061,0.0281584,0.0198068,0,0,0.00413516,0.0111731,0.013134,0.0184914,0.0158451,0.052031,0.0141749,0.0146161,0.0336864,0.0168416,0,0.0347565,0,0.00924079,0.00937046,0.00351536,0.0223775,0.0111858,0.0119216,0.00598448,0.00820595,0,0,0.0112936,0,0.0122229,0.00586837,0.0608038,0.0187727,0.0231627,0.00712683,0.00456257,0.0093591,0.0072003,0.0486092,0.00734219,0.00971675,0.0112753,0.0197475,0.00614151,0.0138396,0.0286208,0.00841859,0.00415754,0.00256497,0.00990221,0.00681047,0,0,0,0,0,0
0,0.0052877,0.0139115,0,0,0,0.00985937,0.0167455,0.00837049,0.0062846,0,0,0,0,0.00482305,0,0.0199671,0.00441605,0.0491242,0.00915692,0.0196105,0,0,0.00606564,0.0142904,0.00523974,0.00682835,0.00437322,0.0455535,0.00336269,0.00975549,0.00336646,0.0116251,0,0.0102086,0,0.00482645,0.00921018,0.00258347,0.0181317,0.0123614,0.0167335,0.00665365,0.00677116,0,0,0.00705732,0,0.0111688,0.00533009,0.0596617,0.0262317,0.0228877,0.00649349,0.00283976,0.0153245,0.0132617,0.0547621,0.0093078,0.0175493,0.00532097,0.0192198,0.00841573,0.00701374,0.0178422,0.00687962,0.00419229,0.00330272,0.0163741,0.00296977,0,0,0,0,0,0
1,0.00474566,0.0137424,0,0,0,0.0103487,0.0166716,0.00763304,0.00480377,0,0,0,0,0.00407567,0,0.0200602,0.0037316,0.049603,0.00726908,0.0190183,0,0,0.00503841,0.0138622,0.00497242,0.00552951,0.00377519,0.045323,0.00300026,0.00921638,0.00303168,0.0117744,0,0.0108814,0,0.00422207,0.00918216,0.00254898,0.0176187,0.0124178,0.0158488,0.00765876,0.00707751,0,0,0.00725156,0,0.0113043,0.00512701,0.0589511,0.0217859,0.0232783,0.00626495,0.00235865,0.0152674,0.0141034,0.0551018,0.00968115,0.01899,0.00414477,0.0191154,0.00737633,0.00542064,0.0160382,0.00736252,0.00315112,0.00292904,0.0156863,0.00264967,0,0,0,0,0,0
2,0.00420856,0.013475,0,0,0,0.0113504,0.0165996,0.00796184,0.00451489,0,0,0,0,0.00411774,0,0.0201256,0.00365689,0.0497989,0.00756251,0.0189463,0,0,0.0046756,0.013602,0.00471107,0.00486379,0.0042084,0.0449857,0.00340386,0.00964512,0.00317334,0.0114806,0,0.0120798,0,0.00441218,0.00919906,0.0025904,0.0180655,0.0122631,0.0148498,0.00825456,0.00752391,0,0,0.00745209,0,0.0113987,0.00496466,0.058717,0.017925,0.0233286,0.00603536,0.00209412,0.0150582,0.0146418,0.0551435,0.00974092,0.0200347,0.00382743,0.0194236,0.0066399,0.00391516,0.0159337,0.00786246,0.00238644,0.00251601,0.0150602,0.00235107,0,0,0,0,0,0
3,0.00375668,0.0131068,0,0,0,0.0126079,0.016499,0.00853588,0.00438818,0,0,0,0,0.00451691,0,0.0201985,0.00373917,0.0498695,0.00831411,0.0190329,0,0,0.00431001,0.0133412,0.00473946,0.00482221,0.0048718,0.0444859,0.00403314,0.0107746,0.00370992,0.0110471,0,0.0138228,0,0.00472331,0.00923869,0.00261973,0.0190033,0.0119904,0.013575,0.00883854,0.00800999,0,0,0.00791448,0,0.0113741,0.00501302,0.058431,0.0145822,0.0232586,0.00582795,0.00182361,0.0147471,0.0149527,0.0549828,0.00961885,0.0206289,0.00430741,0.0197745,0.00588669,0.00318922,0.0173311,0.00869337,0.00176549,0.0021785,0.0145495,0.00203706,0,0,0,0,0,0
4,0.00351073,0.0125719,0,0,0,0.0139282,0.0163616,0.00917035,0.00406901,0,0,0,0,0.0049259,0,0.0202153,0.00374703,0.0498487,0.00925143,0.0192702,0,0,0.00380505,0.0130699,0.00494042,0.00503952,0.00547962,0.0441972,0.00485323,0.0119461,0.0043542,0.010796,0,0.0158781,0,0.00483747,0.00923035,0.00260145,0.0200705,0.0118239,0.0123722,0.00931864,0.0080833,0,0,0.00858448,0,0.0114984,0.00523619,0.0581276,0.0116534,0.0230909,0.0056665,0.00168448,0.0141755,0.0149012,0.0546475,0.0094985,0.0207517,0.0054579,0.0200467,0.00515957,0.00430358,0.0204876,0.00975897,0.00123555,0.00178233,0.0139237,0.00175618,0,0,0,0,0,0
5,0.00405872,0.0120234,0,0,0,0.0148461,0.0161715,0.00977114,0.00350114,0,0,0,0,0.00549551,0,0.0202035,0.00396801,0.0497172,0.0101692,0.019448,0,0,0.00344309,0.0130906,0.00513374,0.0049764,0.00631018,0.0441568,0.00536192,0.0125643,0.00492639,0.0107767,0,0.0172082,0,0.00496601,0.00930171,0.00260352,0.0222101,0.0118473,0.0117195,0.00972072,0.00700661,0,0,0.00544945,0,0.011619,0.00281292,0.0583212,0.0100321,0.0228421,0.00562935,0.00150339,0.0133735,0.0145087,0.0542691,0.00919102,0.0204626,0.00680704,0.0202911,0.00447568,0.00611114,0.0226916,0.00743798,0.00207071,0.00175319,0.013143,0.00142492,0,0,0,0,0,0
6,0.00362981,0.0119059,0,0,0,0.0158595,0.0160156,0.0102485,0.00305417,0,0,0,0,0.0056363,0,0.0201654,0.0039702,0.0495259,0.0104967,0.0196777,0,0,0.00319062,0.0132269,0.00528034,0.00471406,0.00691577,0.044096,0.00557708,0.0129924,0.00537339,0.0110894,0,0.0182943,0,0.00486641,0.0092993,0.00254807,0.0236741,0.0119249,0.0111625,0.00961364,0.00734892,0,0,0.00594848,0,0.0118241,0.00284815,0.058589,0.00847727,0.0225501,0.00568048,0.00153051,0.0131622,0.0138183,0.0539289,0.00883302,0.0198284,0.00827993,0.020221,0.00392647,0.00808537,0.0251867,0.0082364,0.00251785,0.0017176,0.0131104,0.00143932,0,0,0,0,0,0
7,0.00307803,0.0119314,0,0,0,0.0165781,0.0158606,0.0103682,0.00282291,0,0,0,0,0.00568894,0,0.0201414,0.00397293,0.0492451,0.0103871,0.0199439,0,0,0.00312516,0.0133989,0.0054569,0.00448427,0.00743381,0.043961,0.00559313,0.0129176,0.00564252,0.0117,0,0.0191063,0,0.00505676,0.00929819,0.00247412,0.0252231,0.0120331,0.0106441,0.00900925,0.00780647,0,0,0.0064746,0,0.0120683,0.0029553,0.0587689,0.00742362,0.0222638,0.00581624,0.00165063,0.0130162,0.0128567,0.0534664,0.00844043,0.0188172,0.00964824,0.0202004,0.00361393,0.00996413,0.0276121,0.00896331,0.00239864,0.00161624,0.0132777,0.00174998,0,0,0,0,0,0
8,0.0025788,0.0120315,0,0,0,0.0169042,0.0157515,0.0102975,0.00269026,0,0,0,0,0.00579199,0,0.0201052,0.00403261,0.0489196,0.0101746,0.0201832,0,0,0.00316796,0.0136033,0.00590059,0.00439372,0.00792983,0.0437454,0.00544988,0.0123747,0.00574695,0.0124546,0,0.0197657,0,0.00528727,0.0093011,0.0023919,0.0267989,0.0119015,0.0102945,0.00827856,0.00821552,0,0,0.00711265,0,0.0120418,0.00314698,0.0589774,0.00672516,0.022015,0.00615313,0.00178366,0.0127146,0.0117252,0.0529795,0.00806365,0.0174358,0.0107956,0.020171,0.0033881,0.011517,0.0300577,0.0096758,0.00234746,0.00155594,0.0133161,0.00220694,0,0,0,0,0,0
9,0.00218551,0.012054,0,0,0,0.0172166,0.0156764,0.0102257,0.0025568,0,0,0,0,0.0058901,0,0.0200572,0.00409843,0.0486291,0.0100556,0.0203611,0,0,0.00310555,0.0137726,0.00649092,0.00482747,0.00837828,0.0435175,0.00544171,0.0116862,0.00581763,0.013249,0,0.0204235,0,0.00530869,0.00928883,0.00231549,0.0281992,0.0117634,0.00989147,0.00781382,0.00862666,0,0,0.00783756,0,0.0120012,0.00353517,0.0592605,0.00631406,0.0217634,0.00659052,0.00187587,0.012469,0.0105571,0.0525796,0.00762568,0.015674,0.0117266,0.0201016,0.0032606,0.0126928,0.0320991,0.0103645,0.00218817,0.00147324,0.0133572,0.00276389,0,0,0,0,0,0
10,0.00247092,0.011766,0,0,0,0.0179786,0.0154348,0.0102597,0.00248068,0,0,0,0,0.00696388,0,0.020199,0.00483978,0.0483941,0.00990711,0.0204896,0,0,0.00306211,0.013873,0.00669673,0.0052731,0.00870489,0.0433164,0.00564946,0.0112906,0.00597204,0.0138753,0,0.0214276,0,0.00515364,0.00944147,0.00232633,0.0292623,0.0116335,0.00966326,0.00743892,0.00792996,0,0,0.00634639,0,0.0119298,0.00201477,0.0595134,0.00627059,0.0215306,0.00703452,0.00199201,0.0119329,0.0092487,0.0522702,0.00716739,0.0136885,0.012572,0.0199757,0.00309754,0.0136021,0.0338858,0.00877052,0.00293997,0.0014869,0.0131358,0.00256798,0,0,0,0,0,0
11,0.00149729,0.0121666,0,0,0,0.0185848,0.0154861,0.010446,0.00233535,0,0,0,0,0.00600814,0,0.0199239,0.00420051,0.0481908,0.0100838,0.0205947,0,0,0.00306627,0.0141283,0.00691233,0.00537325,0.0093563,0.0431834,0.00599052,0.0112254,0.00606481,0.0141868,0,0.0223149,0,0.00565165,0.00921505,0.00213286,0.029985,0.0114596,0.00978493,0.00719023,0.0097738,0,0,0.00939493,0,0.0119789,0.00483104,0.0597633,0.00780418,0.0212604,0.00738246,0.0022118,0.0123937,0.00790068,0.0519849,0.00672254,0.0117292,0.0133977,0.0197991,0.00312058,0.0143535,0.0353257,0.0118065,0.00131479,0.0012032,0.0137404,0.00397778,0,0,0,0,0,0
12,0.00290104,0.0112937,0,0,0,0.0195289,0.0152306,0.0107522,0.00205844,0,0,0,0,0.00722253,0,0.0200842,0.00510171,0.0479657,0.0108523,0.020637,0,0,0.00287901,0.0140527,0.00692489,0.00509406,0.00997457,0.0429658,0.00621794,0.0113535,0.00615215,0.0141895,0,0.023445,0,0.00587041,0.00939181,0.0022181,0.0306175,0.0114279,0.0098628,0.00691805,0.00701296,0,0,0.00577578,0,0.0122025,0.00178498,0.0599776,0.00968275,0.0210642,0.00778787,0.0023863,0.011092,0.0067268,0.0516165,0.00633941,0.0100984,0.0141367,0.0195465,0.00348595,0.0152265,0.0366659,0.00824897,0.00184892,0.00102093,0.0126569,0.00216221,0,0,0,0,0,0
13,0.00282101,0.0112141,0,0,0,0.0207382,0.0151721,0.0110312,0.00187614,0,0,0,0,0.00725132,0,0.0200555,0.00525127,0.0476887,0.0116251,0.0206935,0,0,0.00276925,0.014174,0.00676386,0.00463874,0.0104811,0.0427262,0.00639769,0.0114439,0.00625974,0.0139325,0,0.0251025,0,0.00615936,0.00939715,0.00237547,0.0311385,0.0112565,0.00994249,0.00667922,0.00705218,0,0,0.00601662,0,0.0122956,0.00222442,0.060113,0.0114988,0.0208079,0.00843827,0.00266759,0.01086,0.00587185,0.0513462,0.00619779,0.00890935,0.0148669,0.0191702,0.00396158,0.0161156,0.0375045,0.00826467,0.000914325,0.000827142,0.012619,0.00218004,0,0,0,0,0,0
14,0.00189211,0.0114121,0,0,0,0.022265,0.0151773,0.0112117,0.00175835,0,0,0,0,0.00647806,0,0.0198841,0.00492412,0.0473477,0.0120087,0.0207537,0,0,0.00284372,0.014493,0.00642955,0.00491136,0.0110296,0.042465,0.00670835,0.0115192,0.00637326,0.0136215,0,0.0270797,0,0.00658659,0.00927735,0.00262079,0.0315416,0.01098,0.0100887,0.00655747,0.00843292,0,0,0.00722433,0,0.012278,0.00354526,0.0601445,0.0132444,0.0205281,0.00934592,0.00306797,0.0111264,0.00536098,0.0511984,0.00634785,0.00819427,0.0155926,0.0187039,0.0045375,0.0168781,0.0378743,0.00891639,0.000315158,0.000909347,0.01301,0.0030896,0,0,0,0,0,0
15,0.00226683,0.0112238,0,0,0,0.0236684,0.0151047,0.011657,0.00186003,0,0,0,0,0.00678789,0,0.0198569,0.0052385,0.0470244,0.0118551,0.0208053,0,0,0.00276031,0.0146576,0.00649169,0.00557938,0.0119278,0.04226,0.00700476,0.0116026,0.0063886,0.0136836,0,0.0286572,0,0.00713479,0.00928353,0.00278158,0.0319367,0.0107431,0.0106754,0.00622606,0.0079276,0,0,0.00688632,0,0.0123574,0.00333622,0.0601932,0.0153666,0.0202797,0.0105719,0.00324044,0.0107335,0.00516511,0.0511299,0.00692926,0.00796835,0.016212,0.0182839,0.00523054,0.017387,0.0378018,0.00811282,0.000502443,0.000949916,0.0127727,0.00276294,0,0,0,0,0,0
16,0.00274869,0.0110348,0,0,0,0.025065,0.0150552,0.0121094,0.00212294,0,0,0,0,0.00724565,0,0.0198594,0.00575312,0.0468841,0.0115666,0.0208708,0,0,0.00270429,0.0148949,0.00665109,0.00586923,0.012779,0.0420958,0.00725207,0.0116099,0.00644268,0.013863,0,0.0302402,0,0.00771503,0.00928691,0.00282757,0.0319419,0.0105328,0.0112592,0.00599376,0.00734769,0,0,0.006863,0,0.0125041,0.00334494,0.0602017,0.018186,0.0200168,0.0118649,0.00336203,0.0102506,0.00535806,0.051198,0.00792463,0.00817667,0.0166253,0.01796,0.00587672,0.017603,0.0376613,0.00748161,0.000786567,0.0011363,0.0126095,0.00260248,0,0,0,0,0,0
