Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,-0.0675201
1,1,-0.0243378
1,2,-0.0410461
1,3,0.0259781
1,4,0.0335312
1,5,0.0304031
1,6,-0.0232697
1,7,-0.0305557
1,8,0.0141907
1,9,-0.0012207
2,0,-0.0820541
2,1,-0.0886536
2,2,-0.121689
2,3,-0.093689
2,4,-0.107231
2,5,-0.0349045
2,6,-0.0269699
2,7,0.00431061
2,8,0.0248337
2,9,0.0636292
3,0,0.0570297
3,1,0.0580215
3,2,0.0210571
3,3,0.0837326
3,4,0.0458908
3,5,0.0323868
3,6,-0.0439072
3,7,0.00419617
3,8,-0.063591
3,9,-0.077095
4,0,-0.0494385
4,1,-0.0400162
4,2,0.0350571
4,3,0.0221634
4,4,0.0533295
4,5,0.0634766
4,6,0.127487
4,7,0.0999069
4,8,0.119019
4,9,0.101013
5,0,0.0921631
5,1,-0.0324631
5,2,0.105743
5,3,0.0951385
5,4,0.0305176
5,5,-0.0298309
5,6,-0.0296402
5,7,-0.017662
5,8,0.012207
5,9,0.0941086
6,0,0.0640488
6,1,0.112343
6,2,0.113106
6,3,0.133667
6,4,0.140152
6,5,0.130043
6,6,0.12886
6,7,0.141068
6,8,0.113678
6,9,0.108414
7,0,0.0351334
7,1,0.0119019
7,2,-0.0583649
7,3,0.0139999
7,4,-0.0333786
7,5,0.0586319
7,6,0.0515366
7,7,0.0905228
7,8,0.113792
7,9,0.154648
8,0,0.154343
8,1,0.124512
8,2,0.100174
8,3,0.0917435
8,4,0.148201
8,5,0.0974655
8,6,0.0672913
8,7,0.0282669
8,8,-0.00400543
8,9,-0.00125885
9,0,-0.0482178
9,1,-0.0159073
9,2,-0.00648499
9,3,0.0442886
9,4,0.0753784
9,5,0.100784
9,6,0.096283
9,7,0.0882721
9,8,0.09552
9,9,0.130272
10,0,0.0790024
10,1,0.0666428
10,2,0.0935364
10,3,0.0138092
10,4,0.0140381
10,5,-0.0657272
10,6,-0.0748444
10,7,-0.0394058
10,8,-0.0324631
10,9,-0.00324249
11,0,0.0260544
11,1,0.0366592
11,2,0.0468826
11,3,0.0854874
11,4,0.0893021
11,5,0.0528717
11,6,0.0426865
11,7,0.0810623
11,8,0.0325775
11,9,0.0603485
12,0,-0.0811386
12,1,-0.0979614
12,2,-0.133018
12,3,-0.101166
12,4,-0.122147
12,5,-0.0566864
12,6,-0.0630569
12,7,-0.0541306
12,8,-0.0266266
12,9,0.0159073
13,0,0.0550461
13,1,0.00591278
13,2,-0.00556946
13,3,0.0103378
13,4,-0.00587463
13,5,-0.0267792
13,6,-0.0413895
13,7,-0.0924683
13,8,-0.0840759
13,9,-0.136871
14,0,-0.148659
14,1,-0.142326
14,2,-0.128899
14,3,-0.0817871
14,4,-0.0170135
14,5,-0.00278473
14,6,-0.0360489
14,7,-0.0256348
14,8,-0.0212479
14,9,-0.0302505
15,0,-0.0236511
15,1,-0.0663376
15,2,-0.0350189
15,3,-0.0747681
15,4,-0.121193
15,5,-0.119324
15,6,-0.187302
15,7,-0.165443
15,8,-0.0960922
15,9,-0.0870514
16,0,-0.0555038
16,1,-0.0470352
16,2,-0.0699234
16,3,0.029068
16,4,0.00190735
16,5,-0.00450134
16,6,-0.0328064
16,7,0.0157166
16,8,-0.0246429
16,9,0.00888824
17,0,-0.0876999
17,1,-0.129509
17,2,-0.132065
17,3,-0.160942
17,4,-0.10994
17,5,-0.110588
17,6,-0.0386047
17,7,-0.0678253
17,8,0.0289917
17,9,0.0365067
18,0,0.0416183
18,1,0.0180054
18,2,0.0357437
18,3,0.0312042
18,4,0.0246429
18,5,0.0255966
18,6,-0.00427246
18,7,-0.0327301
18,8,-0.0786591
18,9,-0.0838089
19,0,-0.0991821
19,1,-0.0832367
19,2,-0.0153732
19,3,0.0150681
19,4,0.0460434
19,5,0.0729752
19,6,0.108337
19,7,0.0640869
19,8,0.0775146
19,9,0.0996399
20,0,0.134163
20,1,0.064621
20,2,0.104294
20,3,0.00038147
20,4,-0.0265884
20,5,-0.00938416
20,6,-0.0299835
20,7,-0.0475311
20,8,0.0135422
20,9,0.0447083
21,0,0.0442505
21,1,0.108871
21,2,0.132713
21,3,0.130043
21,4,0.127106
21,5,0.130882
21,6,0.152893
21,7,0.0911331
21,8,0.155144
21,9,0.0454712
22,0,0.0461197
22,1,0.0407791
22,2,-0.0712967
22,3,-0.0152969
22,4,-0.0094223
22,5,0.0849915
22,6,0.0763702
22,7,0.0977707
22,8,0.177612
22,9,0.110931
23,0,0.183029
23,1,0.12558
23,2,0.117874
23,3,0.113678
23,4,0.0923538
23,5,0.100822
23,6,0.147705
23,7,-0.0031662
23,8,0.0556183
23,9,-0.0164795
24,0,-0.0191879
24,1,0.00751495
24,2,0.0434875
24,3,0.0824356
24,4,0.0835037
24,5,0.0983047
24,6,0.138321
24,7,0.139275
24,8,0.109558
24,9,0.129738
25,0,0.0975418
25,1,0.0798798
25,2,0.0940704
25,3,0.0215912
25,4,0.000724792
25,5,-0.0200272
25,6,0.0334549
25,7,-0.0371552
25,8,-0.00465393
25,9,-0.0143433
26,0,0.0121689
26,1,0.0777435
26,2,0.0519562
26,3,0.0744247
26,4,0.0817108
26,5,0.075264
26,6,0.0700378
26,7,0.0761032
26,8,0.0846863
26,9,0.0539398
27,0,-0.101662
27,1,-0.0761032
27,2,-0.133667
27,3,-0.0318146
27,4,-0.138168
27,5,-0.0724411
27,6,-0.0998688
27,7,-0.00156403
27,8,0.0325012
27,9,0.0261688
28,0,0.0203705
28,1,0.133705
28,2,-0.0120163
28,3,0.0274658
28,4,0.0163269
28,5,0.0282288
28,6,-0.0432587
28,7,-0.0973511
28,8,-0.113525
28,9,-0.138741
29,0,-0.160561
29,1,-0.14782
29,2,-0.073967
29,3,-0.0648499
29,4,-0.0442886
29,5,-0.0160217
29,6,-0.0181198
29,7,0.0157166
29,8,-0.021019
29,9,-0.00968933
30,0,-0.0245285
30,1,-0.0389099
30,2,-0.0236511
30,3,-0.0777435
30,4,-0.117264
30,5,-0.134697
30,6,-0.144882
30,7,-0.142059
30,8,-0.114365
30,9,-0.0419617
31,0,-0.0533295
31,1,-0.02491
31,2,-0.00907898
31,3,-0.0315475
31,4,-0.0503922
31,5,0.0222015
31,6,0.0291824
31,7,-0.00328064
31,8,0.030632
31,9,0.00328064
32,0,-0.0663757
32,1,-0.0918198
32,2,-0.158081
32,3,-0.125084
32,4,-0.145226
32,5,-0.0582123
32,6,-0.0564194
32,7,-0.0262833
32,8,0.0218582
32,9,0.0533295
33,0,0.0714874
33,1,0.062027
33,2,0.0269318
33,3,0.0252914
33,4,0.0401306
33,5,0.02285
33,6,-0.0401306
33,7,-0.0638199
33,8,-0.102196
33,9,-0.0776291
34,0,-0.0655365
34,1,-0.0641632
34,2,-0.0228119
34,3,-0.00919342
34,4,0.0480652
34,5,0.0808334
34,6,0.0833511
34,7,0.0727844
34,8,0.135574
34,9,0.0501633
35,0,0.0777817
35,1,0.0899506
35,2,0.0494003
35,3,-0.0317764
35,4,0.00144958
35,5,-0.01297
35,6,-0.047226
35,7,-0.0233459
35,8,-0.0044632
35,9,0.00823975
36,0,0.0393295
36,1,0.130234
36,2,0.0884628
36,3,0.116959
36,4,0.128975
36,5,0.0865173
36,6,0.0986481
36,7,0.121002
36,8,0.113144
36,9,0.094223
37,0,-0.000114441
37,1,-0.0350571
37,2,-0.0512695
37,3,-0.0419998
37,4,0.0146866
37,5,0.00991821
37,6,0.0765228
37,7,0.0444031
37,8,0.12619
37,9,0.114136
38,0,0.135269
38,1,0.115128
38,2,0.103836
38,3,0.125122
38,4,0.117416
38,5,0.0416565
38,6,0.0169373
38,7,-0.0336456
38,8,0.0135422
38,9,-0.0391006
39,0,-0.0248718
39,1,-0.0193024
39,2,0.0125504
39,3,0.0482178
39,4,0.0486374
39,5,0.0899506
39,6,0.112305
39,7,0.108604
39,8,0.0983429
39,9,0.0959396
40,0,0.068779
40,1,0.0749588
40,2,0.0471878
40,3,-0.0218201
40,4,-0.0170517
40,5,-0.0808334
40,6,-0.0634766
40,7,-0.0491714
40,8,-0.0465393
40,9,-0.0137711
41,0,0.0139999
41,1,0.0505829
41,2,0.0719452
41,3,0.0761795
41,4,0.081749
41,5,0.0513458
41,6,0.0623703
41,7,0.049057
41,8,0.0377274
41,9,-0.0088501
42,0,-0.0150681
42,1,-0.124359
42,2,-0.087738
42,3,-0.134468
42,4,-0.080986
42,5,-0.0384521
42,6,-0.0383759
42,7,0.0142288
42,8,0.0292587
42,9,0.0715637
43,0,0.0323486
43,1,0.0151443
43,2,0.130272
43,3,0.00461578
43,4,-0.0231934
43,5,0.0352859
43,6,-0.00717163
43,7,-0.0592041
43,8,-0.123062
43,9,-0.134583
44,0,-0.116119
44,1,-0.0999451
44,2,-0.0311661
44,3,-0.00591278
44,4,-0.00591278
44,5,0.015831
44,6,0.0551605
44,7,-0.0209808
44,8,0.044632
44,9,0.0127411
45,0,0.0543213
45,1,-0.0218201
45,2,-0.00854492
45,3,-0.041275
45,4,-0.0722885
45,5,-0.0977325
45,6,-0.12558
45,7,-0.0798416
45,8,-0.0118637
45,9,-0.0132751
46,0,-0.032196
46,1,-0.0147629
46,2,0.0188065
46,3,0.0728226
46,4,0.0110626
46,5,0.0987625
46,6,0.0588989
46,7,0.0349426
46,8,0.0539398
46,9,0.0143433
47,0,0.02491
47,1,-0.110779
47,2,-0.0822067
47,3,-0.0897217
47,4,-0.0784302
47,5,-0.0395966
47,6,-0.0254822
47,7,0.0395584
47,8,0.0301743
47,9,0.0674438
48,0,0.0779724
48,1,0.0520325
48,2,0.071373
48,3,0.0860977
48,4,0.0798798
48,5,0.0718307
48,6,0.00751495
48,7,-0.0494003
48,8,-0.0708389
48,9,-0.0576019
49,0,-0.0588989
49,1,-0.0464249
49,2,-0.00259399
