Coordinates
version=1
nRows=870
nColumns=38
inDegrees=no

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	ankle_angle_r	subtalar_angle_r	mtp_angle_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	ankle_angle_l	subtalar_angle_l	mtp_angle_l	lumbar_extension	lumbar_bending	lumbar_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	pro_sup_r	wrist_flex_r	wrist_dev_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	pro_sup_l	wrist_flex_l	wrist_dev_l
60	2.90501	1.36941	-1.25966	0.636818	0.285828	0.948446	-0.0673309	0.0144035	-0.124475	0.262066	-0.453821	0	0	-0.180899	-0.0998244	-0.109805	0	-0.579209	0	0	-0.354319	0.0985729	0.0400084	0.781548	-0.72336	0.557028	1.13565	0.325107	0	0	1.0333	-0.558788	0.983234	1.00087	0.176937	0	0
60.01	2.90262	1.36906	-1.25712	0.63662	0.286247	0.948393	-0.0681137	0.0149128	-0.1239	0.262113	-0.453409	0	0	-0.181686	-0.100278	-0.109191	0	-0.5785	0	0	-0.3527	0.0991988	0.0401616	0.780899	-0.723005	0.557745	1.13443	0.328828	0	0	1.03263	-0.557832	0.983559	0.999717	0.177746	0	0
60.02	2.90016	1.36884	-1.25489	0.636507	0.286692	0.948389	-0.0688582	0.0154669	-0.123088	0.261978	-0.452951	0	0	-0.182711	-0.100731	-0.109278	0	-0.578215	0	0	-0.3512	0.0994666	0.0406739	0.779567	-0.722273	0.556656	1.13314	0.331258	0	0	1.03215	-0.557296	0.984447	0.999199	0.178856	0	0
60.03	2.89701	1.36887	-1.25245	0.636475	0.287098	0.948404	-0.0692887	0.0161816	-0.121424	0.261626	-0.452813	0	0	-0.183702	-0.101256	-0.109769	0	-0.578267	0	0	-0.349763	0.0994677	0.0416304	0.777871	-0.721316	0.554619	1.13188	0.333177	0	0	1.03195	-0.557129	0.985881	0.999218	0.18017	0	0
60.04	2.89358	1.36973	-1.25009	0.636469	0.287506	0.9484	-0.0685807	0.0165682	-0.120129	0.261634	-0.453011	0	0	-0.184095	-0.101453	-0.110804	0	-0.578626	0	0	-0.348007	0.0994348	0.0427773	0.775715	-0.720527	0.551824	1.13176	0.334712	0	0	1.03121	-0.557589	0.986775	1.00022	0.181091	0	0
60.05	2.89203	1.37034	-1.2496	0.636468	0.287883	0.948437	-0.0682802	0.0165417	-0.119663	0.261495	-0.453218	0	0	-0.185196	-0.101266	-0.112304	0	-0.579207	0	0	-0.347003	0.0990878	0.0437878	0.773608	-0.71991	0.548988	1.13221	0.335866	0	0	1.03052	-0.558614	0.987431	1.00198	0.180519	0	0
60.06	2.89341	1.37007	-1.25181	0.636496	0.288154	0.948551	-0.069018	0.0162001	-0.119959	0.261352	-0.453303	0	0	-0.187509	-0.100756	-0.114058	0	-0.580092	0	0	-0.347499	0.0980722	0.0447851	0.771363	-0.719565	0.545635	1.13301	0.337233	0	0	1.03105	-0.559808	0.989075	1.00411	0.177612	0	0
60.07	2.89482	1.36949	-1.25386	0.636512	0.288368	0.94867	-0.0699463	0.0158773	-0.120819	0.261335	-0.453224	0	0	-0.190025	-0.100258	-0.116519	0	-0.581053	0	0	-0.348438	0.0970257	0.0455557	0.769562	-0.719295	0.542777	1.13375	0.338663	0	0	1.0322	-0.561177	0.991438	1.00625	0.173488	0	0
60.08	2.89514	1.36983	-1.25433	0.636511	0.288588	0.948705	-0.0695585	0.015477	-0.122353	0.261954	-0.453004	0	0	-0.191116	-0.0997767	-0.118702	0	-0.581845	0	0	-0.348384	0.0960972	0.0452906	0.768463	-0.718724	0.541066	1.13447	0.339718	0	0	1.03286	-0.563293	0.993327	1.00886	0.1704	0	0
60.09	2.89337	1.37093	-1.2523	0.636499	0.288797	0.948663	-0.0680118	0.0153054	-0.124158	0.263063	-0.452619	0	0	-0.190713	-0.0996928	-0.120734	0	-0.582685	0	0	-0.347688	0.0954549	0.044418	0.767315	-0.71813	0.539208	1.13584	0.340573	0	0	1.03358	-0.566086	0.995381	1.01221	0.167997	0	0
