Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x73
All Timesteps RMSE,0,0,0,0,0,0,0.0108106,0.00637298,0,0,0,0.0197154,0.0207608,0.0161711,0,0,0.0449301,0,0.0181445,0.0264596,0.0155684,0.0322272,0.0189044,0.0236929,0.00866918,0.0208978,0.0146767,0.0231834,0.0179122,0.0457485,0.0179752,0.0190423,0.00895145,0.0314215,0.0307011,0.0365592,0.00860937,0.00953315,0.0273392,0.015239,0.0241365,0.00966127,0,0,0.0101263,0,0.01229,0.00623135,0.083279,0.0348243,0.0452778,0.0177476,0.0110821,0.00641225,0.0203434,0.0200795,0.0410729,0.0323584,0.0210608,0.0357202,0.0184001,0.0248804,0.0317391,0.0049147,0.00631127,0.00554708,0.00608992,0.0100003,0,0,0,0,0
0,0,0,0,0,0,0,0.00929551,0.00356714,0,0,0,0.016359,0.0202193,0.0322227,0,0,0.03834,0,0.0181708,0.0217762,0.0141713,0.0594818,0.0199634,0.0472156,0.00721056,0.0121941,0.0248427,0.04556,0.032132,0.0313182,0.0316327,0.0311043,0.00403619,0.0215131,0.02817,0.0297626,0.00910242,0.00638136,0.0199776,0.0154659,0.0230662,0.00748641,0,0,0.00218928,0,0.0123713,0.00110181,0.0833924,0.0343707,0.0426164,0.0215414,0.00761059,0.00556982,0.0279018,0.0126377,0.0338641,0.0348368,0.0251564,0.0461921,0.0204608,0.0253161,0.016972,0.00271513,0.00366787,0.00268945,0.00294294,0.00767588,0,0,0,0,0
1,0,0,0,0,0,0,0.00935817,0.0038706,0,0,0,0.0159378,0.0204968,0.0315968,0,0,0.0419744,0,0.0182267,0.0239766,0.0144188,0.0593023,0.0202643,0.0458586,0.00762351,0.0152987,0.0247115,0.0440208,0.031665,0.0308493,0.0309519,0.0297835,0.00488839,0.0202414,0.0298801,0.0325243,0.00895391,0.00771849,0.0202248,0.015498,0.0230636,0.00722802,0,0,0.00252418,0,0.0124247,0.000964286,0.0836934,0.0340044,0.0427775,0.0214763,0.00724452,0.00453133,0.02781,0.0127209,0.0337221,0.0345971,0.0252137,0.0463042,0.0205401,0.0253617,0.0176067,0.0032318,0.00370539,0.00271483,0.00436296,0.00749668,0,0,0,0,0
2,0,0,0,0,0,0,0.00911332,0.00398206,0,0,0,0.0160409,0.0196636,0.0304458,0,0,0.0391724,0,0.0182892,0.0222219,0.0146493,0.0584916,0.0200584,0.0439091,0.00772697,0.0145059,0.0244402,0.0417879,0.0309118,0.0303804,0.0302498,0.0294241,0.00564466,0.0191488,0.0315871,0.0302158,0.00895734,0.00774689,0.0205789,0.0154963,0.0231674,0.00696473,0,0,0.00315291,0,0.012475,0.000949481,0.0837192,0.0339545,0.0429496,0.0219085,0.0068924,0.00423938,0.0279814,0.012693,0.0337929,0.0345432,0.0256185,0.0463117,0.0207147,0.0257641,0.0184751,0.00345721,0.00369661,0.00267257,0.00471871,0.00727072,0,0,0,0,0
3,0,0,0,0,0,0,0.0103228,0.00438596,0,0,0,0.0164955,0.0207852,0.0292775,0,0,0.0491017,0,0.0179961,0.0284405,0.014921,0.0575166,0.0197503,0.0417224,0.00834206,0.0192464,0.0241035,0.0392376,0.0299242,0.0297894,0.0291626,0.0292121,0.00642394,0.0181527,0.03352,0.0377844,0.00837823,0.0105011,0.0207923,0.0154416,0.0228632,0.00812833,0,0,0.00405177,0,0.0125057,0.000841656,0.0836562,0.0333245,0.0430811,0.02222,0.00698888,0.00482246,0.0282047,0.0123197,0.0337756,0.0351518,0.0258015,0.0461616,0.0207354,0.0259398,0.0192075,0.00345944,0.0035032,0.00252252,0.00489643,0.00824962,0,0,0,0,0
4,0,0,0,0,0,0,0.0104713,0.00445944,0,0,0,0.0173568,0.0214138,0.0280816,0,0,0.0513827,0,0.0179043,0.0299017,0.0153958,0.0564939,0.0194999,0.0398693,0.00878996,0.0205529,0.0238425,0.0367403,0.0289715,0.0290766,0.0282154,0.0288432,0.00727653,0.0171004,0.0357489,0.0396049,0.00836141,0.0105513,0.0207935,0.0154525,0.0224151,0.00827678,0,0,0.00406525,0,0.012525,0.000790339,0.0834951,0.0326074,0.0432972,0.0224385,0.00692889,0.0049317,0.0282664,0.0118244,0.0335545,0.0356441,0.0259,0.0460024,0.0207239,0.0260555,0.0197733,0.00355857,0.00343025,0.00250166,0.00469216,0.00839861,0,0,0,0,0
5,0,0,0,0,0,0,0.00914788,0.00417884,0,0,0,0.0182838,0.0197366,0.0264468,0,0,0.0375032,0,0.0182007,0.0211873,0.0158055,0.0550593,0.019176,0.0380449,0.00853323,0.0146147,0.0233964,0.0343447,0.0278642,0.0284669,0.0275555,0.0283064,0.00815509,0.0162393,0.0378984,0.0289984,0.00897001,0.0073291,0.0194166,0.0155378,0.0212689,0.00710349,0,0,0.00384798,0,0.0125283,0.000931775,0.0833463,0.0319932,0.0438567,0.0222503,0.00628477,0.00427546,0.0283892,0.0109963,0.0328587,0.0361147,0.0257012,0.0458668,0.0205784,0.0258168,0.0194153,0.00356026,0.00363189,0.00261256,0.0042838,0.00742478,0,0,0,0,0
6,0,0,0,0,0,0,0.00907736,0.00434447,0,0,0,0.0199188,0.0196195,0.0250419,0,0,0.0375283,0,0.0182886,0.0212612,0.016123,0.0544936,0.0190394,0.0365563,0.00875243,0.014818,0.0231128,0.0325676,0.0268617,0.028098,0.0272433,0.0280941,0.00888702,0.015462,0.0404759,0.0291266,0.0089651,0.00755417,0.0186731,0.0155722,0.0196165,0.00709031,0,0,0.0038553,0,0.0125573,0.000915725,0.0833351,0.0298694,0.0442448,0.0216241,0.00623095,0.00425884,0.0284775,0.00979311,0.0318192,0.0366262,0.0250242,0.0456458,0.0201861,0.0251022,0.0193312,0.00357687,0.0036633,0.00259847,0.00395931,0.00741321,0,0,0,0,0
7,0,0,0,0,0,0,0.00928424,0.00464425,0,0,0,0.0208674,0.0195323,0.0359987,0,0,0.0376785,0,0.0185257,0.0213997,0.0126408,0,0.0188645,0.0418763,0.00898095,0.0146976,0.0225685,0.0348185,0.0272206,0,0.0306721,0.028842,0.0181668,0.0070585,0.0460339,0.0294199,0.00900167,0.00753313,0.0188567,0.0154414,0.0176718,0.00717752,0,0,0.00456705,0,0.0125229,0.000997868,0.0837383,0.0272476,0.0453319,0.0223063,0.0053213,0.00430753,0.0286716,0.00841084,0.0316366,0.0374691,0.0243257,0.0445572,0.0192123,0.0243872,0.0205992,0.00355393,0.00367688,0.00266886,0.00414473,0.008038,0,0,0,0,0
8,0,0,0,0,0,0,0.00921044,0.00488338,0,0,0,0.0239958,0.019674,0.0282573,0,0,0.0371325,0,0.0186267,0.0210648,0.0126457,0.0612452,0.0186351,0.037748,0.00908647,0.0146123,0.0199641,0.029207,0.0238489,0,0.0300583,0.0285355,0.0181594,0.00883744,0.0459,0.0291478,0.00905433,0.00708257,0.0180569,0.0154063,0.0160228,0.00719471,0,0,0.00485093,0,0.0125062,0.00111087,0.0835783,0.0256705,0.0455719,0.0219916,0.00541917,0.00421094,0.0286475,0.00739703,0.0306883,0.0382049,0.0237522,0.0442889,0.0187299,0.023913,0.0206885,0.00321905,0.00367347,0.00269321,0.00402839,0.00797137,0,0,0,0,0
